Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1755.00,1785.00,1715.00,1735.00,5170700,1735.00
2017-01-31,1755.00,1760.00,1700.00,1755.00,6958600,1755.00
2017-01-30,1685.00,1715.00,1660.00,1710.00,4256900,1710.00
2017-01-27,1665.00,1705.00,1665.00,1685.00,4512800,1685.00
2017-01-26,1610.00,1680.00,1610.00,1665.00,9003100,1665.00
2017-01-25,1600.00,1615.00,1600.00,1610.00,1780900,1610.00
2017-01-24,1595.00,1630.00,1590.00,1600.00,1545100,1600.00
2017-01-23,1615.00,1615.00,1575.00,1595.00,4031500,1595.00
2017-01-20,1600.00,1615.00,1580.00,1615.00,3303900,1615.00
2017-01-19,1620.00,1625.00,1590.00,1600.00,1251300,1600.00
2017-01-18,1620.00,1630.00,1585.00,1620.00,3553700,1620.00
2017-01-17,1570.00,1645.00,1565.00,1620.00,5781000,1620.00
2017-01-16,1585.00,1595.00,1550.00,1570.00,1940800,1570.00
2017-01-13,1580.00,1615.00,1570.00,1585.00,3110900,1585.00
2017-01-12,1560.00,1615.00,1560.00,1600.00,12001600,1600.00
2017-01-11,1490.00,1565.00,1485.00,1560.00,14538300,1560.00
2017-01-10,1465.00,1505.00,1465.00,1490.00,5890300,1490.00
2017-01-09,1465.00,1490.00,1460.00,1465.00,6508500,1465.00
2017-01-06,1480.00,1490.00,1460.00,1465.00,6292900,1465.00
2017-01-05,1460.00,1525.00,1460.00,1475.00,8939700,1475.00
2017-01-04,1515.00,1565.00,1410.00,1410.00,12397900,1410.00
2017-01-03,1475.00,1520.00,1440.00,1515.00,7582700,1515.00
2017-01-02,1455.00,1455.00,1455.00,1455.00,000,1455.00
2016-12-30,1470.00,1535.00,1455.00,1455.00,22238900,1455.00
2016-12-29,1410.00,1465.00,1410.00,1460.00,11240400,1460.00
2016-12-28,1420.00,1470.00,1405.00,1405.00,11550600,1405.00
2016-12-27,1485.00,1485.00,1405.00,1405.00,10208200,1405.00
2016-12-26,1485.00,1485.00,1485.00,1485.00,000,1485.00
2016-12-23,1500.00,1520.00,1450.00,1485.00,4374600,1485.00
2016-12-22,1580.00,1580.00,1470.00,1480.00,5256400,1480.00
2016-12-21,1580.00,1625.00,1575.00,1580.00,2510300,1580.00
2016-12-20,1630.00,1655.00,1575.00,1580.00,2515600,1580.00
2016-12-19,1690.00,1700.00,1630.00,1630.00,2517000,1630.00
2016-12-16,1670.00,1710.00,1665.00,1685.00,3672100,1685.00
2016-12-15,1715.00,1715.00,1660.00,1670.00,4381800,1670.00
2016-12-14,1640.00,1760.00,1640.00,1715.00,14554300,1715.00
2016-12-13,1650.00,1660.00,1620.00,1640.00,8440000,1640.00
2016-12-12,1650.00,1650.00,1650.00,1650.00,000,1650.00
2016-12-09,1670.00,1680.00,1610.00,1650.00,8827900,1650.00
2016-12-08,1550.00,1665.00,1550.00,1660.00,15284300,1660.00
2016-12-07,1580.00,1590.00,1525.00,1550.00,9331100,1550.00
2016-12-06,1575.00,1625.00,1550.00,1580.00,8267100,1580.00
2016-12-05,1580.00,1595.00,1565.00,1570.00,4195800,1570.00
2016-12-02,1570.00,1610.00,1530.00,1575.00,8746800,1575.00
2016-12-01,1670.00,1680.00,1565.00,1570.00,13808400,1570.00
2016-11-30,1660.00,1670.00,1590.00,1670.00,13001800,1670.00
2016-11-29,1590.00,1715.00,1590.00,1660.00,10516100,1660.00
2016-11-28,1680.00,1695.00,1580.00,1585.00,4913500,1585.00
2016-11-25,1680.00,1705.00,1670.00,1680.00,2229900,1680.00
2016-11-24,1715.00,1775.00,1655.00,1680.00,4894500,1680.00
2016-11-23,1755.00,1785.00,1750.00,1755.00,4564700,1755.00
2016-11-22,1745.00,1790.00,1720.00,1755.00,3234900,1755.00
2016-11-21,1750.00,1775.00,1735.00,1745.00,2701900,1745.00
2016-11-18,1820.00,1835.00,1735.00,1750.00,3771100,1750.00
2016-11-17,1875.00,1875.00,1810.00,1820.00,1746900,1820.00
2016-11-16,1750.00,1850.00,1750.00,1850.00,8513200,1850.00
2016-11-15,1800.00,1805.00,1745.00,1750.00,3627200,1750.00
2016-11-14,1745.00,1800.00,1675.00,1800.00,8002100,1800.00
2016-11-11,1880.00,1880.00,1710.00,1745.00,17624000,1745.00
2016-11-10,1880.00,1925.00,1880.00,1895.00,6010100,1895.00
2016-11-09,1915.00,1930.00,1800.00,1860.00,10661500,1860.00
2016-11-08,1900.00,1945.00,1890.00,1935.00,8287200,1935.00
2016-11-07,1910.00,1920.00,1880.00,1900.00,4571800,1900.00
2016-11-04,1850.00,1935.00,1830.00,1910.00,4852700,1910.00
2016-11-03,1915.00,1940.00,1850.00,1850.00,4196800,1850.00
2016-11-02,1910.00,1960.00,1900.00,1915.00,6311700,1915.00
2016-11-01,1885.00,1975.00,1885.00,1960.00,15181200,1960.00
2016-10-31,1965.00,1975.00,1885.00,1885.00,6471700,1885.00
2016-10-28,1830.00,1960.00,1820.00,1950.00,29518700,1950.00
2016-10-27,1750.00,1815.00,1730.00,1800.00,11853700,1800.00
2016-10-26,1750.00,1775.00,1740.00,1750.00,1494800,1750.00
2016-10-25,1755.00,1765.00,1745.00,1750.00,3901900,1750.00
2016-10-24,1785.00,1795.00,1745.00,1755.00,3289200,1755.00
2016-10-21,1720.00,1785.00,1710.00,1785.00,5931700,1785.00
2016-10-20,1715.00,1735.00,1680.00,1725.00,3400700,1725.00
2016-10-19,1760.00,1780.00,1715.00,1715.00,5009100,1715.00
2016-10-18,1740.00,1795.00,1740.00,1750.00,8467900,1750.00
2016-10-17,1705.00,1755.00,1700.00,1740.00,6609800,1740.00
2016-10-14,1735.00,1735.00,1675.00,1705.00,5409900,1705.00
2016-10-13,1725.00,1755.00,1725.00,1735.00,3966500,1735.00
2016-10-12,1745.00,1745.00,1710.00,1720.00,2696200,1720.00
2016-10-11,1745.00,1765.00,1710.00,1745.00,5183000,1745.00
2016-10-10,1765.00,1800.00,1735.00,1745.00,2827400,1745.00
2016-10-07,1770.00,1775.00,1750.00,1765.00,1734800,1765.00
2016-10-06,1735.00,1765.00,1700.00,1765.00,3832700,1765.00
2016-10-05,1750.00,1750.00,1670.00,1730.00,3894400,1730.00
2016-10-04,1770.00,1785.00,1745.00,1750.00,2933700,1750.00
2016-10-03,1735.00,1775.00,1705.00,1770.00,7852500,1770.00
2016-09-30,1625.00,1735.00,1625.00,1735.00,14303800,1735.00
2016-09-29,1665.00,1705.00,1625.00,1625.00,6192200,1625.00
2016-09-28,1595.00,1670.00,1590.00,1665.00,10587600,1665.00
2016-09-27,1520.00,1600.00,1505.00,1590.00,9439900,1590.00
2016-09-26,1580.00,1580.00,1520.00,1520.00,6359600,1520.00
2016-09-23,1580.00,1610.00,1560.00,1580.00,3781900,1580.00
2016-09-22,1595.00,1630.00,1585.00,1595.00,4468100,1595.00
2016-09-21,1585.00,1625.00,1565.00,1595.00,6539000,1595.00
2016-09-20,1535.00,1600.00,1520.00,1585.00,9265600,1585.00
2016-09-19,1500.00,1545.00,1500.00,1535.00,3437400,1535.00
2016-09-16,1570.00,1610.00,1490.00,1500.00,7867800,1500.00
2016-09-15,1480.00,1575.00,1480.00,1570.00,13523000,1570.00
2016-09-14,1485.00,1495.00,1385.00,1470.00,12807300,1470.00
2016-09-13,1645.00,1645.00,1485.00,1485.00,19149200,1485.00
2016-09-12,1645.00,1645.00,1645.00,1645.00,000,1645.00
2016-09-09,1660.00,1670.00,1610.00,1645.00,5128700,1645.00
2016-09-08,1605.00,1665.00,1600.00,1655.00,6766500,1655.00
2016-09-07,1630.00,1650.00,1595.00,1605.00,6754700,1605.00
2016-09-06,1720.00,1720.00,1625.00,1630.00,4494000,1630.00
2016-09-05,1730.00,1750.00,1685.00,1685.00,4272100,1685.00
2016-09-02,1690.00,1745.00,1685.00,1730.00,7530600,1730.00
2016-09-01,1695.00,1700.00,1670.00,1690.00,9017800,1690.00
2016-08-31,1600.00,1695.00,1590.00,1695.00,8376300,1695.00
2016-08-30,1660.00,1700.00,1580.00,1630.00,9280400,1630.00
2016-08-29,1680.00,1705.00,1655.00,1660.00,4489500,1660.00
2016-08-26,1660.00,1720.00,1640.00,1675.00,10924400,1675.00
2016-08-25,1630.00,1665.00,1610.00,1660.00,4436900,1660.00
2016-08-24,1655.00,1680.00,1625.00,1630.00,7157700,1630.00
2016-08-23,1610.00,1650.00,1590.00,1650.00,12514000,1650.00
2016-08-22,1600.00,1645.00,1585.00,1610.00,8869700,1610.00
2016-08-19,1595.00,1620.00,1575.00,1600.00,7931900,1600.00
2016-08-18,1550.00,1620.00,1540.00,1595.00,19240800,1595.00
2016-08-17,1550.00,1550.00,1550.00,1550.00,000,1550.00
2016-08-16,1550.00,1575.00,1505.00,1550.00,12619000,1550.00
2016-08-15,1510.00,1600.00,1510.00,1545.00,25488700,1545.00
2016-08-12,1505.00,1510.00,1470.00,1475.00,7343600,1475.00
2016-08-11,1450.00,1510.00,1445.00,1505.00,11887900,1505.00
2016-08-10,1490.00,1510.00,1430.00,1450.00,9273700,1450.00
2016-08-09,1425.00,1495.00,1425.00,1490.00,6173000,1490.00
2016-08-08,1460.00,1480.00,1425.00,1425.00,3815700,1425.00
2016-08-05,1480.00,1495.00,1445.00,1460.00,3476200,1460.00
2016-08-04,1480.00,1510.00,1480.00,1480.00,3350900,1480.00
2016-08-03,1515.00,1530.00,1485.00,1500.00,4289800,1500.00
2016-08-02,1520.00,1535.00,1510.00,1515.00,5668700,1515.00
2016-08-01,1500.00,1565.00,1495.00,1515.00,11484800,1515.00
2016-07-29,1490.00,1520.00,1470.00,1500.00,10391600,1500.00
2016-07-28,1420.00,1505.00,1410.00,1490.00,22042000,1490.00
2016-07-27,1330.00,1420.00,1310.00,1420.00,18026900,1420.00
2016-07-26,1305.00,1360.00,1265.00,1315.00,12095700,1315.00
2016-07-25,1365.00,1380.00,1285.00,1305.00,16272000,1305.00
2016-07-22,1425.00,1430.00,1355.00,1365.00,8534800,1365.00
2016-07-21,1280.00,1435.00,1275.00,1420.00,25155800,1420.00
2016-07-20,1275.00,1285.00,1255.00,1270.00,1917600,1270.00
2016-07-19,1240.00,1295.00,1240.00,1255.00,6189300,1255.00
2016-07-18,1255.00,1270.00,1245.00,1255.00,3957900,1255.00
2016-07-15,1300.00,1330.00,1250.00,1255.00,9961900,1255.00
2016-07-14,1245.00,1300.00,1240.00,1300.00,10135300,1300.00
2016-07-13,1245.00,1245.00,1200.00,1245.00,12013000,1245.00
2016-07-12,1195.00,1200.00,1170.00,1200.00,10158700,1200.00
2016-07-11,1115.00,1180.00,1115.00,1180.00,12891800,1180.00
2016-07-08,1115.00,1115.00,1115.00,1115.00,000,1115.00
2016-07-07,1115.00,1115.00,1115.00,1115.00,000,1115.00
2016-07-06,1115.00,1115.00,1115.00,1115.00,000,1115.00
2016-07-05,1115.00,1115.00,1115.00,1115.00,000,1115.00
2016-07-04,1115.00,1115.00,1115.00,1115.00,000,1115.00
2016-07-01,1115.00,1125.00,1105.00,1115.00,2141100,1115.00
2016-06-30,1090.00,1120.00,1090.00,1115.00,10470400,1115.00
2016-06-28,1105.00,1115.00,1085.00,1110.00,7895200,1110.00
2016-06-27,1080.00,1115.00,1065.00,1110.00,9308900,1110.00
2016-06-24,1100.00,1100.00,1035.00,1075.00,9941000,1075.00
2016-06-23,1115.00,1115.00,1095.00,1100.00,4776600,1100.00
2016-06-22,1120.00,1125.00,1090.00,1115.00,7636100,1115.00
2016-06-21,1100.00,1120.00,1100.00,1120.00,7125300,1120.00
2016-06-20,1105.00,1115.00,1090.00,1110.00,4502000,1110.00
2016-06-17,1110.00,1135.00,1090.00,1100.00,16026100,1100.00
2016-06-16,1065.00,1115.00,1065.00,1110.00,25922200,1110.00
2016-06-15,1020.00,1080.00,1020.00,1060.00,16296300,1060.00
2016-06-14,1045.00,1075.00,1035.00,1055.00,11231400,1055.00
2016-06-13,1025.00,1050.00,990.00,1045.00,13173700,1045.00
2016-06-10,1055.00,1055.00,1020.00,1025.00,11307000,1025.00
2016-06-09,1035.00,1120.00,1030.00,1055.00,41295000,1055.00
2016-06-08,960.00,1025.00,955.00,1025.00,37977500,1025.00
2016-06-07,935.00,975.00,935.00,955.00,14996200,955.00
2016-06-06,925.00,945.00,925.00,935.00,3437200,935.00
2016-06-03,935.00,950.00,925.00,925.00,4908100,925.00
2016-06-02,935.00,955.00,925.00,935.00,7605800,935.00
2016-06-01,890.00,935.00,890.00,925.00,4711300,925.00
2016-05-31,955.00,970.00,890.00,890.00,10847800,890.00
2016-05-30,970.00,985.00,950.00,955.00,7811400,955.00
2016-05-27,965.00,985.00,955.00,970.00,7586600,970.00
2016-05-26,915.00,1000.00,910.00,960.00,19074400,960.00
2016-05-25,930.00,930.00,910.00,915.00,7189900,915.00
2016-05-24,905.00,925.00,895.00,910.00,3935300,910.00
2016-05-23,900.00,915.00,875.00,905.00,2713800,905.00
2016-05-20,895.00,915.00,890.00,900.00,3177200,900.00
2016-05-19,915.00,935.00,895.00,895.00,6106600,895.00
2016-05-18,910.00,930.00,905.00,915.00,5203900,915.00
2016-05-17,905.00,935.00,900.00,910.00,3351900,910.00
2016-05-16,930.00,945.00,885.00,910.00,11161500,910.00
2016-05-13,955.00,970.00,925.00,930.00,4105500,930.00
2016-05-12,955.00,970.00,950.00,955.00,6177200,955.00
2016-05-11,950.00,980.00,945.00,950.00,5599200,950.00
2016-05-10,905.00,940.00,880.00,940.00,6902700,940.00
2016-05-09,905.00,920.00,895.00,905.00,5070300,905.00
2016-05-06,905.00,905.00,905.00,905.00,000,905.00
2016-05-05,905.00,905.00,905.00,905.00,000,905.00
2016-05-04,895.00,910.00,880.00,905.00,5432400,905.00
2016-05-03,905.00,940.00,895.00,895.00,6838300,895.00
2016-05-02,925.00,930.00,860.00,900.00,8628900,900.00
2016-04-29,970.00,1005.00,880.00,925.00,12115200,925.00
2016-04-28,965.00,985.00,965.00,970.00,1337000,970.00
2016-04-27,955.00,985.00,955.00,965.00,4060100,965.00
2016-04-26,985.00,985.00,945.00,955.00,5970500,955.00
2016-04-25,985.00,1005.00,965.00,985.00,4212900,985.00
2016-04-22,1010.00,1010.00,965.00,985.00,4438100,985.00
2016-04-21,995.00,1040.00,985.00,1010.00,13706700,1010.00
2016-04-12,820.00,820.00,800.00,820.00,2458200,820.00
2016-04-08,825.00,830.00,810.00,825.00,2036800,810.00
2016-04-07,825.00,825.00,810.00,825.00,1437800,810.00
2016-04-06,805.00,825.00,800.00,815.00,3658000,800.18
2016-04-05,830.00,835.00,805.00,805.00,1289700,790.36
2016-04-04,820.00,840.00,820.00,825.00,2996800,810.00
2016-04-01,805.00,825.00,805.00,815.00,4360300,800.18
2016-03-31,820.00,820.00,800.00,800.00,4058500,785.45
2016-03-30,795.00,815.00,795.00,810.00,2546400,795.27
2016-03-29,790.00,805.00,785.00,795.00,1396200,780.55
2016-03-28,805.00,810.00,775.00,785.00,3191900,770.73
2016-03-25,810.00,810.00,810.00,810.00,000,795.27
2016-03-24,810.00,815.00,800.00,810.00,2116500,795.27
2016-03-23,825.00,825.00,800.00,810.00,1785100,795.27
2016-03-22,810.00,830.00,810.00,820.00,4813300,805.09
2016-03-21,805.00,820.00,795.00,810.00,3465900,795.27
2016-03-18,800.00,815.00,790.00,805.00,9537700,790.36
2016-03-17,795.00,800.00,790.00,800.00,2926100,785.45
2016-03-16,800.00,800.00,790.00,790.00,2103700,775.64
2016-03-15,815.00,820.00,785.00,790.00,5617900,775.64
2016-03-10,795.00,810.00,770.00,775.00,6282200,760.91
2016-03-09,795.00,795.00,795.00,795.00,000,780.55
2016-03-08,810.00,810.00,780.00,795.00,3726700,780.55
2016-03-07,815.00,820.00,795.00,795.00,4757500,780.55
2016-03-04,800.00,815.00,795.00,815.00,6396100,800.18
2016-03-03,845.00,855.00,795.00,800.00,11025800,785.45
2016-03-02,850.00,860.00,835.00,845.00,17909600,829.64
2016-03-01,780.00,840.00,780.00,830.00,23738800,814.91
2016-02-29,770.00,785.00,765.00,765.00,5699600,751.09
2016-02-26,770.00,775.00,760.00,765.00,3508500,751.09
2016-02-25,760.00,775.00,755.00,760.00,2398700,746.18
2016-02-24,785.00,785.00,750.00,755.00,5433400,741.27
2016-02-23,780.00,830.00,775.00,790.00,19964600,775.64
2016-02-22,750.00,790.00,750.00,780.00,4390500,765.82
2016-02-19,780.00,790.00,760.00,770.00,3821000,756.00
2016-02-18,765.00,805.00,765.00,775.00,9108800,760.91
2016-02-17,740.00,775.00,740.00,765.00,3631000,751.09
2016-02-16,755.00,770.00,735.00,740.00,1561400,726.55
2016-02-15,775.00,780.00,755.00,755.00,2291100,741.27
2016-02-12,770.00,780.00,770.00,770.00,1370800,756.00
2016-02-11,775.00,785.00,765.00,775.00,6831700,760.91
2016-02-10,765.00,785.00,760.00,775.00,6643600,760.91
2016-02-09,755.00,770.00,735.00,765.00,4899400,751.09
2016-02-08,755.00,755.00,755.00,755.00,000,741.27
2016-02-05,795.00,795.00,755.00,755.00,5105900,741.27
2016-02-04,795.00,800.00,775.00,790.00,8173500,775.64
2016-02-03,765.00,800.00,755.00,790.00,12751100,775.64
2016-02-02,740.00,785.00,735.00,770.00,27671300,756.00
2016-02-01,735.00,750.00,730.00,735.00,6230800,721.64
2016-01-29,735.00,745.00,725.00,735.00,38883300,721.64
2016-01-28,750.00,750.00,725.00,735.00,30743800,721.64
2016-01-27,720.00,755.00,710.00,750.00,50089200,736.36
2016-01-26,690.00,720.00,670.00,715.00,19649800,702.00
2016-01-25,670.00,700.00,665.00,695.00,14399300,682.36
2016-01-22,625.00,665.00,625.00,665.00,20145800,652.91
2016-01-21,595.00,630.00,595.00,615.00,10720000,603.82
2016-01-20,580.00,600.00,575.00,590.00,6155100,579.27
2016-01-19,570.00,580.00,560.00,575.00,2299200,564.55
2016-01-18,585.00,585.00,565.00,575.00,4528400,564.55
2016-01-15,590.00,600.00,580.00,590.00,2826700,579.27
2016-01-14,595.00,610.00,580.00,580.00,6093500,569.45
2016-01-13,605.00,610.00,590.00,600.00,3561600,589.09
2016-01-12,605.00,615.00,600.00,605.00,1051200,594.00
2016-01-11,600.00,605.00,595.00,605.00,1612700,594.00
2016-01-08,600.00,615.00,595.00,610.00,2849400,598.91
2016-01-07,600.00,610.00,585.00,600.00,5728800,589.09
2016-01-06,600.00,630.00,600.00,610.00,4251000,598.91
2016-01-05,600.00,620.00,580.00,595.00,3260100,584.18
2016-01-04,640.00,640.00,600.00,605.00,4260100,594.00
2016-01-01,635.00,635.00,635.00,635.00,000,623.45
2015-12-31,635.00,635.00,635.00,635.00,000,623.45
2015-12-30,615.00,650.00,610.00,635.00,15666600,623.45
2015-12-29,610.00,620.00,610.00,615.00,1133700,603.82
2015-12-28,625.00,630.00,610.00,610.00,2512300,598.91
2015-12-25,630.00,630.00,630.00,630.00,000,618.55
2015-12-24,630.00,630.00,630.00,630.00,000,618.55
2015-12-23,615.00,635.00,595.00,630.00,15706200,618.55
2015-12-22,620.00,640.00,600.00,615.00,15731400,603.82
2015-12-21,570.00,620.00,560.00,615.00,8751500,603.82
2015-12-18,580.00,590.00,550.00,570.00,5747200,559.64
2015-12-17,550.00,620.00,545.00,580.00,15480900,569.45
2015-12-16,505.00,565.00,494.00,555.00,22030800,544.91
2015-12-15,450.00,510.00,450.00,505.00,23607100,495.82
2015-12-14,440.00,452.00,434.00,449.00,2544300,440.84
2015-12-11,450.00,450.00,435.00,444.00,1213000,435.93
2015-12-10,450.00,453.00,430.00,450.00,4185000,441.82
2015-12-09,452.00,452.00,452.00,452.00,000,443.78
2015-12-08,454.00,458.00,443.00,452.00,883000,443.78
2015-12-07,459.00,460.00,450.00,453.00,916800,444.76
2015-12-04,457.00,461.00,448.00,455.00,1448200,446.73
2015-12-03,460.00,463.00,455.00,458.00,1219500,449.67
2015-12-02,467.00,467.00,456.00,464.00,1091800,455.56
2015-12-01,470.00,470.00,450.00,467.00,2196200,458.51
2015-11-30,469.00,470.00,446.00,470.00,7389400,461.45
2015-11-27,468.00,478.00,465.00,469.00,8368900,460.47
2015-11-26,460.00,472.00,458.00,465.00,8604200,456.55
2015-11-25,432.00,462.00,432.00,460.00,13365600,451.64
2015-11-24,425.00,433.00,418.00,431.00,3077100,423.16
2015-11-23,420.00,438.00,416.00,426.00,9605500,418.25
2015-11-20,396.00,417.00,396.00,415.00,8681900,407.45
2015-11-19,383.00,401.00,383.00,395.00,6388200,387.82
2015-11-18,397.00,400.00,379.00,379.00,6703300,372.11
2015-11-17,394.00,413.00,389.00,391.00,4211900,383.89
2015-11-16,410.00,410.00,385.00,390.00,3804400,382.91
2015-11-13,434.00,440.00,417.00,417.00,2015100,409.42
2015-11-12,439.00,444.00,432.00,433.00,1323000,425.13
2015-11-11,436.00,455.00,420.00,437.00,5078300,429.05
2015-11-10,450.00,458.00,435.00,435.00,2489600,427.09
2015-11-09,480.00,480.00,453.00,458.00,2045500,449.67
2015-11-06,481.00,483.00,476.00,480.00,2050000,471.27
2015-11-05,490.00,490.00,475.00,483.00,3561400,474.22
2015-11-04,480.00,500.00,470.00,489.00,11753700,480.11
2015-11-03,428.00,480.00,426.00,477.00,14069100,468.33
2015-11-02,440.00,463.00,402.00,422.00,8131000,414.33
2015-10-30,365.00,440.00,359.00,440.00,14001700,432.00
2015-10-29,390.00,393.00,356.00,357.00,6136800,350.51
2015-10-28,400.00,400.00,385.00,388.00,3105500,380.95
2015-10-27,408.00,408.00,393.00,396.00,2007700,388.80
2015-10-26,420.00,423.00,402.00,408.00,3050600,400.58
2015-10-23,415.00,425.00,410.00,417.00,2566300,409.42
2015-10-22,434.00,434.00,410.00,410.00,4147100,402.55
2015-10-21,435.00,439.00,430.00,434.00,1157400,426.11
2015-10-20,441.00,441.00,430.00,432.00,2948800,424.15
2015-10-19,441.00,448.00,435.00,435.00,2199500,427.09
2015-10-16,468.00,470.00,441.00,441.00,4756100,432.98
2015-10-15,466.00,489.00,453.00,465.00,7205200,456.55
2015-10-14,466.00,466.00,466.00,466.00,000,457.53
2015-10-13,499.00,515.00,455.00,466.00,11008300,457.53
2015-10-12,435.00,495.00,435.00,494.00,12608100,485.02
2015-10-09,370.00,449.00,370.00,435.00,7883000,427.09
2015-10-08,355.00,376.00,355.00,369.00,4508000,362.29
2015-10-07,333.00,358.00,332.00,355.00,6239000,348.55
2015-10-06,328.00,345.00,325.00,326.00,6702100,320.07
2015-10-05,312.00,328.00,312.00,321.00,3741300,315.16
2015-10-02,299.00,323.00,299.00,308.00,3090700,302.40
2015-10-01,301.00,305.00,299.00,301.00,673000,295.53
2015-09-30,304.00,307.00,296.00,297.00,2445100,291.60
2015-09-29,310.00,315.00,304.00,304.00,3487600,298.47
2015-09-28,331.00,331.00,317.00,317.00,1688600,311.24
2015-09-25,335.00,338.00,330.00,331.00,2695400,324.98
2015-09-24,338.00,338.00,338.00,338.00,000,331.85
2015-09-23,340.00,347.00,334.00,338.00,1281500,331.85
2015-09-22,344.00,354.00,339.00,340.00,2204400,333.82
2015-09-21,330.00,344.00,325.00,339.00,2060100,332.84
2015-09-18,344.00,350.00,330.00,330.00,3871700,324.00
2015-09-17,343.00,345.00,340.00,343.00,574600,336.76
