Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1745.00,1745.00,1725.00,1740.00,436000,348.00
2017-01-31,1745.00,1745.00,1680.00,1745.00,1161000,349.00
2017-01-30,1730.00,1730.00,1675.00,1725.00,514500,345.00
2017-01-27,1725.00,1740.00,1725.00,1730.00,503500,346.00
2017-01-26,1695.00,1740.00,1675.00,1725.00,735000,345.00
2017-01-25,1760.00,1760.00,1685.00,1695.00,1076000,339.00
2017-01-24,1625.00,1850.00,1625.00,1710.00,2469500,342.00
2017-01-23,1570.00,1620.00,1570.00,1600.00,2314000,320.00
2017-01-20,1570.00,1570.00,1520.00,1570.00,38000,314.00
2017-01-19,1580.00,1580.00,1520.00,1570.00,26500,314.00
2017-01-18,1560.00,1575.00,1550.00,1550.00,222000,310.00
2017-01-17,1545.00,1580.00,1520.00,1560.00,322000,312.00
2017-01-16,1520.00,1580.00,1520.00,1545.00,1233500,309.00
2017-01-13,1555.00,1600.00,1520.00,1520.00,300500,304.00
2017-01-12,1475.00,1575.00,1455.00,1555.00,765000,311.00
2017-01-11,1535.00,1540.00,1475.00,1475.00,186000,295.00
2017-01-10,1475.00,1600.00,1475.00,1535.00,1144000,307.00
2017-01-09,1475.00,1475.00,1475.00,1475.00,39500,295.00
2017-01-06,1495.00,1500.00,1475.00,1475.00,353500,295.00
2017-01-05,1475.00,1490.00,1465.00,1485.00,73500,297.00
2017-01-04,1515.00,1520.00,1515.00,1520.00,43000,304.00
2017-01-03,1515.00,1515.00,1500.00,1515.00,25500,303.00
2017-01-02,1500.00,1500.00,1500.00,1500.00,000,300.00
2016-12-30,1465.00,1500.00,1465.00,1500.00,18500,300.00
2016-12-29,1530.00,1530.00,1480.00,1505.00,2635000,301.00
2016-12-28,1480.00,1515.00,1480.00,1480.00,666000,296.00
2016-12-27,1580.00,1580.00,1470.00,1530.00,53000,306.00
2016-12-26,1410.00,1410.00,1410.00,1410.00,000,282.00
2016-12-23,1550.00,1550.00,1410.00,1410.00,88500,282.00
2016-12-22,1550.00,1565.00,1415.00,1450.00,189000,290.00
2016-12-21,1520.00,1585.00,1520.00,1565.00,2500,313.00
2016-12-20,1530.00,1590.00,1520.00,1520.00,202000,304.00
2016-12-19,1600.00,1600.00,1530.00,1530.00,322000,306.00
2016-12-16,1565.00,1600.00,1500.00,1600.00,1331000,320.00
2016-12-15,1570.00,1570.00,1485.00,1565.00,21000,313.00
2016-12-14,1595.00,1595.00,1535.00,1585.00,34500,317.00
2016-12-13,1545.00,1600.00,1530.00,1595.00,649500,319.00
2016-12-12,1545.00,1545.00,1545.00,1545.00,000,309.00
2016-12-09,1550.00,1550.00,1545.00,1545.00,779500,309.00
2016-12-08,1550.00,1560.00,1505.00,1530.00,169500,306.00
2016-12-07,1590.00,1590.00,1520.00,1550.00,47000,310.00
2016-12-06,1550.00,1630.00,1550.00,1590.00,959500,318.00
2016-12-05,1520.00,1590.00,1520.00,1560.00,222500,312.00
2016-12-02,1520.00,1520.00,1520.00,1520.00,2500,304.00
2016-12-01,1490.00,1530.00,1490.00,1530.00,1551500,306.00
2016-11-30,1500.00,1500.00,1460.00,1490.00,2249000,298.00
2016-11-29,1550.00,1555.00,1510.00,1515.00,1072500,303.00
2016-11-28,1570.00,1570.00,1520.00,1555.00,204000,311.00
2016-11-25,1525.00,1595.00,1525.00,1570.00,193000,314.00
2016-11-24,1565.00,1575.00,1530.00,1550.00,279500,310.00
2016-11-23,1570.00,1640.00,1570.00,1575.00,730000,315.00
2016-11-22,1505.00,1575.00,1500.00,1565.00,1165000,313.00
2016-11-21,1480.00,1515.00,1480.00,1490.00,791000,298.00
2016-11-18,1540.00,1540.00,1480.00,1480.00,1472000,296.00
2016-11-17,1530.00,1600.00,1500.00,1600.00,1415000,320.00
2016-11-16,1450.00,1550.00,1450.00,1530.00,924500,306.00
2016-11-15,1570.00,1580.00,1450.00,1450.00,1709500,290.00
2016-11-14,1615.00,1615.00,1560.00,1570.00,1554500,314.00
2016-11-11,1635.00,1640.00,1575.00,1615.00,2823500,323.00
2016-11-10,1640.00,1675.00,1610.00,1625.00,3236000,325.00
2016-11-09,1650.00,1650.00,1550.00,1580.00,3995500,316.00
2016-11-08,1670.00,1720.00,1590.00,1650.00,6500000,330.00
2016-11-07,1600.00,1660.00,1600.00,1660.00,3168000,332.00
2016-11-04,1530.00,1610.00,1530.00,1600.00,3809500,320.00
2016-11-03,1640.00,1640.00,1530.00,1530.00,4872500,306.00
2016-11-02,1640.00,1730.00,1625.00,1640.00,10309000,328.00
2016-11-01,1530.00,1630.00,1500.00,1600.00,4519000,320.00
2016-10-31,1600.00,1640.00,1530.00,1530.00,2639000,306.00
2016-10-28,1690.00,1690.00,1600.00,1600.00,3437000,320.00
2016-10-27,1710.00,1795.00,1620.00,1680.00,12606500,336.00
2016-10-26,1690.00,1720.00,1650.00,1685.00,5354500,337.00
2016-10-25,1710.00,1710.00,1635.00,1675.00,2661000,335.00
2016-10-24,1650.00,1735.00,1650.00,1710.00,2273500,342.00
2016-10-21,1685.00,1700.00,1650.00,1650.00,1229500,330.00
2016-10-20,1715.00,1745.00,1655.00,1695.00,3133500,339.00
2016-10-19,1620.00,1740.00,1550.00,1710.00,7598500,342.00
2016-10-18,1650.00,1700.00,1600.00,1600.00,4161000,320.00
2016-10-17,1670.00,1710.00,1620.00,1620.00,5822500,324.00
2016-10-14,1430.00,1675.00,1380.00,1670.00,9930000,334.00
2016-10-13,1460.00,1500.00,1425.00,1430.00,968000,286.00
2016-10-12,1480.00,1520.00,1440.00,1460.00,2023000,292.00
2016-10-11,1425.00,1530.00,1425.00,1480.00,4000500,296.00
2016-10-10,1410.00,1595.00,1410.00,1425.00,14619500,285.00
2016-10-07,1140.00,1410.00,1140.00,1410.00,15840000,282.00
2016-10-06,1020.00,1140.00,995.00,1130.00,3069000,226.00
2016-10-05,1005.00,1005.00,980.00,1000.00,460500,200.00
2016-10-04,1005.00,1020.00,985.00,1005.00,435000,201.00
2016-10-03,985.00,1030.00,985.00,1005.00,1466500,201.00
2016-09-30,985.00,1010.00,975.00,975.00,726500,195.00
2016-09-29,970.00,985.00,950.00,985.00,903500,197.00
2016-09-28,950.00,950.00,925.00,940.00,17000,188.00
2016-09-27,950.00,980.00,900.00,915.00,328500,183.00
2016-09-26,910.00,955.00,900.00,950.00,377000,190.00
2016-09-23,955.00,960.00,925.00,955.00,9500,191.00
2016-09-22,960.00,975.00,920.00,975.00,595000,195.00
2016-09-21,920.00,960.00,905.00,960.00,144000,192.00
2016-09-20,950.00,960.00,940.00,960.00,53000,192.00
2016-09-19,950.00,970.00,915.00,955.00,18000,191.00
2016-09-16,940.00,965.00,940.00,950.00,325500,190.00
2016-09-15,855.00,940.00,855.00,940.00,127000,188.00
2016-09-14,900.00,900.00,880.00,900.00,218000,180.00
2016-09-13,945.00,945.00,900.00,900.00,330000,180.00
2016-09-12,945.00,945.00,945.00,945.00,000,189.00
2016-09-09,940.00,950.00,910.00,945.00,109500,189.00
2016-09-08,900.00,930.00,900.00,920.00,1945000,184.00
2016-09-07,955.00,970.00,955.00,955.00,747500,191.00
2016-09-06,950.00,975.00,945.00,955.00,367500,191.00
2016-09-05,980.00,980.00,940.00,950.00,104000,190.00
2016-09-02,980.00,980.00,920.00,960.00,81000,192.00
2016-09-01,950.00,950.00,935.00,940.00,208500,188.00
2016-08-31,950.00,965.00,930.00,950.00,383000,190.00
2016-08-30,940.00,965.00,900.00,930.00,143000,186.00
2016-08-29,960.00,960.00,940.00,940.00,381000,188.00
2016-08-26,985.00,985.00,960.00,965.00,175500,193.00
2016-08-25,960.00,980.00,935.00,970.00,300500,194.00
2016-08-24,945.00,995.00,945.00,960.00,217000,192.00
2016-08-23,995.00,995.00,960.00,980.00,127000,196.00
2016-08-22,975.00,1010.00,975.00,990.00,62500,198.00
2016-08-19,1010.00,1010.00,975.00,975.00,497000,195.00
2016-08-18,1000.00,1050.00,975.00,1010.00,685500,202.00
2016-08-17,975.00,975.00,975.00,975.00,000,195.00
2016-08-16,970.00,980.00,970.00,975.00,607000,195.00
2016-08-15,980.00,980.00,945.00,950.00,280000,190.00
2016-08-12,990.00,995.00,975.00,985.00,515500,197.00
2016-08-11,975.00,1025.00,975.00,990.00,380000,198.00
2016-08-10,1045.00,1070.00,975.00,985.00,905000,197.00
2016-08-09,1035.00,1080.00,1025.00,1050.00,1191500,210.00
2016-08-08,1030.00,1050.00,1000.00,1020.00,353500,204.00
2016-08-05,1025.00,1100.00,1000.00,1020.00,2153000,204.00
2016-08-04,1020.00,1080.00,940.00,1020.00,4438500,204.00
2016-08-03,910.00,940.00,910.00,930.00,1320000,186.00
2016-08-02,900.00,910.00,890.00,900.00,691500,180.00
2016-08-01,880.00,885.00,860.00,885.00,356500,177.00
2016-07-29,900.00,905.00,875.00,880.00,706500,176.00
2016-07-28,910.00,940.00,910.00,910.00,942500,182.00
2016-07-27,910.00,945.00,895.00,910.00,169000,182.00
2016-07-26,925.00,990.00,900.00,905.00,201500,181.00
2016-07-25,910.00,930.00,870.00,925.00,173000,185.00
2016-07-22,930.00,940.00,910.00,910.00,196500,182.00
2016-07-21,950.00,990.00,930.00,930.00,989000,186.00
2016-07-20,920.00,960.00,900.00,950.00,3352500,190.00
2016-07-19,880.00,920.00,880.00,915.00,838000,183.00
2016-07-18,920.00,940.00,880.00,880.00,1613500,176.00
2016-07-15,830.00,930.00,830.00,910.00,1689500,182.00
2016-07-14,835.00,860.00,830.00,830.00,1362000,166.00
