Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1470.00,1495.00,1455.00,1485.00,20529900,1485.00
2017-01-31,1450.00,1480.00,1450.00,1450.00,13919800,1450.00
2017-01-30,1480.00,1490.00,1465.00,1465.00,14945100,1465.00
2017-01-27,1505.00,1505.00,1475.00,1480.00,10166200,1480.00
2017-01-26,1500.00,1510.00,1485.00,1510.00,9157100,1510.00
2017-01-25,1495.00,1500.00,1480.00,1495.00,10645600,1495.00
2017-01-24,1475.00,1495.00,1450.00,1495.00,16856700,1495.00
2017-01-23,1490.00,1515.00,1465.00,1470.00,13202800,1470.00
2017-01-20,1500.00,1510.00,1485.00,1500.00,13400100,1500.00
2017-01-19,1525.00,1535.00,1500.00,1500.00,12109000,1500.00
2017-01-18,1490.00,1525.00,1490.00,1525.00,6764300,1525.00
2017-01-17,1500.00,1510.00,1490.00,1490.00,6647400,1490.00
2017-01-16,1545.00,1545.00,1500.00,1505.00,11086200,1505.00
2017-01-13,1535.00,1535.00,1500.00,1515.00,20213500,1515.00
2017-01-12,1550.00,1555.00,1525.00,1530.00,18220600,1530.00
2017-01-11,1560.00,1560.00,1540.00,1545.00,10149300,1545.00
2017-01-10,1555.00,1555.00,1520.00,1550.00,8996300,1550.00
2017-01-09,1555.00,1570.00,1535.00,1540.00,10136800,1540.00
2017-01-06,1565.00,1570.00,1540.00,1565.00,11745500,1565.00
2017-01-05,1550.00,1565.00,1535.00,1565.00,32865900,1565.00
2017-01-04,1500.00,1540.00,1500.00,1540.00,28990300,1540.00
2017-01-03,1515.00,1525.00,1505.00,1510.00,7276300,1510.00
2017-01-02,1515.00,1515.00,1515.00,1515.00,000,1515.00
2016-12-30,1570.00,1575.00,1515.00,1515.00,48879900,1515.00
2016-12-29,1520.00,1565.00,1505.00,1555.00,27291400,1555.00
2016-12-28,1485.00,1540.00,1485.00,1535.00,17917400,1535.00
2016-12-27,1420.00,1485.00,1420.00,1465.00,16046100,1465.00
2016-12-26,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-12-23,1425.00,1455.00,1425.00,1440.00,20376500,1440.00
2016-12-22,1430.00,1440.00,1410.00,1430.00,25115300,1430.00
2016-12-21,1485.00,1485.00,1450.00,1455.00,25960200,1455.00
2016-12-20,1450.00,1480.00,1440.00,1465.00,13872900,1465.00
2016-12-19,1530.00,1535.00,1460.00,1460.00,17045700,1460.00
2016-12-16,1570.00,1570.00,1525.00,1530.00,40495600,1530.00
2016-12-15,1520.00,1535.00,1505.00,1530.00,18429600,1530.00
2016-12-14,1555.00,1555.00,1525.00,1535.00,17074800,1535.00
2016-12-13,1575.00,1575.00,1525.00,1545.00,31690700,1545.00
2016-12-12,1575.00,1575.00,1575.00,1575.00,000,1575.00
2016-12-09,1585.00,1585.00,1555.00,1575.00,16635300,1575.00
2016-12-08,1570.00,1585.00,1545.00,1585.00,29400000,1585.00
2016-12-07,1570.00,1580.00,1540.00,1570.00,18795000,1570.00
2016-12-06,1545.00,1570.00,1530.00,1570.00,24492700,1570.00
2016-12-05,1560.00,1560.00,1525.00,1525.00,29726600,1525.00
2016-12-02,1560.00,1570.00,1520.00,1540.00,60119700,1540.00
2016-12-01,1510.00,1590.00,1505.00,1590.00,56356900,1590.00
2016-11-30,1470.00,1520.00,1460.00,1500.00,65393300,1500.00
2016-11-29,1410.00,1460.00,1405.00,1460.00,28323300,1460.00
2016-11-28,1410.00,1420.00,1385.00,1400.00,51576000,1400.00
2016-11-25,1450.00,1450.00,1400.00,1410.00,44719000,1410.00
2016-11-24,1495.00,1495.00,1440.00,1445.00,23694400,1445.00
2016-11-23,1465.00,1515.00,1455.00,1500.00,36372200,1500.00
2016-11-22,1460.00,1465.00,1445.00,1460.00,28896900,1460.00
2016-11-21,1465.00,1465.00,1450.00,1460.00,35091600,1460.00
2016-11-18,1480.00,1485.00,1440.00,1465.00,34988300,1465.00
2016-11-17,1485.00,1490.00,1455.00,1480.00,46774600,1480.00
2016-11-16,1490.00,1510.00,1465.00,1475.00,103826500,1475.00
2016-11-15,1515.00,1540.00,1475.00,1475.00,86675500,1475.00
2016-11-14,1510.00,1530.00,1470.00,1495.00,47588300,1495.00
2016-11-11,1600.00,1600.00,1520.00,1535.00,90241400,1535.00
2016-11-10,1715.00,1715.00,1670.00,1670.00,25490300,1670.00
2016-11-09,1715.00,1715.00,1620.00,1710.00,30408000,1710.00
2016-11-08,1710.00,1715.00,1690.00,1710.00,9346700,1710.00
2016-11-07,1555.00,1720.00,1555.00,1690.00,24337000,1690.00
2016-11-04,1735.00,1735.00,1705.00,1725.00,18581900,1725.00
2016-11-03,1725.00,1735.00,1710.00,1725.00,22415900,1725.00
2016-11-02,1745.00,1745.00,1680.00,1720.00,8878600,1720.00
2016-11-01,1750.00,1755.00,1735.00,1735.00,17325500,1735.00
2016-10-31,1735.00,1740.00,1725.00,1740.00,15231800,1740.00
2016-10-28,1750.00,1750.00,1730.00,1730.00,6533300,1730.00
2016-10-27,1750.00,1750.00,1715.00,1745.00,6134400,1745.00
2016-10-26,1715.00,1750.00,1715.00,1750.00,20296300,1750.00
2016-10-25,1730.00,1735.00,1720.00,1720.00,22477200,1720.00
2016-10-24,1715.00,1730.00,1700.00,1730.00,23277400,1730.00
2016-10-21,1735.00,1735.00,1715.00,1720.00,6703900,1720.00
2016-10-20,1735.00,1735.00,1715.00,1730.00,11429100,1730.00
2016-10-19,1720.00,1735.00,1710.00,1730.00,10282700,1730.00
2016-10-18,1735.00,1745.00,1710.00,1735.00,20267600,1735.00
2016-10-17,1730.00,1735.00,1720.00,1735.00,13024700,1735.00
2016-10-14,1725.00,1730.00,1710.00,1725.00,22844900,1725.00
2016-10-13,1705.00,1730.00,1705.00,1725.00,17817700,1725.00
2016-10-12,1700.00,1720.00,1700.00,1710.00,16017800,1710.00
2016-10-11,1730.00,1730.00,1710.00,1720.00,26310200,1720.00
2016-10-10,1710.00,1720.00,1705.00,1715.00,7288600,1715.00
2016-10-07,1715.00,1715.00,1700.00,1710.00,19897800,1710.00
2016-10-06,1720.00,1725.00,1700.00,1710.00,22640800,1710.00
2016-10-05,1745.00,1745.00,1705.00,1710.00,29091400,1710.00
2016-10-04,1735.00,1750.00,1730.00,1740.00,24157800,1740.00
2016-10-03,1750.00,1750.00,1715.00,1725.00,15978900,1725.00
2016-09-30,1740.00,1750.00,1715.00,1715.00,43780600,1715.00
2016-09-29,1800.00,1805.00,1745.00,1745.00,21377800,1745.00
2016-09-28,1730.00,1800.00,1725.00,1795.00,35526100,1795.00
2016-09-27,1710.00,1730.00,1690.00,1730.00,34339500,1730.00
2016-09-26,1705.00,1730.00,1705.00,1715.00,16977500,1715.00
2016-09-23,1740.00,1740.00,1700.00,1740.00,41593800,1740.00
2016-09-22,1725.00,1760.00,1695.00,1720.00,44836500,1720.00
2016-09-21,1700.00,1725.00,1685.00,1700.00,30326900,1700.00
2016-09-20,1705.00,1725.00,1675.00,1725.00,11484100,1725.00
2016-09-19,1715.00,1725.00,1700.00,1700.00,34353800,1700.00
2016-09-16,1695.00,1730.00,1695.00,1695.00,31047700,1695.00
2016-09-15,1655.00,1735.00,1650.00,1715.00,35975700,1715.00
2016-09-14,1680.00,1695.00,1660.00,1680.00,21339300,1680.00
2016-09-13,1700.00,1725.00,1680.00,1695.00,22510400,1695.00
2016-09-12,1710.00,1710.00,1710.00,1710.00,000,1710.00
2016-09-09,1750.00,1750.00,1700.00,1710.00,59781200,1710.00
2016-09-08,1795.00,1800.00,1755.00,1755.00,14555600,1755.00
2016-09-07,1780.00,1800.00,1750.00,1790.00,25106900,1790.00
2016-09-06,1720.00,1780.00,1720.00,1780.00,30736400,1780.00
2016-09-05,1780.00,1780.00,1710.00,1720.00,19391100,1720.00
2016-09-02,1795.00,1805.00,1760.00,1760.00,45539500,1760.00
2016-09-01,1790.00,1800.00,1765.00,1795.00,35399000,1795.00
2016-08-31,1790.00,1800.00,1785.00,1795.00,70434200,1795.00
2016-08-30,1760.00,1795.00,1750.00,1780.00,29336300,1780.00
2016-08-29,1760.00,1780.00,1730.00,1780.00,27898600,1780.00
2016-08-26,1800.00,1800.00,1760.00,1785.00,15645800,1785.00
2016-08-25,1750.00,1800.00,1730.00,1800.00,39913900,1800.00
2016-08-24,1800.00,1800.00,1740.00,1755.00,39689600,1755.00
2016-08-23,1705.00,1815.00,1700.00,1815.00,47702600,1815.00
2016-08-22,1705.00,1720.00,1695.00,1720.00,29375000,1720.00
2016-08-19,1705.00,1710.00,1680.00,1700.00,66074400,1700.00
2016-08-18,1700.00,1715.00,1660.00,1715.00,77096200,1715.00
2016-08-17,1700.00,1700.00,1700.00,1700.00,000,1700.00
2016-08-16,1700.00,1725.00,1685.00,1700.00,37756400,1700.00
2016-08-15,1710.00,1715.00,1685.00,1685.00,22143500,1685.00
2016-08-12,1715.00,1730.00,1690.00,1710.00,51811900,1710.00
2016-08-11,1690.00,1710.00,1685.00,1705.00,39166800,1705.00
2016-08-10,1715.00,1720.00,1675.00,1690.00,47281700,1690.00
2016-08-09,1725.00,1725.00,1705.00,1710.00,61523800,1710.00
2016-08-08,1725.00,1725.00,1690.00,1720.00,23939000,1720.00
2016-08-05,1700.00,1720.00,1695.00,1715.00,34390000,1715.00
2016-08-04,1695.00,1705.00,1685.00,1695.00,21357400,1695.00
2016-08-03,1690.00,1705.00,1690.00,1690.00,31763400,1690.00
2016-08-02,1700.00,1730.00,1665.00,1685.00,21473800,1685.00
2016-08-01,1675.00,1700.00,1675.00,1700.00,29367000,1700.00
2016-07-29,1710.00,1710.00,1675.00,1675.00,28238900,1675.00
2016-07-28,1710.00,1715.00,1680.00,1710.00,17621500,1710.00
2016-07-27,1665.00,1710.00,1655.00,1710.00,38917700,1710.00
2016-07-26,1670.00,1690.00,1650.00,1675.00,25139300,1675.00
2016-07-25,1605.00,1670.00,1595.00,1665.00,27140100,1665.00
2016-07-22,1565.00,1595.00,1560.00,1595.00,17097000,1595.00
2016-07-21,1595.00,1605.00,1565.00,1565.00,20272000,1565.00
2016-07-20,1610.00,1610.00,1590.00,1610.00,20122300,1610.00
2016-07-19,1595.00,1615.00,1585.00,1590.00,16813500,1590.00
2016-07-18,1570.00,1595.00,1560.00,1595.00,25175100,1595.00
2016-07-15,1570.00,1580.00,1560.00,1570.00,19053400,1570.00
2016-07-14,1600.00,1600.00,1555.00,1570.00,23742800,1570.00
2016-07-13,1590.00,1595.00,1550.00,1590.00,33488200,1590.00
2016-07-12,1615.00,1625.00,1545.00,1585.00,34464700,1585.00
2016-07-11,1540.00,1610.00,1505.00,1605.00,118204700,1605.00
2016-07-08,1515.00,1515.00,1515.00,1515.00,000,1515.00
2016-07-07,1515.00,1515.00,1515.00,1515.00,000,1515.00
2016-07-06,1515.00,1515.00,1515.00,1515.00,000,1515.00
2016-07-05,1515.00,1515.00,1515.00,1515.00,000,1515.00
2016-07-04,1515.00,1515.00,1515.00,1515.00,000,1515.00
2016-07-01,1535.00,1540.00,1490.00,1515.00,43136100,1515.00
2016-06-30,1500.00,1545.00,1495.00,1530.00,140313800,1530.00
2016-06-28,1385.00,1415.00,1385.00,1405.00,59262100,1405.00
2016-06-27,1380.00,1390.00,1370.00,1385.00,35539700,1385.00
2016-06-24,1405.00,1415.00,1375.00,1385.00,43350600,1385.00
2016-06-23,1405.00,1415.00,1395.00,1400.00,35464300,1400.00
2016-06-22,1405.00,1420.00,1395.00,1405.00,36804300,1405.00
2016-06-21,1415.00,1425.00,1390.00,1390.00,35981700,1390.00
2016-06-20,1425.00,1425.00,1405.00,1425.00,20721300,1425.00
2016-06-17,1415.00,1425.00,1400.00,1425.00,29512200,1425.00
2016-06-16,1425.00,1425.00,1400.00,1410.00,31658600,1410.00
2016-06-15,1390.00,1430.00,1390.00,1425.00,26008500,1425.00
