Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,735.00,745.00,725.00,730.00,111640200,728.06
2017-01-31,735.00,745.00,725.00,735.00,117801800,733.047
2017-01-30,720.00,745.00,720.00,730.00,121850200,728.06
2017-01-27,725.00,730.00,715.00,720.00,34407300,718.087
2017-01-26,725.00,735.00,720.00,725.00,70251800,723.073
2017-01-25,735.00,735.00,715.00,725.00,88080700,723.073
2017-01-24,730.00,735.00,720.00,725.00,87222600,723.073
2017-01-23,725.00,735.00,720.00,730.00,34580200,728.06
2017-01-20,750.00,760.00,730.00,730.00,29394500,728.06
2017-01-19,730.00,775.00,730.00,755.00,132955200,752.994
2017-01-18,715.00,735.00,715.00,735.00,74772400,733.047
2017-01-17,720.00,730.00,715.00,720.00,26475600,718.087
2017-01-16,740.00,750.00,720.00,720.00,41026100,718.087
2017-01-13,770.00,775.00,745.00,750.00,24971500,748.007
2017-01-12,770.00,780.00,765.00,770.00,24249000,767.954
2017-01-11,780.00,780.00,770.00,775.00,11262200,772.94
2017-01-10,765.00,785.00,760.00,780.00,21491500,777.927
2017-01-09,780.00,785.00,765.00,770.00,20864500,767.954
2017-01-06,775.00,790.00,775.00,780.00,23408600,777.927
2017-01-05,795.00,800.00,765.00,790.00,54046900,787.901
2017-01-04,720.00,805.00,720.00,790.00,134447600,787.901
2017-01-03,720.00,725.00,715.00,720.00,13050400,718.087
2017-01-02,720.00,720.00,720.00,720.00,000,718.087
2016-12-30,725.00,730.00,715.00,720.00,47894500,718.087
2016-12-29,725.00,735.00,720.00,725.00,27305800,723.073
2016-12-28,710.00,735.00,705.00,725.00,51354500,723.073
2016-12-27,705.00,715.00,700.00,710.00,10098500,708.113
2016-12-26,710.00,710.00,710.00,710.00,000,708.113
2016-12-23,700.00,710.00,690.00,710.00,65807700,708.113
2016-12-22,725.00,730.00,705.00,705.00,46447000,703.126
2016-12-21,720.00,730.00,710.00,715.00,113989500,713.10
2016-12-20,725.00,735.00,715.00,720.00,96628400,718.087
2016-12-19,715.00,725.00,700.00,725.00,159228900,723.073
2016-12-16,735.00,745.00,700.00,720.00,216516300,718.087
2016-12-15,735.00,745.00,730.00,740.00,59701000,738.033
2016-12-14,745.00,750.00,735.00,745.00,95774900,743.02
2016-12-13,755.00,760.00,735.00,745.00,84653300,743.02
2016-12-12,755.00,755.00,755.00,755.00,000,752.994
2016-12-09,765.00,770.00,750.00,755.00,94241400,752.994
2016-12-08,765.00,775.00,755.00,765.00,89058900,762.967
2016-12-07,770.00,775.00,755.00,765.00,61036100,762.967
2016-12-06,760.00,780.00,760.00,765.00,89503900,762.967
2016-12-05,765.00,770.00,750.00,760.00,61573800,757.98
2016-12-02,765.00,775.00,760.00,765.00,35420700,762.967
2016-12-01,770.00,775.00,760.00,765.00,41464000,762.967
2016-11-30,765.00,775.00,755.00,765.00,76574500,762.967
2016-11-29,775.00,790.00,765.00,765.00,74999200,762.967
2016-11-28,780.00,790.00,775.00,780.00,38394200,777.927
2016-11-25,785.00,800.00,780.00,785.00,47097400,782.914
2016-11-24,800.00,805.00,780.00,785.00,48565400,782.914
2016-11-23,795.00,810.00,790.00,805.00,86415200,802.861
2016-11-22,795.00,800.00,785.00,795.00,43800400,792.887
2016-11-21,800.00,805.00,790.00,795.00,41426500,792.887
2016-11-18,810.00,810.00,795.00,800.00,30754000,797.874
2016-11-17,790.00,815.00,785.00,805.00,81896500,802.861
2016-11-16,790.00,800.00,775.00,785.00,88342700,782.914
2016-11-15,825.00,830.00,780.00,790.00,143437200,787.901
2016-11-14,855.00,860.00,815.00,825.00,113069600,822.808
2016-11-11,875.00,890.00,835.00,860.00,135942300,857.715
2016-11-10,890.00,895.00,880.00,885.00,58034900,882.648
2016-11-09,895.00,895.00,865.00,885.00,112030100,882.648
2016-11-08,895.00,900.00,885.00,890.00,44816100,887.635
2016-11-07,880.00,905.00,875.00,890.00,158003500,887.635
2016-11-04,865.00,890.00,860.00,880.00,72604600,877.661
2016-11-03,875.00,880.00,855.00,875.00,58997400,872.675
2016-11-02,900.00,900.00,870.00,880.00,54576600,877.661
2016-11-01,910.00,915.00,890.00,900.00,77421400,897.608
2016-10-31,885.00,910.00,885.00,905.00,103002100,902.595
2016-10-28,875.00,890.00,870.00,890.00,64034500,887.635
2016-10-27,890.00,890.00,865.00,875.00,62056600,872.675
2016-10-26,905.00,910.00,885.00,890.00,158028900,887.635
2016-10-25,905.00,915.00,900.00,905.00,69847600,902.595
2016-10-24,910.00,915.00,900.00,905.00,102979400,902.595
2016-10-21,920.00,930.00,900.00,900.00,108020800,897.608
2016-10-20,920.00,925.00,910.00,915.00,57345300,912.568
2016-10-19,930.00,935.00,915.00,920.00,85452500,917.555
2016-10-18,930.00,940.00,920.00,930.00,99035500,927.528
2016-10-17,930.00,935.00,920.00,925.00,59794500,922.542
2016-10-14,940.00,955.00,925.00,930.00,154537500,927.528
2016-10-13,960.00,970.00,930.00,945.00,215849100,942.489
2016-10-12,930.00,970.00,905.00,965.00,335257800,962.435
2016-10-11,960.00,960.00,930.00,940.00,74458500,937.502
2016-10-10,970.00,980.00,950.00,960.00,70688400,957.449
2016-10-07,945.00,980.00,945.00,970.00,74858000,967.422
2016-10-06,980.00,990.00,940.00,955.00,107316600,952.462
2016-10-05,990.00,1005.00,975.00,985.00,70599400,982.382
2016-10-04,1000.00,1005.00,990.00,995.00,84081500,992.356
2016-10-03,995.00,1000.00,985.00,995.00,52929300,992.356
2016-09-30,1005.00,1010.00,990.00,990.00,92372400,987.369
2016-09-29,1000.00,1015.00,995.00,1005.00,92094600,1002.329
2016-09-28,1050.00,1060.00,995.00,995.00,126621900,992.356
2016-09-27,1110.00,1115.00,1080.00,1100.00,127880100,1097.077
2016-09-26,1105.00,1140.00,1095.00,1120.00,43215000,1117.024
2016-09-23,1115.00,1115.00,1085.00,1115.00,29700800,1112.037
2016-09-22,1095.00,1120.00,1090.00,1100.00,46064500,1097.077
2016-09-21,1065.00,1095.00,1050.00,1095.00,72142700,1092.09
2016-09-20,1065.00,1080.00,1045.00,1065.00,38596200,1062.17
2016-09-19,1040.00,1065.00,1030.00,1065.00,56111200,1062.17
2016-09-16,1035.00,1040.00,1020.00,1040.00,61584000,1037.236
2016-09-15,1025.00,1050.00,1025.00,1035.00,52898500,1032.249
2016-09-14,1030.00,1045.00,1015.00,1040.00,75960900,1037.236
2016-09-13,1035.00,1070.00,1030.00,1035.00,70421600,1032.249
2016-09-12,1040.00,1040.00,1040.00,1040.00,000,1037.236
2016-09-09,1035.00,1045.00,1025.00,1040.00,64077100,1037.236
2016-09-08,1045.00,1055.00,1025.00,1040.00,72181900,1037.236
2016-09-07,1045.00,1055.00,1030.00,1045.00,80308200,1042.223
2016-09-06,1045.00,1055.00,1025.00,1045.00,102517100,1042.223
2016-09-05,1050.00,1060.00,1040.00,1045.00,34194100,1042.223
2016-09-02,1060.00,1070.00,1050.00,1050.00,44314500,1047.21
2016-09-01,1100.00,1110.00,1045.00,1065.00,39862000,1062.17
2016-08-31,1140.00,1160.00,1095.00,1100.00,48192200,1097.077
2016-08-30,1115.00,1140.00,1110.00,1140.00,48292300,1136.97
2016-08-29,1145.00,1155.00,1110.00,1115.00,28678300,1112.037
2016-08-26,1150.00,1165.00,1135.00,1150.00,23292600,1146.944
2016-08-25,1145.00,1160.00,1140.00,1160.00,54718200,1156.917
2016-08-24,1150.00,1170.00,1135.00,1145.00,28627700,1141.957
2016-08-23,1150.00,1170.00,1140.00,1155.00,23515600,1151.931
2016-08-22,1155.00,1170.00,1145.00,1160.00,33689900,1156.917
2016-08-19,1160.00,1180.00,1150.00,1155.00,26131600,1151.931
2016-08-18,1145.00,1180.00,1135.00,1170.00,43949300,1166.891
2016-08-17,1150.00,1150.00,1150.00,1150.00,000,1146.944
2016-08-16,1150.00,1165.00,1135.00,1150.00,40425800,1146.944
2016-08-15,1165.00,1180.00,1125.00,1150.00,41812000,1146.944
2016-08-12,1170.00,1180.00,1160.00,1170.00,49496800,1166.891
2016-08-11,1165.00,1195.00,1160.00,1165.00,90213000,1161.904
2016-08-10,1155.00,1180.00,1145.00,1170.00,52500700,1166.891
2016-08-09,1165.00,1170.00,1145.00,1160.00,35647000,1156.917
2016-08-08,1180.00,1185.00,1155.00,1165.00,36365100,1161.904
2016-08-05,1190.00,1210.00,1165.00,1180.00,46944700,1176.864
2016-08-04,1190.00,1190.00,1155.00,1190.00,75863400,1186.838
2016-08-03,1140.00,1155.00,1130.00,1155.00,35072500,1151.931
2016-08-02,1170.00,1180.00,1140.00,1140.00,34078400,1136.97
2016-08-01,1135.00,1170.00,1130.00,1170.00,92126900,1166.891
2016-07-29,1125.00,1145.00,1120.00,1135.00,31856800,1131.984
2016-07-28,1135.00,1155.00,1125.00,1145.00,38895200,1141.957
2016-07-27,1145.00,1160.00,1135.00,1150.00,22151700,1146.944
2016-07-26,1145.00,1170.00,1120.00,1150.00,34778300,1146.944
2016-07-25,1140.00,1170.00,1140.00,1160.00,27391700,1156.917
2016-07-22,1150.00,1165.00,1135.00,1155.00,23995300,1151.931
2016-07-21,1160.00,1185.00,1150.00,1155.00,36874800,1151.931
2016-07-20,1180.00,1205.00,1160.00,1175.00,34325200,1171.877
2016-07-19,1150.00,1185.00,1145.00,1185.00,71332200,1181.851
2016-07-18,1155.00,1185.00,1130.00,1150.00,32815000,1146.944
2016-07-15,1150.00,1185.00,1140.00,1170.00,30028800,1166.891
2016-07-14,1180.00,1215.00,1155.00,1170.00,29967500,1166.891
2016-07-13,1200.00,1200.00,1170.00,1200.00,47875100,1196.811
2016-07-12,1170.00,1200.00,1155.00,1170.00,57572500,1166.891
2016-07-11,1150.00,1170.00,1110.00,1170.00,86890200,1166.891
2016-07-08,1150.00,1150.00,1150.00,1150.00,000,1146.944
2016-07-07,1150.00,1150.00,1150.00,1150.00,000,1146.944
2016-07-06,1150.00,1150.00,1150.00,1150.00,000,1146.944
2016-07-05,1150.00,1150.00,1150.00,1150.00,000,1146.944
2016-07-04,1150.00,1150.00,1150.00,1150.00,000,1146.944
2016-07-01,1145.00,1165.00,1130.00,1150.00,30352200,1146.944
2016-06-30,1125.00,1170.00,1120.00,1145.00,102091300,1141.957
2016-06-29,1065.00,1125.00,1060.00,1125.00,125630800,1122.01
2016-06-28,1085.00,1110.00,1055.00,1060.00,44539500,1057.183
2016-06-27,1060.00,1100.00,1060.00,1090.00,71268000,1087.103
2016-06-24,1055.00,1070.00,1025.00,1070.00,105809500,1067.156
2016-06-23,1020.00,1060.00,1020.00,1050.00,115184100,1047.21
2016-06-22,1020.00,1035.00,1000.00,1020.00,53760100,1017.289
2016-06-21,985.00,1025.00,985.00,1025.00,83511600,1022.276
2016-06-20,960.00,990.00,960.00,980.00,75246100,977.396
2016-06-17,980.00,990.00,945.00,945.00,90454500,942.489
2016-06-16,985.00,1000.00,955.00,970.00,42865500,967.422
2016-06-15,965.00,1000.00,960.00,985.00,63003000,982.382
