Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,338.00,346.00,338.00,340.00,8856500,340.00
2017-01-31,338.00,346.00,334.00,338.00,21062800,338.00
2017-01-30,348.00,350.00,340.00,342.00,16911500,342.00
2017-01-27,360.00,360.00,346.00,348.00,16090300,348.00
2017-01-26,354.00,360.00,354.00,354.00,6388700,354.00
2017-01-25,368.00,370.00,354.00,354.00,19188100,354.00
2017-01-24,360.00,368.00,356.00,368.00,22894300,368.00
2017-01-23,358.00,362.00,354.00,358.00,7932400,358.00
2017-01-20,372.00,376.00,358.00,358.00,18118800,358.00
2017-01-19,376.00,382.00,372.00,372.00,21747700,372.00
2017-01-18,370.00,382.00,368.00,374.00,39185400,374.00
2017-01-17,356.00,376.00,354.00,370.00,50256700,370.00
2017-01-16,358.00,364.00,356.00,356.00,7774000,356.00
2017-01-13,364.00,364.00,356.00,358.00,6902900,358.00
2017-01-12,360.00,368.00,356.00,362.00,17739200,362.00
2017-01-11,366.00,372.00,358.00,360.00,18131400,360.00
2017-01-10,360.00,374.00,360.00,366.00,41241600,366.00
2017-01-09,350.00,368.00,348.00,360.00,29892300,360.00
2017-01-06,354.00,356.00,346.00,350.00,24990000,350.00
2017-01-05,364.00,366.00,350.00,354.00,22531300,354.00
2017-01-04,350.00,368.00,350.00,360.00,37993400,360.00
2017-01-03,342.00,356.00,342.00,350.00,15699100,350.00
2017-01-02,342.00,342.00,342.00,342.00,000,342.00
2016-12-30,350.00,356.00,342.00,342.00,18925200,342.00
2016-12-29,350.00,360.00,348.00,350.00,13693400,350.00
2016-12-28,342.00,356.00,342.00,348.00,21497000,348.00
2016-12-27,338.00,350.00,332.00,340.00,17227600,340.00
2016-12-26,338.00,338.00,338.00,338.00,000,338.00
2016-12-23,338.00,356.00,332.00,338.00,32382300,338.00
2016-12-22,354.00,364.00,338.00,338.00,41150800,338.00
2016-12-21,352.00,358.00,350.00,354.00,12631400,354.00
2016-12-20,352.00,364.00,350.00,352.00,14639400,352.00
2016-12-19,362.00,368.00,352.00,352.00,21911300,352.00
