Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1225.00,1235.00,1200.00,1220.00,7487900,1220.00
2017-01-31,1225.00,1270.00,1225.00,1225.00,11939500,1225.00
2017-01-30,1240.00,1260.00,1235.00,1235.00,1965500,1235.00
2017-01-27,1215.00,1260.00,1210.00,1235.00,3447300,1235.00
2017-01-26,1265.00,1290.00,1205.00,1210.00,8232700,1210.00
2017-01-25,1375.00,1385.00,1255.00,1260.00,9902400,1260.00
2017-01-24,1410.00,1410.00,1365.00,1370.00,1255100,1370.00
2017-01-23,1410.00,1410.00,1380.00,1395.00,444900,1395.00
2017-01-20,1415.00,1430.00,1405.00,1405.00,461700,1405.00
2017-01-19,1430.00,1445.00,1415.00,1420.00,871500,1420.00
2017-01-18,1415.00,1425.00,1405.00,1420.00,570500,1420.00
2017-01-17,1400.00,1445.00,1400.00,1400.00,660500,1400.00
2017-01-16,1410.00,1425.00,1400.00,1400.00,949000,1400.00
2017-01-13,1425.00,1430.00,1405.00,1410.00,583800,1410.00
2017-01-12,1435.00,1455.00,1425.00,1425.00,350300,1425.00
2017-01-11,1440.00,1450.00,1430.00,1435.00,248000,1435.00
2017-01-10,1460.00,1465.00,1430.00,1435.00,2110900,1435.00
2017-01-09,1435.00,1485.00,1425.00,1460.00,1349700,1460.00
2017-01-06,1445.00,1455.00,1430.00,1435.00,717900,1435.00
2017-01-05,1440.00,1460.00,1410.00,1425.00,878500,1425.00
2017-01-04,1475.00,1490.00,1410.00,1425.00,1844000,1425.00
2017-01-03,1480.00,1510.00,1470.00,1475.00,1850900,1475.00
2017-01-02,1480.00,1480.00,1480.00,1480.00,000,1480.00
2016-12-30,1435.00,1540.00,1425.00,1480.00,5982300,1480.00
2016-12-29,1405.00,1435.00,1385.00,1425.00,2648900,1425.00
2016-12-28,1420.00,1450.00,1400.00,1405.00,1995900,1405.00
2016-12-27,1375.00,1470.00,1370.00,1400.00,4659000,1400.00
2016-12-26,1365.00,1365.00,1365.00,1365.00,000,1365.00
2016-12-23,1345.00,1370.00,1320.00,1365.00,4806400,1365.00
2016-12-22,1450.00,1450.00,1320.00,1345.00,2416800,1345.00
2016-12-21,1500.00,1505.00,1440.00,1450.00,1385500,1450.00
2016-12-20,1535.00,1545.00,1485.00,1490.00,1517000,1490.00
2016-12-19,1590.00,1590.00,1540.00,1545.00,1257300,1545.00
2016-12-16,1660.00,1665.00,1550.00,1550.00,1732800,1550.00
2016-12-15,1680.00,1680.00,1655.00,1660.00,726400,1660.00
2016-12-14,1705.00,1705.00,1675.00,1680.00,4222100,1680.00
2016-12-13,1720.00,1720.00,1685.00,1685.00,5236500,1685.00
2016-12-12,1700.00,1700.00,1700.00,1700.00,000,1700.00
2016-12-09,1745.00,1750.00,1700.00,1700.00,537200,1700.00
2016-12-08,1700.00,1785.00,1700.00,1730.00,2571600,1730.00
2016-12-07,1705.00,1710.00,1680.00,1690.00,1682400,1690.00
2016-12-06,1710.00,1710.00,1665.00,1700.00,614900,1700.00
2016-12-05,1710.00,1725.00,1700.00,1700.00,3380800,1700.00
2016-12-02,1710.00,1730.00,1705.00,1715.00,78800,1715.00
2016-12-01,1720.00,1760.00,1700.00,1710.00,2912900,1710.00
2016-11-30,1720.00,1720.00,1700.00,1700.00,881100,1700.00
2016-11-29,1700.00,1710.00,1700.00,1700.00,1645100,1700.00
2016-11-28,1720.00,1720.00,1700.00,1700.00,329800,1700.00
2016-11-25,1710.00,1720.00,1700.00,1700.00,2475600,1700.00
2016-11-24,1720.00,1720.00,1700.00,1700.00,1940200,1700.00
2016-11-23,1715.00,1720.00,1690.00,1705.00,834600,1705.00
2016-11-22,1710.00,1715.00,1675.00,1710.00,307700,1710.00
2016-11-21,1660.00,1710.00,1660.00,1710.00,462700,1710.00
2016-11-18,1660.00,1685.00,1660.00,1660.00,1370500,1660.00
2016-11-17,1685.00,1685.00,1655.00,1675.00,575900,1675.00
2016-11-16,1690.00,1690.00,1655.00,1655.00,573700,1655.00
2016-11-15,1665.00,1720.00,1660.00,1660.00,2563600,1660.00
2016-11-14,1665.00,1675.00,1600.00,1670.00,1624200,1670.00
2016-11-11,1725.00,1725.00,1615.00,1665.00,1953700,1665.00
2016-11-10,1740.00,1740.00,1705.00,1735.00,906800,1735.00
2016-11-09,1750.00,1775.00,1660.00,1710.00,3309300,1710.00
2016-11-08,1700.00,1775.00,1695.00,1740.00,4223500,1740.00
2016-11-07,1670.00,1705.00,1650.00,1675.00,1349300,1675.00
2016-11-04,1710.00,1710.00,1650.00,1665.00,3570600,1665.00
2016-11-03,1740.00,1740.00,1690.00,1690.00,1396500,1690.00
2016-11-02,1800.00,1800.00,1735.00,1740.00,3668100,1740.00
2016-11-01,1805.00,1825.00,1790.00,1800.00,3007100,1800.00
2016-10-31,1825.00,1830.00,1800.00,1805.00,1567200,1805.00
2016-10-28,1850.00,1855.00,1830.00,1830.00,3088600,1830.00
2016-10-27,1900.00,1920.00,1825.00,1825.00,4712600,1825.00
2016-10-26,1920.00,1965.00,1880.00,1880.00,7002600,1880.00
2016-10-25,2010.00,2030.00,1955.00,1965.00,6607900,1965.00
2016-10-24,2000.00,2070.00,1975.00,2010.00,9352800,2010.00
2016-10-21,1865.00,1975.00,1820.00,1975.00,5615700,1975.00
2016-10-20,1820.00,1850.00,1810.00,1850.00,1709100,1850.00
2016-10-19,1830.00,1855.00,1820.00,1820.00,1006200,1820.00
2016-10-18,1855.00,1870.00,1830.00,1855.00,388600,1855.00
2016-10-17,1875.00,1875.00,1845.00,1855.00,504300,1855.00
2016-10-14,1790.00,1885.00,1785.00,1885.00,2193600,1885.00
2016-10-13,1800.00,1820.00,1785.00,1785.00,949100,1785.00
2016-10-12,1830.00,1830.00,1800.00,1810.00,322100,1810.00
2016-10-11,1815.00,1850.00,1780.00,1850.00,1538800,1850.00
2016-10-10,1870.00,1880.00,1810.00,1815.00,694200,1815.00
2016-10-07,1870.00,1870.00,1825.00,1855.00,2049200,1855.00
2016-10-06,1880.00,1890.00,1825.00,1855.00,1002500,1855.00
2016-10-05,1890.00,1890.00,1840.00,1875.00,1547800,1875.00
2016-10-04,1785.00,1895.00,1785.00,1880.00,5164200,1880.00
2016-10-03,1795.00,1830.00,1755.00,1780.00,3528300,1780.00
2016-09-30,1815.00,1860.00,1770.00,1770.00,3111700,1770.00
2016-09-29,1890.00,1950.00,1815.00,1820.00,4091200,1820.00
2016-09-28,1950.00,1955.00,1870.00,1880.00,2827700,1880.00
2016-09-27,1945.00,1945.00,1835.00,1940.00,15438100,1940.00
2016-09-26,2000.00,2010.00,1915.00,1935.00,2471000,1935.00
2016-09-23,1985.00,2020.00,1890.00,1985.00,11633700,1985.00
2016-09-22,1835.00,1890.00,1835.00,1885.00,3301100,1885.00
2016-09-21,1795.00,1835.00,1770.00,1825.00,2006300,1825.00
2016-09-20,1835.00,1835.00,1770.00,1770.00,852700,1770.00
2016-09-19,1815.00,1840.00,1810.00,1810.00,1044200,1810.00
2016-09-16,1725.00,1810.00,1720.00,1805.00,5567200,1805.00
2016-09-15,1655.00,1745.00,1655.00,1720.00,3565800,1720.00
2016-09-14,1675.00,1675.00,1640.00,1655.00,1147000,1655.00
2016-09-13,1695.00,1700.00,1635.00,1685.00,2735300,1685.00
2016-09-12,1695.00,1695.00,1695.00,1695.00,000,1695.00
2016-09-09,1775.00,1775.00,1675.00,1695.00,3031400,1695.00
2016-09-08,1825.00,1825.00,1780.00,1780.00,1185300,1780.00
2016-09-07,1845.00,1860.00,1805.00,1825.00,2220200,1825.00
2016-09-06,1890.00,1895.00,1820.00,1845.00,1540200,1845.00
2016-09-05,1845.00,1895.00,1820.00,1880.00,2587000,1880.00
2016-09-02,1830.00,1860.00,1800.00,1840.00,3645200,1840.00
2016-09-01,1920.00,1955.00,1770.00,1835.00,5429100,1835.00
2016-08-31,1850.00,1910.00,1800.00,1910.00,6096300,1910.00
2016-08-30,1965.00,1975.00,1850.00,1860.00,5608500,1860.00
2016-08-29,2000.00,2010.00,1930.00,1975.00,6936500,1975.00
2016-08-26,2000.00,2090.00,2000.00,2050.00,8062500,2050.00
2016-08-25,2020.00,2050.00,1985.00,2050.00,1760900,2050.00
2016-08-24,2050.00,2050.00,2020.00,2020.00,1212000,2020.00
2016-08-23,2050.00,2080.00,1980.00,2080.00,4156200,2080.00
2016-08-22,2030.00,2070.00,1975.00,2060.00,2562500,2060.00
2016-08-19,2080.00,2080.00,2020.00,2040.00,2274100,2040.00
2016-08-18,2070.00,2130.00,2060.00,2070.00,6815300,2070.00
2016-08-17,2060.00,2060.00,2060.00,2060.00,000,2060.00
2016-08-16,1950.00,2060.00,1935.00,2060.00,8070900,2060.00
2016-08-15,1990.00,2030.00,1905.00,1945.00,11538300,1945.00
2016-08-12,1940.00,2080.00,1940.00,1965.00,17025200,1965.00
2016-08-11,1840.00,1950.00,1840.00,1905.00,11944400,1905.00
2016-08-10,1825.00,1840.00,1800.00,1830.00,3470000,1830.00
2016-08-09,1815.00,1820.00,1795.00,1810.00,4737000,1810.00
2016-08-08,1815.00,1840.00,1780.00,1820.00,7202700,1820.00
2016-08-05,1750.00,1810.00,1750.00,1800.00,3914700,1800.00
2016-08-04,1750.00,1790.00,1750.00,1750.00,1965100,1750.00
2016-08-03,1850.00,1865.00,1750.00,1760.00,12530400,1760.00
2016-08-02,1810.00,1850.00,1780.00,1845.00,5891000,1845.00
2016-08-01,1765.00,1810.00,1735.00,1805.00,6399600,1805.00
2016-07-29,1825.00,1840.00,1735.00,1735.00,6369300,1735.00
2016-07-28,1865.00,1865.00,1800.00,1820.00,4333400,1820.00
2016-07-27,1860.00,1865.00,1820.00,1860.00,7326000,1860.00
2016-07-26,1840.00,1865.00,1840.00,1855.00,9356400,1855.00
2016-07-25,1775.00,1850.00,1770.00,1835.00,12366900,1835.00
2016-07-22,1710.00,1785.00,1705.00,1775.00,9985000,1775.00
2016-07-21,1745.00,1750.00,1700.00,1705.00,8519200,1705.00
2016-07-20,1725.00,1750.00,1715.00,1740.00,7458100,1740.00
2016-07-19,1655.00,1735.00,1650.00,1705.00,21618000,1705.00
2016-07-18,1605.00,1665.00,1595.00,1655.00,11467800,1655.00
2016-07-15,1600.00,1620.00,1585.00,1605.00,3510600,1605.00
2016-07-14,1620.00,1630.00,1600.00,1600.00,4297000,1600.00
2016-07-13,1620.00,1635.00,1580.00,1620.00,11312100,1620.00
2016-07-12,1530.00,1605.00,1515.00,1600.00,16268600,1600.00
2016-07-11,1515.00,1540.00,1475.00,1510.00,5725000,1510.00
2016-07-08,1510.00,1510.00,1510.00,1510.00,000,1510.00
2016-07-07,1510.00,1510.00,1510.00,1510.00,000,1510.00
2016-07-06,1510.00,1510.00,1510.00,1510.00,000,1510.00
2016-07-05,1510.00,1510.00,1510.00,1510.00,000,1510.00
2016-07-04,1510.00,1510.00,1510.00,1510.00,000,1510.00
2016-07-01,1560.00,1565.00,1495.00,1510.00,9320000,1510.00
2016-06-30,1530.00,1575.00,1515.00,1550.00,16616000,1550.00
2016-06-28,1430.00,1545.00,1385.00,1520.00,29425600,1520.00
2016-06-27,1430.00,1450.00,1420.00,1430.00,7228200,1430.00
2016-06-24,1480.00,1490.00,1420.00,1430.00,41003700,1430.00
2016-06-23,1440.00,1490.00,1400.00,1475.00,45833200,1475.00
2016-06-22,1295.00,1440.00,1295.00,1420.00,50402800,1420.00
2016-06-21,1290.00,1310.00,1280.00,1290.00,8105700,1290.00
2016-06-20,1280.00,1300.00,1275.00,1290.00,1867800,1290.00
2016-06-17,1290.00,1295.00,1270.00,1285.00,2935000,1285.00
2016-06-16,1305.00,1310.00,1275.00,1275.00,3587700,1275.00
2016-06-15,1285.00,1310.00,1285.00,1295.00,9730800,1295.00
2016-06-14,1265.00,1285.00,1255.00,1280.00,5523200,1280.00
2016-06-13,1275.00,1280.00,1265.00,1265.00,2168800,1265.00
2016-06-10,1290.00,1295.00,1280.00,1280.00,3206600,1280.00
2016-06-09,1270.00,1305.00,1260.00,1285.00,11863300,1285.00
2016-06-08,1315.00,1320.00,1260.00,1270.00,24349100,1270.00
2016-06-07,1310.00,1330.00,1300.00,1315.00,11475700,1315.00
2016-06-06,1290.00,1315.00,1290.00,1300.00,12891900,1300.00
2016-06-03,1300.00,1300.00,1285.00,1285.00,3284500,1285.00
2016-06-02,1285.00,1300.00,1285.00,1290.00,7011000,1290.00
2016-06-01,1275.00,1310.00,1275.00,1280.00,3010000,1280.00
2016-05-31,1300.00,1320.00,1275.00,1275.00,4621500,1275.00
2016-05-30,1295.00,1335.00,1280.00,1300.00,12085000,1300.00
2016-05-27,1300.00,1305.00,1280.00,1280.00,3557600,1280.00
2016-05-26,1310.00,1310.00,1290.00,1295.00,3247000,1295.00
2016-05-25,1330.00,1330.00,1295.00,1310.00,3760200,1310.00
2016-05-24,1305.00,1350.00,1290.00,1330.00,3062300,1330.00
2016-05-23,1255.00,1325.00,1255.00,1310.00,3693500,1310.00
2016-05-20,1230.00,1270.00,1205.00,1255.00,3628500,1255.00
2016-05-19,1320.00,1320.00,1225.00,1230.00,4562100,1230.00
2016-05-18,1340.00,1340.00,1310.00,1315.00,2190000,1315.00
2016-05-17,1320.00,1340.00,1310.00,1320.00,5195700,1320.00
2016-05-16,1320.00,1350.00,1290.00,1320.00,7175400,1320.00
2016-05-13,1310.00,1350.00,1240.00,1350.00,8910600,1350.00
2016-05-12,1260.00,1310.00,1230.00,1310.00,10213200,1310.00
2016-05-11,1240.00,1265.00,1230.00,1240.00,4845300,1240.00
