Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1770.00,1850.00,1770.00,1825.00,1479500,1825.00
2017-01-31,1770.00,1775.00,1750.00,1770.00,357700,1770.00
2017-01-30,1760.00,1765.00,1750.00,1755.00,148500,1755.00
2017-01-27,1750.00,1765.00,1750.00,1760.00,150700,1760.00
2017-01-26,1750.00,1770.00,1750.00,1750.00,378100,1750.00
2017-01-25,1765.00,1765.00,1750.00,1750.00,297600,1750.00
2017-01-24,1765.00,1770.00,1755.00,1760.00,582100,1760.00
2017-01-23,1765.00,1765.00,1755.00,1765.00,252200,1765.00
2017-01-20,1770.00,1800.00,1755.00,1765.00,116200,1765.00
2017-01-19,1755.00,1755.00,1750.00,1750.00,260900,1750.00
2017-01-18,1750.00,1765.00,1750.00,1755.00,336000,1755.00
2017-01-17,1755.00,1770.00,1750.00,1750.00,384500,1750.00
2017-01-16,1755.00,1835.00,1730.00,1755.00,1627800,1755.00
2017-01-13,1760.00,1760.00,1745.00,1755.00,698400,1755.00
2017-01-12,1750.00,1760.00,1745.00,1750.00,1940000,1750.00
2017-01-11,1755.00,1760.00,1745.00,1750.00,623400,1750.00
2017-01-10,1775.00,1775.00,1755.00,1755.00,254500,1755.00
2017-01-09,1755.00,1780.00,1750.00,1775.00,477300,1775.00
2017-01-06,1770.00,1770.00,1730.00,1755.00,1006200,1755.00
2017-01-05,1780.00,1795.00,1750.00,1750.00,542000,1750.00
2017-01-04,1750.00,1840.00,1690.00,1780.00,3980400,1780.00
2017-01-03,1645.00,2000.00,1645.00,1750.00,10240300,1750.00
2017-01-02,1645.00,1645.00,1645.00,1645.00,000,1645.00
2016-12-30,1640.00,1665.00,1640.00,1645.00,1183400,1645.00
2016-12-29,1620.00,1645.00,1610.00,1640.00,593100,1640.00
2016-12-28,1620.00,1625.00,1615.00,1620.00,538800,1620.00
2016-12-27,1610.00,1635.00,1610.00,1620.00,407300,1620.00
2016-12-26,1610.00,1610.00,1610.00,1610.00,000,1610.00
2016-12-23,1610.00,1615.00,1605.00,1610.00,682600,1610.00
2016-12-22,1610.00,1615.00,1600.00,1610.00,4566400,1610.00
2016-12-21,1615.00,1615.00,1600.00,1610.00,909100,1610.00
2016-12-20,1615.00,1620.00,1610.00,1615.00,491000,1615.00
2016-12-19,1615.00,1620.00,1605.00,1615.00,600700,1615.00
2016-12-16,1615.00,1630.00,1610.00,1615.00,491100,1615.00
2016-12-15,1590.00,1625.00,1590.00,1615.00,341900,1615.00
2016-12-14,1600.00,1615.00,1600.00,1600.00,396100,1600.00
2016-12-13,1595.00,1600.00,1575.00,1600.00,681900,1600.00
2016-12-12,1595.00,1595.00,1595.00,1595.00,000,1595.00
2016-12-09,1605.00,1605.00,1590.00,1595.00,1988600,1595.00
2016-12-08,1600.00,1630.00,1595.00,1600.00,189100,1600.00
