Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,468.00,492.00,456.00,458.00,14998900,458.00
2017-01-31,468.00,474.00,430.00,468.00,20520000,468.00
2017-01-30,412.00,440.00,408.00,430.00,8063800,430.00
2017-01-27,414.00,416.00,410.00,412.00,1393100,412.00
2017-01-26,416.00,428.00,400.00,414.00,1286400,414.00
2017-01-25,432.00,436.00,416.00,416.00,2749600,416.00
2017-01-24,426.00,442.00,422.00,426.00,4614200,426.00
2017-01-23,416.00,430.00,406.00,422.00,2186500,422.00
2017-01-20,424.00,428.00,414.00,416.00,1104300,416.00
2017-01-19,430.00,438.00,424.00,424.00,3039500,424.00
2017-01-18,434.00,450.00,422.00,436.00,5799400,436.00
2017-01-17,386.00,474.00,384.00,434.00,38404000,434.00
2017-01-16,396.00,396.00,384.00,386.00,1725300,386.00
2017-01-13,404.00,404.00,388.00,396.00,1305600,396.00
2017-01-12,386.00,406.00,386.00,402.00,7121300,402.00
2017-01-11,386.00,398.00,374.00,386.00,3508300,386.00
2017-01-10,378.00,404.00,378.00,386.00,11510900,386.00
2017-01-09,350.00,386.00,350.00,378.00,9069600,378.00
2017-01-06,340.00,358.00,338.00,350.00,3567900,350.00
2017-01-05,344.00,344.00,334.00,338.00,1069900,338.00
2017-01-04,330.00,346.00,330.00,338.00,2091100,338.00
2017-01-03,330.00,336.00,326.00,330.00,503500,330.00
2017-01-02,330.00,330.00,330.00,330.00,000,330.00
2016-12-30,336.00,338.00,330.00,330.00,3410600,330.00
2016-12-29,320.00,356.00,320.00,334.00,6354600,334.00
2016-12-28,322.00,336.00,320.00,320.00,1882000,320.00
2016-12-27,322.00,330.00,318.00,320.00,1893400,320.00
2016-12-26,320.00,320.00,320.00,320.00,000,320.00
2016-12-23,326.00,330.00,320.00,320.00,927700,320.00
2016-12-22,332.00,338.00,322.00,326.00,2154900,326.00
2016-12-21,334.00,338.00,330.00,330.00,1915400,330.00
2016-12-20,346.00,350.00,334.00,334.00,1900300,334.00
2016-12-19,368.00,368.00,346.00,346.00,2016800,346.00
2016-12-16,368.00,374.00,358.00,362.00,1433300,362.00
2016-12-15,370.00,378.00,366.00,368.00,1449300,368.00
2016-12-14,388.00,388.00,368.00,368.00,4879900,368.00
2016-12-13,396.00,412.00,386.00,388.00,2945100,388.00
2016-12-12,396.00,396.00,396.00,396.00,000,396.00
2016-12-09,384.00,426.00,382.00,396.00,11943900,396.00
2016-12-08,380.00,390.00,378.00,382.00,2996100,382.00
2016-12-07,390.00,390.00,380.00,380.00,674300,380.00
2016-12-06,376.00,392.00,376.00,386.00,864200,386.00
2016-12-05,380.00,384.00,376.00,376.00,684900,376.00
2016-12-02,390.00,390.00,378.00,380.00,1542800,380.00
2016-12-01,388.00,400.00,386.00,390.00,465200,390.00
2016-11-30,372.00,392.00,368.00,388.00,1293100,388.00
2016-11-29,388.00,388.00,372.00,372.00,1501500,372.00
2016-11-28,392.00,392.00,380.00,382.00,574400,382.00
2016-11-25,392.00,394.00,388.00,392.00,102500,392.00
2016-11-24,392.00,394.00,390.00,392.00,162400,392.00
2016-11-23,394.00,396.00,390.00,394.00,298500,394.00
2016-11-22,396.00,402.00,390.00,390.00,1586100,390.00
2016-11-21,396.00,400.00,396.00,396.00,417400,396.00
2016-11-18,400.00,404.00,394.00,396.00,414700,396.00
2016-11-17,400.00,400.00,396.00,400.00,96200,400.00
2016-11-16,396.00,400.00,394.00,398.00,609700,398.00
2016-11-15,396.00,402.00,392.00,396.00,814400,396.00
2016-11-14,414.00,414.00,396.00,400.00,1859300,400.00
2016-11-11,422.00,422.00,410.00,414.00,2137000,414.00
2016-11-10,420.00,428.00,414.00,422.00,1218500,422.00
2016-11-09,422.00,422.00,412.00,416.00,1006200,416.00
2016-11-08,422.00,430.00,418.00,422.00,736200,422.00
2016-11-07,426.00,426.00,416.00,422.00,555400,422.00
2016-11-04,418.00,426.00,416.00,426.00,169800,426.00
2016-11-03,434.00,434.00,410.00,418.00,2311800,418.00
2016-11-02,434.00,442.00,426.00,434.00,5361500,434.00
2016-11-01,428.00,438.00,428.00,434.00,2687300,434.00
2016-10-31,442.00,442.00,428.00,428.00,4379900,428.00
2016-10-28,452.00,456.00,444.00,444.00,2714300,444.00
2016-10-27,456.00,458.00,448.00,452.00,1952200,452.00
2016-10-26,460.00,460.00,452.00,458.00,2893600,458.00
2016-10-25,462.00,464.00,456.00,460.00,2175300,460.00
2016-10-24,468.00,472.00,458.00,460.00,2970400,460.00
2016-10-21,468.00,492.00,466.00,468.00,3319200,468.00
2016-10-20,464.00,468.00,460.00,466.00,762400,466.00
2016-10-19,462.00,470.00,462.00,464.00,849500,464.00
2016-10-18,460.00,474.00,460.00,466.00,1048300,466.00
2016-10-17,474.00,478.00,458.00,460.00,2326100,460.00
2016-10-14,474.00,476.00,470.00,470.00,628500,470.00
2016-10-13,482.00,482.00,472.00,472.00,619400,472.00
2016-10-12,470.00,484.00,468.00,482.00,2074100,482.00
2016-10-11,472.00,498.00,462.00,472.00,3406600,472.00
2016-10-10,470.00,478.00,468.00,472.00,889300,472.00
2016-10-07,478.00,484.00,470.00,470.00,1750900,470.00
2016-10-06,470.00,482.00,470.00,480.00,556100,480.00
2016-10-05,480.00,505.00,474.00,478.00,4814700,478.00
2016-10-04,490.00,492.00,480.00,484.00,3525900,484.00
2016-10-03,480.00,498.00,478.00,490.00,3526900,490.00
2016-09-30,488.00,490.00,476.00,478.00,2945900,478.00
2016-09-29,496.00,496.00,486.00,488.00,2746500,488.00
2016-09-28,510.00,510.00,492.00,496.00,2527400,496.00
2016-09-27,500.00,520.00,488.00,505.00,5546100,505.00
2016-09-26,520.00,550.00,500.00,500.00,16280900,500.00
2016-09-23,515.00,515.00,464.00,515.00,9897100,515.00
2016-09-22,452.00,476.00,452.00,472.00,9940100,472.00
2016-09-21,452.00,456.00,448.00,452.00,270700,452.00
2016-09-20,458.00,460.00,450.00,452.00,476700,452.00
2016-09-19,454.00,462.00,450.00,456.00,2839700,456.00
2016-09-16,460.00,470.00,452.00,454.00,751500,454.00
2016-09-15,452.00,462.00,452.00,460.00,486400,460.00
2016-09-14,464.00,464.00,448.00,452.00,1830100,452.00
2016-09-13,488.00,500.00,464.00,464.00,4773300,464.00
2016-09-12,494.00,494.00,494.00,494.00,000,494.00
2016-09-09,510.00,520.00,494.00,494.00,3272500,494.00
2016-09-08,486.00,530.00,478.00,510.00,6384300,510.00
2016-09-07,494.00,498.00,484.00,484.00,1673100,484.00
2016-09-06,505.00,505.00,494.00,494.00,1931100,494.00
2016-09-05,505.00,510.00,500.00,500.00,2169300,500.00
2016-09-02,505.00,505.00,498.00,500.00,1103800,500.00
2016-09-01,515.00,515.00,505.00,505.00,880900,505.00
2016-08-31,505.00,515.00,505.00,515.00,501800,515.00
2016-08-30,525.00,525.00,500.00,505.00,1913400,505.00
2016-08-29,515.00,525.00,515.00,520.00,4141200,520.00
2016-08-26,510.00,525.00,510.00,515.00,1155600,515.00
2016-08-25,525.00,525.00,500.00,510.00,1794200,510.00
2016-08-24,530.00,530.00,515.00,520.00,521400,520.00
2016-08-23,535.00,535.00,520.00,520.00,2174700,520.00
2016-08-22,540.00,545.00,535.00,535.00,1329100,535.00
2016-08-19,545.00,550.00,535.00,535.00,3227100,535.00
2016-08-18,545.00,555.00,545.00,545.00,697900,545.00
2016-08-17,545.00,545.00,545.00,545.00,000,545.00
2016-08-16,550.00,550.00,545.00,545.00,1465200,545.00
2016-08-15,560.00,560.00,540.00,540.00,7547700,540.00
2016-08-12,580.00,580.00,560.00,560.00,3443300,560.00
2016-08-11,575.00,585.00,575.00,575.00,4663300,575.00
2016-08-10,580.00,590.00,570.00,575.00,2937900,575.00
2016-08-09,585.00,590.00,580.00,580.00,2646900,580.00
2016-08-08,585.00,595.00,580.00,585.00,3692700,585.00
2016-08-05,580.00,590.00,570.00,580.00,3598100,580.00
2016-08-04,575.00,585.00,570.00,575.00,6631200,575.00
2016-08-03,585.00,600.00,570.00,570.00,9581900,570.00
2016-08-02,600.00,605.00,590.00,590.00,7945100,590.00
2016-08-01,605.00,625.00,600.00,600.00,12563200,600.00
2016-07-29,610.00,620.00,605.00,605.00,16380700,605.00
2016-07-28,600.00,610.00,600.00,605.00,4307600,605.00
2016-07-27,600.00,615.00,600.00,600.00,7803500,600.00
2016-07-26,605.00,615.00,600.00,600.00,9584100,600.00
2016-07-25,610.00,610.00,600.00,605.00,587300,605.00
2016-07-22,605.00,610.00,600.00,605.00,1120900,605.00
