Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,755.00,810.00,755.00,780.00,12314600,780.00
2017-01-31,755.00,755.00,700.00,755.00,8226700,755.00
2017-01-30,700.00,715.00,700.00,710.00,4119800,710.00
2017-01-27,685.00,700.00,670.00,700.00,2659700,700.00
2017-01-26,690.00,695.00,680.00,685.00,2887900,685.00
2017-01-25,690.00,695.00,690.00,690.00,3029400,690.00
2017-01-24,700.00,710.00,690.00,690.00,3246600,690.00
2017-01-23,700.00,710.00,700.00,700.00,3127600,700.00
2017-01-20,710.00,710.00,700.00,700.00,2828200,700.00
2017-01-19,720.00,725.00,705.00,710.00,3106400,710.00
2017-01-18,665.00,720.00,665.00,720.00,4112900,720.00
2017-01-17,655.00,665.00,655.00,665.00,3135800,665.00
2017-01-16,650.00,660.00,650.00,655.00,2891600,655.00
2017-01-13,640.00,655.00,640.00,650.00,3021600,650.00
2017-01-12,635.00,645.00,635.00,645.00,3250400,645.00
2017-01-11,630.00,640.00,630.00,635.00,3084700,635.00
2017-01-10,625.00,630.00,625.00,630.00,3256700,630.00
2017-01-09,620.00,630.00,620.00,625.00,3015700,625.00
2017-01-06,620.00,625.00,615.00,620.00,2874800,620.00
2017-01-05,615.00,620.00,600.00,620.00,3052000,620.00
2017-01-04,605.00,615.00,600.00,615.00,3281500,615.00
2017-01-03,625.00,625.00,600.00,605.00,3083700,605.00
2017-01-02,625.00,625.00,625.00,625.00,000,625.00
2016-12-30,615.00,625.00,615.00,625.00,3257200,625.00
2016-12-29,615.00,620.00,615.00,615.00,2840500,615.00
2016-12-28,595.00,615.00,595.00,615.00,3279500,615.00
2016-12-27,575.00,595.00,575.00,595.00,3424100,595.00
2016-12-26,575.00,575.00,575.00,575.00,000,575.00
2016-12-23,575.00,580.00,570.00,575.00,3249600,575.00
2016-12-22,570.00,580.00,565.00,575.00,3085700,575.00
2016-12-21,550.00,570.00,550.00,570.00,3042000,570.00
2016-12-20,555.00,560.00,550.00,550.00,2869400,550.00
2016-12-19,580.00,580.00,525.00,555.00,2518100,555.00
2016-12-16,610.00,610.00,580.00,580.00,2190100,580.00
2016-12-15,610.00,620.00,610.00,610.00,3132300,610.00
2016-12-14,610.00,615.00,605.00,610.00,3434900,610.00
2016-12-13,615.00,615.00,600.00,610.00,3024800,610.00
2016-12-12,615.00,615.00,615.00,615.00,000,615.00
2016-12-09,620.00,620.00,610.00,615.00,2907400,615.00
2016-12-08,615.00,625.00,615.00,620.00,3038200,620.00
2016-12-07,620.00,620.00,605.00,615.00,3247300,615.00
2016-12-06,620.00,625.00,615.00,620.00,2883200,620.00
2016-12-05,620.00,635.00,620.00,620.00,3070200,620.00
2016-12-02,615.00,620.00,615.00,620.00,3154300,620.00
2016-12-01,630.00,640.00,610.00,615.00,3287100,615.00
2016-11-30,620.00,630.00,620.00,630.00,3049300,630.00
2016-11-29,605.00,620.00,605.00,620.00,3365700,620.00
2016-11-28,605.00,605.00,595.00,605.00,2867700,605.00
2016-11-25,600.00,605.00,600.00,605.00,3248100,605.00
2016-11-24,605.00,605.00,600.00,600.00,3031900,600.00
2016-11-23,620.00,620.00,605.00,605.00,2968500,605.00
2016-11-22,610.00,620.00,605.00,620.00,3336000,620.00
2016-11-21,605.00,610.00,600.00,610.00,2811700,610.00
2016-11-18,605.00,605.00,595.00,605.00,3142600,605.00
2016-11-17,600.00,605.00,595.00,605.00,2936300,605.00
2016-11-16,610.00,610.00,590.00,600.00,2650300,600.00
2016-11-15,610.00,620.00,600.00,610.00,3011100,610.00
2016-11-14,615.00,615.00,600.00,610.00,3102900,610.00
2016-11-11,625.00,625.00,610.00,615.00,2827600,615.00
2016-11-10,610.00,625.00,610.00,625.00,3556000,625.00
2016-11-09,615.00,615.00,590.00,610.00,2764600,610.00
2016-11-08,615.00,630.00,605.00,615.00,2863500,615.00
2016-11-07,605.00,615.00,600.00,615.00,2971000,615.00
2016-11-04,600.00,605.00,590.00,605.00,3313100,605.00
2016-11-03,605.00,615.00,600.00,600.00,2782600,600.00
2016-11-02,610.00,615.00,610.00,610.00,2843800,610.00
2016-11-01,625.00,630.00,595.00,615.00,3166200,615.00
2016-10-31,615.00,625.00,615.00,625.00,3019200,625.00
2016-10-28,620.00,630.00,620.00,620.00,2925000,620.00
2016-10-27,625.00,625.00,610.00,625.00,3245700,625.00
2016-10-26,630.00,630.00,605.00,625.00,2948900,625.00
2016-10-25,640.00,645.00,635.00,635.00,3028300,635.00
2016-10-24,640.00,650.00,635.00,640.00,2534400,640.00
2016-10-21,640.00,645.00,635.00,640.00,2850100,640.00
2016-10-20,640.00,650.00,640.00,640.00,3094500,640.00
2016-10-19,615.00,640.00,610.00,640.00,4493600,640.00
2016-10-18,610.00,615.00,590.00,615.00,2924000,615.00
2016-10-17,605.00,615.00,605.00,610.00,3252900,610.00
2016-10-14,600.00,615.00,600.00,605.00,3022500,605.00
2016-10-13,580.00,600.00,580.00,600.00,3062600,600.00
2016-10-12,570.00,580.00,570.00,580.00,2838500,580.00
2016-10-11,575.00,575.00,545.00,575.00,3114800,575.00
2016-10-10,565.00,575.00,560.00,575.00,2714500,575.00
2016-10-07,595.00,595.00,555.00,565.00,962200,565.00
2016-10-06,605.00,605.00,590.00,595.00,3038500,595.00
2016-10-05,615.00,615.00,605.00,605.00,2725500,605.00
2016-10-04,625.00,625.00,615.00,620.00,3114400,620.00
2016-10-03,625.00,625.00,615.00,625.00,3063000,625.00
2016-09-30,620.00,625.00,615.00,625.00,2884700,625.00
2016-09-29,620.00,620.00,605.00,620.00,3547700,620.00
2016-09-28,615.00,620.00,610.00,620.00,2910000,620.00
2016-09-27,610.00,615.00,600.00,615.00,3342800,615.00
2016-09-26,615.00,615.00,605.00,610.00,2924500,610.00
2016-09-23,620.00,625.00,620.00,620.00,3144800,620.00
2016-09-22,620.00,625.00,620.00,625.00,3020600,625.00
2016-09-21,610.00,620.00,605.00,620.00,3034800,620.00
2016-09-20,615.00,620.00,605.00,610.00,2833800,610.00
2016-09-19,600.00,620.00,600.00,615.00,3414800,615.00
2016-09-16,590.00,605.00,590.00,605.00,3046200,605.00
2016-09-15,565.00,590.00,565.00,590.00,3325400,590.00
2016-09-14,570.00,570.00,565.00,565.00,3013600,565.00
2016-09-13,590.00,590.00,575.00,575.00,2834500,575.00
2016-09-12,590.00,590.00,590.00,590.00,000,590.00
2016-09-09,600.00,605.00,590.00,590.00,2719000,590.00
2016-09-08,600.00,605.00,595.00,605.00,3047100,605.00
2016-09-07,595.00,605.00,595.00,600.00,3350400,600.00
2016-09-06,600.00,605.00,595.00,595.00,2841100,595.00
2016-09-05,590.00,605.00,590.00,600.00,3026400,600.00
2016-09-02,590.00,595.00,535.00,590.00,3123900,590.00
2016-09-01,610.00,610.00,565.00,590.00,2620800,590.00
