Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,16.40,16.90,15.40,15.60,509900,156.00
2017-01-31,16.40,17.40,15.50,16.40,229700,164.00
2017-01-30,17.90,18.60,16.80,16.90,361100,169.00
2017-01-27,17.30,18.40,17.30,17.90,394800,179.00
2017-01-26,16.00,18.80,16.00,17.30,446900,173.00
2017-01-25,17.40,17.40,15.50,16.00,572800,160.00
2017-01-24,18.10,19.40,17.10,17.10,926400,171.00
2017-01-23,20.60,20.60,17.70,18.00,561800,180.00
2017-01-20,22.80,22.80,19.90,20.60,456600,206.00
2017-01-19,23.60,23.60,21.60,22.80,283900,228.00
2017-01-18,24.80,25.00,22.00,23.60,228400,236.00
2017-01-17,32.00,32.00,24.80,24.80,348000,248.00
2017-01-16,32.00,32.00,32.00,32.00,1600,320.00
2017-01-13,32.60,32.60,32.00,32.00,7000,320.00
2017-01-12,32.60,32.60,32.60,32.60,000,326.00
2017-01-11,32.60,32.60,32.60,32.60,5000,326.00
2017-01-10,33.80,33.80,31.00,32.60,82900,326.00
2017-01-09,45.00,45.00,33.80,33.80,580000,338.00
2017-01-06,45.00,45.00,45.00,45.00,600,450.00
2017-01-05,44.80,45.00,44.80,45.00,200,450.00
2017-01-04,46.00,46.00,45.00,45.00,300,450.00
2017-01-03,50.00,50.00,46.00,46.00,69800,460.00
2017-01-02,40.60,40.60,40.60,40.60,000,406.00
2016-12-30,40.60,40.60,40.60,40.60,000,406.00
2016-12-29,40.60,40.60,40.60,40.60,000,406.00
2016-12-28,40.60,40.60,40.60,40.60,000,406.00
2016-12-27,40.60,40.60,40.60,40.60,000,406.00
2016-12-26,40.60,40.60,40.60,40.60,000,406.00
2016-12-23,40.60,40.60,40.60,40.60,000,406.00
2016-12-22,40.60,40.60,40.60,40.60,000,406.00
2016-12-21,40.60,40.60,40.60,40.60,000,406.00
2016-12-20,40.60,40.60,40.60,40.60,000,406.00
2016-12-19,40.60,40.60,40.60,40.60,000,406.00
2016-12-16,40.60,40.60,40.60,40.60,000,406.00
2016-12-15,40.60,40.60,40.60,40.60,000,406.00
2016-12-14,40.60,40.60,40.60,40.60,000,406.00
2016-12-13,40.60,40.60,40.60,40.60,000,406.00
2016-12-12,40.60,40.60,40.60,40.60,000,406.00
2016-12-09,40.60,40.60,40.60,40.60,000,406.00
2016-12-08,40.60,40.60,40.60,40.60,000,406.00
2016-12-07,40.60,40.60,40.60,40.60,000,406.00
2016-12-06,40.60,40.60,40.60,40.60,000,406.00
2016-12-05,40.60,40.60,40.60,40.60,000,406.00
2016-12-02,40.60,40.60,40.60,40.60,000,406.00
2016-12-01,40.60,40.60,40.60,40.60,000,406.00
2016-11-30,40.60,40.60,40.60,40.60,000,406.00
2016-11-29,40.60,40.60,40.60,40.60,000,406.00
2016-11-28,40.60,40.60,40.60,40.60,000,406.00
2016-11-25,40.60,40.60,40.60,40.60,000,406.00
2016-11-24,40.60,40.60,40.60,40.60,000,406.00
2016-11-23,40.60,40.60,40.60,40.60,000,406.00
2016-11-22,40.60,40.60,40.60,40.60,000,406.00
2016-11-21,40.60,40.60,40.60,40.60,000,406.00
2016-11-18,40.60,40.60,40.60,40.60,000,406.00
2016-11-17,40.60,40.60,40.60,40.60,000,406.00
2016-11-16,40.60,40.60,40.60,40.60,000,406.00
2016-11-15,40.60,40.60,40.60,40.60,000,406.00
2016-11-14,40.60,40.60,40.60,40.60,000,406.00
2016-11-11,40.60,40.60,40.60,40.60,000,406.00
2016-11-10,40.60,40.60,40.60,40.60,000,406.00
2016-11-09,40.60,40.60,40.60,40.60,000,406.00
2016-11-08,40.60,40.60,40.60,40.60,000,406.00
2016-11-07,40.60,40.60,40.60,40.60,000,406.00
2016-11-04,40.60,40.60,40.60,40.60,000,406.00
2016-11-03,40.60,40.60,40.60,40.60,000,406.00
2016-11-02,40.60,40.60,40.60,40.60,000,406.00
2016-11-01,40.60,40.60,40.60,40.60,000,406.00
2016-10-31,40.60,40.60,40.60,40.60,000,406.00
2016-10-28,40.60,40.60,40.60,40.60,000,406.00
2016-10-27,40.60,40.60,40.60,40.60,000,406.00
2016-10-26,40.60,40.60,40.60,40.60,000,406.00
2016-10-25,40.60,40.60,40.60,40.60,000,406.00
2016-10-24,40.60,40.60,40.60,40.60,000,406.00
2016-10-21,44.80,44.80,40.60,40.60,81900,406.00
2016-10-20,45.00,45.00,45.00,45.00,17700,450.00
2016-10-19,50.00,50.00,50.00,50.00,32300,500.00
2016-10-18,55.50,55.50,55.50,55.50,000,555.00
2016-10-17,55.50,55.50,55.50,55.50,14300,555.00
2016-10-14,68.00,68.00,61.50,61.50,15400,615.00
2016-10-13,68.00,68.00,68.00,68.00,28300,680.00
2016-10-12,83.50,83.50,75.50,75.50,4700,755.00
2016-10-11,92.50,92.50,83.50,83.50,8211300,835.00
2016-10-10,102.50,107.50,92.50,92.50,2800,925.00
2016-10-07,76.00,102.50,74.00,102.50,79200,1025.00
2016-10-06,90.00,90.00,82.00,82.00,29400,820.00
2016-10-05,91.00,96.50,91.00,91.00,18200,910.00
2016-10-04,112.00,112.00,101.00,101.00,10600,1010.00
2016-10-03,110.50,114.50,105.00,112.00,4359100,1120.00
2016-09-30,90.00,110.00,90.00,110.00,2010700,1100.00
2016-09-29,93.00,116.00,84.00,90.00,1869900,900.00
2016-09-28,100.00,100.00,92.50,93.00,13000,930.00
2016-09-27,113.50,113.50,102.50,102.50,11500,1025.00
2016-09-26,127.00,127.00,113.50,113.50,8582000,1135.00
2016-09-23,126.00,127.00,123.00,126.00,16428000,1260.00
2016-09-22,127.50,127.50,123.50,123.50,3884300,1235.00
2016-09-21,135.50,135.50,122.50,127.50,10990500,1275.00
2016-09-20,137.00,137.00,130.00,135.50,9769600,1355.00
2016-09-19,131.50,137.00,126.50,137.00,4752800,1370.00
2016-09-16,146.00,146.00,131.50,131.50,10330500,1315.00
2016-09-15,153.00,153.00,146.00,146.00,4652100,1460.00
2016-09-14,161.50,161.50,146.00,154.50,16781100,1545.00
2016-09-13,163.00,163.00,146.00,162.00,14420200,1620.00
2016-09-12,161.50,161.50,161.50,161.50,000,1615.00
2016-09-09,161.00,164.00,161.00,161.50,18402900,1615.00
2016-09-08,160.00,161.00,160.00,161.00,5962500,1610.00
2016-09-07,159.00,162.00,158.50,158.50,5148400,1585.00
2016-09-06,158.00,159.50,158.00,159.00,9157800,1590.00
2016-09-05,160.50,160.50,157.50,159.00,16719600,1590.00
2016-09-02,145.00,161.00,145.00,161.00,5946100,1610.00
2016-09-01,161.00,161.00,161.00,161.00,500,1610.00
2016-08-31,160.50,164.50,160.50,161.00,7702100,1610.00
2016-08-30,164.00,164.00,150.00,156.00,13880400,1560.00
2016-08-29,165.50,167.50,154.00,165.00,8517800,1650.00
2016-08-26,150.00,170.00,130.00,165.00,2453000,1650.00
2016-08-25,154.00,163.00,143.50,144.00,10195000,1440.00
2016-08-24,170.00,170.00,147.50,159.00,11355300,1590.00
2016-08-23,149.00,175.00,149.00,163.00,7288500,1630.00
2016-08-22,160.00,160.00,144.00,144.00,8454800,1440.00
2016-08-19,158.00,160.00,152.50,160.00,9700800,1600.00
2016-08-18,142.00,161.00,140.00,158.00,23252000,1580.00
2016-08-17,141.00,141.00,141.00,141.00,000,1410.00
2016-08-16,120.00,141.00,120.00,141.00,4486100,1410.00
2016-08-15,110.00,125.00,100.50,125.00,2539600,1250.00
2016-08-12,122.00,124.00,110.00,110.00,17365300,1100.00
2016-08-11,127.50,127.50,120.00,120.00,4737700,1200.00
2016-08-10,116.50,127.50,116.50,127.00,9333900,1270.00
2016-08-09,135.00,137.00,121.50,121.50,5156100,1215.00
2016-08-08,141.00,141.00,135.00,135.00,3513700,1350.00
2016-08-05,142.00,146.00,138.00,138.00,12188200,1380.00
2016-08-04,139.00,150.00,139.00,139.00,14932800,1390.00
2016-08-03,150.00,150.00,146.50,147.00,11541700,1470.00
2016-08-02,145.00,148.00,145.00,147.00,23349100,1470.00
2016-08-01,144.00,147.50,144.00,145.00,11634800,1450.00
2016-07-29,145.00,145.00,144.00,144.00,18052900,1440.00
2016-07-28,145.50,145.50,144.50,145.00,14057500,1450.00
2016-07-27,146.50,146.50,145.50,145.50,23426900,1455.00
2016-07-26,149.00,149.00,146.50,146.50,20433800,1465.00
2016-07-25,149.50,149.50,148.00,149.00,13295200,1490.00
2016-07-22,151.50,151.50,149.50,149.50,17336200,1495.00
2016-07-21,153.50,153.50,152.00,152.00,12078200,1520.00
2016-07-20,156.50,157.50,153.50,153.50,19718600,1535.00
2016-07-19,157.00,157.00,156.00,156.50,16741600,1565.00
2016-07-18,158.00,158.00,157.00,157.00,12776800,1570.00
2016-07-15,158.00,158.50,157.50,158.00,14913300,1580.00
2016-07-14,159.50,159.50,157.50,158.00,11573500,1580.00
2016-07-13,159.50,160.50,159.00,159.50,20826900,1595.00
2016-07-12,158.00,159.00,158.00,159.00,15653900,1590.00
2016-07-11,159.00,159.50,156.00,158.00,21809700,1580.00
2016-07-08,156.50,156.50,156.50,156.50,000,1565.00
2016-07-07,156.50,156.50,156.50,156.50,000,1565.00
2016-07-06,156.50,156.50,156.50,156.50,000,1565.00
2016-07-05,156.50,156.50,156.50,156.50,000,1565.00
