Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,650.00,650.00,645.00,645.00,27500,645.00
2017-01-31,650.00,650.00,635.00,650.00,1300,650.00
2017-01-30,650.00,650.00,650.00,650.00,600,650.00
2017-01-27,655.00,655.00,650.00,650.00,785500,650.00
2017-01-26,620.00,660.00,620.00,650.00,252700,650.00
2017-01-25,650.00,650.00,620.00,620.00,300,620.00
2017-01-24,650.00,650.00,650.00,650.00,400,650.00
2017-01-23,650.00,650.00,645.00,650.00,45500,650.00
2017-01-20,650.00,650.00,640.00,650.00,199500,650.00
2017-01-19,650.00,650.00,650.00,650.00,1900,650.00
2017-01-18,630.00,650.00,625.00,650.00,649200,650.00
2017-01-17,625.00,670.00,625.00,630.00,179400,630.00
2017-01-16,625.00,635.00,625.00,625.00,14900,625.00
2017-01-13,650.00,650.00,625.00,625.00,5600,625.00
2017-01-12,625.00,635.00,625.00,625.00,11300,625.00
2017-01-11,625.00,635.00,625.00,625.00,110400,625.00
2017-01-10,635.00,635.00,625.00,625.00,500,625.00
2017-01-09,625.00,635.00,620.00,635.00,707200,635.00
2017-01-06,640.00,640.00,625.00,625.00,3600,625.00
2017-01-05,630.00,645.00,630.00,630.00,81800,630.00
2017-01-04,605.00,630.00,605.00,615.00,800,615.00
2017-01-03,620.00,620.00,605.00,605.00,103700,605.00
2017-01-02,605.00,605.00,605.00,605.00,000,605.00
2016-12-30,630.00,630.00,605.00,605.00,17800,605.00
2016-12-29,625.00,630.00,625.00,630.00,5000,630.00
2016-12-28,600.00,600.00,600.00,600.00,3000,600.00
2016-12-27,600.00,600.00,600.00,600.00,000,600.00
2016-12-26,600.00,600.00,600.00,600.00,000,600.00
2016-12-23,600.00,600.00,600.00,600.00,000,600.00
2016-12-22,600.00,600.00,595.00,600.00,13700,600.00
2016-12-21,600.00,600.00,600.00,600.00,000,600.00
2016-12-20,600.00,620.00,600.00,600.00,3034300,600.00
2016-12-19,670.00,670.00,595.00,600.00,256800,600.00
2016-12-16,615.00,645.00,615.00,615.00,26200,615.00
2016-12-15,650.00,650.00,615.00,615.00,6100,615.00
2016-12-14,620.00,640.00,620.00,620.00,527900,620.00
2016-12-13,605.00,620.00,605.00,605.00,5000,605.00
2016-12-12,605.00,605.00,605.00,605.00,000,605.00
2016-12-09,605.00,605.00,605.00,605.00,61600,605.00
2016-12-08,625.00,630.00,625.00,630.00,481000,630.00
2016-12-07,635.00,635.00,620.00,620.00,63000,620.00
2016-12-06,620.00,620.00,620.00,620.00,1900,620.00
2016-12-05,625.00,625.00,625.00,625.00,5500,625.00
2016-12-02,625.00,625.00,625.00,625.00,1400,625.00
2016-12-01,620.00,630.00,615.00,620.00,243600,620.00
2016-11-30,620.00,640.00,620.00,620.00,323400,620.00
2016-11-29,670.00,670.00,620.00,645.00,732300,645.00
2016-11-28,640.00,650.00,640.00,650.00,4800,650.00
2016-11-25,635.00,640.00,635.00,640.00,23400,640.00
2016-11-24,645.00,650.00,645.00,645.00,20100,645.00
2016-11-23,685.00,685.00,680.00,680.00,400,680.00
2016-11-22,630.00,695.00,630.00,695.00,6100,695.00
2016-11-21,665.00,700.00,665.00,665.00,10500,665.00
2016-11-18,665.00,665.00,665.00,665.00,000,665.00
2016-11-17,665.00,665.00,665.00,665.00,400,665.00
2016-11-16,690.00,690.00,650.00,660.00,103000,660.00
2016-11-15,690.00,690.00,690.00,690.00,000,690.00
2016-11-14,650.00,690.00,650.00,690.00,12400,690.00
2016-11-11,650.00,680.00,635.00,650.00,423900,650.00
2016-11-10,700.00,700.00,700.00,700.00,100,700.00
2016-11-09,680.00,680.00,680.00,680.00,6000,680.00
2016-11-08,685.00,685.00,680.00,680.00,184400,680.00
2016-11-07,690.00,690.00,675.00,675.00,100,675.00
2016-11-04,680.00,690.00,680.00,690.00,70000,690.00
2016-11-03,695.00,700.00,680.00,680.00,172000,680.00
2016-11-02,710.00,710.00,710.00,710.00,100,710.00
2016-11-01,700.00,700.00,660.00,690.00,328600,690.00
2016-10-31,700.00,700.00,700.00,700.00,854200,700.00
2016-10-28,690.00,690.00,690.00,690.00,54800,690.00
2016-10-27,680.00,690.00,680.00,690.00,35900,690.00
2016-10-26,700.00,700.00,685.00,685.00,573600,685.00
2016-10-25,705.00,705.00,700.00,700.00,377300,700.00
2016-10-24,680.00,720.00,680.00,700.00,842100,700.00
2016-10-21,665.00,685.00,655.00,680.00,320200,680.00
2016-10-20,660.00,665.00,650.00,665.00,9200,665.00
2016-10-19,660.00,675.00,655.00,660.00,5781600,660.00
2016-10-18,650.00,665.00,645.00,655.00,7023400,655.00
2016-10-17,635.00,640.00,620.00,640.00,136800,640.00
2016-10-14,650.00,650.00,635.00,635.00,33700,635.00
2016-10-13,640.00,650.00,640.00,650.00,226500,650.00
2016-10-12,640.00,645.00,640.00,640.00,91500,640.00
2016-10-11,640.00,645.00,640.00,640.00,53800,640.00
2016-10-10,645.00,655.00,640.00,640.00,66800,640.00
2016-10-07,655.00,655.00,645.00,645.00,77000,645.00
2016-10-06,650.00,650.00,630.00,640.00,1082700,640.00
2016-10-05,680.00,680.00,640.00,670.00,154000,670.00
2016-10-04,655.00,675.00,650.00,670.00,295000,670.00
2016-10-03,660.00,660.00,650.00,655.00,216100,655.00
2016-09-30,635.00,665.00,620.00,655.00,3097100,655.00
2016-09-29,590.00,635.00,590.00,635.00,200,635.00
2016-09-28,635.00,635.00,635.00,635.00,000,635.00
2016-09-27,640.00,640.00,635.00,635.00,83000,635.00
2016-09-26,640.00,640.00,640.00,640.00,300000,640.00
2016-09-23,635.00,635.00,630.00,635.00,235000,635.00
2016-09-22,630.00,630.00,630.00,630.00,320000,630.00
2016-09-21,615.00,635.00,605.00,630.00,42100,630.00
2016-09-20,625.00,625.00,620.00,620.00,31900,620.00
2016-09-19,630.00,630.00,625.00,625.00,23800,625.00
2016-09-16,640.00,640.00,640.00,640.00,1600,640.00
2016-09-15,640.00,640.00,630.00,640.00,57900,640.00
2016-09-14,640.00,640.00,640.00,640.00,6400,640.00
2016-09-13,645.00,645.00,645.00,645.00,300000,645.00
2016-09-12,645.00,645.00,645.00,645.00,000,645.00
2016-09-09,650.00,650.00,645.00,645.00,321400,645.00
2016-09-08,625.00,650.00,625.00,650.00,99400,650.00
2016-09-07,650.00,650.00,615.00,645.00,437400,645.00
2016-09-06,650.00,655.00,650.00,650.00,2411400,650.00
2016-09-05,650.00,650.00,650.00,650.00,66200,650.00
2016-09-02,645.00,655.00,645.00,650.00,290000,650.00
2016-09-01,645.00,645.00,645.00,645.00,785800,645.00
2016-08-31,640.00,645.00,640.00,645.00,621600,645.00
2016-08-30,630.00,640.00,625.00,640.00,244200,640.00
2016-08-29,625.00,630.00,625.00,625.00,809200,625.00
2016-08-26,625.00,635.00,625.00,625.00,757200,625.00
2016-08-25,640.00,640.00,625.00,625.00,750100,625.00
2016-08-24,630.00,640.00,615.00,625.00,989400,625.00
