Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,179.00,185.00,179.00,183.00,37050700,183.00
2017-01-31,179.00,181.00,179.00,179.00,10562600,179.00
2017-01-30,179.00,181.00,178.00,180.00,13865800,180.00
2017-01-27,179.00,181.00,176.00,179.00,12615300,179.00
2017-01-26,179.00,180.00,176.00,179.00,7652000,179.00
2017-01-25,179.00,180.00,177.00,179.00,12733100,179.00
2017-01-24,177.00,179.00,175.00,179.00,15540700,179.00
2017-01-23,178.00,178.00,174.00,175.00,11125800,175.00
2017-01-20,179.00,179.00,175.00,178.00,20877600,178.00
2017-01-19,178.00,181.00,177.00,178.00,9170300,178.00
2017-01-18,177.00,181.00,176.00,178.00,35931200,178.00
2017-01-17,181.00,182.00,176.00,177.00,22146600,177.00
2017-01-16,180.00,183.00,179.00,181.00,27741100,181.00
2017-01-13,180.00,184.00,177.00,180.00,47628400,180.00
2017-01-12,177.00,181.00,176.00,180.00,47407500,180.00
2017-01-11,177.00,179.00,175.00,177.00,27078300,177.00
2017-01-10,176.00,180.00,176.00,177.00,16050400,177.00
2017-01-09,174.00,184.00,174.00,176.00,179413200,176.00
2017-01-06,173.00,175.00,172.00,174.00,15499900,174.00
2017-01-05,176.00,176.00,172.00,172.00,11857000,172.00
2017-01-04,173.00,177.00,173.00,175.00,177828400,175.00
2017-01-03,172.00,174.00,170.00,173.00,39589300,173.00
2017-01-02,172.00,172.00,172.00,172.00,000,172.00
2016-12-30,175.00,175.00,172.00,172.00,38791200,172.00
2016-12-29,174.00,177.00,172.00,173.00,17560700,173.00
2016-12-28,175.00,175.00,173.00,174.00,4331300,174.00
2016-12-27,171.00,176.00,170.00,175.00,18284700,175.00
2016-12-26,171.00,171.00,171.00,171.00,000,171.00
2016-12-23,170.00,173.00,169.00,171.00,31606400,171.00
2016-12-22,168.00,172.00,167.00,171.00,15406500,171.00
2016-12-21,172.00,173.00,169.00,170.00,41911000,170.00
2016-12-20,174.00,174.00,171.00,172.00,6409400,172.00
2016-12-19,175.00,176.00,172.00,174.00,6640500,174.00
2016-12-16,174.00,176.00,173.00,176.00,13112900,176.00
2016-12-15,172.00,175.00,171.00,174.00,15349400,174.00
2016-12-14,178.00,178.00,172.00,173.00,28590800,173.00
2016-12-13,178.00,179.00,175.00,177.00,10383200,177.00
2016-12-12,178.00,178.00,178.00,178.00,000,178.00
2016-12-09,183.00,184.00,177.00,178.00,23092900,178.00
2016-12-08,180.00,183.00,179.00,180.00,49547700,180.00
2016-12-07,180.00,180.00,178.00,179.00,49572900,179.00
2016-12-06,180.00,185.00,179.00,180.00,28471900,180.00
2016-12-05,181.00,182.00,178.00,179.00,6203900,179.00
2016-12-02,180.00,181.00,178.00,180.00,8615500,180.00
2016-12-01,183.00,185.00,180.00,180.00,8655300,180.00
2016-11-30,181.00,186.00,180.00,183.00,14356500,183.00
2016-11-29,179.00,183.00,179.00,180.00,7154800,180.00
2016-11-28,181.00,183.00,178.00,179.00,9867300,179.00
2016-11-25,185.00,185.00,180.00,181.00,9543400,181.00
2016-11-24,189.00,189.00,181.00,181.00,9388300,181.00
2016-11-23,188.00,188.00,186.00,186.00,1265400,186.00
2016-11-22,187.00,189.00,185.00,188.00,3370900,188.00
2016-11-21,188.00,190.00,184.00,186.00,2649700,186.00
2016-11-18,186.00,188.00,183.00,188.00,7027000,188.00
2016-11-17,188.00,188.00,184.00,186.00,9150000,186.00
2016-11-16,181.00,188.00,181.00,186.00,15284000,186.00
2016-11-15,185.00,188.00,181.00,181.00,7065800,181.00
2016-11-14,192.00,192.00,180.00,183.00,21205200,183.00
2016-11-11,191.00,196.00,186.00,187.00,22603300,187.00
2016-11-10,191.00,193.00,189.00,192.00,21523600,192.00
2016-11-09,197.00,199.00,187.00,191.00,51834600,191.00
2016-11-08,194.00,204.00,194.00,197.00,39380600,197.00
2016-11-07,193.00,197.00,190.00,194.00,10969700,194.00
2016-11-04,192.00,193.00,185.00,193.00,7797600,193.00
2016-11-03,194.00,197.00,191.00,192.00,19476300,192.00
2016-11-02,191.00,199.00,191.00,197.00,31868500,197.00
2016-11-01,191.00,197.00,191.00,197.00,34965600,197.00
2016-10-31,191.00,193.00,188.00,191.00,7007300,191.00
2016-10-28,190.00,194.00,190.00,190.00,6903800,190.00
2016-10-27,190.00,192.00,189.00,190.00,9313100,190.00
2016-10-26,192.00,192.00,190.00,190.00,6995700,190.00
2016-10-25,195.00,197.00,192.00,192.00,6960500,192.00
2016-10-24,192.00,197.00,192.00,195.00,15284900,195.00
2016-10-21,191.00,193.00,189.00,192.00,9941700,192.00
2016-10-20,192.00,193.00,189.00,189.00,8848800,189.00
2016-10-19,200.00,200.00,191.00,192.00,21987800,192.00
2016-10-18,187.00,202.00,187.00,196.00,64619700,196.00
2016-10-17,192.00,192.00,187.00,187.00,2283000,187.00
2016-10-14,186.00,190.00,184.00,188.00,9235600,188.00
2016-10-13,188.00,189.00,184.00,186.00,11484200,186.00
2016-10-12,190.00,191.00,187.00,187.00,12232800,187.00
2016-10-11,192.00,194.00,182.00,190.00,9315100,190.00
2016-10-10,193.00,196.00,183.00,192.00,20726000,192.00
2016-10-07,182.00,195.00,182.00,193.00,7050300,193.00
2016-10-06,185.00,195.00,185.00,192.00,32558100,192.00
2016-10-05,206.00,206.00,191.00,195.00,24085000,195.00
2016-10-04,196.00,204.00,194.00,196.00,24072700,196.00
2016-10-03,190.00,200.00,190.00,196.00,53563200,196.00
2016-09-30,183.00,199.00,182.00,189.00,143368800,189.00
2016-09-29,182.00,186.00,182.00,183.00,28895700,183.00
2016-09-28,172.00,185.00,172.00,182.00,24427500,182.00
2016-09-27,182.00,187.00,179.00,182.00,30279500,182.00
