Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1580.00,1580.00,1560.00,1575.00,429700,1575.00
2017-01-31,1580.00,1595.00,1550.00,1580.00,1017400,1580.00
2017-01-30,1525.00,1590.00,1525.00,1590.00,195700,1590.00
2017-01-27,1550.00,1555.00,1525.00,1525.00,636900,1525.00
2017-01-26,1555.00,1585.00,1550.00,1550.00,1595000,1550.00
2017-01-25,1625.00,1625.00,1555.00,1555.00,476900,1555.00
2017-01-24,1610.00,1635.00,1590.00,1605.00,255000,1605.00
2017-01-23,1655.00,1680.00,1555.00,1600.00,2796000,1600.00
2017-01-20,1625.00,1700.00,1625.00,1655.00,374400,1655.00
2017-01-19,1640.00,1655.00,1625.00,1625.00,144200,1625.00
2017-01-18,1655.00,1655.00,1630.00,1635.00,116400,1635.00
2017-01-17,1625.00,1655.00,1620.00,1655.00,89900,1655.00
2017-01-16,1630.00,1640.00,1620.00,1625.00,368500,1625.00
2017-01-13,1680.00,1750.00,1600.00,1630.00,591400,1630.00
2017-01-12,1680.00,1690.00,1670.00,1680.00,4223600,1680.00
2017-01-11,1655.00,1690.00,1640.00,1680.00,7310900,1680.00
2017-01-10,1680.00,1690.00,1635.00,1655.00,5964700,1655.00
2017-01-09,1630.00,1700.00,1620.00,1680.00,618600,1680.00
2017-01-06,1610.00,1640.00,1595.00,1630.00,1054600,1630.00
2017-01-05,1585.00,1615.00,1585.00,1610.00,602500,1610.00
2017-01-04,1585.00,1595.00,1505.00,1585.00,1859200,1585.00
2017-01-03,1600.00,1600.00,1550.00,1585.00,86800,1585.00
2017-01-02,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-30,1565.00,1610.00,1545.00,1600.00,1318200,1600.00
2016-12-29,1520.00,1560.00,1520.00,1560.00,1869800,1560.00
2016-12-28,1510.00,1520.00,1500.00,1520.00,448400,1520.00
2016-12-27,1490.00,1510.00,1490.00,1500.00,123100,1500.00
2016-12-26,1490.00,1490.00,1490.00,1490.00,000,1490.00
2016-12-23,1510.00,1510.00,1485.00,1490.00,487100,1490.00
2016-12-22,1460.00,1515.00,1460.00,1510.00,1907700,1510.00
2016-12-21,1510.00,1515.00,1500.00,1510.00,1128400,1510.00
2016-12-20,1510.00,1520.00,1510.00,1510.00,5624700,1510.00
2016-12-19,1470.00,1520.00,1470.00,1510.00,660400,1510.00
2016-12-16,1515.00,1535.00,1505.00,1520.00,1052900,1520.00
2016-12-15,1500.00,1515.00,1500.00,1515.00,202200,1515.00
2016-12-14,1525.00,1535.00,1505.00,1515.00,5024100,1515.00
2016-12-13,1510.00,1535.00,1505.00,1505.00,1661600,1505.00
2016-12-12,1510.00,1510.00,1510.00,1510.00,000,1510.00
2016-12-09,1505.00,1530.00,1505.00,1510.00,855800,1510.00
2016-12-08,1510.00,1550.00,1500.00,1505.00,2036000,1505.00
2016-12-07,1520.00,1525.00,1500.00,1500.00,298000,1500.00
