Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,655.00,685.00,645.00,650.00,127100,650.00
2017-01-31,655.00,655.00,640.00,655.00,39000,655.00
2017-01-30,670.00,670.00,630.00,670.00,217500,670.00
2017-01-27,670.00,670.00,670.00,670.00,100,670.00
2017-01-26,640.00,675.00,620.00,640.00,32200,640.00
2017-01-25,635.00,680.00,630.00,640.00,10200,640.00
2017-01-24,665.00,680.00,660.00,680.00,13300,680.00
2017-01-23,660.00,670.00,655.00,670.00,9100,670.00
2017-01-20,630.00,660.00,620.00,660.00,48500,660.00
2017-01-19,655.00,655.00,655.00,655.00,9000,655.00
2017-01-18,650.00,660.00,615.00,655.00,131200,655.00
2017-01-17,615.00,655.00,615.00,650.00,67500,650.00
2017-01-16,615.00,665.00,605.00,615.00,245300,615.00
2017-01-13,645.00,665.00,615.00,615.00,710800,615.00
2017-01-12,700.00,700.00,700.00,700.00,000,700.00
2017-01-11,700.00,700.00,695.00,700.00,1100,700.00
2017-01-10,700.00,700.00,700.00,700.00,000,700.00
2017-01-09,700.00,700.00,700.00,700.00,000,700.00
2017-01-06,690.00,700.00,690.00,700.00,15000,700.00
2017-01-05,625.00,700.00,625.00,700.00,1300,700.00
2017-01-04,700.00,700.00,685.00,700.00,4800,700.00
2017-01-03,670.00,700.00,670.00,700.00,19500,700.00
2017-01-02,680.00,680.00,680.00,680.00,000,680.00
2016-12-30,680.00,680.00,680.00,680.00,200,680.00
2016-12-29,670.00,700.00,635.00,635.00,13300,635.00
2016-12-28,685.00,685.00,670.00,670.00,1100,670.00
2016-12-27,625.00,630.00,625.00,630.00,22700,630.00
2016-12-26,625.00,625.00,625.00,625.00,000,625.00
2016-12-23,625.00,625.00,625.00,625.00,100,625.00
2016-12-22,685.00,690.00,620.00,630.00,154100,630.00
2016-12-21,690.00,690.00,640.00,685.00,200,685.00
2016-12-20,660.00,690.00,640.00,690.00,12200,690.00
2016-12-19,660.00,660.00,660.00,660.00,5700,660.00
2016-12-16,695.00,695.00,695.00,695.00,000,695.00
2016-12-15,695.00,695.00,695.00,695.00,200,695.00
2016-12-14,680.00,700.00,680.00,690.00,30400,690.00
2016-12-13,700.00,710.00,690.00,700.00,4300,700.00
2016-12-12,700.00,700.00,700.00,700.00,000,700.00
2016-12-09,710.00,710.00,680.00,700.00,500,700.00
2016-12-08,655.00,655.00,655.00,655.00,1400,655.00
2016-12-07,690.00,700.00,680.00,700.00,24300,700.00
2016-12-06,720.00,720.00,665.00,695.00,29100,695.00
2016-12-05,695.00,705.00,675.00,700.00,185900,700.00
2016-12-02,700.00,700.00,695.00,695.00,700,695.00
2016-12-01,705.00,705.00,700.00,700.00,1700,700.00
2016-11-30,705.00,705.00,705.00,705.00,000,705.00
2016-11-29,650.00,710.00,650.00,705.00,15400,705.00
2016-11-28,700.00,700.00,645.00,645.00,11600,645.00
2016-11-25,675.00,700.00,640.00,700.00,206400,700.00
2016-11-24,675.00,715.00,670.00,670.00,53400,670.00
2016-11-23,670.00,725.00,665.00,725.00,28900,725.00
2016-11-22,720.00,720.00,720.00,720.00,000,720.00
2016-11-21,700.00,725.00,700.00,720.00,87700,720.00
2016-11-18,700.00,700.00,670.00,700.00,15200,700.00
2016-11-17,710.00,710.00,690.00,700.00,31200,700.00
2016-11-16,690.00,690.00,690.00,690.00,1100,690.00
2016-11-15,720.00,720.00,660.00,690.00,31700,690.00
2016-11-14,675.00,720.00,675.00,720.00,22000,720.00
2016-11-11,715.00,715.00,675.00,675.00,12300,675.00
2016-11-10,730.00,730.00,700.00,715.00,58000,715.00
2016-11-09,700.00,710.00,685.00,710.00,36700,710.00
2016-11-08,775.00,775.00,665.00,685.00,246700,685.00
2016-11-07,735.00,735.00,735.00,735.00,81400,735.00
2016-11-04,725.00,735.00,720.00,735.00,2700,735.00
2016-11-03,735.00,735.00,705.00,725.00,10600,725.00
2016-11-02,735.00,735.00,705.00,705.00,4400,705.00
2016-11-01,735.00,745.00,715.00,735.00,67200,735.00
2016-10-31,735.00,740.00,720.00,735.00,113000,735.00
2016-10-28,730.00,735.00,715.00,715.00,31100,715.00
2016-10-27,705.00,730.00,705.00,730.00,52700,730.00
2016-10-26,705.00,735.00,705.00,735.00,35200,735.00
2016-10-25,760.00,760.00,705.00,725.00,186700,725.00
2016-10-24,705.00,740.00,705.00,740.00,400,740.00
2016-10-21,760.00,760.00,705.00,705.00,7800,705.00
2016-10-20,740.00,750.00,715.00,720.00,12500,720.00
2016-10-19,730.00,760.00,720.00,720.00,38000,720.00
2016-10-18,760.00,760.00,720.00,740.00,111400,740.00
2016-10-17,745.00,755.00,720.00,720.00,17000,720.00
2016-10-14,760.00,760.00,720.00,725.00,73500,725.00
2016-10-13,740.00,740.00,705.00,720.00,46200,720.00
2016-10-12,660.00,700.00,660.00,700.00,11300,700.00
2016-10-11,720.00,720.00,680.00,720.00,200,720.00
2016-10-10,715.00,725.00,695.00,720.00,6100,720.00
2016-10-07,750.00,750.00,685.00,715.00,92000,715.00
2016-10-06,790.00,790.00,710.00,755.00,407800,755.00
2016-10-05,790.00,790.00,770.00,785.00,1900,785.00
2016-10-04,800.00,800.00,760.00,795.00,134500,795.00
2016-10-03,800.00,805.00,770.00,800.00,51200,800.00
2016-09-30,805.00,805.00,795.00,795.00,23800,795.00
2016-09-29,790.00,805.00,790.00,805.00,36700,805.00
2016-09-28,765.00,765.00,765.00,765.00,4900,765.00
2016-09-27,805.00,805.00,760.00,800.00,300,800.00
2016-09-26,770.00,805.00,770.00,805.00,3000,805.00
2016-09-23,800.00,810.00,770.00,800.00,27200,800.00
2016-09-22,790.00,810.00,790.00,810.00,31600,810.00
2016-09-21,795.00,795.00,745.00,790.00,52100,790.00
2016-09-20,795.00,795.00,795.00,795.00,2600,795.00
2016-09-19,810.00,820.00,790.00,795.00,19100,795.00
2016-09-16,815.00,815.00,815.00,815.00,000,815.00
2016-09-15,750.00,815.00,750.00,815.00,53800,815.00
2016-09-14,805.00,805.00,805.00,805.00,8100,805.00
2016-09-13,780.00,810.00,740.00,810.00,87200,810.00
2016-09-12,780.00,780.00,780.00,780.00,000,780.00
2016-09-09,815.00,815.00,780.00,780.00,1100,780.00
2016-09-08,800.00,815.00,790.00,790.00,10200,790.00
2016-09-07,775.00,815.00,775.00,800.00,69000,800.00
2016-09-06,800.00,815.00,785.00,805.00,2900,805.00
2016-09-05,800.00,830.00,790.00,795.00,87000,795.00
2016-09-02,775.00,790.00,775.00,790.00,36400,790.00
2016-09-01,800.00,800.00,760.00,760.00,5400,760.00
2016-08-31,800.00,800.00,795.00,800.00,900,800.00
2016-08-30,795.00,800.00,795.00,800.00,400,800.00
2016-08-29,800.00,800.00,775.00,775.00,24200,775.00
2016-08-26,800.00,800.00,800.00,800.00,000,800.00
2016-08-25,780.00,820.00,780.00,800.00,8000,800.00
2016-08-24,820.00,820.00,780.00,780.00,1200,780.00
2016-08-23,810.00,820.00,810.00,820.00,41900,820.00
2016-08-22,780.00,820.00,775.00,820.00,60600,820.00
2016-08-19,780.00,800.00,780.00,780.00,2900,780.00
2016-08-18,810.00,810.00,780.00,780.00,3600,780.00
2016-08-17,775.00,775.00,775.00,775.00,000,775.00
2016-08-16,815.00,820.00,775.00,775.00,21500,775.00
2016-08-15,775.00,830.00,775.00,775.00,10200,775.00
2016-08-12,850.00,870.00,770.00,775.00,174900,775.00
2016-08-11,840.00,840.00,840.00,840.00,100,840.00
2016-08-10,760.00,850.00,745.00,830.00,18800,830.00
2016-08-09,825.00,825.00,745.00,745.00,104600,745.00
2016-08-08,895.00,945.00,825.00,825.00,147100,825.00
2016-08-05,895.00,950.00,840.00,895.00,281300,895.00
2016-08-04,890.00,910.00,885.00,890.00,111100,890.00
2016-08-03,850.00,930.00,845.00,910.00,633100,910.00
2016-08-02,845.00,900.00,820.00,820.00,380900,820.00
