Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,350.00,352.00,320.00,342.00,174000,342.00
2017-01-31,350.00,354.00,300.00,350.00,491500,350.00
2017-01-30,310.00,312.00,304.00,312.00,129400,312.00
2017-01-27,310.00,310.00,308.00,310.00,36700,310.00
2017-01-26,300.00,310.00,298.00,310.00,216600,310.00
2017-01-25,300.00,302.00,296.00,300.00,93400,300.00
2017-01-24,282.00,300.00,280.00,300.00,106900,300.00
2017-01-23,280.00,282.00,276.00,282.00,26300,282.00
2017-01-20,280.00,298.00,274.00,280.00,292800,280.00
2017-01-19,284.00,284.00,280.00,280.00,64800,280.00
2017-01-18,284.00,284.00,280.00,284.00,45700,284.00
2017-01-17,282.00,286.00,280.00,284.00,64100,284.00
2017-01-16,290.00,292.00,282.00,282.00,48000,282.00
2017-01-13,290.00,290.00,282.00,290.00,106600,290.00
2017-01-12,290.00,290.00,284.00,290.00,84200,290.00
2017-01-11,294.00,294.00,290.00,290.00,62400,290.00
2017-01-10,298.00,298.00,290.00,294.00,111300,294.00
2017-01-09,302.00,302.00,290.00,298.00,186600,298.00
2017-01-06,300.00,302.00,288.00,302.00,302800,302.00
2017-01-05,300.00,324.00,292.00,300.00,345900,300.00
2017-01-04,324.00,326.00,294.00,298.00,370000,298.00
2017-01-03,340.00,340.00,324.00,324.00,119400,324.00
2017-01-02,340.00,340.00,340.00,340.00,000,340.00
2016-12-30,342.00,350.00,332.00,340.00,2544200,340.00
2016-12-29,346.00,346.00,340.00,340.00,103000,340.00
2016-12-28,344.00,346.00,340.00,346.00,179300,346.00
2016-12-27,344.00,348.00,318.00,346.00,1577000,346.00
2016-12-26,344.00,344.00,344.00,344.00,000,344.00
2016-12-23,358.00,358.00,344.00,344.00,169800,344.00
2016-12-22,360.00,364.00,354.00,358.00,83500,358.00
2016-12-21,368.00,368.00,348.00,360.00,305900,360.00
2016-12-20,372.00,378.00,336.00,368.00,4711900,368.00
2016-12-19,376.00,384.00,342.00,372.00,1559700,372.00
2016-12-16,380.00,474.00,342.00,378.00,3633200,378.00
2016-12-15,380.00,380.00,380.00,380.00,000,380.00
2016-12-14,308.00,382.00,308.00,380.00,3635800,380.00
2016-12-13,306.00,306.00,296.00,306.00,185700,306.00
2016-12-12,306.00,306.00,306.00,306.00,000,306.00
2016-12-09,312.00,318.00,290.00,306.00,633900,306.00
2016-12-08,284.00,338.00,276.00,308.00,6127100,308.00
2016-12-07,240.00,286.00,236.00,282.00,3028300,282.00
2016-12-06,206.00,240.00,202.00,238.00,3864300,238.00
2016-12-05,188.00,208.00,187.00,204.00,728100,204.00
2016-12-02,189.00,189.00,188.00,188.00,11300,188.00
2016-12-01,187.00,189.00,179.00,189.00,276700,189.00
2016-11-30,175.00,190.00,175.00,187.00,520000,187.00
2016-11-29,172.00,174.00,171.00,174.00,23500,174.00
2016-11-28,171.00,172.00,171.00,171.00,10900,171.00
2016-11-25,171.00,171.00,171.00,171.00,100,171.00
2016-11-24,171.00,171.00,171.00,171.00,100,171.00
2016-11-23,172.00,172.00,171.00,171.00,14700,171.00
2016-11-22,172.00,172.00,172.00,172.00,38100,172.00
2016-11-21,173.00,173.00,166.00,172.00,131900,172.00
2016-11-18,175.00,175.00,173.00,173.00,210500,173.00
2016-11-17,174.00,174.00,173.00,173.00,18800,173.00
2016-11-16,176.00,176.00,174.00,174.00,21600,174.00
2016-11-15,176.00,176.00,176.00,176.00,000,176.00
2016-11-14,178.00,178.00,176.00,176.00,24500,176.00
2016-11-11,178.00,179.00,178.00,178.00,20600,178.00
2016-11-10,185.00,185.00,178.00,178.00,115100,178.00
2016-11-09,185.00,185.00,185.00,185.00,000,185.00
2016-11-08,185.00,185.00,185.00,185.00,600,185.00
2016-11-07,185.00,185.00,185.00,185.00,000,185.00
2016-11-04,184.00,185.00,181.00,185.00,30700,185.00
2016-11-03,184.00,184.00,180.00,184.00,37700,184.00
2016-11-02,185.00,185.00,185.00,185.00,100,185.00
2016-11-01,188.00,188.00,184.00,185.00,30600,185.00
2016-10-31,190.00,190.00,188.00,188.00,13400,188.00
2016-10-28,176.00,206.00,174.00,190.00,315700,190.00
2016-10-27,177.00,177.00,170.00,177.00,81100,177.00
2016-10-26,175.00,177.00,174.00,177.00,37000,177.00
2016-10-25,175.00,175.00,175.00,175.00,100,175.00
2016-10-24,174.00,174.00,174.00,174.00,100,174.00
2016-10-21,174.00,174.00,174.00,174.00,3500,174.00
2016-10-20,174.00,174.00,174.00,174.00,100,174.00
2016-10-19,174.00,175.00,172.00,175.00,25900,175.00
2016-10-18,175.00,175.00,175.00,175.00,1300,175.00
2016-10-17,175.00,175.00,175.00,175.00,1800,175.00
2016-10-14,178.00,178.00,178.00,178.00,000,178.00
2016-10-13,178.00,178.00,178.00,178.00,000,178.00
2016-10-12,178.00,178.00,178.00,178.00,100,178.00
2016-10-11,179.00,179.00,179.00,179.00,000,179.00
2016-10-10,178.00,179.00,178.00,179.00,12800,179.00
