Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,970.00,1020.00,970.00,1015.00,34742700,1015.00
2017-01-31,970.00,995.00,970.00,970.00,12797200,970.00
2017-01-30,985.00,1000.00,970.00,980.00,9786700,980.00
2017-01-27,995.00,1010.00,980.00,985.00,14500800,985.00
2017-01-26,980.00,1020.00,980.00,995.00,29913700,995.00
2017-01-25,995.00,1010.00,975.00,980.00,21426200,980.00
2017-01-24,1040.00,1040.00,975.00,975.00,28287400,975.00
2017-01-23,1060.00,1070.00,1020.00,1025.00,14086600,1025.00
2017-01-20,1090.00,1100.00,1055.00,1060.00,16759200,1060.00
2017-01-19,1140.00,1140.00,1095.00,1100.00,6993100,1100.00
2017-01-18,1100.00,1135.00,1090.00,1130.00,8247500,1130.00
2017-01-17,1135.00,1145.00,1090.00,1100.00,15167900,1100.00
2017-01-16,1135.00,1150.00,1135.00,1135.00,8605100,1135.00
2017-01-13,1175.00,1175.00,1125.00,1135.00,17030600,1135.00
2017-01-12,1165.00,1175.00,1150.00,1170.00,13087100,1170.00
2017-01-11,1110.00,1185.00,1110.00,1165.00,56002000,1165.00
2017-01-10,1095.00,1115.00,1080.00,1110.00,9862000,1110.00
2017-01-09,1105.00,1125.00,1090.00,1095.00,9592300,1095.00
2017-01-06,1070.00,1115.00,1070.00,1105.00,17903100,1105.00
2017-01-05,1070.00,1105.00,1070.00,1075.00,15841500,1075.00
2017-01-04,1105.00,1115.00,1060.00,1065.00,25074900,1065.00
2017-01-03,1075.00,1110.00,1075.00,1105.00,12897700,1105.00
2017-01-02,1075.00,1075.00,1075.00,1075.00,000,1075.00
2016-12-30,1140.00,1160.00,1065.00,1075.00,24761800,1075.00
2016-12-29,1160.00,1170.00,1130.00,1140.00,13324500,1140.00
2016-12-28,1095.00,1170.00,1095.00,1150.00,17289600,1150.00
2016-12-27,1100.00,1115.00,1080.00,1085.00,6666800,1085.00
2016-12-26,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-12-23,1100.00,1145.00,1085.00,1090.00,8771000,1090.00
2016-12-22,1130.00,1140.00,1065.00,1095.00,15938100,1095.00
2016-12-21,1150.00,1170.00,1120.00,1130.00,13217200,1130.00
2016-12-20,1155.00,1190.00,1150.00,1150.00,18653100,1150.00
2016-12-19,1180.00,1250.00,1150.00,1155.00,51052500,1155.00
2016-12-16,1140.00,1180.00,1140.00,1180.00,15022000,1180.00
2016-12-15,1160.00,1200.00,1135.00,1140.00,26291900,1140.00
2016-12-14,1240.00,1255.00,1175.00,1175.00,18678800,1175.00
2016-12-13,1240.00,1260.00,1220.00,1240.00,13369900,1240.00
2016-12-12,1240.00,1240.00,1240.00,1240.00,000,1240.00
2016-12-09,1245.00,1255.00,1215.00,1240.00,18352600,1240.00
2016-12-08,1300.00,1305.00,1230.00,1245.00,17103800,1245.00
2016-12-07,1280.00,1325.00,1255.00,1300.00,32454000,1300.00
2016-12-06,1310.00,1320.00,1275.00,1280.00,16464900,1280.00
2016-12-05,1340.00,1340.00,1295.00,1300.00,18787600,1300.00
2016-12-02,1310.00,1360.00,1305.00,1315.00,47340800,1315.00
2016-12-01,1205.00,1305.00,1205.00,1305.00,60151400,1305.00
2016-11-30,1250.00,1270.00,1205.00,1205.00,25040800,1205.00
2016-11-29,1250.00,1265.00,1230.00,1250.00,12709000,1250.00
2016-11-28,1235.00,1270.00,1200.00,1245.00,31969100,1245.00
2016-11-25,1240.00,1240.00,1190.00,1235.00,19796600,1235.00
2016-11-24,1270.00,1280.00,1190.00,1205.00,37407900,1205.00
2016-11-23,1230.00,1265.00,1215.00,1250.00,69339200,1250.00
