Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,330.00,330.00,330.00,330.00,000,330.00
2017-01-31,330.00,330.00,330.00,330.00,000,330.00
2017-01-30,330.00,330.00,330.00,330.00,000,330.00
2017-01-27,330.00,330.00,330.00,330.00,000,330.00
2017-01-26,330.00,330.00,330.00,330.00,000,330.00
2017-01-25,330.00,330.00,330.00,330.00,000,330.00
2017-01-24,330.00,330.00,330.00,330.00,000,330.00
2017-01-23,330.00,410.00,330.00,330.00,400,330.00
2017-01-20,330.00,330.00,330.00,330.00,000,330.00
2017-01-19,330.00,330.00,330.00,330.00,000,330.00
2017-01-18,330.00,330.00,330.00,330.00,000,330.00
2017-01-17,330.00,330.00,330.00,330.00,000,330.00
2017-01-16,330.00,330.00,330.00,330.00,000,330.00
2017-01-13,330.00,330.00,330.00,330.00,000,330.00
2017-01-12,330.00,330.00,330.00,330.00,000,330.00
2017-01-11,330.00,330.00,330.00,330.00,000,330.00
2017-01-10,330.00,330.00,330.00,330.00,000,330.00
2017-01-09,330.00,330.00,330.00,330.00,000,330.00
2017-01-06,330.00,330.00,330.00,330.00,000,330.00
2017-01-05,330.00,330.00,330.00,330.00,000,330.00
2017-01-04,330.00,330.00,330.00,330.00,000,330.00
2017-01-03,330.00,330.00,330.00,330.00,000,330.00
2017-01-02,330.00,330.00,330.00,330.00,000,330.00
2016-12-30,330.00,330.00,330.00,330.00,000,330.00
2016-12-29,330.00,330.00,330.00,330.00,000,330.00
2016-12-28,330.00,330.00,330.00,330.00,000,330.00
2016-12-27,330.00,330.00,330.00,330.00,000,330.00
2016-12-26,330.00,330.00,330.00,330.00,000,330.00
2016-12-23,330.00,330.00,330.00,330.00,000,330.00
2016-12-22,330.00,330.00,330.00,330.00,000,330.00
2016-12-21,330.00,330.00,330.00,330.00,000,330.00
2016-12-20,298.00,330.00,298.00,330.00,100,330.00
2016-12-19,298.00,298.00,298.00,298.00,1000,298.00
2016-12-16,330.00,330.00,330.00,330.00,000,330.00
2016-12-15,330.00,330.00,330.00,330.00,000,330.00
2016-12-14,330.00,330.00,330.00,330.00,000,330.00
2016-12-13,330.00,330.00,330.00,330.00,000,330.00
2016-12-12,330.00,330.00,330.00,330.00,000,330.00
2016-12-09,330.00,330.00,330.00,330.00,000,330.00
2016-12-08,330.00,330.00,330.00,330.00,000,330.00
2016-12-07,330.00,330.00,330.00,330.00,000,330.00
2016-12-06,330.00,330.00,330.00,330.00,000,330.00
2016-12-05,330.00,330.00,330.00,330.00,000,330.00
2016-12-02,330.00,330.00,330.00,330.00,000,330.00
2016-12-01,330.00,330.00,330.00,330.00,000,330.00
2016-11-30,330.00,330.00,330.00,330.00,000,330.00
2016-11-29,330.00,330.00,330.00,330.00,000,330.00
2016-11-28,330.00,330.00,330.00,330.00,000,330.00
2016-11-25,330.00,330.00,330.00,330.00,100,330.00
2016-11-24,338.00,338.00,338.00,338.00,000,338.00
2016-11-23,338.00,338.00,338.00,338.00,000,338.00
2016-11-22,338.00,338.00,338.00,338.00,000,338.00
2016-11-21,338.00,338.00,338.00,338.00,000,338.00
2016-11-18,338.00,338.00,338.00,338.00,000,338.00
2016-11-17,338.00,338.00,338.00,338.00,000,338.00
2016-11-16,338.00,338.00,338.00,338.00,000,338.00
2016-11-15,338.00,338.00,338.00,338.00,000,338.00
2016-11-14,338.00,338.00,338.00,338.00,000,338.00
2016-11-11,338.00,338.00,338.00,338.00,000,338.00
2016-11-10,338.00,338.00,338.00,338.00,10000,338.00
2016-11-09,344.00,344.00,344.00,344.00,000,344.00
2016-11-08,344.00,344.00,344.00,344.00,100,344.00
2016-11-07,330.00,330.00,330.00,330.00,000,330.00
2016-11-04,330.00,330.00,330.00,330.00,000,330.00
2016-11-03,330.00,330.00,330.00,330.00,000,330.00
2016-11-02,330.00,330.00,330.00,330.00,000,330.00
2016-11-01,300.00,360.00,300.00,330.00,300,330.00
2016-10-31,300.00,300.00,300.00,300.00,000,300.00
2016-10-28,300.00,300.00,300.00,300.00,000,300.00
2016-10-27,300.00,300.00,300.00,300.00,000,300.00
2016-10-26,288.00,300.00,260.00,300.00,4600,300.00
2016-10-25,396.00,396.00,288.00,288.00,56600,288.00
2016-10-24,260.00,320.00,234.00,320.00,51100,320.00
2016-10-21,348.00,348.00,258.00,260.00,26700,260.00
2016-10-20,216.00,290.00,216.00,280.00,10900,280.00
2016-10-19,308.00,308.00,234.00,236.00,16000,236.00
2016-10-18,258.00,260.00,190.00,260.00,4100,260.00
2016-10-17,284.00,284.00,208.00,208.00,28300,208.00
2016-10-14,220.00,286.00,220.00,230.00,6700,230.00
2016-10-13,230.00,230.00,230.00,230.00,000,230.00
2016-10-12,230.00,230.00,230.00,230.00,000,230.00
2016-10-11,248.00,248.00,230.00,230.00,100,230.00
2016-10-10,248.00,248.00,248.00,248.00,000,248.00
2016-10-07,248.00,248.00,248.00,248.00,000,248.00
2016-10-06,248.00,248.00,248.00,248.00,000,248.00
2016-10-05,248.00,248.00,248.00,248.00,200,248.00
2016-10-04,260.00,260.00,260.00,260.00,000,260.00
2016-10-03,260.00,260.00,260.00,260.00,000,260.00
2016-09-30,260.00,260.00,260.00,260.00,000,260.00
2016-09-29,260.00,260.00,260.00,260.00,000,260.00
2016-09-28,260.00,260.00,260.00,260.00,000,260.00
2016-09-27,260.00,260.00,260.00,260.00,000,260.00
2016-09-26,260.00,260.00,260.00,260.00,000,260.00
2016-09-23,260.00,260.00,260.00,260.00,000,260.00
2016-09-22,260.00,260.00,260.00,260.00,000,260.00
2016-09-21,360.00,360.00,260.00,260.00,10400,260.00
2016-09-20,288.00,288.00,288.00,288.00,000,288.00
2016-09-19,288.00,288.00,288.00,288.00,100,288.00
2016-09-16,288.00,288.00,288.00,288.00,000,288.00
2016-09-15,288.00,288.00,288.00,288.00,2000,288.00
2016-09-14,290.00,290.00,290.00,290.00,000,290.00
2016-09-13,290.00,290.00,290.00,290.00,000,290.00
2016-09-12,290.00,290.00,290.00,290.00,000,290.00
2016-09-09,306.00,306.00,290.00,290.00,4100,290.00
2016-09-08,248.00,248.00,248.00,248.00,000,248.00
2016-09-07,248.00,248.00,248.00,248.00,000,248.00
2016-09-06,270.00,300.00,248.00,248.00,700,248.00
2016-09-05,250.00,250.00,250.00,250.00,100,250.00
2016-09-02,238.00,290.00,238.00,238.00,500,238.00
2016-09-01,238.00,238.00,238.00,238.00,000,238.00
2016-08-31,238.00,238.00,238.00,238.00,000,238.00
2016-08-30,238.00,238.00,238.00,238.00,000,238.00
2016-08-29,238.00,238.00,238.00,238.00,000,238.00
2016-08-26,238.00,238.00,238.00,238.00,000,238.00
2016-08-25,290.00,290.00,238.00,238.00,2200,238.00
2016-08-24,310.00,310.00,238.00,238.00,10400,238.00
2016-08-23,250.00,250.00,250.00,250.00,000,250.00
2016-08-22,250.00,250.00,250.00,250.00,100,250.00
2016-08-19,240.00,240.00,240.00,240.00,000,240.00
2016-08-18,250.00,250.00,240.00,240.00,400,240.00
2016-08-17,230.00,230.00,230.00,230.00,000,230.00
2016-08-16,246.00,246.00,230.00,230.00,300,230.00
2016-08-15,210.00,210.00,210.00,210.00,100,210.00
2016-08-12,170.00,170.00,170.00,170.00,000,170.00
2016-08-11,170.00,170.00,170.00,170.00,100,170.00
2016-08-10,180.00,180.00,180.00,180.00,000,180.00
2016-08-09,185.00,185.00,180.00,180.00,6700,180.00
2016-08-08,180.00,180.00,170.00,180.00,6700,180.00
2016-08-05,187.00,187.00,187.00,187.00,100,187.00
2016-08-04,181.00,181.00,181.00,181.00,100,181.00
2016-08-03,191.00,191.00,191.00,191.00,000,191.00
2016-08-02,191.00,191.00,191.00,191.00,000,191.00
2016-08-01,198.00,198.00,191.00,191.00,5000,191.00
2016-07-29,198.00,198.00,190.00,198.00,50900,198.00
2016-07-28,174.00,210.00,174.00,183.00,1000,183.00
2016-07-27,163.00,174.00,163.00,174.00,13700,174.00
2016-07-26,170.00,170.00,160.00,163.00,8100,163.00
2016-07-25,172.00,172.00,170.00,170.00,700,170.00
2016-07-22,210.00,250.00,171.00,172.00,28500,172.00
2016-07-21,190.00,190.00,190.00,190.00,000,190.00
2016-07-20,180.00,214.00,180.00,190.00,1000,190.00
2016-07-19,161.00,162.00,161.00,162.00,27500,162.00
2016-07-18,170.00,177.00,162.00,162.00,36100,162.00
2016-07-15,198.00,198.00,179.00,179.00,10300,179.00
2016-07-14,270.00,270.00,198.00,198.00,9100,198.00
2016-07-13,220.00,220.00,220.00,220.00,000,220.00
2016-07-12,220.00,220.00,220.00,220.00,000,220.00
2016-07-11,220.00,220.00,220.00,220.00,000,220.00
2016-07-08,220.00,220.00,220.00,220.00,000,220.00
2016-07-07,220.00,220.00,220.00,220.00,000,220.00
2016-07-06,220.00,220.00,220.00,220.00,000,220.00
2016-07-05,220.00,220.00,220.00,220.00,000,220.00
2016-07-04,220.00,220.00,220.00,220.00,000,220.00
2016-07-01,220.00,220.00,220.00,220.00,000,220.00
2016-06-30,180.00,240.00,180.00,220.00,4000,220.00
2016-06-28,180.00,180.00,180.00,180.00,000,180.00
2016-06-27,180.00,180.00,180.00,180.00,000,180.00
2016-06-24,180.00,180.00,180.00,180.00,000,180.00
2016-06-23,180.00,180.00,180.00,180.00,000,180.00
2016-06-22,180.00,180.00,180.00,180.00,000,180.00
2016-06-21,180.00,180.00,180.00,180.00,000,180.00
2016-06-20,180.00,180.00,180.00,180.00,000,180.00
2016-06-17,180.00,180.00,180.00,180.00,000,180.00
2016-06-16,180.00,180.00,180.00,180.00,000,180.00
2016-06-15,180.00,180.00,180.00,180.00,000,180.00
2016-06-14,180.00,180.00,180.00,180.00,000,180.00
2016-06-13,180.00,180.00,180.00,180.00,000,180.00
2016-06-10,180.00,180.00,180.00,180.00,21200,180.00
2016-06-09,199.00,199.00,199.00,199.00,000,199.00
2016-06-08,199.00,199.00,199.00,199.00,000,199.00
2016-06-07,199.00,199.00,199.00,199.00,000,199.00
2016-06-06,199.00,199.00,199.00,199.00,000,199.00
2016-06-03,199.00,199.00,199.00,199.00,000,199.00
2016-06-02,199.00,199.00,199.00,199.00,5100,199.00
2016-06-01,200.00,200.00,200.00,200.00,000,200.00
2016-05-31,200.00,200.00,200.00,200.00,000,200.00
2016-05-30,200.00,200.00,200.00,200.00,400,200.00
2016-05-27,206.00,206.00,200.00,200.00,300,200.00
2016-05-26,216.00,216.00,216.00,216.00,000,216.00
2016-05-25,216.00,216.00,216.00,216.00,200,216.00
2016-05-24,218.00,218.00,218.00,218.00,000,218.00
2016-05-23,218.00,218.00,218.00,218.00,000,218.00
2016-05-20,218.00,218.00,218.00,218.00,000,218.00
2016-05-19,218.00,218.00,218.00,218.00,000,218.00
2016-05-18,218.00,218.00,218.00,218.00,000,218.00
