Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1505.00,1510.00,1490.00,1495.00,2247800,1495.00
2017-01-31,1505.00,1525.00,1500.00,1505.00,2462300,1505.00
2017-01-30,1535.00,1535.00,1520.00,1520.00,2536400,1520.00
2017-01-27,1520.00,1540.00,1520.00,1535.00,2422500,1535.00
2017-01-26,1520.00,1520.00,1510.00,1520.00,2260800,1520.00
2017-01-25,1505.00,1525.00,1505.00,1520.00,2308600,1520.00
2017-01-24,1525.00,1525.00,1510.00,1525.00,2186100,1525.00
2017-01-23,1495.00,1520.00,1495.00,1520.00,2956300,1520.00
2017-01-20,1495.00,1500.00,1495.00,1495.00,2337400,1495.00
2017-01-19,1495.00,1500.00,1495.00,1495.00,2575200,1495.00
2017-01-18,1495.00,1500.00,1495.00,1495.00,2430800,1495.00
2017-01-17,1525.00,1525.00,1400.00,1495.00,2416300,1495.00
2017-01-16,1520.00,1535.00,1515.00,1525.00,2476100,1525.00
2017-01-13,1510.00,1530.00,1505.00,1520.00,2394700,1520.00
2017-01-12,1515.00,1535.00,1505.00,1510.00,2765100,1510.00
2017-01-11,1500.00,1520.00,1500.00,1515.00,2559500,1515.00
2017-01-10,1500.00,1515.00,1500.00,1500.00,2371100,1500.00
2017-01-09,1545.00,1565.00,1500.00,1500.00,2544200,1500.00
2017-01-06,1520.00,1545.00,1505.00,1545.00,1856800,1545.00
2017-01-05,1495.00,1550.00,1495.00,1505.00,2021500,1505.00
2017-01-04,1600.00,1600.00,1500.00,1500.00,2678200,1500.00
2017-01-03,1750.00,1750.00,1500.00,1600.00,3499700,1600.00
2017-01-02,1750.00,1750.00,1750.00,1750.00,000,1750.00
2016-12-30,1515.00,1750.00,1515.00,1750.00,2815000,1750.00
2016-12-29,1505.00,1525.00,1505.00,1515.00,2001500,1515.00
2016-12-28,1500.00,1510.00,1500.00,1505.00,1357400,1505.00
2016-12-27,1505.00,1510.00,1500.00,1500.00,1344300,1500.00
2016-12-26,1505.00,1505.00,1505.00,1505.00,000,1505.00
2016-12-23,1505.00,1510.00,1470.00,1505.00,2778100,1505.00
2016-12-22,1505.00,1520.00,1500.00,1505.00,2726200,1505.00
2016-12-21,1480.00,1520.00,1470.00,1505.00,4380400,1505.00
2016-12-20,1465.00,1480.00,1460.00,1480.00,2327900,1480.00
2016-12-19,1445.00,1470.00,1445.00,1465.00,2269000,1465.00
2016-12-16,1445.00,1450.00,1440.00,1445.00,2818600,1445.00
2016-12-15,1440.00,1465.00,1440.00,1445.00,2189700,1445.00
2016-12-14,1470.00,1475.00,1440.00,1440.00,1222200,1440.00
2016-12-13,1480.00,1485.00,1460.00,1470.00,2054000,1470.00
2016-12-12,1480.00,1480.00,1480.00,1480.00,000,1480.00
2016-12-09,1485.00,1505.00,1480.00,1480.00,972200,1480.00
2016-12-08,1500.00,1500.00,1475.00,1485.00,2418900,1485.00
2016-12-07,1455.00,1500.00,1430.00,1500.00,1379400,1500.00
2016-12-06,1445.00,1460.00,1440.00,1455.00,1406100,1455.00
2016-12-05,1475.00,1475.00,1420.00,1445.00,2708900,1445.00
2016-12-02,1455.00,1475.00,1410.00,1475.00,2249000,1475.00
2016-12-01,1430.00,1450.00,1430.00,1450.00,2273900,1450.00
2016-11-30,1430.00,1450.00,1430.00,1430.00,2207300,1430.00
2016-11-29,1450.00,1455.00,1430.00,1430.00,2322200,1430.00
2016-11-28,1485.00,1485.00,1450.00,1450.00,1982200,1450.00
2016-11-25,1485.00,1485.00,1400.00,1485.00,2260000,1485.00
2016-11-24,1500.00,1500.00,1485.00,1485.00,1295600,1485.00
2016-11-23,1495.00,1500.00,1490.00,1500.00,1013200,1500.00
2016-11-22,1540.00,1545.00,1490.00,1495.00,1134900,1495.00
2016-11-21,1560.00,1570.00,1540.00,1540.00,1002800,1540.00
2016-11-18,1600.00,1605.00,1560.00,1560.00,876000,1560.00
2016-11-17,1525.00,1630.00,1525.00,1600.00,3545500,1600.00
2016-11-16,1570.00,1570.00,1500.00,1525.00,919900,1525.00
2016-11-15,1565.00,1615.00,1565.00,1570.00,1414700,1570.00
2016-11-14,1630.00,1630.00,1565.00,1565.00,334300,1565.00
2016-11-11,1630.00,1630.00,1585.00,1585.00,357600,1585.00
2016-11-10,1580.00,1635.00,1580.00,1630.00,807600,1630.00
2016-11-09,1640.00,1645.00,1580.00,1580.00,586100,1580.00
2016-11-08,1640.00,1645.00,1640.00,1640.00,107800,1640.00
2016-11-07,1650.00,1655.00,1640.00,1640.00,588700,1640.00
2016-11-04,1620.00,1650.00,1620.00,1650.00,559300,1650.00
2016-11-03,1670.00,1675.00,1620.00,1620.00,1222000,1620.00
2016-11-02,1725.00,1735.00,1670.00,1670.00,1178500,1670.00
2016-11-01,1680.00,1740.00,1680.00,1730.00,335600,1730.00
2016-10-31,1700.00,1720.00,1680.00,1680.00,2066900,1680.00
2016-10-28,1725.00,1725.00,1680.00,1700.00,466500,1700.00
2016-10-27,1700.00,1745.00,1690.00,1725.00,10060400,1725.00
2016-10-26,1755.00,1755.00,1685.00,1705.00,557300,1705.00
