Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,71.00,73.00,71.00,73.00,156500,73.00
2017-01-31,71.00,74.00,71.00,71.00,10600,71.00
2017-01-30,71.00,75.00,71.00,75.00,115100,75.00
2017-01-27,69.00,71.00,69.00,71.00,330500,71.00
2017-01-26,70.00,70.00,67.00,69.00,118100,69.00
2017-01-25,72.00,72.00,71.00,72.00,8000,72.00
2017-01-24,70.00,70.00,70.00,70.00,000,70.00
2017-01-23,71.00,71.00,67.00,70.00,15200,70.00
2017-01-20,71.00,71.00,71.00,71.00,1200,71.00
2017-01-19,72.00,72.00,70.00,71.00,10300,71.00
2017-01-18,72.00,72.00,72.00,72.00,1100,72.00
2017-01-17,72.00,72.00,72.00,72.00,000,72.00
2017-01-16,71.00,72.00,71.00,72.00,74300,72.00
2017-01-13,71.00,71.00,71.00,71.00,2100,71.00
2017-01-12,67.00,71.00,67.00,69.00,377200,69.00
2017-01-11,71.00,71.00,67.00,67.00,86000,67.00
2017-01-10,79.00,79.00,69.00,71.00,4000,71.00
2017-01-09,79.00,79.00,79.00,79.00,000,79.00
2017-01-06,81.00,81.00,79.00,79.00,300,79.00
2017-01-05,70.00,70.00,70.00,70.00,900,70.00
2017-01-04,70.00,70.00,70.00,70.00,000,70.00
2017-01-03,68.00,70.00,66.00,70.00,770100,70.00
2017-01-02,69.00,69.00,69.00,69.00,000,69.00
2016-12-30,69.00,69.00,68.00,69.00,71700,69.00
2016-12-29,75.00,75.00,75.00,75.00,56000,75.00
2016-12-28,75.00,84.00,75.00,83.00,62300,83.00
2016-12-27,78.00,88.00,78.00,82.00,1656800,82.00
2016-12-26,79.00,79.00,79.00,79.00,000,79.00
2016-12-23,69.00,83.00,69.00,79.00,145100,79.00
2016-12-22,67.00,69.00,67.00,69.00,587200,69.00
2016-12-21,66.00,72.00,66.00,66.00,200300,66.00
2016-12-20,66.00,66.00,66.00,66.00,000,66.00
2016-12-19,68.00,68.00,66.00,66.00,1000,66.00
2016-12-16,66.00,66.00,66.00,66.00,100000,66.00
2016-12-15,66.00,66.00,66.00,66.00,8700,66.00
2016-12-14,67.00,67.00,67.00,67.00,200,67.00
2016-12-13,66.00,66.00,66.00,66.00,000,66.00
2016-12-12,66.00,66.00,66.00,66.00,000,66.00
2016-12-09,67.00,69.00,66.00,66.00,201700,66.00
2016-12-08,66.00,69.00,66.00,69.00,1477800,69.00
2016-12-07,67.00,67.00,67.00,67.00,000,67.00
2016-12-06,66.00,69.00,66.00,67.00,42200,67.00
2016-12-05,66.00,66.00,66.00,66.00,650200,66.00
2016-12-02,65.00,65.00,65.00,65.00,179900,65.00
2016-12-01,67.00,67.00,64.00,66.00,359200,66.00
2016-11-30,66.00,67.00,66.00,67.00,243000,67.00
2016-11-29,64.00,66.00,64.00,66.00,1227300,66.00
2016-11-28,64.00,65.00,63.00,65.00,116600,65.00
2016-11-25,64.00,64.00,64.00,64.00,000,64.00
2016-11-24,63.00,64.00,63.00,64.00,22800,64.00
2016-11-23,64.00,64.00,63.00,64.00,50200,64.00
2016-11-22,63.00,63.00,63.00,63.00,500000,63.00
2016-11-21,65.00,63.00,62.00,63.00,122700,63.00
2016-11-18,65.00,65.00,65.00,65.00,000,65.00
2016-11-17,65.00,65.00,65.00,65.00,1000,65.00
2016-11-16,62.00,63.00,62.00,63.00,302300,63.00
2016-11-15,62.00,62.00,62.00,62.00,153000,62.00
2016-11-14,62.00,62.00,62.00,62.00,18200,62.00
2016-11-11,64.00,64.00,62.00,62.00,1052900,62.00
2016-11-10,64.00,64.00,64.00,64.00,2100,64.00
2016-11-09,64.00,64.00,64.00,64.00,521500,64.00
2016-11-08,66.00,67.00,66.00,67.00,101000,67.00
2016-11-07,65.00,67.00,65.00,66.00,172700,66.00
2016-11-04,64.00,65.00,64.00,65.00,643100,65.00
2016-11-03,67.00,67.00,64.00,64.00,724000,64.00
2016-11-02,68.00,68.00,67.00,67.00,577400,67.00
2016-11-01,67.00,67.00,67.00,67.00,123900,67.00
2016-10-31,65.00,69.00,65.00,67.00,145600,67.00
2016-10-28,66.00,69.00,65.00,69.00,18000,69.00
2016-10-27,63.00,70.00,63.00,70.00,1346600,70.00
2016-10-26,67.00,67.00,63.00,63.00,227900,63.00
2016-10-25,64.00,65.00,64.00,64.00,1005700,64.00
2016-10-24,63.00,63.00,62.00,62.00,240600,62.00
2016-10-21,62.00,63.00,62.00,63.00,207800,63.00
2016-10-20,62.00,63.00,62.00,62.00,25985800,62.00
2016-10-19,62.00,63.00,60.00,63.00,196500,63.00
2016-10-18,61.00,61.00,61.00,61.00,100,61.00
2016-10-17,60.00,60.00,58.00,58.00,2900,58.00
2016-10-14,60.00,60.00,60.00,60.00,000,60.00
2016-10-13,60.00,60.00,60.00,60.00,000,60.00
2016-10-12,60.00,60.00,60.00,60.00,1200,60.00
2016-10-11,61.00,61.00,57.00,58.00,166900,58.00
2016-10-10,62.00,62.00,59.00,61.00,182000,61.00
2016-10-07,62.00,62.00,62.00,62.00,600,62.00
2016-10-06,63.00,63.00,63.00,63.00,100,63.00
2016-10-05,62.00,62.00,56.00,61.00,765800,61.00
2016-10-04,62.00,64.00,62.00,62.00,29900,62.00
2016-10-03,63.00,63.00,62.00,62.00,133000,62.00
2016-09-30,63.00,64.00,63.00,64.00,100,64.00
2016-09-29,64.00,64.00,63.00,63.00,15000,63.00
2016-09-28,64.00,64.00,61.00,62.00,218400,62.00
2016-09-27,65.00,65.00,62.00,62.00,72200,62.00
2016-09-26,64.00,65.00,64.00,65.00,3300,65.00
2016-09-23,64.00,64.00,64.00,64.00,200,64.00
2016-09-22,62.00,66.00,62.00,65.00,211200,65.00
2016-09-21,62.00,62.00,62.00,62.00,1000,62.00
2016-09-20,61.00,66.00,61.00,62.00,553900,62.00
2016-09-19,63.00,64.00,63.00,64.00,761200,64.00
2016-09-16,61.00,62.00,60.00,61.00,387400,61.00
2016-09-15,61.00,62.00,61.00,61.00,139600,61.00
2016-09-14,61.00,62.00,60.00,62.00,364600,62.00
2016-09-13,61.00,61.00,61.00,61.00,67300,61.00
2016-09-12,61.00,61.00,61.00,61.00,000,61.00
2016-09-09,63.00,63.00,61.00,61.00,117300,61.00
2016-09-08,63.00,63.00,63.00,63.00,45200,63.00
2016-09-07,63.00,63.00,62.00,63.00,62900,63.00
2016-09-06,65.00,66.00,63.00,66.00,552300,66.00
2016-09-05,61.00,62.00,61.00,62.00,316900,62.00
2016-09-02,62.00,62.00,61.00,61.00,406800,61.00
2016-09-01,62.00,62.00,59.00,59.00,465700,59.00
2016-08-31,62.00,63.00,61.00,62.00,913000,62.00
2016-08-30,62.00,62.00,61.00,62.00,214500,62.00
2016-08-29,62.00,62.00,62.00,62.00,214600,62.00
2016-08-26,63.00,64.00,62.00,64.00,445500,64.00
2016-08-25,62.00,64.00,62.00,64.00,784900,64.00
2016-08-24,67.00,67.00,62.00,65.00,126600,65.00
