Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,330.00,332.00,328.00,330.00,3838100,330.00
2017-01-31,330.00,332.00,330.00,330.00,3978500,330.00
2017-01-30,330.00,332.00,328.00,330.00,4395700,330.00
2017-01-27,332.00,332.00,330.00,330.00,4293600,330.00
2017-01-26,332.00,334.00,330.00,330.00,4211100,330.00
2017-01-25,336.00,336.00,332.00,332.00,3795600,332.00
2017-01-24,334.00,334.00,332.00,334.00,3564300,334.00
2017-01-23,334.00,336.00,332.00,332.00,3721200,332.00
2017-01-20,336.00,336.00,334.00,334.00,3979100,334.00
2017-01-19,336.00,336.00,334.00,334.00,3813500,334.00
2017-01-18,334.00,336.00,332.00,334.00,4352700,334.00
2017-01-17,334.00,334.00,334.00,334.00,3425000,334.00
2017-01-16,334.00,336.00,334.00,334.00,3897000,334.00
2017-01-13,336.00,336.00,334.00,334.00,4222000,334.00
2017-01-12,334.00,336.00,332.00,334.00,4015700,334.00
2017-01-11,334.00,336.00,334.00,334.00,3927200,334.00
2017-01-10,336.00,338.00,332.00,334.00,3587300,334.00
2017-01-09,336.00,338.00,336.00,336.00,4069000,336.00
2017-01-06,338.00,338.00,336.00,336.00,2996500,336.00
2017-01-05,338.00,338.00,334.00,336.00,3597500,336.00
2017-01-04,336.00,338.00,334.00,336.00,3975100,336.00
2017-01-03,336.00,338.00,334.00,336.00,2722200,336.00
2017-01-02,336.00,336.00,336.00,336.00,000,336.00
2016-12-30,336.00,336.00,330.00,336.00,4008000,336.00
2016-12-29,332.00,336.00,324.00,336.00,4369900,336.00
2016-12-28,334.00,334.00,332.00,334.00,2774700,334.00
2016-12-27,330.00,332.00,324.00,332.00,4048300,332.00
2016-12-26,328.00,328.00,328.00,328.00,000,328.00
2016-12-23,324.00,328.00,322.00,328.00,3735000,328.00
2016-12-22,318.00,322.00,318.00,322.00,4115700,322.00
2016-12-21,318.00,320.00,316.00,316.00,3546000,316.00
2016-12-20,318.00,320.00,318.00,318.00,3869000,318.00
2016-12-19,322.00,322.00,318.00,318.00,4225400,318.00
2016-12-16,320.00,322.00,318.00,320.00,4091300,320.00
2016-12-15,320.00,322.00,320.00,320.00,3538000,320.00
2016-12-14,322.00,322.00,318.00,320.00,4155100,320.00
2016-12-13,320.00,322.00,320.00,320.00,4058400,320.00
2016-12-12,320.00,320.00,320.00,320.00,000,320.00
2016-12-09,322.00,322.00,318.00,320.00,3018500,320.00
2016-12-08,322.00,322.00,320.00,320.00,4221300,320.00
2016-12-07,322.00,324.00,320.00,320.00,2952800,320.00
2016-12-06,326.00,326.00,322.00,322.00,3973000,322.00
2016-12-05,328.00,328.00,322.00,324.00,3059100,324.00
2016-12-02,324.00,326.00,324.00,324.00,4132500,324.00
2016-12-01,324.00,326.00,324.00,324.00,3121700,324.00
2016-11-30,324.00,326.00,324.00,324.00,3968100,324.00
2016-11-29,326.00,326.00,324.00,324.00,3068500,324.00
2016-11-28,326.00,328.00,318.00,324.00,6534000,324.00
2016-11-25,328.00,328.00,326.00,326.00,2848000,326.00
2016-11-24,328.00,330.00,324.00,326.00,4061800,326.00
2016-11-23,330.00,332.00,328.00,328.00,3143900,328.00
2016-11-22,330.00,330.00,328.00,330.00,3897300,330.00
2016-11-21,328.00,330.00,328.00,328.00,3065000,328.00
2016-11-18,330.00,330.00,326.00,328.00,3937300,328.00
