Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,8.00,8.60,7.80,7.90,72705900,790.00
2017-01-31,8.00,8.10,7.40,8.00,86015800,800.00
2017-01-30,6.90,7.70,6.90,7.60,75922100,760.00
2017-01-27,6.60,7.10,6.60,6.90,34480200,690.00
2017-01-26,6.90,7.00,6.50,6.60,59159400,660.00
2017-01-25,7.40,7.40,5.60,6.90,100,690.00
2017-01-24,5.50,5.90,5.50,5.80,65858900,580.00
2017-01-23,5.60,5.80,5.30,5.40,45479600,540.00
2017-01-20,5.00,6.00,5.00,5.60,237153400,560.00
2017-01-19,5.00,5.10,5.00,5.00,5754100,500.00
2017-01-18,5.00,5.20,5.00,5.00,35535600,500.00
2017-01-17,5.00,5.10,5.00,5.00,9952400,500.00
2017-01-16,5.00,5.00,5.00,5.00,707200,500.00
2017-01-13,5.00,5.00,5.00,5.00,22600,500.00
2017-01-12,5.00,5.00,5.00,5.00,358500,500.00
2017-01-11,5.00,5.00,5.00,5.00,71900,500.00
2017-01-10,5.00,5.00,5.00,5.00,520700,500.00
2017-01-09,5.00,5.00,5.00,5.00,67200,500.00
2017-01-06,5.00,5.00,5.00,5.00,69500,500.00
2017-01-05,5.00,5.00,5.00,5.00,65100,500.00
2017-01-04,5.00,5.00,5.00,5.00,6300,500.00
2017-01-03,5.00,5.00,5.00,5.00,000,500.00
2017-01-02,5.00,5.00,5.00,5.00,000,500.00
2016-12-30,5.00,5.00,5.00,5.00,500,500.00
2016-12-29,5.00,5.00,5.00,5.00,6900,500.00
2016-12-28,5.00,5.00,5.00,5.00,14300,500.00
2016-12-27,5.00,5.00,5.00,5.00,12400,500.00
2016-12-26,5.00,5.00,5.00,5.00,000,500.00
2016-12-23,5.00,5.00,5.00,5.00,13300,500.00
2016-12-22,5.00,5.00,5.00,5.00,500,500.00
2016-12-21,5.00,5.00,5.00,5.00,1700,500.00
2016-12-20,5.00,5.00,5.00,5.00,50400,500.00
2016-12-19,5.00,5.00,5.00,5.00,200,500.00
2016-12-16,5.00,5.00,5.00,5.00,22100,500.00
2016-12-15,5.00,5.00,5.00,5.00,2000,500.00
2016-12-14,5.00,5.00,5.00,5.00,30800,500.00
2016-12-13,5.00,5.00,5.00,5.00,23200,500.00
2016-12-12,5.00,5.00,5.00,5.00,000,500.00
2016-12-09,5.00,5.00,5.00,5.00,38100,500.00
2016-12-08,5.00,5.00,5.00,5.00,135100,500.00
2016-12-07,5.00,5.00,5.00,5.00,373400,500.00
2016-12-06,5.00,5.10,5.00,5.00,8892200,500.00
2016-12-05,5.00,5.00,5.00,5.00,247100,500.00
2016-12-02,5.00,5.00,5.00,5.00,172800,500.00
2016-12-01,5.00,5.00,5.00,5.00,903600,500.00
2016-11-30,5.00,5.00,5.00,5.00,360600,500.00
