Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,73.00,73.00,72.00,72.00,16900,72.00
2017-01-31,73.00,73.00,73.00,73.00,1200,73.00
2017-01-30,72.00,76.00,72.00,75.00,45900,75.00
2017-01-27,72.00,72.00,72.00,72.00,000,72.00
2017-01-26,72.00,72.00,72.00,72.00,000,72.00
2017-01-25,72.00,72.00,72.00,72.00,17000,72.00
2017-01-24,72.00,72.00,72.00,72.00,1000,72.00
2017-01-23,71.00,72.00,62.00,72.00,2200,72.00
2017-01-20,72.00,72.00,71.00,71.00,32000,71.00
2017-01-19,71.00,71.00,71.00,71.00,500,71.00
2017-01-18,74.00,77.00,67.00,77.00,1100,77.00
2017-01-17,74.00,74.00,74.00,74.00,000,74.00
2017-01-16,73.00,74.00,73.00,74.00,400,74.00
2017-01-13,73.00,73.00,73.00,73.00,000,73.00
2017-01-12,55.00,73.00,55.00,73.00,100,73.00
2017-01-11,63.00,63.00,55.00,55.00,100,55.00
2017-01-10,72.00,72.00,63.00,63.00,500,63.00
2017-01-09,72.00,72.00,72.00,72.00,000,72.00
2017-01-06,72.00,72.00,72.00,72.00,000,72.00
2017-01-05,72.00,72.00,72.00,72.00,000,72.00
2017-01-04,72.00,72.00,72.00,72.00,000,72.00
2017-01-03,72.00,72.00,72.00,72.00,000,72.00
2017-01-02,72.00,72.00,72.00,72.00,000,72.00
2016-12-30,72.00,72.00,72.00,72.00,000,72.00
2016-12-29,72.00,72.00,72.00,72.00,000,72.00
2016-12-28,74.00,75.00,71.00,72.00,72800,72.00
2016-12-27,78.00,83.00,78.00,78.00,3600,78.00
2016-12-26,86.00,86.00,86.00,86.00,000,86.00
2016-12-23,81.00,86.00,81.00,86.00,2500,86.00
2016-12-22,72.00,89.00,72.00,89.00,16600,89.00
2016-12-21,80.00,96.00,72.00,80.00,46200,80.00
2016-12-20,80.00,80.00,80.00,80.00,000,80.00
2016-12-19,80.00,80.00,80.00,80.00,000,80.00
2016-12-16,80.00,80.00,80.00,80.00,000,80.00
2016-12-15,80.00,80.00,80.00,80.00,000,80.00
2016-12-14,80.00,80.00,80.00,80.00,000,80.00
