Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,2360.00,2420.00,2360.00,2360.00,6942700,2360.00
2017-03-29,2350.00,2410.00,2350.00,2400.00,11453600,2400.00
2017-03-28,2330.00,2330.00,2330.00,2330.00,000,2330.00
2017-03-27,2330.00,2390.00,2330.00,2330.00,9434300,2330.00
2017-03-24,2400.00,2410.00,2360.00,2360.00,12862500,2360.00
2017-03-23,2440.00,2450.00,2390.00,2410.00,9956400,2410.00
2017-03-22,2440.00,2470.00,2410.00,2440.00,15632000,2440.00
2017-03-21,2390.00,2470.00,2350.00,2460.00,37524400,2460.00
2017-03-20,2380.00,2430.00,2370.00,2390.00,29843400,2390.00
2017-03-17,2340.00,2370.00,2310.00,2370.00,37679700,2343.592
2017-03-16,2310.00,2340.00,2300.00,2320.00,10811100,2294.149
2017-03-15,2330.00,2350.00,2280.00,2300.00,9155200,2274.372
2017-03-14,2320.00,2370.00,2310.00,2330.00,27518000,2304.038
2017-03-13,2270.00,2340.00,2250.00,2310.00,21453200,2284.261
2017-03-10,2300.00,2300.00,2230.00,2250.00,11022700,2224.929
2017-03-09,2290.00,2320.00,2260.00,2290.00,11092400,2264.483
2017-03-08,2300.00,2340.00,2280.00,2320.00,16495200,2294.149
2017-03-07,2390.00,2400.00,2300.00,2320.00,50450600,2294.149
2017-03-06,2220.00,2390.00,2210.00,2380.00,108629900,2353.481
2017-03-03,2180.00,2210.00,2170.00,2190.00,18350600,2165.598
2017-03-02,2150.00,2230.00,2150.00,2180.00,24033900,2155.709
2017-03-01,2130.00,2160.00,2080.00,2150.00,14881200,2126.043
2017-02-28,2140.00,2190.00,2130.00,2130.00,14296200,2106.266
2017-02-27,2170.00,2200.00,2130.00,2140.00,10376800,2116.155
2017-02-24,2210.00,2230.00,2170.00,2180.00,5405100,2155.709
2017-02-23,2170.00,2240.00,2150.00,2210.00,18832000,2185.375
2017-02-22,2200.00,2220.00,2160.00,2160.00,11799100,2135.932
2017-02-21,2180.00,2240.00,2180.00,2190.00,18243700,2165.598
2017-02-20,2220.00,2230.00,2170.00,2180.00,13945400,2155.709
2017-02-17,2220.00,2270.00,2160.00,2240.00,38323200,2215.041
2017-02-16,2290.00,2310.00,2190.00,2240.00,67480600,2215.041
2017-02-15,2280.00,2280.00,2280.00,2280.00,000,2254.595
2017-02-14,2160.00,2350.00,2160.00,2280.00,173723900,2254.595
2017-02-13,2000.00,2140.00,2000.00,2140.00,107071700,2116.155
2017-02-10,1965.00,1985.00,1950.00,1960.00,20839000,1938.16
2017-02-09,2010.00,2020.00,1945.00,1950.00,43075300,1928.272
2017-02-08,2060.00,2060.00,1985.00,1995.00,53214600,1972.77
2017-02-07,2110.00,2120.00,2070.00,2070.00,19574800,2046.935
2017-02-06,2100.00,2140.00,2100.00,2110.00,14610800,2086.489
2017-02-03,2090.00,2120.00,2090.00,2100.00,9661100,2076.601
2017-02-02,2090.00,2110.00,2080.00,2080.00,11527200,2056.823
2017-02-01,2100.00,2110.00,2070.00,2070.00,15536200,2046.935
2017-01-31,2100.00,2150.00,2080.00,2100.00,21792300,2076.601
2017-01-30,2120.00,2130.00,2080.00,2110.00,8288600,2086.489
2017-01-27,2150.00,2150.00,2100.00,2100.00,23199400,2076.601
2017-01-26,2150.00,2190.00,2140.00,2150.00,16093600,2126.043
2017-01-25,2190.00,2190.00,2130.00,2150.00,7171000,2126.043
2017-01-24,2130.00,2170.00,2120.00,2130.00,10186600,2106.266
