Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1820.00,1830.00,1800.00,1820.00,19278400,1820.00
2017-03-29,1800.00,1845.00,1800.00,1820.00,44937800,1820.00
2017-03-28,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-03-27,1800.00,1800.00,1780.00,1800.00,25153600,1800.00
2017-03-24,1750.00,1780.00,1745.00,1770.00,33650400,1770.00
2017-03-23,1740.00,1750.00,1720.00,1740.00,46791000,1740.00
2017-03-22,1700.00,1730.00,1690.00,1730.00,35870700,1730.00
2017-03-21,1700.00,1730.00,1695.00,1730.00,25645900,1730.00
2017-03-20,1675.00,1710.00,1675.00,1705.00,9995300,1705.00
2017-03-17,1690.00,1705.00,1675.00,1705.00,49817500,1705.00
2017-03-16,1670.00,1690.00,1660.00,1680.00,24912500,1680.00
2017-03-15,1630.00,1665.00,1630.00,1650.00,16524800,1650.00
2017-03-14,1650.00,1670.00,1640.00,1645.00,23629800,1645.00
2017-03-13,1600.00,1645.00,1565.00,1625.00,29009300,1625.00
2017-03-10,1700.00,1700.00,1590.00,1600.00,55449200,1600.00
2017-03-09,1685.00,1695.00,1670.00,1685.00,17433100,1685.00
2017-03-08,1750.00,1755.00,1690.00,1695.00,69809100,1695.00
2017-03-07,1680.00,1710.00,1675.00,1695.00,23368200,1695.00
2017-03-06,1685.00,1700.00,1680.00,1685.00,9311300,1685.00
2017-03-03,1665.00,1705.00,1665.00,1685.00,16079900,1685.00
2017-03-02,1680.00,1690.00,1675.00,1685.00,12969000,1685.00
2017-03-01,1680.00,1690.00,1665.00,1675.00,23179100,1675.00
2017-02-28,1700.00,1700.00,1675.00,1695.00,38221400,1695.00
2017-02-27,1700.00,1705.00,1695.00,1700.00,16028100,1700.00
2017-02-24,1720.00,1720.00,1690.00,1700.00,13866500,1700.00
2017-02-23,1690.00,1715.00,1685.00,1715.00,11193200,1715.00
2017-02-22,1720.00,1725.00,1665.00,1705.00,29513100,1705.00
2017-02-21,1710.00,1725.00,1700.00,1720.00,39430000,1720.00
2017-02-20,1680.00,1700.00,1670.00,1695.00,14330400,1695.00
2017-02-17,1705.00,1705.00,1660.00,1660.00,24950900,1660.00
2017-02-16,1660.00,1700.00,1660.00,1700.00,53570200,1700.00
2017-02-15,1645.00,1645.00,1645.00,1645.00,000,1645.00
2017-02-14,1670.00,1675.00,1615.00,1645.00,58748000,1645.00
2017-02-13,1715.00,1725.00,1670.00,1680.00,29121800,1680.00
2017-02-10,1715.00,1715.00,1685.00,1710.00,29824200,1710.00
2017-02-09,1720.00,1730.00,1705.00,1725.00,24666600,1725.00
2017-02-08,1740.00,1740.00,1705.00,1720.00,12684700,1720.00
2017-02-07,1735.00,1740.00,1730.00,1730.00,17813600,1730.00
2017-02-06,1740.00,1745.00,1730.00,1740.00,17116700,1740.00
2017-02-03,1740.00,1750.00,1720.00,1720.00,17623300,1720.00
2017-02-02,1750.00,1755.00,1725.00,1740.00,16078400,1740.00
2017-02-01,1705.00,1750.00,1705.00,1750.00,28542200,1750.00
2017-01-31,1695.00,1730.00,1695.00,1695.00,14629200,1695.00
2017-01-30,1705.00,1730.00,1705.00,1715.00,6144700,1715.00
2017-01-27,1700.00,1725.00,1700.00,1725.00,7549500,1725.00
2017-01-26,1750.00,1750.00,1700.00,1730.00,17003400,1730.00
2017-01-25,1740.00,1740.00,1725.00,1740.00,21238900,1740.00
2017-01-24,1735.00,1740.00,1725.00,1725.00,17448100,1725.00
2017-01-23,1735.00,1740.00,1720.00,1725.00,11682100,1725.00
2017-01-20,1745.00,1745.00,1715.00,1730.00,18622800,1730.00
2017-01-19,1730.00,1735.00,1715.00,1730.00,17767700,1730.00
2017-01-18,1720.00,1740.00,1715.00,1720.00,19893500,1720.00
2017-01-17,1680.00,1705.00,1680.00,1700.00,12044700,1700.00
2017-01-16,1700.00,1725.00,1700.00,1700.00,11682200,1700.00
2017-01-13,1730.00,1735.00,1685.00,1700.00,27517400,1700.00
2017-01-12,1750.00,1750.00,1715.00,1715.00,22256200,1715.00
2017-01-11,1720.00,1760.00,1700.00,1745.00,54843500,1745.00
2017-01-10,1695.00,1705.00,1680.00,1685.00,19228600,1685.00
2017-01-09,1700.00,1720.00,1685.00,1720.00,25338200,1720.00
2017-01-06,1660.00,1705.00,1655.00,1695.00,24130100,1695.00
2017-01-05,1695.00,1710.00,1660.00,1665.00,34668500,1665.00
2017-01-04,1730.00,1735.00,1690.00,1700.00,45023900,1700.00
2017-01-03,1690.00,1750.00,1685.00,1740.00,64546200,1740.00
2017-01-02,1695.00,1695.00,1695.00,1695.00,000,1695.00
2016-12-30,1660.00,1705.00,1660.00,1695.00,27112100,1695.00
2016-12-29,1700.00,1705.00,1680.00,1690.00,15516000,1690.00
2016-12-28,1695.00,1700.00,1675.00,1690.00,17844800,1664.38
2016-12-27,1670.00,1685.00,1665.00,1675.00,7093300,1649.61
2016-12-26,1655.00,1655.00,1655.00,1655.00,000,1629.91
2016-12-23,1680.00,1705.00,1655.00,1655.00,22587100,1629.91
2016-12-22,1690.00,1695.00,1650.00,1680.00,23636200,1654.53
2016-12-21,1710.00,1710.00,1670.00,1670.00,22800100,1644.68
2016-12-20,1710.00,1710.00,1665.00,1700.00,16041800,1674.23
2016-12-19,1685.00,1710.00,1675.00,1695.00,50934400,1669.30
2016-12-16,1690.00,1710.00,1660.00,1660.00,64458900,1634.83
2016-12-15,1680.00,1700.00,1665.00,1670.00,25856300,1644.68
2016-12-14,1710.00,1710.00,1685.00,1690.00,28482200,1664.38
2016-12-13,1700.00,1715.00,1675.00,1700.00,44345000,1674.23
2016-12-12,1680.00,1680.00,1680.00,1680.00,000,1654.53
2016-12-09,1685.00,1700.00,1665.00,1680.00,28128900,1654.53
2016-12-08,1710.00,1710.00,1620.00,1650.00,36140400,1624.99
2016-12-07,1695.00,1720.00,1660.00,1710.00,37697300,1684.08
2016-12-06,1745.00,1770.00,1720.00,1730.00,57692500,1703.77
2016-12-05,1680.00,1735.00,1665.00,1730.00,94942900,1703.77
2016-12-02,1620.00,1670.00,1615.00,1665.00,45361800,1639.76
2016-12-01,1580.00,1620.00,1580.00,1610.00,46421900,1585.59
2016-11-30,1660.00,1660.00,1530.00,1530.00,116047400,1506.81
2016-11-29,1680.00,1700.00,1630.00,1630.00,49141800,1605.29
2016-11-28,1660.00,1685.00,1645.00,1680.00,49400600,1654.53
2016-11-25,1665.00,1675.00,1635.00,1640.00,17422900,1615.14
2016-11-24,1635.00,1665.00,1620.00,1645.00,55037100,1620.06
2016-11-23,1650.00,1680.00,1595.00,1630.00,84238600,1605.29
2016-11-22,1555.00,1620.00,1550.00,1620.00,65668600,1595.44
2016-11-21,1500.00,1540.00,1480.00,1530.00,34181400,1506.81
2016-11-18,1500.00,1535.00,1480.00,1500.00,50646700,1477.26
2016-11-17,1530.00,1555.00,1500.00,1515.00,56885800,1492.03
2016-11-16,1490.00,1555.00,1490.00,1535.00,108525500,1511.73
2016-11-15,1595.00,1650.00,1465.00,1465.00,95555500,1442.79
2016-11-14,1650.00,1680.00,1605.00,1605.00,73161300,1580.67
2016-11-11,1590.00,1695.00,1550.00,1660.00,118022100,1634.83
2016-11-10,1610.00,1685.00,1610.00,1650.00,129577500,1624.99
2016-11-09,1635.00,1645.00,1475.00,1570.00,188671200,1546.20
2016-11-08,1700.00,1720.00,1610.00,1630.00,91928100,1605.29
2016-11-07,1685.00,1710.00,1675.00,1685.00,36378900,1659.46
2016-11-04,1605.00,1670.00,1580.00,1670.00,80230500,1644.68
2016-11-03,1700.00,1710.00,1630.00,1640.00,45976000,1615.14
2016-11-02,1650.00,1735.00,1645.00,1720.00,69373700,1693.93
2016-11-01,1605.00,1650.00,1605.00,1640.00,64328600,1615.14
2016-10-31,1560.00,1585.00,1555.00,1585.00,23061000,1560.97
2016-10-28,1565.00,1585.00,1555.00,1580.00,41690800,1556.05
2016-10-27,1590.00,1605.00,1535.00,1550.00,60630600,1526.50
2016-10-26,1545.00,1595.00,1545.00,1555.00,70986300,1531.43
2016-10-25,1540.00,1540.00,1520.00,1525.00,19755500,1501.88
2016-10-24,1500.00,1540.00,1495.00,1525.00,26332800,1501.88
2016-10-21,1510.00,1545.00,1450.00,1500.00,112802300,1477.26
2016-10-20,1530.00,1540.00,1505.00,1510.00,35639200,1487.11
2016-10-19,1485.00,1545.00,1485.00,1530.00,88032300,1506.81
2016-10-18,1480.00,1520.00,1440.00,1440.00,52587500,1418.17
2016-10-17,1435.00,1480.00,1435.00,1460.00,46657000,1437.87
2016-10-14,1405.00,1425.00,1390.00,1425.00,35534000,1403.40
2016-10-13,1415.00,1430.00,1405.00,1405.00,29637300,1383.70
2016-10-12,1390.00,1410.00,1385.00,1405.00,30869600,1383.70
2016-10-11,1400.00,1415.00,1375.00,1400.00,53416100,1378.78
2016-10-10,1370.00,1400.00,1345.00,1385.00,40670700,1364.00
2016-10-07,1365.00,1380.00,1335.00,1375.00,44233200,1354.16
2016-10-06,1320.00,1370.00,1315.00,1360.00,85124600,1339.38
2016-10-05,1305.00,1325.00,1280.00,1290.00,32273300,1270.44
2016-10-04,1325.00,1345.00,1305.00,1305.00,54970000,1285.22
2016-10-03,1250.00,1300.00,1250.00,1300.00,41784300,1280.29
2016-09-30,1270.00,1270.00,1205.00,1205.00,39165800,1186.73
2016-09-29,1230.00,1290.00,1230.00,1280.00,72292600,1260.60
2016-09-28,1215.00,1215.00,1175.00,1200.00,28554700,1181.81
2016-09-27,1215.00,1215.00,1185.00,1210.00,47181600,1191.66
2016-09-26,1210.00,1215.00,1190.00,1200.00,13874600,1181.81
2016-09-23,1210.00,1230.00,1190.00,1210.00,43307900,1191.66
2016-09-22,1185.00,1230.00,1185.00,1185.00,53816300,1167.04
2016-09-21,1175.00,1180.00,1160.00,1170.00,22453600,1152.26
2016-09-20,1185.00,1195.00,1165.00,1180.00,38388700,1162.11
2016-09-19,1180.00,1210.00,1180.00,1185.00,30242400,1167.04
2016-09-16,1180.00,1195.00,1155.00,1165.00,57762400,1147.34
2016-09-15,1120.00,1170.00,1115.00,1165.00,48206400,1147.34
2016-09-14,1150.00,1150.00,1105.00,1120.00,48057700,1103.02
2016-09-13,1250.00,1250.00,1150.00,1165.00,51705000,1147.34
2016-09-12,1270.00,1270.00,1270.00,1270.00,000,1250.75
2016-09-09,1270.00,1275.00,1230.00,1270.00,28946000,1250.75
2016-09-08,1245.00,1285.00,1215.00,1270.00,78698900,1250.75
2016-09-07,1240.00,1250.00,1205.00,1245.00,55199000,1226.13
2016-09-06,1230.00,1245.00,1215.00,1225.00,28467400,1206.43
2016-09-05,1180.00,1220.00,1180.00,1220.00,50015300,1201.51
2016-09-02,1175.00,1190.00,1160.00,1170.00,20989900,1152.26
2016-09-01,1150.00,1190.00,1135.00,1185.00,60263500,1167.04
2016-08-31,1145.00,1190.00,1140.00,1150.00,140249100,1132.57
2016-08-30,1100.00,1135.00,1070.00,1135.00,88037400,1117.79
2016-08-29,1080.00,1095.00,1050.00,1065.00,28237000,1048.85
2016-08-26,1100.00,1115.00,1065.00,1080.00,27860900,1063.63
