Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,131.00,131.00,131.00,131.00,100,131.00
2017-03-29,141.00,141.00,141.00,141.00,100,141.00
2017-03-28,141.00,141.00,141.00,141.00,000,141.00
2017-03-27,141.00,141.00,141.00,141.00,000,141.00
2017-03-24,141.00,141.00,141.00,141.00,000,141.00
2017-03-23,141.00,141.00,141.00,141.00,000,141.00
2017-03-22,141.00,141.00,141.00,141.00,000,141.00
2017-03-21,141.00,141.00,141.00,141.00,000,141.00
2017-03-20,200.00,200.00,127.00,141.00,5500,141.00
2017-03-17,190.00,190.00,132.00,190.00,4900,190.00
2017-03-16,195.00,195.00,195.00,195.00,25500,195.00
2017-03-15,200.00,270.00,200.00,200.00,59000,200.00
2017-03-14,149.00,200.00,148.00,200.00,3900,200.00
2017-03-13,150.00,150.00,150.00,150.00,000,150.00
2017-03-10,150.00,150.00,150.00,150.00,000,150.00
2017-03-09,150.00,150.00,150.00,150.00,000,150.00
2017-03-08,123.00,150.00,123.00,150.00,3300,150.00
2017-03-07,123.00,123.00,123.00,123.00,000,123.00
2017-03-06,123.00,123.00,123.00,123.00,000,123.00
2017-03-03,123.00,123.00,123.00,123.00,400,123.00
2017-03-02,122.00,122.00,122.00,122.00,100,122.00
2017-03-01,128.00,128.00,128.00,128.00,000,128.00
2017-02-28,128.00,128.00,128.00,128.00,1200,128.00
2017-02-27,121.00,135.00,121.00,135.00,1500,135.00
2017-02-24,127.00,135.00,127.00,128.00,1400,128.00
2017-02-23,126.00,127.00,126.00,127.00,600,127.00
2017-02-22,122.00,124.00,122.00,124.00,2200,124.00
2017-02-21,135.00,135.00,120.00,131.00,2400,131.00
2017-02-20,134.00,134.00,134.00,134.00,100,134.00
2017-02-17,180.00,180.00,180.00,180.00,000,180.00
2017-02-16,180.00,180.00,180.00,180.00,000,180.00
2017-02-15,180.00,180.00,180.00,180.00,000,180.00
2017-02-14,180.00,180.00,180.00,180.00,000,180.00
2017-02-13,180.00,180.00,180.00,180.00,000,180.00
2017-02-10,162.00,196.00,162.00,180.00,64700,180.00
2017-02-09,165.00,165.00,161.00,162.00,300,162.00
2017-02-08,165.00,165.00,165.00,165.00,100,165.00
2017-02-07,155.00,155.00,155.00,155.00,1900,155.00
2017-02-06,161.00,161.00,155.00,155.00,1300,155.00
2017-02-03,164.00,164.00,161.00,161.00,100,161.00
2017-02-02,165.00,173.00,164.00,164.00,5500,164.00
2017-02-01,152.00,184.00,152.00,173.00,3400,173.00
2017-01-31,152.00,228.00,115.00,152.00,86200,152.00
