Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,525.00,525.00,515.00,525.00,251400,525.00
2017-03-29,530.00,530.00,525.00,525.00,570800,525.00
2017-03-28,530.00,530.00,530.00,530.00,000,530.00
2017-03-27,530.00,535.00,530.00,530.00,3345900,530.00
2017-03-24,530.00,540.00,530.00,535.00,500600,535.00
2017-03-23,530.00,535.00,525.00,535.00,9184500,535.00
2017-03-22,530.00,530.00,520.00,530.00,2076300,530.00
2017-03-21,530.00,530.00,525.00,530.00,1657700,530.00
2017-03-20,540.00,540.00,530.00,530.00,1416300,530.00
2017-03-17,525.00,545.00,520.00,545.00,11815500,545.00
2017-03-16,525.00,530.00,520.00,525.00,19167700,525.00
2017-03-15,535.00,535.00,520.00,520.00,242800,520.00
2017-03-14,535.00,535.00,530.00,535.00,1123600,535.00
2017-03-13,540.00,540.00,530.00,535.00,1786200,535.00
2017-03-10,535.00,540.00,530.00,540.00,1366700,540.00
2017-03-09,535.00,540.00,530.00,535.00,66300,535.00
2017-03-08,540.00,540.00,535.00,540.00,308300,540.00
2017-03-07,545.00,545.00,535.00,540.00,2742800,540.00
2017-03-06,545.00,550.00,540.00,545.00,19443800,545.00
2017-03-03,545.00,550.00,540.00,545.00,11876300,545.00
2017-03-02,545.00,545.00,540.00,540.00,204800,540.00
2017-03-01,545.00,550.00,545.00,545.00,1033000,545.00
2017-02-28,570.00,570.00,540.00,545.00,13047100,545.00
2017-02-27,580.00,580.00,570.00,570.00,622700,570.00
2017-02-24,570.00,570.00,570.00,570.00,4603700,570.00
2017-02-23,565.00,570.00,550.00,570.00,594600,570.00
2017-02-22,540.00,585.00,540.00,565.00,257200,565.00
2017-02-21,550.00,550.00,550.00,550.00,1332200,550.00
2017-02-20,560.00,560.00,550.00,550.00,1176500,550.00
2017-02-17,560.00,560.00,550.00,550.00,802700,550.00
2017-02-16,550.00,560.00,550.00,560.00,12329900,560.00
2017-02-15,550.00,550.00,550.00,550.00,000,550.00
2017-02-14,550.00,550.00,550.00,550.00,1124500,550.00
2017-02-13,550.00,550.00,550.00,550.00,320100,550.00
2017-02-10,555.00,555.00,550.00,550.00,1221800,550.00
2017-02-09,560.00,560.00,550.00,555.00,226400,555.00
2017-02-08,570.00,570.00,555.00,560.00,2398500,560.00
2017-02-07,555.00,570.00,555.00,570.00,1001500,570.00
2017-02-06,560.00,570.00,555.00,560.00,2819900,560.00
2017-02-03,570.00,570.00,560.00,560.00,1900,560.00
2017-02-02,575.00,575.00,565.00,570.00,800400,570.00
2017-02-01,570.00,585.00,555.00,575.00,3650600,575.00
2017-01-31,570.00,575.00,550.00,570.00,1302600,570.00
2017-01-30,540.00,570.00,540.00,570.00,4970700,570.00
2017-01-27,540.00,540.00,540.00,540.00,10200,540.00
2017-01-26,545.00,545.00,535.00,535.00,2202900,535.00
2017-01-25,585.00,585.00,545.00,550.00,1105800,550.00
2017-01-24,540.00,585.00,535.00,585.00,7025600,585.00
2017-01-23,550.00,550.00,540.00,540.00,795200,540.00
2017-01-20,545.00,550.00,535.00,550.00,4157600,550.00
2017-01-19,550.00,550.00,540.00,545.00,775100,545.00
2017-01-18,560.00,575.00,550.00,550.00,103500,550.00
2017-01-17,615.00,615.00,560.00,560.00,67700,560.00
2017-01-16,560.00,615.00,550.00,615.00,152600,615.00
2017-01-13,540.00,585.00,540.00,560.00,415200,560.00
2017-01-12,585.00,585.00,585.00,585.00,200,585.00
2017-01-11,575.00,585.00,560.00,585.00,127000,585.00
2017-01-10,575.00,575.00,560.00,575.00,5700,575.00
2017-01-09,590.00,590.00,560.00,575.00,205500,575.00
2017-01-06,590.00,590.00,580.00,590.00,108500,590.00
2017-01-05,580.00,580.00,570.00,580.00,1971300,580.00
2017-01-04,620.00,620.00,560.00,580.00,321200,580.00
2017-01-03,625.00,625.00,570.00,620.00,127800,620.00
2017-01-02,625.00,625.00,625.00,625.00,000,625.00
2016-12-30,580.00,625.00,560.00,625.00,246200,625.00
2016-12-29,560.00,580.00,550.00,580.00,543300,580.00
2016-12-28,540.00,570.00,535.00,570.00,114800,570.00
2016-12-27,560.00,565.00,555.00,555.00,89300,555.00
2016-12-26,570.00,570.00,570.00,570.00,000,570.00
2016-12-23,545.00,570.00,530.00,570.00,302400,570.00
2016-12-22,535.00,545.00,530.00,545.00,83000,545.00
2016-12-21,545.00,545.00,530.00,535.00,136200,535.00
2016-12-20,540.00,545.00,520.00,545.00,49700,545.00
2016-12-19,530.00,540.00,530.00,540.00,40100,540.00
2016-12-16,515.00,540.00,505.00,540.00,1161200,540.00
2016-12-15,525.00,525.00,515.00,515.00,8900,515.00
2016-12-14,525.00,530.00,520.00,525.00,25900,525.00
2016-12-13,525.00,525.00,515.00,525.00,21900,525.00
2016-12-12,525.00,525.00,525.00,525.00,000,525.00
2016-12-09,525.00,525.00,515.00,525.00,13600,525.00
2016-12-08,525.00,525.00,525.00,525.00,239900,525.00
2016-12-07,530.00,530.00,510.00,525.00,329000,525.00
2016-12-06,540.00,540.00,525.00,525.00,357000,525.00
2016-12-05,550.00,555.00,530.00,550.00,516800,550.00
2016-12-02,530.00,555.00,525.00,555.00,16699100,555.00
2016-12-01,550.00,555.00,530.00,555.00,2514300,555.00
2016-11-30,550.00,550.00,525.00,550.00,531900,550.00
2016-11-29,530.00,550.00,530.00,550.00,63500,550.00
2016-11-28,545.00,545.00,500.00,545.00,163300,545.00
2016-11-25,520.00,545.00,520.00,545.00,27800,545.00
2016-11-24,525.00,540.00,525.00,540.00,36200,540.00
2016-11-23,510.00,550.00,505.00,550.00,288300,550.00
2016-11-22,525.00,525.00,520.00,525.00,141400,525.00
2016-11-21,505.00,530.00,496.00,530.00,233100,530.00
2016-11-18,530.00,530.00,505.00,505.00,541900,505.00
2016-11-17,550.00,550.00,530.00,540.00,886000,540.00
2016-11-16,520.00,550.00,520.00,550.00,507100,550.00
2016-11-15,515.00,520.00,500.00,520.00,68000,520.00
2016-11-14,525.00,525.00,505.00,520.00,101400,520.00
2016-11-11,530.00,530.00,515.00,525.00,316900,525.00
2016-11-10,530.00,530.00,500.00,520.00,123500,520.00
2016-11-09,500.00,530.00,496.00,530.00,2069900,530.00
2016-11-08,505.00,510.00,500.00,500.00,1619100,500.00
2016-11-07,500.00,510.00,500.00,500.00,413200,500.00
2016-11-04,498.00,500.00,498.00,500.00,394000,500.00
2016-11-03,505.00,505.00,498.00,498.00,1277700,498.00
2016-11-02,496.00,500.00,496.00,500.00,4136300,500.00
2016-11-01,498.00,500.00,480.00,498.00,5261600,498.00
2016-10-31,498.00,500.00,496.00,498.00,1178900,498.00
2016-10-28,500.00,500.00,494.00,500.00,3642200,500.00
2016-10-27,500.00,500.00,496.00,500.00,503700,500.00
2016-10-26,500.00,500.00,492.00,500.00,2897500,500.00
2016-10-25,505.00,510.00,505.00,505.00,24500,505.00
2016-10-24,510.00,510.00,505.00,510.00,657300,510.00
2016-10-21,505.00,520.00,505.00,510.00,477800,510.00
2016-10-20,505.00,510.00,505.00,505.00,706300,505.00
2016-10-19,500.00,510.00,490.00,500.00,489600,500.00
2016-10-18,505.00,515.00,498.00,505.00,7336600,505.00
2016-10-17,492.00,505.00,490.00,505.00,6452600,505.00
2016-10-14,476.00,500.00,476.00,492.00,5596200,492.00
2016-10-13,510.00,510.00,476.00,476.00,1012200,476.00
2016-10-12,510.00,510.00,505.00,510.00,716200,510.00
2016-10-11,515.00,515.00,505.00,510.00,947500,510.00
2016-10-10,510.00,520.00,510.00,515.00,962900,515.00
2016-10-07,515.00,515.00,510.00,510.00,88000,510.00
2016-10-06,520.00,520.00,515.00,515.00,9900,515.00
2016-10-05,525.00,525.00,520.00,520.00,4059800,520.00
2016-10-04,525.00,530.00,510.00,525.00,4014000,525.00
2016-10-03,525.00,525.00,525.00,525.00,1532400,525.00
2016-09-30,525.00,525.00,520.00,525.00,638100,525.00
2016-09-29,505.00,525.00,505.00,525.00,19800,525.00
2016-09-28,530.00,530.00,520.00,525.00,1359500,525.00
2016-09-27,530.00,530.00,530.00,530.00,3585300,530.00
2016-09-26,545.00,545.00,510.00,530.00,3136800,530.00
2016-09-23,530.00,530.00,530.00,530.00,3518400,530.00
2016-09-22,535.00,540.00,535.00,535.00,686800,535.00
2016-09-21,535.00,535.00,535.00,535.00,193700,535.00
2016-09-20,545.00,545.00,530.00,530.00,130700,530.00
2016-09-19,535.00,550.00,535.00,540.00,553700,540.00
2016-09-16,550.00,550.00,535.00,535.00,26100,535.00
2016-09-15,550.00,550.00,550.00,550.00,34500,550.00
2016-09-14,580.00,580.00,550.00,550.00,11200,550.00
2016-09-13,570.00,570.00,570.00,570.00,000,570.00
2016-09-12,570.00,570.00,570.00,570.00,000,570.00
2016-09-09,570.00,570.00,570.00,570.00,000,570.00
2016-09-08,570.00,570.00,570.00,570.00,000,570.00
2016-09-07,570.00,575.00,570.00,570.00,12100,570.00
2016-09-06,560.00,575.00,560.00,570.00,51300,570.00
2016-09-05,560.00,560.00,560.00,560.00,21500,560.00
2016-09-02,550.00,550.00,530.00,545.00,9100,545.00
2016-09-01,565.00,565.00,565.00,565.00,600,565.00
2016-08-31,565.00,565.00,565.00,565.00,1000,565.00
2016-08-30,560.00,560.00,560.00,560.00,200,560.00
2016-08-29,565.00,565.00,555.00,560.00,26600,560.00
2016-08-26,590.00,590.00,570.00,570.00,500,570.00
2016-08-25,585.00,585.00,585.00,585.00,200,585.00
2016-08-24,570.00,585.00,570.00,585.00,3700,585.00
2016-08-23,560.00,595.00,560.00,595.00,7100,595.00
2016-08-22,560.00,575.00,560.00,570.00,114100,570.00
2016-08-19,575.00,575.00,540.00,545.00,528000,545.00
2016-08-18,590.00,590.00,570.00,575.00,2300,575.00
2016-08-17,590.00,590.00,590.00,590.00,000,590.00
2016-08-16,570.00,590.00,570.00,590.00,4300,590.00
2016-08-15,595.00,595.00,570.00,570.00,221100,570.00
2016-08-12,590.00,590.00,570.00,575.00,144900,575.00
2016-08-11,585.00,590.00,575.00,590.00,51900,590.00
2016-08-10,605.00,605.00,570.00,585.00,225000,585.00
2016-08-09,575.00,585.00,550.00,570.00,88500,570.00
2016-08-08,585.00,585.00,575.00,585.00,354000,585.00
2016-08-05,585.00,595.00,585.00,590.00,1218000,590.00
2016-08-04,590.00,590.00,590.00,590.00,42200,590.00
2016-08-03,590.00,590.00,585.00,590.00,12900,590.00
2016-08-02,585.00,595.00,585.00,595.00,72900,595.00
2016-08-01,590.00,600.00,585.00,590.00,188800,590.00
2016-07-29,590.00,590.00,585.00,590.00,34200,590.00
2016-07-28,595.00,595.00,590.00,595.00,115100,595.00
2016-07-27,595.00,615.00,585.00,595.00,726500,595.00
2016-07-26,590.00,595.00,590.00,595.00,2411500,595.00
2016-07-25,585.00,590.00,585.00,590.00,5726900,590.00
2016-07-22,590.00,590.00,585.00,590.00,4557500,590.00
2016-07-21,590.00,590.00,590.00,590.00,2008100,590.00
2016-07-20,585.00,590.00,575.00,590.00,3700,590.00
2016-07-19,585.00,585.00,585.00,585.00,19700,585.00
2016-07-18,585.00,585.00,580.00,585.00,639100,585.00
2016-07-15,585.00,595.00,580.00,590.00,309300,590.00
2016-07-14,595.00,595.00,580.00,585.00,142200,585.00
2016-07-13,595.00,595.00,565.00,595.00,1500,595.00
2016-07-12,595.00,595.00,585.00,590.00,2698800,590.00
2016-07-11,590.00,595.00,590.00,595.00,11394000,595.00
2016-07-08,600.00,600.00,600.00,600.00,000,600.00
2016-07-07,600.00,600.00,600.00,600.00,000,600.00
2016-07-06,600.00,600.00,600.00,600.00,000,600.00
2016-07-05,600.00,600.00,600.00,600.00,000,600.00
2016-07-04,600.00,600.00,600.00,600.00,000,600.00
2016-07-01,600.00,600.00,600.00,600.00,10000,600.00
2016-06-30,590.00,600.00,590.00,600.00,195900,600.00
2016-06-28,580.00,600.00,550.00,600.00,117800,600.00
2016-06-27,580.00,600.00,580.00,600.00,6000,600.00
2016-06-24,580.00,600.00,580.00,600.00,84500,600.00
2016-06-23,600.00,600.00,600.00,600.00,000,600.00
2016-06-22,600.00,600.00,600.00,600.00,000,600.00
2016-06-21,590.00,600.00,590.00,600.00,45700,600.00
2016-06-20,580.00,600.00,580.00,600.00,9600,600.00
2016-06-17,590.00,590.00,575.00,580.00,513900,580.00
2016-06-16,600.00,600.00,590.00,600.00,600,600.00
2016-06-15,595.00,600.00,595.00,600.00,700,600.00
2016-06-14,585.00,610.00,540.00,610.00,74200,610.00
2016-06-13,585.00,610.00,585.00,585.00,500,585.00
2016-06-10,600.00,620.00,600.00,620.00,1800,620.00
2016-06-09,585.00,585.00,580.00,585.00,11000,585.00
2016-06-08,590.00,590.00,585.00,590.00,2001300,590.00
2016-06-07,580.00,600.00,580.00,590.00,1658000,590.00
2016-06-06,575.00,600.00,575.00,580.00,1094000,580.00
2016-06-03,570.00,590.00,570.00,590.00,53800,585.65
2016-06-02,560.00,580.00,560.00,570.00,119100,565.80
2016-06-01,600.00,600.00,540.00,540.00,1091300,536.02
2016-05-31,600.00,600.00,600.00,600.00,45400,595.58
2016-05-30,605.00,605.00,605.00,605.00,100,600.54
2016-05-27,595.00,600.00,595.00,600.00,13600,595.58
2016-05-26,595.00,595.00,595.00,595.00,000,590.61
2016-05-25,600.00,600.00,595.00,595.00,21700,590.61
