Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,725.00,750.00,725.00,725.00,16325800,725.00
2017-03-29,730.00,745.00,720.00,745.00,21848400,745.00
2017-03-28,720.00,720.00,720.00,720.00,000,720.00
2017-03-27,720.00,735.00,710.00,720.00,13391800,720.00
2017-03-24,750.00,750.00,730.00,730.00,16775200,730.00
2017-03-23,740.00,755.00,740.00,745.00,15433100,745.00
2017-03-22,745.00,745.00,735.00,740.00,15535300,740.00
2017-03-21,765.00,765.00,740.00,750.00,22188200,750.00
2017-03-20,770.00,780.00,750.00,760.00,46958900,760.00
2017-03-17,720.00,780.00,720.00,760.00,141376300,760.00
2017-03-16,700.00,725.00,700.00,715.00,54707700,715.00
2017-03-15,705.00,710.00,690.00,695.00,35648700,695.00
2017-03-14,730.00,735.00,705.00,705.00,53558600,705.00
2017-03-13,730.00,740.00,725.00,725.00,17603800,725.00
2017-03-10,740.00,740.00,725.00,730.00,12387900,730.00
2017-03-09,735.00,745.00,715.00,735.00,70456200,735.00
2017-03-08,745.00,750.00,725.00,730.00,29069300,730.00
2017-03-07,760.00,760.00,745.00,750.00,13194100,750.00
2017-03-06,755.00,770.00,750.00,760.00,31431800,760.00
2017-03-03,770.00,770.00,755.00,755.00,27159000,755.00
2017-03-02,760.00,785.00,750.00,770.00,65126800,770.00
2017-03-01,760.00,765.00,745.00,750.00,47113700,750.00
2017-02-28,740.00,770.00,740.00,745.00,59062300,745.00
2017-02-27,770.00,775.00,740.00,740.00,58062400,740.00
2017-02-24,785.00,790.00,765.00,765.00,25128900,765.00
2017-02-23,790.00,790.00,780.00,785.00,19677800,785.00
2017-02-22,790.00,800.00,785.00,785.00,23326100,785.00
2017-02-21,785.00,810.00,780.00,790.00,63762800,790.00
2017-02-20,795.00,800.00,780.00,785.00,45617300,785.00
2017-02-17,805.00,805.00,795.00,795.00,17888100,795.00
2017-02-16,805.00,810.00,800.00,800.00,26544400,800.00
2017-02-15,800.00,800.00,800.00,800.00,000,800.00
2017-02-14,815.00,815.00,800.00,800.00,36332700,800.00
2017-02-13,820.00,820.00,810.00,810.00,28476300,810.00
2017-02-10,805.00,815.00,800.00,810.00,28055200,810.00
2017-02-09,805.00,815.00,800.00,800.00,36337000,800.00
2017-02-08,810.00,815.00,795.00,805.00,31882400,805.00
2017-02-07,815.00,820.00,805.00,805.00,28704900,805.00
2017-02-06,830.00,835.00,810.00,815.00,36778500,815.00
2017-02-03,850.00,860.00,830.00,830.00,73688300,830.00
2017-02-02,815.00,845.00,810.00,840.00,162025700,840.00
2017-02-01,810.00,815.00,800.00,810.00,69998700,810.00
2017-01-31,800.00,820.00,795.00,800.00,101645300,800.00
2017-01-30,805.00,810.00,795.00,800.00,68393700,800.00
2017-01-27,800.00,810.00,795.00,805.00,57687700,805.00
2017-01-26,810.00,815.00,795.00,810.00,74909100,810.00
2017-01-25,810.00,820.00,800.00,805.00,99975500,805.00
2017-01-24,865.00,870.00,800.00,805.00,274193800,805.00
2017-01-23,885.00,890.00,865.00,865.00,87451000,865.00
2017-01-20,905.00,910.00,885.00,885.00,65489900,885.00
2017-01-19,895.00,915.00,890.00,900.00,163836300,900.00
2017-01-18,895.00,905.00,890.00,895.00,31798300,895.00
2017-01-17,910.00,915.00,895.00,895.00,48280000,895.00
2017-01-16,920.00,930.00,900.00,905.00,94797700,905.00
2017-01-13,885.00,920.00,885.00,920.00,249158500,920.00
