Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,362.00,368.00,352.00,362.00,4704000,362.00
2017-03-29,350.00,352.00,344.00,352.00,3460100,352.00
2017-03-28,350.00,350.00,350.00,350.00,000,350.00
2017-03-27,350.00,350.00,348.00,350.00,3054600,350.00
2017-03-24,348.00,352.00,346.00,350.00,3130800,350.00
2017-03-23,348.00,350.00,344.00,348.00,3195000,348.00
2017-03-22,350.00,350.00,346.00,348.00,3141600,348.00
2017-03-21,352.00,354.00,350.00,352.00,3129200,352.00
2017-03-20,356.00,358.00,352.00,352.00,3139900,352.00
2017-03-17,352.00,356.00,352.00,356.00,3122700,356.00
2017-03-16,352.00,354.00,348.00,352.00,3417600,352.00
2017-03-15,356.00,356.00,350.00,352.00,3253000,352.00
2017-03-14,364.00,364.00,356.00,356.00,3300000,356.00
2017-03-13,368.00,370.00,362.00,364.00,3323100,364.00
2017-03-10,374.00,374.00,368.00,368.00,3262500,368.00
2017-03-09,374.00,380.00,374.00,374.00,3372100,374.00
2017-03-08,382.00,382.00,380.00,380.00,3239600,380.00
2017-03-07,384.00,384.00,382.00,382.00,3275100,382.00
2017-03-06,390.00,390.00,384.00,384.00,3142500,384.00
2017-03-03,402.00,402.00,390.00,390.00,3334000,390.00
2017-03-02,406.00,406.00,402.00,402.00,3192600,402.00
2017-03-01,408.00,408.00,406.00,406.00,3120200,406.00
2017-02-28,414.00,414.00,408.00,408.00,3430500,408.00
2017-02-27,422.00,422.00,414.00,414.00,4335200,414.00
2017-02-24,426.00,426.00,422.00,422.00,3459000,422.00
2017-02-23,414.00,426.00,414.00,426.00,3980300,426.00
2017-02-22,410.00,418.00,410.00,414.00,3447300,414.00
2017-02-21,402.00,414.00,400.00,410.00,3549800,410.00
2017-02-20,390.00,404.00,390.00,402.00,4306800,402.00
2017-02-17,386.00,392.00,386.00,390.00,3772500,390.00
2017-02-16,384.00,388.00,384.00,386.00,3372500,386.00
2017-02-15,384.00,384.00,384.00,384.00,000,384.00
2017-02-14,378.00,384.00,378.00,384.00,2758200,384.00
2017-02-13,376.00,378.00,376.00,378.00,3316500,378.00
2017-02-10,378.00,384.00,376.00,376.00,3690900,376.00
2017-02-09,380.00,380.00,378.00,378.00,3498500,378.00
2017-02-08,386.00,386.00,380.00,380.00,2901100,380.00
2017-02-07,392.00,392.00,386.00,386.00,4382200,386.00
2017-02-06,392.00,392.00,390.00,392.00,4150100,392.00
2017-02-03,388.00,392.00,388.00,392.00,3221300,392.00
2017-02-02,384.00,388.00,384.00,388.00,4131600,388.00
2017-02-01,380.00,384.00,380.00,384.00,2048200,384.00
2017-01-31,380.00,388.00,380.00,380.00,3520300,380.00
2017-01-30,388.00,388.00,386.00,388.00,3467500,388.00
2017-01-27,394.00,394.00,388.00,388.00,3148800,388.00
2017-01-26,394.00,394.00,390.00,394.00,3038900,394.00
2017-01-25,394.00,398.00,394.00,394.00,3442700,394.00
2017-01-24,390.00,394.00,390.00,394.00,3723100,394.00
2017-01-23,396.00,396.00,390.00,390.00,3323400,390.00
2017-01-20,398.00,398.00,396.00,396.00,3302600,396.00
2017-01-19,398.00,398.00,396.00,398.00,2460300,398.00
2017-01-18,400.00,400.00,398.00,398.00,3365600,398.00
2017-01-17,400.00,400.00,396.00,400.00,2744500,400.00
2017-01-16,400.00,400.00,398.00,400.00,3828100,400.00
2017-01-13,402.00,404.00,392.00,400.00,18873300,400.00
2017-01-12,406.00,408.00,404.00,404.00,3537200,404.00
2017-01-11,410.00,410.00,404.00,406.00,3047600,406.00
2017-01-10,408.00,412.00,406.00,410.00,28368100,410.00
2017-01-09,412.00,412.00,408.00,408.00,3366600,408.00
2017-01-06,412.00,412.00,410.00,412.00,3195300,412.00
2017-01-05,410.00,414.00,410.00,412.00,4163500,412.00
2017-01-04,416.00,416.00,406.00,410.00,3467800,410.00
2017-01-03,426.00,426.00,416.00,416.00,3498300,416.00
2017-01-02,428.00,428.00,428.00,428.00,000,428.00
2016-12-30,428.00,428.00,416.00,428.00,6831600,428.00
2016-12-29,432.00,434.00,428.00,428.00,5878400,428.00
2016-12-28,428.00,432.00,426.00,432.00,5147300,432.00
2016-12-27,426.00,428.00,424.00,428.00,5271000,428.00
2016-12-26,426.00,426.00,426.00,426.00,000,426.00
2016-12-23,426.00,430.00,426.00,426.00,5162300,426.00
2016-12-22,436.00,440.00,428.00,428.00,5069200,428.00
