Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1930.00,1940.00,1930.00,1930.00,18000,1930.00
2017-03-29,1935.00,1935.00,1925.00,1925.00,6100,1925.00
2017-03-28,1940.00,1940.00,1940.00,1940.00,000,1940.00
2017-03-27,1940.00,1960.00,1910.00,1940.00,2700,1940.00
2017-03-24,1930.00,1930.00,1930.00,1930.00,800,1930.00
2017-03-23,1925.00,1930.00,1925.00,1930.00,7900,1930.00
2017-03-22,1930.00,1930.00,1925.00,1925.00,500,1925.00
2017-03-21,1925.00,1930.00,1925.00,1930.00,9100,1930.00
2017-03-20,1930.00,1930.00,1900.00,1925.00,18300,1925.00
2017-03-17,1940.00,1940.00,1900.00,1930.00,400,1930.00
2017-03-16,1940.00,1940.00,1940.00,1940.00,200,1940.00
2017-03-15,1930.00,1940.00,1900.00,1940.00,500,1940.00
2017-03-14,1950.00,1950.00,1930.00,1930.00,2400,1930.00
2017-03-13,1935.00,1935.00,1930.00,1930.00,900,1930.00
2017-03-10,1900.00,1900.00,1900.00,1900.00,700,1900.00
2017-03-09,1850.00,1900.00,1850.00,1850.00,5400,1850.00
2017-03-08,1925.00,1950.00,1900.00,1900.00,900,1900.00
2017-03-07,1925.00,1925.00,1925.00,1925.00,100,1925.00
2017-03-06,1930.00,1940.00,1925.00,1925.00,22200,1925.00
2017-03-03,1910.00,1930.00,1910.00,1925.00,60100,1925.00
2017-03-02,1920.00,1940.00,1915.00,1920.00,22000,1920.00
2017-03-01,1850.00,1920.00,1830.00,1920.00,14400,1920.00
2017-02-28,1800.00,1850.00,1780.00,1850.00,21700,1850.00
2017-02-27,1780.00,1820.00,1760.00,1800.00,17000,1800.00
2017-02-24,1760.00,1760.00,1760.00,1760.00,13800,1760.00
2017-02-23,1760.00,1760.00,1750.00,1760.00,21200,1760.00
2017-02-22,1890.00,1890.00,1760.00,1760.00,4200,1760.00
2017-02-21,1750.00,1980.00,1750.00,1920.00,33100,1920.00
2017-02-20,1740.00,1740.00,1740.00,1740.00,000,1740.00
2017-02-17,1745.00,1750.00,1740.00,1740.00,300,1740.00
2017-02-16,1755.00,1755.00,1735.00,1745.00,20600,1745.00
2017-02-15,1755.00,1755.00,1755.00,1755.00,000,1755.00
2017-02-14,1755.00,1755.00,1730.00,1755.00,20800,1755.00
2017-02-13,1740.00,1755.00,1740.00,1755.00,9500,1755.00
2017-02-10,1740.00,1750.00,1740.00,1740.00,12200,1740.00
2017-02-09,1750.00,1750.00,1735.00,1740.00,11500,1740.00
2017-02-08,1735.00,1750.00,1735.00,1750.00,10100,1750.00
2017-02-07,1750.00,1750.00,1740.00,1745.00,11100,1745.00
2017-02-06,1770.00,1775.00,1770.00,1775.00,11300,1775.00
2017-02-03,1770.00,1770.00,1740.00,1770.00,1000,1770.00
2017-02-02,1770.00,1780.00,1770.00,1770.00,7000,1770.00
2017-02-01,1740.00,1780.00,1740.00,1780.00,1500,1780.00
2017-01-31,1740.00,1750.00,1740.00,1740.00,5800,1740.00
2017-01-30,1780.00,1780.00,1740.00,1740.00,14500,1740.00
2017-01-27,1780.00,1780.00,1730.00,1780.00,6100,1780.00
2017-01-26,1750.00,1780.00,1750.00,1780.00,100,1780.00
2017-01-25,1750.00,1760.00,1750.00,1750.00,513000,1750.00
2017-01-24,1800.00,1800.00,1750.00,1760.00,209100,1760.00
2017-01-23,1750.00,1800.00,1750.00,1790.00,600,1790.00
2017-01-20,1755.00,1770.00,1750.00,1750.00,466400,1750.00
2017-01-19,1750.00,1780.00,1750.00,1750.00,182500,1750.00
2017-01-18,1750.00,1800.00,1730.00,1750.00,99100,1750.00
2017-01-17,1730.00,1750.00,1730.00,1750.00,400,1750.00
2017-01-16,1790.00,1790.00,1700.00,1730.00,32200,1730.00
2017-01-13,1810.00,1820.00,1770.00,1790.00,38300,1790.00
2017-01-12,1790.00,1820.00,1770.00,1790.00,8300,1790.00
2017-01-11,1800.00,1800.00,1790.00,1790.00,400,1790.00
2017-01-10,1800.00,1850.00,1800.00,1800.00,29200,1800.00
2017-01-09,1825.00,1830.00,1800.00,1800.00,800,1800.00
2017-01-06,1860.00,1900.00,1800.00,1825.00,35500,1825.00
2017-01-05,1900.00,1900.00,1900.00,1900.00,100,1900.00
2017-01-04,1920.00,1920.00,1900.00,1900.00,900,1900.00
2017-01-03,1890.00,1930.00,1890.00,1920.00,900,1920.00
2017-01-02,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-30,1850.00,1950.00,1850.00,1900.00,42900,1900.00
2016-12-29,1800.00,1810.00,1800.00,1810.00,7100,1810.00
2016-12-28,1800.00,1800.00,1770.00,1770.00,136700,1770.00
2016-12-27,1770.00,1780.00,1765.00,1770.00,128800,1770.00
