Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,4900.00,4950.00,4820.00,4900.00,2997800,4900.00
2017-03-29,4750.00,5000.00,4710.00,4950.00,4740100,4950.00
2017-03-28,4750.00,4750.00,4750.00,4750.00,000,4750.00
2017-03-27,4750.00,4780.00,4620.00,4750.00,2762500,4750.00
2017-03-24,4770.00,4770.00,4700.00,4700.00,3207900,4700.00
2017-03-23,4800.00,4850.00,4710.00,4740.00,2371700,4740.00
2017-03-22,4850.00,4850.00,4710.00,4800.00,5377200,4800.00
2017-03-21,4900.00,4930.00,4800.00,4850.00,2064900,4850.00
2017-03-20,4900.00,4950.00,4800.00,4900.00,4128600,4900.00
2017-03-17,4750.00,4900.00,4750.00,4900.00,5576200,4900.00
2017-03-16,4800.00,4800.00,4700.00,4750.00,2753200,4750.00
2017-03-15,4750.00,4750.00,4700.00,4700.00,1286900,4700.00
2017-03-14,4770.00,4850.00,4750.00,4750.00,852200,4750.00
2017-03-13,4850.00,4900.00,4740.00,4770.00,2133000,4770.00
2017-03-10,4760.00,4870.00,4760.00,4850.00,982700,4850.00
2017-03-09,4870.00,4870.00,4760.00,4870.00,330200,4870.00
2017-03-08,4850.00,4900.00,4800.00,4800.00,640500,4800.00
2017-03-07,4800.00,4850.00,4800.00,4850.00,5094800,4850.00
2017-03-06,4730.00,4800.00,4730.00,4800.00,1119300,4800.00
2017-03-03,4750.00,4950.00,4700.00,4700.00,2005300,4700.00
2017-03-02,4970.00,4970.00,4700.00,4750.00,3685900,4750.00
2017-03-01,4860.00,4980.00,4840.00,4890.00,3345700,4890.00
2017-02-28,4980.00,4990.00,4900.00,4950.00,2870300,4950.00
2017-02-27,5025.00,5050.00,4970.00,4980.00,1480100,4980.00
2017-02-24,5000.00,5025.00,4900.00,5025.00,1216400,5025.00
2017-02-23,5000.00,5000.00,4750.00,5000.00,5297800,5000.00
2017-02-22,4970.00,5050.00,4910.00,5000.00,2668900,5000.00
2017-02-21,4980.00,5050.00,4970.00,4990.00,810000,4990.00
2017-02-20,4800.00,5100.00,4800.00,4990.00,2854300,4990.00
2017-02-17,4840.00,4840.00,4700.00,4800.00,1502300,4800.00
2017-02-16,4570.00,4890.00,4500.00,4840.00,3441600,4840.00
2017-02-15,4570.00,4570.00,4570.00,4570.00,000,4570.00
2017-02-14,4630.00,4640.00,4410.00,4570.00,4286000,4570.00
2017-02-13,4560.00,4640.00,4480.00,4630.00,2855300,4630.00
2017-02-10,4530.00,4620.00,4500.00,4560.00,3650700,4560.00
2017-02-09,4530.00,4600.00,4500.00,4530.00,2412400,4530.00
2017-02-08,4600.00,4630.00,4480.00,4530.00,3062000,4530.00
2017-02-07,4400.00,4600.00,4400.00,4600.00,3585600,4600.00
2017-02-06,4300.00,4430.00,4300.00,4400.00,2703800,4400.00
2017-02-03,4220.00,4400.00,4220.00,4300.00,2975400,4300.00
2017-02-02,4230.00,4230.00,4100.00,4220.00,2043100,4220.00
2017-02-01,4160.00,4260.00,4100.00,4130.00,2154900,4130.00
2017-01-31,4160.00,4300.00,4160.00,4160.00,3002400,4160.00
2017-01-30,4270.00,4310.00,4170.00,4280.00,561100,4280.00
2017-01-27,4210.00,4280.00,4120.00,4270.00,923700,4270.00
2017-01-26,4210.00,4240.00,4200.00,4230.00,1708600,4230.00
2017-01-25,4180.00,4220.00,4130.00,4210.00,2415200,4210.00
2017-01-24,4140.00,4140.00,4050.00,4140.00,3289700,4140.00
2017-01-23,4100.00,4180.00,4000.00,4070.00,1257900,4070.00
2017-01-20,4150.00,4180.00,4090.00,4100.00,3221900,4100.00
2017-01-19,4000.00,4180.00,4000.00,4180.00,3066900,4180.00
2017-01-18,3800.00,4070.00,3800.00,4040.00,6486700,4040.00
2017-01-17,3680.00,3800.00,3680.00,3800.00,3442300,3800.00
2017-01-16,3650.00,3740.00,3650.00,3680.00,1625500,3680.00
2017-01-13,3800.00,3800.00,3650.00,3650.00,1923600,3650.00
2017-01-12,3690.00,3760.00,3680.00,3750.00,1267500,3750.00
2017-01-11,3670.00,3700.00,3620.00,3690.00,698900,3690.00
2017-01-10,3650.00,3670.00,3580.00,3670.00,1321700,3670.00
2017-01-09,3620.00,3660.00,3560.00,3650.00,1334100,3650.00
2017-01-06,3750.00,3750.00,3610.00,3620.00,2274800,3620.00
2017-01-05,3730.00,3730.00,3650.00,3730.00,712400,3730.00
2017-01-04,3660.00,3750.00,3660.00,3690.00,1850800,3690.00
