Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,4790.00,4790.00,4790.00,4790.00,000,4790.00
2017-03-29,4790.00,4790.00,4790.00,4790.00,1500,4790.00
2017-03-28,4500.00,4500.00,4500.00,4500.00,000,4500.00
2017-03-27,4500.00,4500.00,4500.00,4500.00,500,4500.00
2017-03-24,4500.00,4500.00,4500.00,4500.00,000,4500.00
2017-03-23,4500.00,4500.00,4500.00,4500.00,000,4500.00
2017-03-22,4500.00,4500.00,4500.00,4500.00,000,4500.00
2017-03-21,4500.00,4500.00,4500.00,4500.00,000,4500.00
2017-03-20,4020.00,4500.00,4020.00,4500.00,300,4500.00
2017-03-17,4000.00,4000.00,4000.00,4000.00,20000,4000.00
2017-03-16,4880.00,4880.00,4880.00,4880.00,2500,4880.00
2017-03-15,4890.00,4890.00,4890.00,4890.00,000,4890.00
2017-03-14,4000.00,5000.00,4000.00,4890.00,71700,4890.00
2017-03-13,4000.00,4000.00,4000.00,4000.00,000,4000.00
2017-03-10,4000.00,4000.00,3900.00,4000.00,1000,4000.00
2017-03-09,4000.00,4000.00,4000.00,4000.00,000,4000.00
2017-03-08,4000.00,4000.00,4000.00,4000.00,000,4000.00
2017-03-07,4000.00,4000.00,4000.00,4000.00,000,4000.00
2017-03-06,4000.00,4000.00,4000.00,4000.00,000,4000.00
2017-03-03,3800.00,4000.00,3800.00,4000.00,28300,4000.00
2017-03-02,3700.00,3700.00,3700.00,3700.00,40000,3700.00
2017-03-01,3600.00,3600.00,3550.00,3600.00,167300,3600.00
2017-02-28,3800.00,3800.00,3800.00,3800.00,000,3800.00
2017-02-27,3800.00,3800.00,3800.00,3800.00,000,3800.00
2017-02-24,3600.00,3800.00,3600.00,3800.00,3600,3800.00
2017-02-23,3600.00,3600.00,3600.00,3600.00,000,3600.00
2017-02-22,3600.00,3600.00,3600.00,3600.00,000,3600.00
2017-02-21,3600.00,3600.00,3600.00,3600.00,40000,3600.00
2017-02-20,3600.00,3790.00,3600.00,3790.00,67600,3790.00
2017-02-17,3600.00,3600.00,3500.00,3550.00,700,3550.00
2017-02-16,3600.00,3600.00,3600.00,3600.00,000,3600.00
2017-02-15,3600.00,3600.00,3600.00,3600.00,000,3600.00
2017-02-14,3500.00,3600.00,3500.00,3600.00,3000,3600.00
2017-02-13,3500.00,3500.00,3500.00,3500.00,19000,3500.00
2017-02-10,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-02-09,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-02-08,3500.00,3500.00,3500.00,3500.00,6000,3500.00
2017-02-07,3500.00,3600.00,3500.00,3600.00,246800,3600.00
2017-02-06,3400.00,3400.00,3300.00,3350.00,30100,3350.00
2017-02-03,3450.00,3450.00,3400.00,3400.00,300,3400.00
2017-02-02,3450.00,3450.00,3450.00,3450.00,000,3450.00
2017-02-01,3450.00,3450.00,3450.00,3450.00,200,3450.00
2017-01-31,3450.00,3550.00,3450.00,3450.00,12300,3450.00
2017-01-30,3500.00,3500.00,3500.00,3500.00,3400,3500.00
2017-01-27,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-26,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-25,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-24,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-23,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-20,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-19,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-18,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-17,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-16,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-13,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-12,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-11,3300.00,3500.00,3300.00,3500.00,900,3500.00
2017-01-10,3550.00,3550.00,3300.00,3300.00,200,3300.00
2017-01-09,3450.00,3550.00,3450.00,3550.00,800,3550.00
2017-01-06,3450.00,3450.00,3450.00,3450.00,000,3450.00
2017-01-05,3300.00,3450.00,3100.00,3450.00,5300,3450.00
2017-01-04,3500.00,3500.00,3200.00,3300.00,1200,3300.00
2017-01-03,3500.00,3500.00,3500.00,3500.00,000,3500.00
2017-01-02,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-30,3500.00,3500.00,3500.00,3500.00,100,3500.00
2016-12-29,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-28,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-27,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-26,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-23,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-22,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-21,3500.00,3500.00,3500.00,3500.00,500,3500.00
2016-12-20,3500.00,3500.00,3500.00,3500.00,100,3500.00
2016-12-19,3500.00,3500.00,3500.00,3500.00,100,3500.00
2016-12-16,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-15,3500.00,3500.00,3500.00,3500.00,200,3500.00
2016-12-14,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-13,3500.00,3500.00,3500.00,3500.00,5500,3500.00
2016-12-12,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-09,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-08,3500.00,3600.00,3500.00,3500.00,11900,3500.00
2016-12-07,3500.00,3500.00,3500.00,3500.00,000,3500.00
2016-12-06,3500.00,3500.00,3500.00,3500.00,5500,3500.00
2016-12-05,3450.00,3500.00,3450.00,3500.00,7700,3500.00
2016-12-02,3490.00,3490.00,3490.00,3490.00,700,3490.00
2016-12-01,3500.00,3500.00,3490.00,3490.00,12600,3490.00
2016-11-30,3500.00,3500.00,3500.00,3500.00,000,3500.00
