Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,850.00,910.00,770.00,850.00,4325300,850.00
2017-03-29,790.00,795.00,775.00,785.00,839200,785.00
2017-03-28,770.00,770.00,770.00,770.00,000,770.00
2017-03-27,770.00,810.00,760.00,770.00,1781700,770.00
2017-03-24,780.00,790.00,760.00,760.00,966300,760.00
2017-03-23,775.00,800.00,755.00,780.00,1440600,780.00
2017-03-22,740.00,820.00,740.00,775.00,3539500,775.00
2017-03-21,745.00,780.00,710.00,750.00,2099600,750.00
2017-03-20,790.00,790.00,680.00,745.00,2135900,745.00
2017-03-17,775.00,895.00,650.00,775.00,10395200,775.00
2017-03-16,775.00,775.00,775.00,775.00,000,775.00
2017-03-15,660.00,800.00,660.00,775.00,9937300,775.00
2017-03-14,520.00,650.00,520.00,650.00,6033700,650.00
2017-03-13,474.00,555.00,450.00,520.00,9300800,520.00
2017-03-10,380.00,474.00,380.00,474.00,9515400,474.00
2017-03-09,380.00,400.00,358.00,380.00,4201600,380.00
2017-03-08,308.00,384.00,308.00,384.00,9840300,384.00
2017-03-07,278.00,318.00,276.00,308.00,3182100,308.00
2017-03-06,274.00,288.00,274.00,276.00,1627700,276.00
2017-03-03,278.00,288.00,268.00,274.00,1801800,274.00
2017-03-02,264.00,290.00,262.00,274.00,1215200,274.00
2017-03-01,280.00,282.00,256.00,262.00,481100,262.00
2017-02-28,284.00,294.00,252.00,270.00,1793100,270.00
2017-02-27,300.00,312.00,274.00,284.00,2593300,284.00
2017-02-24,278.00,330.00,278.00,298.00,6762500,298.00
2017-02-23,262.00,298.00,250.00,278.00,2744300,278.00
2017-02-22,292.00,292.00,252.00,262.00,1686400,262.00
2017-02-21,304.00,306.00,270.00,292.00,337800,292.00
2017-02-20,326.00,330.00,304.00,304.00,711600,304.00
2017-02-17,336.00,338.00,326.00,326.00,318900,326.00
2017-02-16,346.00,346.00,320.00,336.00,390500,336.00
2017-02-15,346.00,346.00,346.00,346.00,000,346.00
2017-02-14,358.00,358.00,336.00,346.00,1736000,346.00
2017-02-13,328.00,360.00,322.00,358.00,792700,358.00
2017-02-10,400.00,426.00,392.00,424.00,1313400,424.00
2017-02-09,408.00,420.00,400.00,400.00,356600,400.00
2017-02-08,410.00,452.00,392.00,408.00,1426600,408.00
2017-02-07,364.00,432.00,358.00,410.00,1541200,410.00
2017-02-06,348.00,374.00,344.00,366.00,216100,366.00
2017-02-03,356.00,360.00,344.00,348.00,143500,348.00
2017-02-02,360.00,360.00,342.00,356.00,128100,356.00
2017-02-01,354.00,358.00,342.00,354.00,189600,354.00
2017-01-31,354.00,368.00,354.00,354.00,76200,354.00
2017-01-30,366.00,366.00,340.00,352.00,368800,352.00
2017-01-27,372.00,376.00,350.00,366.00,262000,366.00
2017-01-26,356.00,388.00,356.00,372.00,305900,372.00
2017-01-25,368.00,378.00,350.00,356.00,293400,356.00
2017-01-24,386.00,386.00,366.00,368.00,225200,368.00
2017-01-23,456.00,456.00,366.00,384.00,1186000,384.00
2017-01-20,430.00,460.00,410.00,456.00,946300,456.00
2017-01-19,470.00,480.00,430.00,430.00,1437700,430.00
2017-01-18,422.00,515.00,422.00,466.00,4587000,466.00
2017-01-17,338.00,422.00,338.00,422.00,1815200,422.00
2017-01-16,366.00,366.00,312.00,338.00,1776600,338.00
2017-01-13,420.00,420.00,348.00,366.00,622500,366.00
2017-01-12,488.00,510.00,420.00,420.00,2689200,420.00
2017-01-11,424.00,520.00,424.00,488.00,4860000,488.00
2017-01-10,340.00,424.00,340.00,424.00,3538300,424.00
2017-01-09,272.00,340.00,272.00,340.00,1903900,340.00
2017-01-06,250.00,276.00,230.00,272.00,536000,272.00
2017-01-05,222.00,222.00,222.00,222.00,1500,222.00
2017-01-04,222.00,222.00,222.00,222.00,000,222.00
2017-01-03,244.00,244.00,222.00,222.00,80800,222.00
2017-01-02,244.00,244.00,244.00,244.00,000,244.00
2016-12-30,244.00,244.00,244.00,244.00,100,244.00
2016-12-29,240.00,260.00,230.00,230.00,107100,230.00
2016-12-28,258.00,258.00,230.00,230.00,30800,230.00
2016-12-27,240.00,240.00,240.00,240.00,250000,240.00
2016-12-26,228.00,228.00,228.00,228.00,000,228.00
2016-12-23,228.00,228.00,228.00,228.00,000,228.00
2016-12-22,230.00,260.00,228.00,228.00,21900,228.00
2016-12-21,240.00,240.00,228.00,228.00,100000,228.00
2016-12-20,230.00,240.00,230.00,240.00,1000,240.00
2016-12-19,230.00,230.00,230.00,230.00,43100,230.00
2016-12-16,228.00,240.00,228.00,240.00,5100,240.00
2016-12-15,228.00,228.00,228.00,228.00,25400,228.00
2016-12-14,224.00,226.00,224.00,226.00,3400,226.00
