Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,520.00,530.00,515.00,520.00,22487100,520.00
2017-03-29,525.00,530.00,520.00,520.00,17534700,520.00
2017-03-28,520.00,520.00,520.00,520.00,000,520.00
2017-03-27,520.00,535.00,520.00,520.00,15142100,520.00
2017-03-24,520.00,530.00,510.00,525.00,41370700,525.00
2017-03-23,510.00,520.00,510.00,510.00,23900200,510.00
2017-03-22,510.00,515.00,505.00,510.00,30162300,510.00
2017-03-21,515.00,515.00,505.00,505.00,9605500,505.00
2017-03-20,520.00,525.00,505.00,515.00,31450900,515.00
2017-03-17,510.00,520.00,505.00,515.00,20665600,515.00
2017-03-16,510.00,520.00,505.00,510.00,26344800,510.00
2017-03-15,530.00,530.00,505.00,510.00,31922600,510.00
2017-03-14,520.00,525.00,515.00,515.00,33480400,515.00
2017-03-13,530.00,535.00,520.00,520.00,21661700,520.00
2017-03-10,525.00,535.00,520.00,530.00,51104300,530.00
2017-03-09,525.00,530.00,525.00,525.00,19206700,525.00
2017-03-08,530.00,540.00,525.00,530.00,37085200,530.00
2017-03-07,525.00,540.00,515.00,530.00,26425000,530.00
2017-03-06,555.00,555.00,535.00,535.00,32602200,535.00
2017-03-03,555.00,560.00,540.00,555.00,39874800,555.00
2017-03-02,550.00,560.00,545.00,555.00,48317700,555.00
2017-03-01,550.00,555.00,530.00,545.00,78686000,545.00
2017-02-28,515.00,545.00,510.00,540.00,134031400,540.00
2017-02-27,505.00,525.00,505.00,515.00,62078000,515.00
2017-02-24,510.00,520.00,505.00,505.00,57303400,505.00
2017-02-23,530.00,530.00,510.00,510.00,62071600,510.00
2017-02-22,545.00,550.00,525.00,530.00,90636900,530.00
2017-02-21,560.00,560.00,540.00,540.00,40578500,540.00
2017-02-20,550.00,575.00,550.00,560.00,66774600,560.00
2017-02-17,565.00,575.00,545.00,550.00,38135900,550.00
2017-02-16,590.00,590.00,550.00,565.00,101499600,565.00
2017-02-15,590.00,590.00,590.00,590.00,000,590.00
2017-02-14,615.00,625.00,585.00,590.00,122229400,590.00
2017-02-13,610.00,630.00,605.00,615.00,97858500,615.00
2017-02-10,595.00,620.00,590.00,610.00,117059700,610.00
2017-02-09,595.00,600.00,590.00,595.00,58341800,595.00
2017-02-08,600.00,605.00,590.00,595.00,68437500,595.00
2017-02-07,600.00,605.00,595.00,600.00,55044900,600.00
2017-02-06,600.00,610.00,595.00,595.00,51953700,595.00
2017-02-03,595.00,600.00,595.00,600.00,24001100,600.00
2017-02-02,600.00,605.00,595.00,595.00,20676100,595.00
2017-02-01,600.00,610.00,595.00,600.00,39275200,600.00
2017-01-31,600.00,620.00,600.00,600.00,87550600,600.00
2017-01-30,605.00,620.00,600.00,605.00,43440600,605.00
2017-01-27,600.00,605.00,595.00,600.00,26966200,600.00
2017-01-26,600.00,615.00,590.00,595.00,60982500,595.00
2017-01-25,625.00,630.00,590.00,600.00,152222600,600.00
2017-01-24,630.00,635.00,625.00,625.00,19738100,625.00
2017-01-23,635.00,645.00,630.00,630.00,20444900,630.00
2017-01-20,625.00,650.00,625.00,630.00,70786600,630.00
2017-01-19,630.00,635.00,620.00,625.00,53859400,625.00
2017-01-18,630.00,640.00,620.00,630.00,25209900,630.00
2017-01-17,625.00,640.00,615.00,625.00,30022400,625.00
2017-01-16,625.00,630.00,615.00,620.00,22815300,620.00
2017-01-13,645.00,645.00,625.00,625.00,23754100,625.00
2017-01-12,655.00,660.00,645.00,645.00,15843700,645.00
2017-01-11,660.00,670.00,650.00,655.00,23313900,655.00
2017-01-10,650.00,670.00,640.00,650.00,36603800,650.00
2017-01-09,675.00,675.00,645.00,645.00,36945700,645.00
2017-01-06,680.00,680.00,660.00,670.00,28761000,670.00
2017-01-05,635.00,680.00,630.00,675.00,107540700,675.00
2017-01-04,615.00,635.00,605.00,625.00,26596800,625.00
2017-01-03,620.00,620.00,605.00,610.00,12909200,610.00
2017-01-02,615.00,615.00,615.00,615.00,000,615.00
2016-12-30,615.00,645.00,615.00,615.00,82483200,615.00
2016-12-29,605.00,615.00,605.00,615.00,19967900,615.00
2016-12-28,600.00,615.00,595.00,605.00,19679200,605.00
2016-12-27,600.00,615.00,590.00,595.00,28198800,595.00
2016-12-26,600.00,600.00,600.00,600.00,000,600.00
2016-12-23,590.00,600.00,555.00,600.00,105028800,600.00
2016-12-22,605.00,605.00,590.00,595.00,35322900,595.00
2016-12-21,600.00,625.00,595.00,600.00,66952600,600.00
2016-12-20,600.00,605.00,590.00,600.00,37281800,600.00
2016-12-19,600.00,610.00,590.00,595.00,27909500,595.00
2016-12-16,610.00,615.00,600.00,600.00,44529000,600.00
2016-12-15,600.00,610.00,595.00,600.00,52873100,600.00
2016-12-14,600.00,635.00,595.00,610.00,121657400,610.00
2016-12-13,590.00,605.00,590.00,595.00,38000100,595.00
2016-12-12,590.00,590.00,590.00,590.00,000,590.00
2016-12-09,605.00,605.00,590.00,590.00,47288100,590.00
2016-12-08,605.00,615.00,600.00,600.00,39453100,600.00
2016-12-07,615.00,615.00,595.00,600.00,61042800,600.00
2016-12-06,625.00,630.00,610.00,615.00,42856400,615.00
2016-12-05,620.00,630.00,615.00,620.00,46041300,620.00
2016-12-02,615.00,635.00,610.00,620.00,45238800,620.00
2016-12-01,600.00,640.00,600.00,620.00,129914300,620.00
2016-11-30,590.00,615.00,590.00,590.00,508421500,590.00
2016-11-29,605.00,630.00,585.00,585.00,62083100,585.00
2016-11-28,610.00,635.00,585.00,605.00,64126900,605.00
2016-11-25,625.00,630.00,605.00,605.00,14969500,605.00
2016-11-24,630.00,645.00,605.00,615.00,33843600,615.00
2016-11-23,645.00,660.00,635.00,640.00,26259500,640.00
2016-11-22,615.00,655.00,610.00,640.00,46624600,640.00
2016-11-21,640.00,640.00,605.00,610.00,69960600,610.00
2016-11-18,660.00,660.00,635.00,645.00,19551000,645.00
