Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1020.00,1025.00,980.00,1020.00,16161500,1020.00
2017-03-29,1005.00,1005.00,985.00,985.00,8997300,985.00
2017-03-28,1000.00,1000.00,1000.00,1000.00,000,1000.00
2017-03-27,1000.00,1015.00,995.00,1000.00,13513700,1000.00
2017-03-24,1015.00,1030.00,1010.00,1010.00,6401900,1010.00
2017-03-23,1005.00,1020.00,1000.00,1015.00,9452600,1015.00
2017-03-22,1020.00,1020.00,990.00,1005.00,7797600,1005.00
2017-03-21,1025.00,1035.00,1010.00,1020.00,5931200,1020.00
2017-03-20,1030.00,1035.00,1025.00,1025.00,6194300,1025.00
2017-03-17,1005.00,1030.00,1005.00,1030.00,21068000,1030.00
2017-03-16,1025.00,1045.00,1000.00,1005.00,14302700,1005.00
2017-03-15,1060.00,1060.00,1025.00,1025.00,19268000,1025.00
2017-03-14,1035.00,1060.00,1020.00,1050.00,39107500,1050.00
2017-03-13,1005.00,1035.00,995.00,1030.00,26015800,1030.00
2017-03-10,980.00,1025.00,975.00,1005.00,29773800,1005.00
2017-03-09,970.00,975.00,950.00,970.00,7221800,970.00
2017-03-08,960.00,970.00,945.00,950.00,3152200,950.00
2017-03-07,985.00,985.00,950.00,960.00,13249200,960.00
2017-03-06,985.00,995.00,975.00,985.00,7629400,985.00
2017-03-03,1010.00,1020.00,980.00,985.00,8141300,985.00
2017-03-02,990.00,1035.00,980.00,1010.00,42480600,1010.00
2017-03-01,970.00,995.00,965.00,970.00,10090500,970.00
2017-02-28,970.00,1000.00,965.00,990.00,16668900,990.00
2017-02-27,1000.00,1000.00,965.00,970.00,12318900,970.00
2017-02-24,990.00,1015.00,975.00,1000.00,15766700,1000.00
2017-02-23,1015.00,1020.00,980.00,995.00,18204600,995.00
2017-02-22,1075.00,1090.00,995.00,1015.00,27957600,1015.00
2017-02-21,1130.00,1145.00,1060.00,1070.00,27685300,1070.00
2017-02-20,1080.00,1130.00,1075.00,1115.00,26418700,1115.00
2017-02-17,1080.00,1090.00,1060.00,1080.00,5591800,1080.00
2017-02-16,1085.00,1115.00,1080.00,1080.00,12400400,1080.00
2017-02-15,1085.00,1085.00,1085.00,1085.00,000,1085.00
2017-02-14,1070.00,1170.00,1070.00,1085.00,32406000,1085.00
2017-02-13,1065.00,1095.00,1025.00,1070.00,18529700,1070.00
2017-02-10,1030.00,1075.00,1030.00,1065.00,13888000,1065.00
2017-02-09,1000.00,1050.00,1000.00,1030.00,7395800,1030.00
2017-02-08,1040.00,1060.00,995.00,1000.00,12748800,1000.00
2017-02-07,1025.00,1075.00,1015.00,1040.00,21606700,1040.00
2017-02-06,980.00,1030.00,980.00,1025.00,15637700,1025.00
2017-02-03,995.00,1010.00,965.00,980.00,13140200,980.00
2017-02-02,950.00,1000.00,945.00,995.00,12035700,995.00
2017-02-01,980.00,980.00,945.00,955.00,4899300,955.00
2017-01-31,980.00,980.00,925.00,980.00,7433600,980.00
2017-01-30,955.00,960.00,925.00,940.00,6714400,940.00
2017-01-27,960.00,975.00,955.00,955.00,1185400,955.00
2017-01-26,970.00,975.00,950.00,975.00,5922800,975.00
2017-01-25,965.00,975.00,955.00,970.00,7603400,970.00
2017-01-24,960.00,990.00,950.00,965.00,18906300,965.00
2017-01-23,950.00,970.00,940.00,965.00,9636200,965.00
2017-01-20,900.00,960.00,900.00,950.00,39216400,950.00
2017-01-19,900.00,910.00,875.00,885.00,6131100,885.00
2017-01-18,875.00,900.00,875.00,900.00,13404100,900.00
2017-01-17,875.00,895.00,865.00,875.00,2547300,875.00
2017-01-16,880.00,920.00,865.00,875.00,19230000,875.00
2017-01-13,885.00,900.00,880.00,880.00,9676400,880.00
2017-01-12,910.00,915.00,880.00,880.00,6799700,880.00
2017-01-11,880.00,920.00,880.00,910.00,14395000,910.00
2017-01-10,890.00,905.00,875.00,880.00,4290400,880.00
2017-01-09,840.00,910.00,840.00,890.00,33948100,890.00
2017-01-06,835.00,845.00,820.00,840.00,1244800,840.00
2017-01-05,845.00,845.00,830.00,835.00,1680000,835.00
2017-01-04,845.00,855.00,845.00,845.00,3345400,845.00
2017-01-03,840.00,845.00,820.00,845.00,3765100,845.00
2017-01-02,845.00,845.00,845.00,845.00,000,845.00
2016-12-30,830.00,845.00,825.00,845.00,14536700,845.00
2016-12-29,805.00,840.00,800.00,825.00,6095600,825.00
2016-12-28,780.00,805.00,780.00,805.00,827500,805.00
2016-12-27,780.00,795.00,765.00,780.00,3521200,780.00
2016-12-26,780.00,780.00,780.00,780.00,000,780.00
2016-12-23,795.00,795.00,780.00,780.00,1647900,780.00
2016-12-22,795.00,795.00,770.00,790.00,2992800,790.00
2016-12-21,790.00,800.00,785.00,795.00,2620000,795.00
2016-12-20,795.00,810.00,785.00,790.00,1659000,790.00
2016-12-19,795.00,815.00,785.00,795.00,2349700,795.00
2016-12-16,825.00,825.00,795.00,795.00,4010100,795.00
2016-12-15,815.00,830.00,810.00,825.00,2242100,825.00
2016-12-14,850.00,850.00,820.00,825.00,2543200,825.00
2016-12-13,835.00,850.00,835.00,845.00,4067200,845.00
2016-12-12,835.00,835.00,835.00,835.00,000,835.00
2016-12-09,855.00,855.00,835.00,835.00,2909100,835.00
2016-12-08,840.00,870.00,840.00,850.00,7059500,850.00
2016-12-07,825.00,860.00,820.00,835.00,10179200,835.00
2016-12-06,810.00,845.00,805.00,825.00,9046900,825.00
2016-12-05,835.00,845.00,805.00,805.00,4419600,805.00
2016-12-02,820.00,845.00,820.00,830.00,6210000,830.00
2016-12-01,805.00,850.00,805.00,820.00,8461600,820.00
2016-11-30,800.00,825.00,800.00,805.00,6101900,805.00
2016-11-29,785.00,815.00,780.00,800.00,6442800,800.00
2016-11-28,800.00,810.00,785.00,785.00,2800500,785.00
2016-11-25,825.00,825.00,800.00,800.00,3838800,800.00
2016-11-24,800.00,825.00,770.00,825.00,24582600,825.00
2016-11-23,815.00,830.00,800.00,805.00,7638900,805.00
2016-11-22,830.00,855.00,810.00,815.00,10358600,815.00
2016-11-21,805.00,840.00,810.00,830.00,2718900,830.00
2016-11-18,810.00,850.00,805.00,805.00,3155900,805.00
2016-11-17,840.00,855.00,825.00,830.00,3861200,830.00
2016-11-16,825.00,855.00,825.00,840.00,3633100,840.00
2016-11-15,855.00,865.00,820.00,825.00,7073700,825.00
2016-11-14,880.00,880.00,835.00,855.00,10836500,855.00
2016-11-11,880.00,885.00,855.00,880.00,14366100,880.00
2016-11-10,925.00,935.00,910.00,920.00,26048400,920.00
2016-11-09,950.00,955.00,870.00,925.00,16569000,925.00
2016-11-08,930.00,960.00,910.00,935.00,18469500,935.00
2016-11-07,925.00,930.00,905.00,920.00,5992300,920.00
2016-11-04,925.00,935.00,915.00,925.00,4673200,925.00
2016-11-03,930.00,970.00,920.00,925.00,20708500,925.00
2016-11-02,940.00,940.00,895.00,925.00,18892500,925.00
2016-11-01,955.00,955.00,930.00,940.00,16819400,940.00
2016-10-31,970.00,970.00,940.00,955.00,14463500,955.00
2016-10-28,980.00,1015.00,955.00,960.00,27198300,960.00
2016-10-27,945.00,985.00,940.00,970.00,15648400,970.00
2016-10-26,950.00,950.00,935.00,945.00,7737700,945.00
2016-10-25,960.00,965.00,940.00,950.00,13011800,950.00
2016-10-24,890.00,955.00,890.00,950.00,33099200,950.00
2016-10-21,885.00,890.00,875.00,890.00,5832600,890.00
2016-10-20,890.00,900.00,870.00,875.00,8322000,875.00
2016-10-19,890.00,905.00,885.00,890.00,10677600,890.00
2016-10-18,890.00,900.00,875.00,890.00,8251800,890.00
2016-10-17,900.00,910.00,890.00,890.00,8973500,890.00
2016-10-14,890.00,905.00,885.00,900.00,7744700,900.00
2016-10-13,905.00,905.00,885.00,890.00,13954300,890.00
2016-10-12,915.00,930.00,905.00,905.00,13900900,905.00
2016-10-11,885.00,920.00,870.00,915.00,24964100,915.00
2016-10-10,890.00,895.00,880.00,885.00,4656500,885.00
2016-10-07,895.00,900.00,880.00,890.00,6908200,890.00
2016-10-06,880.00,905.00,875.00,895.00,23672500,895.00
2016-10-05,900.00,905.00,870.00,880.00,10358400,880.00
2016-10-04,875.00,915.00,875.00,900.00,48173100,900.00
2016-10-03,840.00,885.00,840.00,875.00,21447100,875.00
2016-09-30,865.00,865.00,825.00,830.00,17482700,830.00
2016-09-29,860.00,880.00,860.00,865.00,24250200,865.00
2016-09-28,870.00,890.00,855.00,860.00,31489400,860.00
2016-09-27,815.00,860.00,800.00,860.00,58065600,860.00
2016-09-26,780.00,820.00,770.00,815.00,22539800,815.00
2016-09-23,780.00,815.00,770.00,780.00,16769100,780.00
2016-09-22,815.00,835.00,790.00,805.00,32947600,805.00
2016-09-21,815.00,840.00,805.00,815.00,65503300,815.00
2016-09-20,790.00,830.00,775.00,815.00,67398900,815.00
2016-09-19,740.00,800.00,740.00,790.00,77804900,790.00
2016-09-16,705.00,760.00,700.00,735.00,115456600,735.00
2016-09-15,630.00,715.00,620.00,705.00,125921000,705.00
2016-09-14,645.00,655.00,615.00,630.00,49948400,630.00
2016-09-13,675.00,680.00,650.00,650.00,39759900,650.00
2016-09-12,675.00,675.00,675.00,675.00,000,675.00
2016-09-09,685.00,705.00,650.00,675.00,62399200,675.00
2016-09-08,725.00,725.00,685.00,685.00,59077000,685.00
2016-09-07,725.00,755.00,700.00,720.00,92838700,720.00
2016-09-06,775.00,780.00,720.00,725.00,70708200,725.00
2016-09-05,820.00,830.00,765.00,770.00,75260300,770.00
2016-09-02,740.00,830.00,680.00,815.00,254051800,815.00
2016-09-01,835.00,835.00,755.00,755.00,1136200,755.00
2016-08-31,890.00,890.00,835.00,835.00,3877100,835.00
2016-08-30,1025.00,1035.00,925.00,925.00,20165400,925.00
2016-08-29,980.00,1040.00,975.00,1025.00,14386000,1025.00
2016-08-26,945.00,1015.00,940.00,975.00,4626100,975.00
2016-08-25,950.00,965.00,940.00,945.00,1690500,945.00
2016-08-24,940.00,965.00,940.00,950.00,1719400,950.00
2016-08-23,970.00,980.00,940.00,940.00,3183300,940.00
2016-08-22,980.00,990.00,950.00,965.00,3762200,965.00
2016-08-19,995.00,1005.00,970.00,970.00,3300700,970.00
2016-08-18,965.00,1030.00,965.00,995.00,5549100,995.00
2016-08-17,955.00,955.00,955.00,955.00,000,955.00
2016-08-16,925.00,970.00,910.00,955.00,4457200,955.00
2016-08-15,955.00,965.00,910.00,920.00,5159700,920.00
2016-08-12,995.00,1010.00,940.00,955.00,8362200,955.00
2016-08-11,1010.00,1040.00,995.00,995.00,10970700,995.00
2016-08-10,1050.00,1050.00,1010.00,1010.00,4872200,1010.00
2016-08-09,1050.00,1060.00,1030.00,1040.00,3059000,1040.00
2016-08-08,1045.00,1070.00,1040.00,1050.00,4365900,1050.00
2016-08-05,1045.00,1065.00,1000.00,1040.00,10015000,1040.00
2016-08-04,1045.00,1065.00,1045.00,1045.00,4790100,1045.00
2016-08-03,1015.00,1090.00,1010.00,1055.00,16593100,1055.00
2016-08-02,965.00,1065.00,960.00,1010.00,25094000,1010.00
2016-08-01,910.00,980.00,910.00,955.00,16440500,955.00
2016-07-29,910.00,945.00,900.00,910.00,10174600,910.00
2016-07-28,890.00,915.00,875.00,900.00,5754500,900.00
2016-07-27,865.00,945.00,865.00,890.00,10232700,890.00
2016-07-26,890.00,895.00,840.00,865.00,7035100,865.00
2016-07-25,895.00,945.00,885.00,890.00,6060900,890.00
2016-07-22,800.00,965.00,790.00,900.00,17645900,900.00
2016-07-21,860.00,870.00,805.00,815.00,18155500,815.00
2016-07-20,685.00,840.00,680.00,840.00,37399500,840.00
2016-07-19,605.00,710.00,605.00,675.00,29246600,675.00
2016-07-18,605.00,615.00,605.00,605.00,1504700,605.00
2016-07-15,605.00,615.00,600.00,600.00,1987900,600.00
2016-07-14,620.00,620.00,605.00,605.00,1981200,605.00
2016-07-13,620.00,635.00,605.00,620.00,5684000,620.00
2016-07-12,615.00,645.00,595.00,615.00,14037500,615.00
2016-07-11,610.00,645.00,605.00,610.00,3504800,610.00
2016-07-08,615.00,615.00,615.00,615.00,000,615.00
2016-07-07,615.00,615.00,615.00,615.00,000,615.00
2016-07-06,615.00,615.00,615.00,615.00,000,615.00
2016-07-05,615.00,615.00,615.00,615.00,000,615.00
2016-07-04,615.00,615.00,615.00,615.00,000,615.00
2016-07-01,525.00,655.00,525.00,615.00,19793600,615.00
2016-06-30,510.00,540.00,505.00,525.00,6488400,525.00
2016-06-28,500.00,500.00,498.00,498.00,437800,498.00
2016-06-27,498.00,505.00,496.00,505.00,1020000,505.00
2016-06-24,498.00,498.00,492.00,496.00,222200,496.00
2016-06-23,500.00,505.00,496.00,498.00,308000,498.00
2016-06-22,500.00,515.00,498.00,500.00,1937700,500.00
2016-06-21,505.00,505.00,496.00,498.00,141400,498.00
2016-06-20,494.00,505.00,494.00,496.00,986900,496.00
2016-06-17,498.00,498.00,488.00,494.00,439100,494.00
2016-06-16,500.00,500.00,496.00,498.00,715400,498.00
2016-06-15,500.00,500.00,498.00,500.00,423000,500.00
2016-06-14,500.00,515.00,496.00,496.00,1154100,496.00
2016-06-13,515.00,515.00,496.00,500.00,1366800,500.00
2016-06-10,515.00,525.00,515.00,515.00,990300,515.00
2016-06-09,510.00,535.00,505.00,505.00,5614300,505.00
2016-06-08,496.00,525.00,492.00,505.00,9118900,505.00
2016-06-07,494.00,498.00,494.00,496.00,484200,496.00
2016-06-06,494.00,500.00,494.00,494.00,319300,494.00
2016-06-03,500.00,500.00,492.00,496.00,873400,496.00
2016-06-02,500.00,500.00,494.00,496.00,94300,496.00
2016-06-01,494.00,498.00,490.00,494.00,306300,494.00
2016-05-31,496.00,510.00,494.00,494.00,1332700,494.00
2016-05-30,500.00,500.00,496.00,496.00,1197100,496.00
2016-05-27,505.00,505.00,496.00,496.00,673300,496.00
2016-05-26,496.00,530.00,496.00,496.00,680600,496.00
2016-05-25,494.00,496.00,494.00,496.00,109300,496.00
2016-05-24,494.00,496.00,480.00,494.00,645300,494.00
2016-05-23,498.00,500.00,494.00,494.00,407000,494.00
2016-05-20,500.00,505.00,498.00,498.00,76300,498.00
2016-05-19,515.00,515.00,498.00,500.00,1137500,500.00
2016-05-18,520.00,525.00,510.00,515.00,714900,515.00
2016-05-17,520.00,520.00,515.00,520.00,68400,520.00
2016-05-16,520.00,530.00,515.00,520.00,379500,520.00
2016-05-13,530.00,535.00,515.00,520.00,716700,520.00
