Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,2910.00,2980.00,2910.00,2910.00,25248200,2910.00
2017-03-29,3000.00,3060.00,2940.00,2980.00,35637900,2980.00
2017-03-28,3000.00,3000.00,3000.00,3000.00,000,3000.00
2017-03-27,3000.00,3090.00,2970.00,3000.00,43812500,3000.00
2017-03-24,2790.00,2960.00,2780.00,2960.00,41610100,2960.00
2017-03-23,2750.00,2810.00,2740.00,2790.00,25693000,2790.00
2017-03-22,2730.00,2770.00,2690.00,2750.00,20832000,2750.00
2017-03-21,2640.00,2770.00,2630.00,2730.00,43010500,2730.00
2017-03-20,2580.00,2640.00,2570.00,2640.00,25732000,2640.00
2017-03-17,2640.00,2650.00,2550.00,2580.00,25054900,2580.00
2017-03-16,2690.00,2700.00,2610.00,2640.00,23377700,2640.00
2017-03-15,2670.00,2700.00,2650.00,2680.00,22255200,2680.00
2017-03-14,2670.00,2720.00,2590.00,2670.00,47214600,2670.00
2017-03-13,2500.00,2720.00,2500.00,2650.00,59469300,2650.00
2017-03-10,2470.00,2520.00,2470.00,2500.00,33716700,2500.00
2017-03-09,2460.00,2480.00,2430.00,2460.00,25708000,2460.00
2017-03-08,2350.00,2450.00,2340.00,2450.00,38169900,2450.00
2017-03-07,2370.00,2380.00,2330.00,2350.00,23187900,2350.00
2017-03-06,2240.00,2390.00,2240.00,2360.00,41357800,2360.00
2017-03-03,2220.00,2240.00,2220.00,2230.00,15912500,2230.00
2017-03-02,2250.00,2250.00,2210.00,2230.00,22190700,2230.00
2017-03-01,2230.00,2270.00,2220.00,2240.00,24600100,2240.00
2017-02-28,2150.00,2280.00,2150.00,2220.00,30407300,2220.00
2017-02-27,2250.00,2270.00,2120.00,2150.00,36492000,2150.00
2017-02-24,2310.00,2430.00,2200.00,2250.00,40109500,2250.00
2017-02-23,2430.00,2440.00,2310.00,2310.00,28276300,2310.00
2017-02-22,2450.00,2460.00,2370.00,2420.00,26918400,2420.00
2017-02-21,2480.00,2520.00,2430.00,2450.00,25931300,2450.00
2017-02-20,2540.00,2560.00,2460.00,2470.00,24004200,2470.00
2017-02-17,2380.00,2530.00,2360.00,2520.00,49308100,2520.00
2017-02-16,2420.00,2440.00,2270.00,2380.00,29498600,2380.00
2017-02-15,2420.00,2420.00,2420.00,2420.00,000,2420.00
2017-02-14,2450.00,2470.00,2410.00,2420.00,23278800,2420.00
2017-02-13,2370.00,2500.00,2320.00,2450.00,52000000,2450.00
2017-02-10,2180.00,2420.00,2170.00,2370.00,61167500,2370.00
2017-02-09,1945.00,2190.00,1945.00,2180.00,52628500,2180.00
2017-02-08,1980.00,1980.00,1930.00,1945.00,25798000,1945.00
2017-02-07,1980.00,2030.00,1980.00,1980.00,26825900,1980.00
2017-02-06,1850.00,1995.00,1850.00,1980.00,52996000,1980.00
2017-02-03,1770.00,1860.00,1770.00,1850.00,45209500,1850.00
2017-02-02,1785.00,1795.00,1770.00,1770.00,18324900,1770.00
2017-02-01,1805.00,1810.00,1785.00,1785.00,22706300,1785.00
2017-01-31,1805.00,1805.00,1775.00,1805.00,32442600,1805.00
2017-01-30,1780.00,1800.00,1760.00,1775.00,21688200,1775.00
2017-01-27,1795.00,1795.00,1770.00,1780.00,21718900,1780.00
2017-01-26,1795.00,1820.00,1785.00,1790.00,25637100,1790.00
2017-01-25,1755.00,1795.00,1740.00,1795.00,29035200,1795.00
2017-01-24,1770.00,1780.00,1750.00,1750.00,21340300,1750.00
2017-01-23,1780.00,1805.00,1770.00,1770.00,29356000,1770.00
2017-01-20,1765.00,1805.00,1740.00,1780.00,36987100,1780.00
2017-01-19,1690.00,1765.00,1690.00,1765.00,33750600,1765.00
2017-01-18,1715.00,1715.00,1655.00,1690.00,26415400,1690.00
2017-01-17,1705.00,1730.00,1705.00,1715.00,35553000,1715.00
2017-01-16,1670.00,1710.00,1670.00,1705.00,27456300,1705.00
2017-01-13,1665.00,1675.00,1645.00,1670.00,18640400,1670.00
2017-01-12,1650.00,1685.00,1640.00,1665.00,21058400,1665.00
2017-01-11,1650.00,1680.00,1645.00,1650.00,20927800,1650.00
2017-01-10,1625.00,1685.00,1600.00,1650.00,25874400,1650.00
2017-01-09,1620.00,1650.00,1620.00,1625.00,27554800,1625.00
2017-01-06,1560.00,1620.00,1560.00,1620.00,28678600,1620.00
2017-01-05,1530.00,1555.00,1520.00,1555.00,33180500,1555.00
2017-01-04,1500.00,1540.00,1500.00,1530.00,30120100,1530.00
2017-01-03,1475.00,1505.00,1470.00,1500.00,17252600,1500.00
2017-01-02,1465.00,1465.00,1465.00,1465.00,000,1465.00
2016-12-30,1510.00,1535.00,1465.00,1465.00,18887300,1465.00
2016-12-29,1440.00,1540.00,1435.00,1500.00,35976400,1500.00
2016-12-28,1440.00,1465.00,1425.00,1430.00,20369100,1430.00
2016-12-27,1450.00,1465.00,1430.00,1430.00,22683200,1430.00
2016-12-26,1445.00,1445.00,1445.00,1445.00,000,1445.00
2016-12-23,1405.00,1455.00,1385.00,1445.00,25891100,1445.00
2016-12-22,1390.00,1400.00,1290.00,1400.00,19995000,1400.00
2016-12-21,1455.00,1455.00,1355.00,1395.00,28413300,1395.00
2016-12-20,1490.00,1495.00,1455.00,1455.00,24542000,1455.00
2016-12-19,1460.00,1505.00,1435.00,1490.00,36890700,1490.00
2016-12-16,1465.00,1475.00,1445.00,1465.00,23372300,1465.00
2016-12-15,1445.00,1475.00,1430.00,1465.00,21525100,1465.00
2016-12-14,1425.00,1450.00,1400.00,1445.00,25188300,1445.00
2016-12-13,1475.00,1475.00,1400.00,1425.00,22188600,1425.00
2016-12-12,1475.00,1475.00,1475.00,1475.00,000,1475.00
2016-12-09,1495.00,1500.00,1455.00,1475.00,22756800,1475.00
2016-12-08,1535.00,1550.00,1495.00,1495.00,23192000,1495.00
2016-12-07,1530.00,1565.00,1510.00,1530.00,21473900,1530.00
2016-12-06,1480.00,1555.00,1475.00,1530.00,34322200,1530.00
2016-12-05,1570.00,1575.00,1475.00,1475.00,30585100,1475.00
2016-12-02,1570.00,1585.00,1565.00,1570.00,19774000,1570.00
2016-12-01,1570.00,1590.00,1565.00,1570.00,15648600,1570.00
2016-11-30,1590.00,1595.00,1570.00,1570.00,20562800,1570.00
2016-11-29,1590.00,1600.00,1555.00,1580.00,29855800,1580.00
2016-11-28,1625.00,1640.00,1465.00,1585.00,46009500,1585.00
2016-11-25,1650.00,1660.00,1625.00,1625.00,24059700,1625.00
2016-11-24,1675.00,1705.00,1655.00,1655.00,16949600,1655.00
2016-11-23,1705.00,1715.00,1660.00,1675.00,24620700,1675.00
