Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1860.00,1860.00,1820.00,1860.00,10891000,1860.00
2017-03-29,1820.00,1860.00,1820.00,1840.00,17378400,1840.00
2017-03-28,1840.00,1840.00,1840.00,1840.00,000,1840.00
2017-03-27,1840.00,1865.00,1830.00,1840.00,22383700,1840.00
2017-03-24,1840.00,1865.00,1820.00,1865.00,16588400,1865.00
2017-03-23,1880.00,1880.00,1835.00,1845.00,13231300,1845.00
2017-03-22,1830.00,1885.00,1795.00,1885.00,17311900,1885.00
2017-03-21,1820.00,1850.00,1815.00,1835.00,12200800,1835.00
2017-03-20,1840.00,1840.00,1810.00,1835.00,8388500,1835.00
2017-03-17,1785.00,1840.00,1760.00,1840.00,28984600,1840.00
2017-03-16,1750.00,1780.00,1740.00,1775.00,21427800,1775.00
2017-03-15,1700.00,1750.00,1700.00,1740.00,12365600,1740.00
2017-03-14,1730.00,1740.00,1720.00,1740.00,19685200,1740.00
2017-03-13,1750.00,1760.00,1725.00,1730.00,22123800,1730.00
2017-03-10,1750.00,1770.00,1740.00,1760.00,17886700,1760.00
2017-03-09,1765.00,1785.00,1745.00,1765.00,9841800,1765.00
2017-03-08,1795.00,1805.00,1760.00,1765.00,18764400,1765.00
2017-03-07,1770.00,1795.00,1765.00,1785.00,18561000,1785.00
2017-03-06,1785.00,1785.00,1745.00,1765.00,22446800,1765.00
2017-03-03,1780.00,1795.00,1755.00,1765.00,23441400,1765.00
2017-03-02,1800.00,1815.00,1780.00,1785.00,23377800,1785.00
2017-03-01,1815.00,1840.00,1775.00,1790.00,37895700,1790.00
2017-02-28,1855.00,1855.00,1815.00,1830.00,14684000,1830.00
2017-02-27,1900.00,1900.00,1845.00,1855.00,10853100,1855.00
2017-02-24,1885.00,1920.00,1885.00,1900.00,6611400,1900.00
2017-02-23,1890.00,1910.00,1880.00,1910.00,9105500,1910.00
2017-02-22,1900.00,1905.00,1885.00,1905.00,5062200,1905.00
2017-02-21,1900.00,1905.00,1890.00,1900.00,10315900,1900.00
2017-02-20,1890.00,1905.00,1870.00,1890.00,3891100,1890.00
2017-02-17,1900.00,1900.00,1870.00,1890.00,11645400,1890.00
2017-02-16,1850.00,1900.00,1825.00,1900.00,10733000,1900.00
2017-02-15,1885.00,1885.00,1885.00,1885.00,000,1885.00
2017-02-14,1900.00,1910.00,1870.00,1885.00,9998200,1885.00
2017-02-13,1905.00,1920.00,1895.00,1905.00,16730300,1905.00
2017-02-10,1900.00,1915.00,1895.00,1905.00,26947600,1905.00
2017-02-09,1910.00,1915.00,1900.00,1900.00,27500500,1900.00
