Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,865.00,865.00,865.00,865.00,000,865.00
2017-03-29,865.00,865.00,865.00,865.00,000,865.00
2017-03-28,865.00,865.00,865.00,865.00,000,865.00
2017-03-27,865.00,865.00,860.00,865.00,220300,865.00
2017-03-24,860.00,860.00,860.00,860.00,160000,860.00
2017-03-23,800.00,845.00,800.00,845.00,100,845.00
2017-03-22,800.00,800.00,800.00,800.00,10000,800.00
2017-03-21,860.00,860.00,860.00,860.00,100,860.00
2017-03-20,860.00,860.00,860.00,860.00,000,860.00
2017-03-17,860.00,860.00,860.00,860.00,000,860.00
2017-03-16,860.00,860.00,860.00,860.00,000,860.00
2017-03-15,860.00,860.00,860.00,860.00,000,860.00
2017-03-14,860.00,860.00,860.00,860.00,000,860.00
2017-03-13,865.00,865.00,860.00,860.00,3600,860.00
2017-03-10,825.00,830.00,825.00,830.00,10500,830.00
2017-03-09,810.00,810.00,810.00,810.00,500,810.00
2017-03-08,870.00,870.00,870.00,870.00,100,870.00
2017-03-07,870.00,870.00,870.00,870.00,000,870.00
2017-03-06,810.00,870.00,810.00,870.00,502500,870.00
2017-03-03,810.00,860.00,805.00,860.00,175000,860.00
2017-03-02,855.00,855.00,855.00,855.00,000,855.00
2017-03-01,855.00,855.00,855.00,855.00,200,855.00
2017-02-28,860.00,860.00,850.00,860.00,57800,860.00
2017-02-27,645.00,860.00,645.00,860.00,83100,860.00
2017-02-24,850.00,855.00,850.00,855.00,9100,855.00
2017-02-23,855.00,855.00,805.00,855.00,1300,855.00
2017-02-22,855.00,855.00,755.00,855.00,1600,855.00
2017-02-21,855.00,855.00,855.00,855.00,1000,855.00
2017-02-20,855.00,855.00,855.00,855.00,500,855.00
2017-02-17,855.00,855.00,855.00,855.00,600,855.00
2017-02-16,850.00,855.00,850.00,855.00,500,855.00
2017-02-15,850.00,850.00,850.00,850.00,000,850.00
2017-02-14,855.00,855.00,850.00,850.00,1100,850.00
2017-02-13,855.00,855.00,850.00,855.00,500,855.00
2017-02-10,860.00,860.00,805.00,855.00,3400,855.00
2017-02-09,805.00,860.00,805.00,860.00,284800,860.00
2017-02-08,855.00,860.00,805.00,805.00,1500,805.00
2017-02-07,860.00,860.00,860.00,860.00,1000,860.00
2017-02-06,860.00,860.00,855.00,860.00,2200,860.00
2017-02-03,860.00,860.00,855.00,860.00,1900,860.00
2017-02-02,855.00,860.00,855.00,860.00,2000,860.00
2017-02-01,860.00,860.00,855.00,860.00,2300,860.00
2017-01-31,860.00,860.00,855.00,860.00,3000,860.00
2017-01-30,860.00,860.00,855.00,855.00,10400,855.00
2017-01-27,860.00,860.00,805.00,860.00,3700,860.00
2017-01-26,860.00,860.00,840.00,860.00,62100,860.00
2017-01-25,850.00,870.00,810.00,860.00,154800,860.00
2017-01-24,860.00,860.00,860.00,860.00,600,860.00
2017-01-23,850.00,860.00,850.00,860.00,2800,860.00
2017-01-20,850.00,850.00,850.00,850.00,200,850.00
2017-01-19,860.00,860.00,850.00,850.00,4800,850.00
2017-01-18,860.00,870.00,800.00,860.00,368700,860.00
2017-01-17,860.00,860.00,860.00,860.00,1400,860.00
2017-01-16,850.00,860.00,850.00,860.00,269400,860.00
2017-01-13,850.00,850.00,845.00,850.00,16200,850.00
2017-01-12,850.00,860.00,810.00,840.00,64900,840.00
2017-01-11,835.00,850.00,835.00,850.00,2800,850.00
2017-01-10,835.00,870.00,835.00,835.00,131200,835.00
2017-01-09,790.00,850.00,750.00,835.00,2571300,835.00
2017-01-06,790.00,800.00,790.00,790.00,313900,790.00
2017-01-05,805.00,805.00,755.00,790.00,536300,790.00
2017-01-04,810.00,850.00,785.00,805.00,265300,805.00
2017-01-03,870.00,870.00,810.00,810.00,11200,810.00
