Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-29,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-28,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-27,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-24,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-23,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-22,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-21,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-20,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-17,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-16,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-15,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-14,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-13,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-10,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-09,2340.00,2340.00,2340.00,2340.00,000,2340.00
2017-03-08,2440.00,2440.00,2340.00,2340.00,4300,2340.00
2017-03-07,2440.00,2440.00,2440.00,2440.00,000,2440.00
2017-03-06,2440.00,2440.00,2440.00,2440.00,000,2440.00
2017-03-03,2440.00,2440.00,2440.00,2440.00,000,2440.00
2017-03-02,2440.00,2440.00,2440.00,2440.00,000,2440.00
2017-03-01,2440.00,2440.00,2440.00,2440.00,000,2440.00
2017-02-28,2490.00,2490.00,2440.00,2440.00,3200,2440.00
2017-02-27,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-24,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-23,2500.00,2500.00,2500.00,2500.00,100,2500.00
2017-02-22,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-21,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-20,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-17,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-16,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-15,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-14,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-13,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-10,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-09,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-08,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-07,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-06,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-03,2500.00,2500.00,2500.00,2500.00,500,2500.00
2017-02-02,2500.00,2500.00,2500.00,2500.00,000,2500.00
2017-02-01,2050.00,2500.00,1550.00,2500.00,600,2500.00
2017-01-31,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-30,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-27,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-26,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-25,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-24,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-23,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-20,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-19,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-18,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-17,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-16,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-13,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-12,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-11,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-10,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-09,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-06,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-05,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-04,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-03,2050.00,2050.00,2050.00,2050.00,000,2050.00
2017-01-02,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-30,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-29,2050.00,2050.00,2050.00,2050.00,800,2050.00
2016-12-28,2050.00,2050.00,2050.00,2050.00,1200,2050.00
2016-12-27,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-26,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-23,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-22,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-21,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-20,2050.00,2050.00,2050.00,2050.00,000,2050.00
2016-12-19,2000.00,2050.00,2000.00,2050.00,400,2050.00
2016-12-16,2130.00,2130.00,2050.00,2050.00,500,2050.00
2016-12-15,2130.00,2130.00,2130.00,2130.00,500,2130.00
2016-12-14,2150.00,2150.00,2130.00,2130.00,800,2130.00
2016-12-13,2500.00,2500.00,2250.00,2250.00,1000,2250.00
2016-12-12,2500.00,2500.00,2500.00,2500.00,000,2500.00
2016-12-09,2500.00,2500.00,2500.00,2500.00,500,2500.00
2016-12-08,3250.00,3250.00,2600.00,2600.00,1000,2600.00
2016-12-07,2650.00,2650.00,2650.00,2650.00,400,2650.00
2016-12-06,2900.00,2900.00,2900.00,2900.00,100,2900.00
2016-12-05,2350.00,2350.00,2350.00,2350.00,100,2350.00
2016-12-02,1975.00,1975.00,1975.00,1975.00,000,1975.00
2016-12-01,1975.00,1975.00,1975.00,1975.00,000,1975.00
2016-11-30,1975.00,1975.00,1975.00,1975.00,000,1975.00
2016-11-29,1975.00,1975.00,1975.00,1975.00,2000,1975.00
2016-11-28,1990.00,1990.00,1985.00,1985.00,2400,1985.00
2016-11-25,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-24,1990.00,1990.00,1990.00,1990.00,000,1990.00
