Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,101.00,101.00,99.00,101.00,1061900,101.00
2017-03-29,99.00,101.00,99.00,100.00,2291100,100.00
2017-03-28,99.00,99.00,99.00,99.00,000,99.00
2017-03-27,99.00,103.00,98.00,99.00,3461100,99.00
2017-03-24,101.00,102.00,100.00,101.00,762600,101.00
2017-03-23,100.00,102.00,99.00,101.00,1329600,101.00
2017-03-22,103.00,103.00,100.00,100.00,2949100,100.00
2017-03-21,100.00,103.00,100.00,101.00,4438300,101.00
2017-03-20,102.00,102.00,99.00,100.00,3007900,100.00
2017-03-17,100.00,104.00,99.00,101.00,8685300,101.00
2017-03-16,98.00,100.00,97.00,100.00,7329200,100.00
2017-03-15,100.00,102.00,98.00,98.00,4793400,98.00
2017-03-14,102.00,106.00,99.00,100.00,23162700,100.00
2017-03-13,95.00,102.00,94.00,101.00,60675000,101.00
2017-03-10,97.00,97.00,95.00,95.00,2306600,95.00
2017-03-09,97.00,99.00,95.00,97.00,2920300,97.00
2017-03-08,96.00,97.00,95.00,97.00,979700,97.00
2017-03-07,95.00,96.00,94.00,96.00,1406300,96.00
2017-03-06,95.00,95.00,94.00,95.00,1188200,95.00
2017-03-03,96.00,96.00,94.00,95.00,135100,95.00
2017-03-02,96.00,97.00,95.00,95.00,1212200,95.00
2017-03-01,98.00,98.00,95.00,95.00,1692000,95.00
2017-02-28,97.00,100.00,95.00,97.00,2221000,97.00
2017-02-27,98.00,100.00,97.00,97.00,3151600,97.00
2017-02-24,96.00,100.00,96.00,99.00,7669400,99.00
2017-02-23,96.00,97.00,92.00,96.00,1190000,96.00
2017-02-22,96.00,96.00,91.00,95.00,2672300,95.00
2017-02-21,95.00,97.00,95.00,96.00,3362600,96.00
2017-02-20,99.00,100.00,94.00,95.00,13055900,95.00
2017-02-17,98.00,99.00,98.00,98.00,4707800,98.00
2017-02-16,98.00,99.00,98.00,98.00,2296700,98.00
2017-02-15,98.00,98.00,98.00,98.00,000,98.00
2017-02-14,98.00,99.00,97.00,98.00,2903300,98.00
2017-02-13,99.00,99.00,97.00,98.00,1488200,98.00
2017-02-10,99.00,100.00,98.00,99.00,598800,99.00
2017-02-09,98.00,100.00,98.00,99.00,2676700,99.00
2017-02-08,99.00,100.00,98.00,98.00,2979200,98.00
2017-02-07,101.00,103.00,98.00,98.00,3024900,98.00
2017-02-06,98.00,101.00,98.00,101.00,2871300,101.00
2017-02-03,98.00,102.00,97.00,98.00,3778500,98.00
2017-02-02,99.00,100.00,97.00,98.00,5613100,98.00
2017-02-01,99.00,102.00,99.00,99.00,2777200,99.00
2017-01-31,99.00,102.00,97.00,99.00,2660200,99.00
2017-01-30,104.00,105.00,97.00,99.00,9061700,99.00
2017-01-27,105.00,106.00,103.00,104.00,2523100,104.00
2017-01-26,106.00,107.00,103.00,105.00,2471900,105.00
2017-01-25,103.00,113.00,103.00,106.00,76821700,106.00
2017-01-24,104.00,108.00,100.00,103.00,8135500,103.00
2017-01-23,107.00,107.00,102.00,104.00,4226500,104.00
2017-01-20,107.00,111.00,105.00,107.00,15213100,107.00
2017-01-19,109.00,115.00,105.00,107.00,22297100,107.00
2017-01-18,103.00,110.00,103.00,108.00,50001700,108.00
2017-01-17,100.00,107.00,100.00,103.00,34141800,103.00
2017-01-16,97.00,103.00,97.00,100.00,17055100,100.00
2017-01-13,97.00,99.00,96.00,97.00,2589900,97.00
2017-01-12,95.00,99.00,95.00,96.00,8891000,96.00
2017-01-11,99.00,100.00,93.00,95.00,11294900,95.00
2017-01-10,97.00,103.00,97.00,99.00,9879000,99.00
