Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,328.00,342.00,328.00,328.00,156790500,328.00
2017-03-29,338.00,350.00,328.00,332.00,302610500,332.00
2017-03-28,338.00,338.00,338.00,338.00,000,338.00
2017-03-27,338.00,370.00,324.00,338.00,791523800,338.00
2017-03-24,370.00,376.00,366.00,366.00,200532000,366.00
2017-03-23,362.00,374.00,362.00,368.00,297418800,368.00
2017-03-22,364.00,374.00,360.00,362.00,426247000,362.00
2017-03-21,346.00,370.00,342.00,366.00,692605600,366.00
2017-03-20,352.00,360.00,342.00,342.00,476138400,342.00
2017-03-17,310.00,358.00,308.00,348.00,1021000000,348.00
2017-03-16,314.00,318.00,308.00,308.00,104895600,308.00
2017-03-15,312.00,318.00,306.00,312.00,206293700,312.00
2017-03-14,326.00,332.00,316.00,316.00,483813200,316.00
2017-03-13,300.00,324.00,290.00,322.00,546035700,322.00
2017-03-10,306.00,308.00,296.00,298.00,131217400,298.00
2017-03-09,304.00,310.00,294.00,304.00,238801800,304.00
2017-03-08,308.00,318.00,298.00,302.00,284805600,302.00
2017-03-07,324.00,326.00,308.00,310.00,401105100,310.00
2017-03-06,324.00,334.00,316.00,324.00,543811600,324.00
2017-03-03,290.00,326.00,278.00,320.00,1064080900,320.00
2017-03-02,306.00,314.00,288.00,292.00,485945500,292.00
2017-03-01,322.00,326.00,296.00,300.00,350333300,300.00
2017-02-28,322.00,332.00,318.00,318.00,210739800,318.00
2017-02-27,326.00,340.00,312.00,322.00,633363100,322.00
2017-02-24,362.00,376.00,330.00,332.00,948517600,332.00
2017-02-23,372.00,384.00,340.00,360.00,1614599900,360.00
2017-02-22,300.00,372.00,262.00,368.00,2738942000,368.00
2017-02-21,390.00,398.00,294.00,294.00,2147154000,294.00
2017-02-20,366.00,380.00,362.00,380.00,543409400,380.00
2017-02-17,358.00,382.00,346.00,362.00,1047599300,362.00
2017-02-16,404.00,408.00,350.00,356.00,1491314800,356.00
2017-02-15,402.00,402.00,402.00,402.00,000,402.00
2017-02-14,410.00,420.00,400.00,402.00,621294800,402.00
2017-02-13,426.00,430.00,404.00,410.00,606195000,410.00
2017-02-10,438.00,444.00,424.00,426.00,312078500,426.00
2017-02-09,430.00,446.00,424.00,434.00,815734300,434.00
2017-02-08,470.00,484.00,428.00,430.00,2256803200,430.00
2017-02-07,472.00,494.00,464.00,464.00,1041293600,464.00
2017-02-06,476.00,484.00,468.00,470.00,301891700,470.00
2017-02-03,480.00,484.00,464.00,474.00,467257500,474.00
2017-02-02,474.00,482.00,458.00,478.00,980955700,478.00
2017-02-01,500.00,505.00,472.00,474.00,890711600,474.00
2017-01-31,498.00,505.00,476.00,498.00,1156844600,498.00
2017-01-30,505.00,520.00,490.00,494.00,892539300,494.00
2017-01-27,476.00,505.00,476.00,505.00,765560400,505.00
2017-01-26,486.00,492.00,470.00,476.00,729104400,476.00
2017-01-25,486.00,496.00,472.00,486.00,1327372800,486.00
2017-01-24,450.00,482.00,446.00,480.00,1192319900,480.00
2017-01-23,416.00,448.00,404.00,446.00,963457400,446.00
2017-01-20,420.00,426.00,412.00,416.00,315246000,416.00
2017-01-19,430.00,436.00,414.00,420.00,666299700,420.00
2017-01-18,420.00,434.00,414.00,426.00,851471700,426.00
2017-01-17,410.00,424.00,402.00,420.00,889768200,420.00
2017-01-16,388.00,410.00,388.00,410.00,1391601500,410.00
2017-01-13,374.00,388.00,370.00,388.00,761040500,388.00
2017-01-12,368.00,396.00,362.00,370.00,700,370.00
2017-01-11,340.00,370.00,340.00,368.00,1425023900,368.00
2017-01-10,342.00,344.00,328.00,340.00,516268400,340.00
2017-01-09,324.00,348.00,324.00,342.00,1051557500,342.00
2017-01-06,302.00,332.00,300.00,324.00,1915102600,324.00
2017-01-05,268.00,308.00,264.00,304.00,1607649800,304.00
2017-01-04,272.00,274.00,266.00,266.00,174155700,266.00
2017-01-03,278.00,280.00,268.00,272.00,192582900,272.00
2017-01-02,278.00,278.00,278.00,278.00,000,278.00
2016-12-30,278.00,280.00,266.00,278.00,434129800,278.00
2016-12-29,280.00,284.00,274.00,276.00,560373200,276.00
2016-12-28,246.00,278.00,242.00,278.00,577114400,278.00
2016-12-27,244.00,254.00,242.00,242.00,172297300,242.00
2016-12-26,244.00,244.00,244.00,244.00,000,244.00
2016-12-23,248.00,256.00,242.00,244.00,147077400,244.00
2016-12-22,256.00,258.00,240.00,248.00,270055300,248.00
2016-12-21,264.00,272.00,254.00,254.00,217579400,254.00
2016-12-20,254.00,276.00,252.00,264.00,509323600,264.00
2016-12-19,278.00,280.00,250.00,254.00,590316200,254.00
2016-12-16,278.00,284.00,276.00,276.00,126126700,276.00
2016-12-15,282.00,286.00,274.00,278.00,217727800,278.00
2016-12-14,296.00,296.00,282.00,282.00,239526500,282.00
2016-12-13,296.00,304.00,292.00,292.00,245514200,292.00
2016-12-12,296.00,296.00,296.00,296.00,000,296.00
2016-12-09,298.00,302.00,294.00,296.00,225883800,296.00
2016-12-08,294.00,300.00,292.00,294.00,138338700,294.00
2016-12-07,300.00,302.00,294.00,296.00,316739500,296.00
