Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,316.00,326.00,296.00,316.00,215868900,316.00
2017-03-29,328.00,328.00,320.00,322.00,28252200,322.00
2017-03-28,326.00,326.00,326.00,326.00,000,326.00
2017-03-27,326.00,330.00,322.00,326.00,16312600,326.00
2017-03-24,330.00,332.00,322.00,324.00,17914800,324.00
2017-03-23,326.00,336.00,326.00,330.00,33298700,330.00
2017-03-22,328.00,336.00,326.00,326.00,38241600,326.00
2017-03-21,324.00,332.00,320.00,330.00,41346100,330.00
2017-03-20,336.00,336.00,322.00,324.00,19903000,324.00
2017-03-17,338.00,342.00,320.00,336.00,42629100,336.00
2017-03-16,342.00,344.00,336.00,338.00,28498300,338.00
2017-03-15,330.00,338.00,322.00,338.00,35357700,338.00
2017-03-14,330.00,334.00,324.00,330.00,15988100,330.00
2017-03-13,330.00,334.00,314.00,330.00,45738400,330.00
2017-03-10,346.00,346.00,326.00,330.00,60041800,330.00
2017-03-09,346.00,354.00,346.00,346.00,24849200,346.00
2017-03-08,358.00,368.00,354.00,354.00,15278100,354.00
2017-03-07,354.00,370.00,352.00,358.00,45989200,358.00
2017-03-06,370.00,372.00,344.00,356.00,97145400,356.00
2017-03-03,382.00,384.00,364.00,366.00,83849000,366.00
2017-03-02,374.00,386.00,372.00,380.00,110785900,380.00
2017-03-01,372.00,372.00,364.00,368.00,32245600,368.00
2017-02-28,376.00,378.00,366.00,370.00,33994800,370.00
2017-02-27,366.00,378.00,366.00,376.00,76609500,376.00
2017-02-24,370.00,370.00,362.00,366.00,24756100,366.00
2017-02-23,370.00,372.00,362.00,368.00,27485600,368.00
2017-02-22,378.00,380.00,362.00,368.00,51346200,368.00
2017-02-21,368.00,386.00,368.00,376.00,141903600,376.00
2017-02-20,356.00,368.00,344.00,366.00,108669300,366.00
2017-02-17,358.00,366.00,350.00,356.00,49947900,356.00
2017-02-16,372.00,378.00,356.00,358.00,73776800,358.00
2017-02-15,372.00,372.00,372.00,372.00,000,372.00
2017-02-14,380.00,390.00,372.00,372.00,104194000,372.00
2017-02-13,378.00,388.00,372.00,380.00,105267500,380.00
2017-02-10,354.00,398.00,354.00,378.00,407846700,378.00
2017-02-09,348.00,364.00,348.00,354.00,94061900,354.00
2017-02-08,344.00,354.00,332.00,348.00,150913900,348.00
2017-02-07,374.00,376.00,342.00,342.00,213304600,342.00
2017-02-06,368.00,384.00,368.00,370.00,175447200,370.00
2017-02-03,362.00,376.00,362.00,368.00,112054700,368.00
2017-02-02,356.00,368.00,348.00,362.00,159462400,362.00
2017-02-01,348.00,358.00,344.00,354.00,81103300,354.00
2017-01-31,348.00,356.00,346.00,348.00,138694900,348.00
2017-01-30,342.00,354.00,336.00,348.00,194740900,348.00
2017-01-27,338.00,346.00,332.00,342.00,172878100,342.00
2017-01-26,310.00,342.00,310.00,336.00,415428000,336.00
2017-01-25,318.00,322.00,308.00,310.00,76543400,310.00
2017-01-24,328.00,330.00,316.00,316.00,115231700,316.00
2017-01-23,304.00,326.00,300.00,326.00,239117300,326.00
2017-01-20,312.00,316.00,300.00,304.00,114783800,304.00
2017-01-19,324.00,336.00,312.00,312.00,436014400,312.00
2017-01-18,286.00,320.00,286.00,320.00,699113800,320.00
2017-01-17,278.00,290.00,278.00,286.00,182961700,286.00
2017-01-16,284.00,286.00,278.00,278.00,36664000,278.00
2017-01-13,280.00,288.00,278.00,284.00,204474700,284.00
2017-01-12,276.00,282.00,274.00,276.00,57889900,276.00
2017-01-11,282.00,286.00,274.00,276.00,108119200,276.00
2017-01-10,290.00,296.00,282.00,282.00,99687800,282.00
2017-01-09,270.00,294.00,270.00,290.00,504780900,290.00
2017-01-06,272.00,276.00,266.00,270.00,44554000,270.00
2017-01-05,276.00,280.00,270.00,272.00,68809600,272.00
2017-01-04,270.00,284.00,270.00,272.00,173009600,272.00
2017-01-03,272.00,276.00,266.00,270.00,55051400,270.00
2017-01-02,274.00,274.00,274.00,274.00,000,274.00
2016-12-30,280.00,282.00,264.00,274.00,109816100,274.00
2016-12-29,276.00,282.00,262.00,276.00,225588900,276.00
2016-12-28,282.00,288.00,274.00,276.00,139790100,276.00
2016-12-27,298.00,304.00,270.00,278.00,499248500,278.00
2016-12-26,298.00,298.00,298.00,298.00,000,298.00
2016-12-23,286.00,298.00,278.00,298.00,475851600,298.00
2016-12-22,274.00,288.00,262.00,274.00,298635800,274.00
2016-12-21,266.00,278.00,260.00,272.00,96560200,272.00
2016-12-20,276.00,284.00,264.00,266.00,175471100,266.00
2016-12-19,246.00,284.00,246.00,276.00,392116300,276.00
2016-12-16,248.00,254.00,244.00,246.00,102490200,246.00
