Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,490.00,490.00,410.00,490.00,2300,490.00
2017-03-29,494.00,494.00,412.00,488.00,300,488.00
2017-03-28,494.00,494.00,494.00,494.00,000,494.00
2017-03-27,494.00,494.00,406.00,494.00,1200,494.00
2017-03-24,500.00,500.00,406.00,500.00,500,500.00
2017-03-23,540.00,540.00,390.00,510.00,400,510.00
2017-03-22,490.00,540.00,490.00,515.00,1200,515.00
2017-03-21,442.00,442.00,442.00,442.00,100,442.00
2017-03-20,500.00,500.00,500.00,500.00,800,500.00
2017-03-17,498.00,510.00,420.00,510.00,900,510.00
2017-03-16,590.00,590.00,420.00,498.00,21600,498.00
2017-03-15,595.00,595.00,452.00,560.00,500,560.00
2017-03-14,515.00,525.00,500.00,500.00,15600,500.00
2017-03-13,605.00,750.00,490.00,550.00,11000,550.00
2017-03-10,620.00,620.00,468.00,605.00,3200,605.00
2017-03-09,620.00,635.00,620.00,620.00,800,620.00
2017-03-08,555.00,650.00,555.00,635.00,3800,635.00
2017-03-07,464.00,570.00,458.00,555.00,6000,555.00
2017-03-06,460.00,460.00,460.00,460.00,000,460.00
2017-03-03,460.00,460.00,460.00,460.00,000,460.00
2017-03-02,585.00,585.00,460.00,460.00,300,460.00
2017-03-01,590.00,590.00,590.00,590.00,500,590.00
2017-02-28,585.00,590.00,585.00,585.00,300,585.00
2017-02-27,585.00,585.00,585.00,585.00,400,585.00
2017-02-24,590.00,590.00,585.00,585.00,200,585.00
2017-02-23,580.00,590.00,560.00,585.00,4600,585.00
2017-02-22,675.00,680.00,525.00,565.00,9900,565.00
2017-02-21,705.00,705.00,555.00,685.00,400,685.00
2017-02-20,705.00,705.00,705.00,705.00,100,705.00
2017-02-17,675.00,695.00,550.00,670.00,900,670.00
2017-02-16,680.00,700.00,570.00,675.00,2900,675.00
2017-02-15,680.00,680.00,680.00,680.00,000,680.00
2017-02-14,560.00,695.00,560.00,680.00,11600,680.00
2017-02-13,740.00,740.00,560.00,560.00,400,560.00
2017-02-10,690.00,740.00,690.00,740.00,100,740.00
2017-02-09,690.00,700.00,690.00,690.00,200,690.00
2017-02-08,745.00,745.00,670.00,690.00,1800,690.00
2017-02-07,620.00,700.00,620.00,670.00,5300,670.00
2017-02-06,700.00,700.00,605.00,605.00,5100,605.00
2017-02-03,690.00,700.00,605.00,700.00,4300,700.00
2017-02-02,840.00,840.00,690.00,690.00,4800,690.00
2017-02-01,690.00,810.00,690.00,700.00,1800,700.00
2017-01-31,690.00,840.00,550.00,690.00,2900,690.00
2017-01-30,650.00,725.00,625.00,690.00,17200,690.00
2017-01-27,650.00,650.00,650.00,650.00,1500,650.00
2017-01-26,700.00,700.00,610.00,700.00,12900,700.00
2017-01-25,750.00,750.00,600.00,750.00,5100,750.00
2017-01-24,790.00,790.00,740.00,740.00,1100,740.00
2017-01-23,790.00,900.00,655.00,750.00,6000,750.00
2017-01-20,805.00,950.00,665.00,790.00,5200,790.00
2017-01-19,850.00,850.00,675.00,765.00,6300,765.00
2017-01-18,760.00,850.00,705.00,800.00,18800,800.00
2017-01-17,800.00,800.00,650.00,760.00,8100,760.00
2017-01-16,800.00,800.00,700.00,800.00,21100,800.00
2017-01-13,880.00,880.00,800.00,800.00,12900,800.00
2017-01-12,980.00,980.00,850.00,880.00,64500,880.00
2017-01-11,1080.00,1080.00,980.00,980.00,14700,980.00
2017-01-10,1440.00,1440.00,1080.00,1080.00,48100,1080.00
2017-01-09,1305.00,1500.00,1000.00,1440.00,2800,1440.00
2017-01-06,1720.00,1720.00,1305.00,1305.00,9100,1305.00
2017-01-05,1740.00,1740.00,1740.00,1740.00,000,1740.00
2017-01-04,1740.00,1740.00,1740.00,1740.00,5000,1740.00
2017-01-03,1840.00,2170.00,1740.00,1740.00,10700,1740.00
2017-01-02,1740.00,1740.00,1740.00,1740.00,000,1740.00
2016-12-30,2180.00,2180.00,1740.00,1740.00,1100,1740.00
2016-12-29,2010.00,2010.00,1750.00,1750.00,2000,1750.00
2016-12-28,1430.00,1800.00,1430.00,1680.00,1800,1680.00
2016-12-27,1465.00,1465.00,1440.00,1440.00,200,1440.00
2016-12-26,1175.00,1175.00,1175.00,1175.00,000,1175.00
2016-12-23,1175.00,1175.00,1175.00,1175.00,100,1175.00
2016-12-22,1300.00,1300.00,1300.00,1300.00,000,1300.00
2016-12-21,1440.00,1440.00,1300.00,1300.00,2300,1300.00
2016-12-20,1600.00,1600.00,1440.00,1440.00,100,1440.00
2016-12-19,1600.00,2030.00,1600.00,1600.00,300,1600.00
2016-12-16,1350.00,1685.00,1350.00,1625.00,4700,1625.00
2016-12-15,1350.00,1350.00,1350.00,1350.00,5200,1350.00
2016-12-14,1500.00,1500.00,1500.00,1500.00,100,1500.00
2016-12-13,1650.00,1650.00,1650.00,1650.00,000,1650.00
2016-12-12,1650.00,1650.00,1650.00,1650.00,000,1650.00
2016-12-09,1650.00,1650.00,1650.00,1650.00,000,1650.00
2016-12-08,1800.00,1800.00,1645.00,1650.00,5700,1650.00
2016-12-07,1550.00,1550.00,1440.00,1440.00,2500,1440.00
2016-12-06,1280.00,1300.00,1240.00,1240.00,15300,1240.00
2016-12-05,1050.00,1285.00,1045.00,1045.00,300,1045.00
2016-12-02,1245.00,1245.00,1035.00,1035.00,700,1035.00
2016-12-01,1270.00,1270.00,1145.00,1145.00,1600,1145.00
2016-11-30,1270.00,1270.00,1270.00,1270.00,100,1270.00
2016-11-29,1410.00,1410.00,1400.00,1400.00,200,1400.00
2016-11-28,1250.00,1370.00,1250.00,1370.00,100,1370.00
2016-11-25,1270.00,1270.00,1245.00,1250.00,1200,1250.00
2016-11-24,1400.00,1400.00,1370.00,1370.00,300,1370.00
2016-11-23,1150.00,1150.00,1150.00,1150.00,000,1150.00
2016-11-22,1535.00,1535.00,1150.00,1150.00,15900,1150.00
2016-11-21,995.00,1235.00,1100.00,1235.00,200,1235.00
2016-11-18,995.00,995.00,995.00,995.00,100,995.00
2016-11-17,1305.00,1305.00,1055.00,1105.00,1300,1105.00
2016-11-16,850.00,1060.00,850.00,1055.00,800,1055.00
2016-11-15,860.00,860.00,850.00,850.00,2100,850.00
2016-11-14,695.00,695.00,695.00,695.00,000,695.00
2016-11-11,695.00,695.00,695.00,695.00,000,695.00
2016-11-10,695.00,695.00,695.00,695.00,000,695.00
2016-11-09,695.00,695.00,695.00,695.00,000,695.00
2016-11-08,695.00,695.00,695.00,695.00,000,695.00
2016-11-07,695.00,695.00,695.00,695.00,000,695.00
2016-11-04,695.00,695.00,695.00,695.00,000,695.00
2016-11-03,695.00,695.00,695.00,695.00,000,695.00
2016-11-02,695.00,695.00,695.00,695.00,000,695.00
2016-11-01,695.00,695.00,695.00,695.00,000,695.00
2016-10-31,695.00,695.00,695.00,695.00,000,695.00
2016-10-28,695.00,695.00,695.00,695.00,000,695.00
2016-10-27,695.00,695.00,695.00,695.00,000,695.00
2016-10-26,695.00,695.00,695.00,695.00,000,695.00
2016-10-25,695.00,695.00,695.00,695.00,000,695.00
2016-10-24,695.00,695.00,695.00,695.00,000,695.00
2016-10-21,695.00,695.00,695.00,695.00,000,695.00
2016-10-20,695.00,695.00,695.00,695.00,000,695.00
2016-10-19,695.00,695.00,695.00,695.00,000,695.00
2016-10-18,695.00,695.00,695.00,695.00,000,695.00
2016-10-17,695.00,695.00,695.00,695.00,000,695.00
2016-10-14,695.00,695.00,695.00,695.00,000,695.00
2016-10-13,695.00,695.00,695.00,695.00,000,695.00
2016-10-12,695.00,695.00,695.00,695.00,000,695.00
2016-10-11,560.00,695.00,560.00,695.00,200,695.00
2016-10-10,560.00,560.00,560.00,560.00,000,560.00
2016-10-07,560.00,560.00,560.00,560.00,100,560.00
2016-10-06,525.00,525.00,525.00,525.00,200,525.00
2016-10-05,450.00,496.00,450.00,496.00,2100,496.00
2016-10-04,372.00,402.00,372.00,402.00,100,402.00
2016-10-03,350.00,386.00,350.00,372.00,500,372.00
2016-09-30,280.00,350.00,280.00,350.00,500,350.00
2016-09-29,280.00,280.00,280.00,280.00,000,280.00
2016-09-28,280.00,280.00,280.00,280.00,000,280.00
