Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1205.00,1240.00,1205.00,1205.00,2092200,1205.00
2017-03-29,1240.00,1245.00,1215.00,1220.00,2144300,1220.00
2017-03-28,1240.00,1240.00,1240.00,1240.00,000,1240.00
2017-03-27,1240.00,1255.00,1240.00,1240.00,2019300,1240.00
2017-03-24,1250.00,1265.00,1245.00,1250.00,2169700,1250.00
2017-03-23,1270.00,1280.00,1250.00,1255.00,2046200,1255.00
2017-03-22,1295.00,1295.00,1265.00,1270.00,2079500,1270.00
2017-03-21,1315.00,1325.00,1295.00,1305.00,2047500,1305.00
2017-03-20,1295.00,1325.00,1295.00,1315.00,2311000,1315.00
2017-03-17,1295.00,1305.00,1290.00,1295.00,2055800,1295.00
2017-03-16,1280.00,1295.00,1280.00,1295.00,2251700,1295.00
2017-03-15,1300.00,1305.00,1280.00,1285.00,2102600,1285.00
2017-03-14,1315.00,1325.00,1295.00,1300.00,2163900,1300.00
2017-03-13,1310.00,1325.00,1310.00,1315.00,2159300,1315.00
2017-03-10,1320.00,1330.00,1310.00,1310.00,2039600,1310.00
2017-03-09,1315.00,1340.00,1285.00,1315.00,3768500,1315.00
2017-03-08,1300.00,1305.00,1290.00,1305.00,2046900,1305.00
2017-03-07,1320.00,1325.00,1295.00,1300.00,2275500,1300.00
2017-03-06,1295.00,1320.00,1295.00,1320.00,2491000,1320.00
2017-03-03,1285.00,1300.00,1280.00,1295.00,2055000,1295.00
2017-03-02,1260.00,1300.00,1260.00,1285.00,2891500,1285.00
2017-03-01,1245.00,1260.00,1230.00,1255.00,2316300,1255.00
2017-02-28,1205.00,1250.00,1205.00,1245.00,3969900,1245.00
2017-02-27,1085.00,1205.00,1080.00,1205.00,6226400,1205.00
2017-02-24,1075.00,1085.00,1075.00,1085.00,2173600,1085.00
2017-02-23,1080.00,1080.00,1075.00,1075.00,2033500,1075.00
2017-02-22,1075.00,1085.00,1070.00,1080.00,1994600,1080.00
2017-02-21,1080.00,1085.00,1075.00,1075.00,1910700,1075.00
2017-02-20,1075.00,1080.00,1070.00,1080.00,1771200,1080.00
2017-02-17,1080.00,1085.00,1075.00,1075.00,2143300,1075.00
2017-02-16,1085.00,1090.00,1075.00,1080.00,2349400,1080.00
2017-02-15,1085.00,1085.00,1085.00,1085.00,000,1085.00
2017-02-14,1090.00,1095.00,1080.00,1085.00,2253200,1085.00
2017-02-13,1090.00,1100.00,1090.00,1090.00,2103900,1090.00
2017-02-10,1095.00,1105.00,1090.00,1090.00,2048200,1090.00
2017-02-09,1110.00,1120.00,1095.00,1095.00,2818400,1095.00
2017-02-08,1105.00,1120.00,1105.00,1110.00,2269300,1110.00
2017-02-07,1085.00,1105.00,1085.00,1105.00,2350500,1105.00
2017-02-06,1090.00,1100.00,1085.00,1085.00,2055600,1085.00
2017-02-03,1085.00,1090.00,1085.00,1090.00,2274400,1090.00
2017-02-02,1085.00,1090.00,1080.00,1085.00,2124100,1085.00
2017-02-01,1085.00,1095.00,1080.00,1085.00,2436500,1085.00
2017-01-31,1085.00,1085.00,1075.00,1085.00,2205800,1085.00
2017-01-30,1065.00,1085.00,1065.00,1080.00,2473600,1080.00
2017-01-27,1080.00,1080.00,1035.00,1065.00,3836400,1065.00
2017-01-26,1085.00,1090.00,1080.00,1080.00,2165200,1080.00
2017-01-25,1080.00,1085.00,1075.00,1085.00,2091700,1085.00
2017-01-24,1075.00,1085.00,1075.00,1080.00,2123500,1080.00
2017-01-23,1080.00,1085.00,1075.00,1075.00,2262900,1075.00
2017-01-20,1085.00,1090.00,1075.00,1080.00,2007600,1080.00
2017-01-19,1085.00,1095.00,1080.00,1085.00,2303600,1085.00
2017-01-18,1085.00,1090.00,1080.00,1085.00,2260600,1085.00
2017-01-17,1080.00,1085.00,1075.00,1085.00,2162200,1085.00
2017-01-16,1075.00,1085.00,1075.00,1080.00,2545400,1080.00
2017-01-13,1080.00,1080.00,1065.00,1075.00,2033600,1075.00
2017-01-12,1090.00,1100.00,1085.00,1085.00,2479100,1085.00
2017-01-11,1090.00,1100.00,1090.00,1090.00,2335600,1090.00
2017-01-10,1090.00,1095.00,1085.00,1090.00,2358200,1090.00
2017-01-09,1095.00,1100.00,1085.00,1090.00,2128800,1090.00
2017-01-06,1085.00,1095.00,1085.00,1095.00,2216300,1095.00
2017-01-05,1080.00,1090.00,1080.00,1085.00,2061500,1085.00
2017-01-04,1080.00,1085.00,1075.00,1080.00,2199000,1080.00
2017-01-03,1085.00,1085.00,1070.00,1080.00,2223900,1080.00
2017-01-02,1085.00,1085.00,1085.00,1085.00,000,1085.00
2016-12-30,1080.00,1085.00,1075.00,1085.00,2448600,1085.00
2016-12-29,1075.00,1085.00,1075.00,1080.00,2003600,1080.00
2016-12-28,1070.00,1075.00,1065.00,1075.00,2243500,1075.00
2016-12-27,1065.00,1075.00,1065.00,1070.00,1843100,1070.00
2016-12-26,1065.00,1065.00,1065.00,1065.00,000,1065.00
2016-12-23,1065.00,1075.00,1065.00,1065.00,2031700,1065.00
2016-12-22,1080.00,1085.00,1065.00,1065.00,2632100,1065.00
2016-12-21,1075.00,1095.00,1075.00,1080.00,4783100,1080.00
2016-12-20,1070.00,1090.00,1070.00,1075.00,3112500,1075.00
2016-12-19,1050.00,1070.00,1050.00,1070.00,2829700,1070.00
2016-12-16,1050.00,1055.00,1045.00,1050.00,2222200,1050.00
2016-12-15,1050.00,1050.00,1040.00,1050.00,2410500,1050.00
2016-12-14,1045.00,1055.00,1045.00,1050.00,2362400,1050.00
2016-12-13,1050.00,1050.00,1035.00,1045.00,2253400,1045.00
2016-12-12,1050.00,1050.00,1050.00,1050.00,000,1050.00
2016-12-09,1055.00,1055.00,1045.00,1050.00,2354600,1050.00
2016-12-08,1050.00,1060.00,1045.00,1055.00,2424100,1055.00
2016-12-07,1055.00,1055.00,1045.00,1050.00,2209400,1050.00
2016-12-06,1045.00,1060.00,1045.00,1055.00,3300200,1055.00
2016-12-05,1045.00,1050.00,1040.00,1045.00,2653200,1045.00
2016-12-02,1040.00,1050.00,1035.00,1045.00,2628300,1045.00
2016-12-01,1040.00,1050.00,1040.00,1040.00,2546000,1040.00
2016-11-30,1040.00,1050.00,1040.00,1040.00,2348100,1040.00
2016-11-29,1035.00,1050.00,1035.00,1040.00,2635000,1040.00
2016-11-28,1035.00,1040.00,1030.00,1035.00,2741100,1035.00
2016-11-25,1030.00,1040.00,1025.00,1035.00,2654100,1035.00
2016-11-24,1045.00,1045.00,1020.00,1030.00,2816000,1030.00
2016-11-23,1050.00,1055.00,1045.00,1050.00,2549100,1050.00
2016-11-22,1045.00,1060.00,1045.00,1055.00,2722100,1055.00
2016-11-21,1055.00,1055.00,1045.00,1050.00,2766100,1050.00
2016-11-18,1060.00,1060.00,1050.00,1055.00,3332100,1055.00
2016-11-17,1065.00,1070.00,1060.00,1060.00,4178200,1060.00
2016-11-16,1055.00,1070.00,1055.00,1065.00,5282500,1065.00
2016-11-15,1055.00,1065.00,1050.00,1055.00,5316000,1055.00
2016-11-14,1055.00,1065.00,1045.00,1055.00,5202200,1055.00
2016-11-11,1070.00,1070.00,1045.00,1055.00,5082000,1055.00
2016-11-10,1065.00,1075.00,1060.00,1070.00,5263100,1070.00
2016-11-09,1080.00,1080.00,1040.00,1060.00,5438000,1060.00
2016-11-08,1050.00,1080.00,1050.00,1080.00,5922500,1080.00
2016-11-07,1035.00,1050.00,1030.00,1050.00,6225300,1050.00
2016-11-04,1030.00,1040.00,1020.00,1035.00,5175900,1035.00
2016-11-03,1040.00,1055.00,1025.00,1030.00,6103400,1030.00
2016-11-02,1030.00,1055.00,1020.00,1040.00,6401200,1040.00
2016-11-01,1020.00,1045.00,1020.00,1030.00,5878700,1030.00
2016-10-31,1020.00,1030.00,1010.00,1020.00,8036300,1020.00
2016-10-28,1025.00,1025.00,1010.00,1020.00,5421700,1020.00
2016-10-27,1025.00,1030.00,1020.00,1025.00,5274700,1025.00
2016-10-26,1020.00,1025.00,1010.00,1025.00,5304100,1025.00
2016-10-25,1015.00,1030.00,1010.00,1020.00,5009200,1020.00
2016-10-24,1075.00,1075.00,1010.00,1010.00,6620400,1010.00
2016-10-21,1070.00,1115.00,1060.00,1075.00,7462700,1075.00
2016-10-20,1015.00,1070.00,1015.00,1070.00,7572900,1070.00
2016-10-19,965.00,1005.00,955.00,1005.00,5702000,1005.00
2016-10-18,970.00,975.00,960.00,965.00,2951800,965.00
2016-10-17,965.00,970.00,955.00,970.00,2546300,970.00
2016-10-14,960.00,965.00,955.00,965.00,2987700,965.00
2016-10-13,960.00,970.00,955.00,960.00,2486400,960.00
2016-10-12,965.00,970.00,960.00,960.00,2627100,960.00
2016-10-11,960.00,970.00,955.00,965.00,2912800,965.00
2016-10-10,965.00,970.00,960.00,960.00,2837900,960.00
2016-10-07,960.00,965.00,955.00,965.00,2463500,965.00
2016-10-06,970.00,975.00,955.00,960.00,2769300,960.00
2016-10-05,970.00,975.00,960.00,965.00,2814700,965.00
2016-10-04,965.00,970.00,960.00,970.00,3109300,970.00
2016-10-03,965.00,975.00,960.00,965.00,2768200,965.00
2016-09-30,985.00,985.00,960.00,960.00,2464900,960.00
2016-09-29,975.00,990.00,975.00,985.00,3148000,985.00
2016-09-28,970.00,975.00,965.00,970.00,2646100,970.00
2016-09-27,960.00,965.00,945.00,965.00,3138400,965.00
2016-09-26,965.00,965.00,960.00,960.00,2447200,960.00
2016-09-23,965.00,970.00,955.00,965.00,2874800,965.00
2016-09-22,965.00,970.00,960.00,960.00,2380400,960.00
2016-09-21,960.00,965.00,955.00,965.00,2831100,965.00
2016-09-20,965.00,965.00,960.00,960.00,2780900,960.00
2016-09-19,960.00,975.00,955.00,965.00,3035700,965.00
2016-09-16,955.00,965.00,955.00,960.00,2191900,960.00
2016-09-15,945.00,965.00,945.00,955.00,3580300,955.00
2016-09-14,950.00,950.00,940.00,945.00,2806000,945.00
2016-09-13,950.00,955.00,945.00,950.00,2962400,950.00
2016-09-12,950.00,950.00,950.00,950.00,000,950.00
2016-09-09,945.00,950.00,935.00,950.00,3121800,950.00
2016-09-08,950.00,950.00,940.00,945.00,2819300,945.00
2016-09-07,945.00,955.00,945.00,950.00,2795800,950.00
2016-09-06,945.00,950.00,940.00,945.00,2918300,945.00
2016-09-05,935.00,950.00,930.00,945.00,3621600,945.00
2016-09-02,950.00,950.00,930.00,935.00,2207300,935.00
2016-09-01,975.00,975.00,945.00,950.00,3254900,950.00
2016-08-31,945.00,980.00,940.00,975.00,5871500,975.00
2016-08-30,950.00,950.00,940.00,945.00,2413600,945.00
2016-08-29,950.00,950.00,940.00,950.00,2700600,950.00
2016-08-26,955.00,960.00,945.00,950.00,2428700,950.00
2016-08-25,940.00,955.00,940.00,955.00,3136500,955.00
2016-08-24,905.00,945.00,905.00,940.00,6370300,940.00
2016-08-23,915.00,915.00,900.00,905.00,2150000,905.00
2016-08-22,915.00,925.00,910.00,915.00,3001700,915.00
2016-08-19,925.00,925.00,910.00,915.00,2548400,915.00
2016-08-18,930.00,940.00,925.00,925.00,3932300,925.00
2016-08-17,930.00,930.00,930.00,930.00,000,930.00
2016-08-16,910.00,935.00,910.00,930.00,3526300,930.00
2016-08-15,895.00,910.00,875.00,910.00,5465700,910.00
2016-08-12,865.00,890.00,865.00,890.00,3937100,890.00
2016-08-11,860.00,870.00,860.00,860.00,1893300,860.00
2016-08-10,835.00,860.00,835.00,860.00,3122300,860.00
2016-08-09,835.00,845.00,835.00,835.00,2645600,835.00
2016-08-08,840.00,860.00,835.00,835.00,4184800,835.00
2016-08-05,810.00,835.00,810.00,835.00,4164300,835.00
2016-08-04,805.00,810.00,780.00,805.00,4322800,805.00
2016-08-03,755.00,780.00,755.00,780.00,3925400,780.00
2016-08-02,750.00,755.00,740.00,755.00,3173800,755.00
2016-08-01,755.00,760.00,745.00,750.00,2282700,750.00
2016-07-29,750.00,755.00,750.00,755.00,2772400,755.00
2016-07-28,745.00,755.00,745.00,750.00,3391400,750.00
2016-07-27,735.00,745.00,735.00,745.00,3235600,745.00
2016-07-26,735.00,740.00,730.00,735.00,2921100,735.00
2016-07-25,730.00,740.00,730.00,735.00,3080900,735.00
2016-07-22,730.00,735.00,720.00,730.00,2794700,730.00
2016-07-21,735.00,740.00,730.00,730.00,2955200,730.00
2016-07-20,735.00,745.00,730.00,735.00,2780400,735.00
2016-07-19,730.00,735.00,725.00,735.00,3106400,735.00
2016-07-18,730.00,735.00,725.00,730.00,2561800,730.00
2016-07-15,730.00,735.00,725.00,730.00,2922000,730.00
2016-07-14,735.00,735.00,725.00,730.00,2752400,730.00
2016-07-13,735.00,745.00,730.00,735.00,2879500,735.00
2016-07-12,740.00,750.00,735.00,745.00,2917200,745.00
2016-07-11,730.00,750.00,725.00,740.00,4316000,740.00
2016-07-08,725.00,725.00,725.00,725.00,000,725.00
2016-07-07,725.00,725.00,725.00,725.00,000,725.00
2016-07-06,725.00,725.00,725.00,725.00,000,725.00
2016-07-05,725.00,725.00,725.00,725.00,000,725.00
2016-07-04,725.00,725.00,725.00,725.00,000,725.00
2016-07-01,720.00,740.00,720.00,725.00,4466300,725.00
2016-06-30,710.00,730.00,710.00,720.00,4188100,720.00
2016-06-28,700.00,715.00,700.00,705.00,3799700,705.00
2016-06-27,675.00,705.00,670.00,705.00,4650900,705.00
2016-06-24,690.00,690.00,680.00,680.00,3069700,680.00
2016-06-23,685.00,700.00,680.00,685.00,5785700,685.00
2016-06-22,670.00,685.00,670.00,685.00,4054100,685.00
2016-06-21,650.00,670.00,650.00,665.00,5232200,665.00
2016-06-20,620.00,650.00,615.00,645.00,5639600,645.00
2016-06-17,585.00,620.00,585.00,620.00,4942200,620.00
2016-06-16,580.00,585.00,580.00,585.00,2334800,585.00
2016-06-15,585.00,585.00,575.00,580.00,2146800,580.00
2016-06-14,580.00,590.00,580.00,585.00,2531000,585.00
