Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,3300.00,3300.00,3260.00,3300.00,4361200,3300.00
2017-03-29,3260.00,3300.00,3240.00,3300.00,6927200,3300.00
2017-03-28,3280.00,3280.00,3280.00,3280.00,000,3280.00
2017-03-27,3280.00,3290.00,3200.00,3280.00,3471400,3280.00
2017-03-24,3300.00,3300.00,3180.00,3200.00,4104000,3200.00
2017-03-23,3300.00,3310.00,3280.00,3300.00,3761500,3300.00
2017-03-22,3300.00,3300.00,3250.00,3300.00,12340900,3300.00
2017-03-21,3270.00,3340.00,3270.00,3300.00,6637400,3300.00
2017-03-20,3340.00,3340.00,3250.00,3300.00,7610800,3300.00
2017-03-17,3220.00,3340.00,3180.00,3340.00,16714400,3340.00
2017-03-16,3120.00,3190.00,3100.00,3190.00,6296700,3190.00
2017-03-15,3160.00,3160.00,3110.00,3120.00,3456800,3120.00
2017-03-14,3200.00,3210.00,3130.00,3160.00,4798000,3160.00
2017-03-13,3150.00,3200.00,3100.00,3200.00,4679100,3200.00
2017-03-10,3200.00,3200.00,3110.00,3150.00,4295200,3150.00
2017-03-09,3200.00,3210.00,3100.00,3200.00,14210600,3200.00
2017-03-08,3060.00,3110.00,3060.00,3080.00,3864500,3080.00
2017-03-07,3150.00,3160.00,3060.00,3060.00,8718100,3060.00
2017-03-06,3230.00,3230.00,3130.00,3130.00,4554000,3130.00
2017-03-03,3170.00,3220.00,3120.00,3220.00,7577200,3220.00
2017-03-02,3090.00,3180.00,3070.00,3170.00,10197900,3170.00
2017-03-01,3100.00,3140.00,3020.00,3030.00,12492900,3030.00
2017-02-28,3200.00,3220.00,3100.00,3100.00,8119800,3100.00
2017-02-27,3280.00,3300.00,3200.00,3200.00,3151600,3200.00
2017-02-24,3080.00,3280.00,3080.00,3270.00,12191100,3270.00
2017-02-23,3190.00,3190.00,3050.00,3080.00,15541400,3080.00
2017-02-22,3200.00,3230.00,3130.00,3180.00,16627300,3180.00
2017-02-21,3410.00,3420.00,3200.00,3210.00,6930800,3210.00
2017-02-20,3430.00,3470.00,3430.00,3430.00,3294800,3430.00
2017-02-17,3440.00,3490.00,3400.00,3480.00,2983500,3480.00
2017-02-16,3480.00,3530.00,3460.00,3500.00,6967700,3500.00
2017-02-15,3430.00,3430.00,3430.00,3430.00,000,3430.00
2017-02-14,3520.00,3520.00,3410.00,3430.00,3883000,3430.00
2017-02-13,3370.00,3550.00,3350.00,3530.00,8294300,3530.00
2017-02-10,3300.00,3380.00,3290.00,3370.00,4377800,3370.00
2017-02-09,3350.00,3350.00,3270.00,3290.00,5622700,3290.00
2017-02-08,3310.00,3380.00,3290.00,3380.00,6167500,3380.00
2017-02-07,3250.00,3320.00,3220.00,3300.00,10040600,3300.00
2017-02-06,3230.00,3260.00,3210.00,3240.00,4145900,3240.00
2017-02-03,3210.00,3230.00,3170.00,3230.00,5843400,3230.00
2017-02-02,3150.00,3220.00,3130.00,3220.00,4374500,3220.00
2017-02-01,3140.00,3160.00,3120.00,3150.00,4300100,3150.00
2017-01-31,3100.00,3220.00,3100.00,3100.00,4514300,3100.00
2017-01-30,3190.00,3220.00,3140.00,3210.00,2841900,3210.00
2017-01-27,3200.00,3200.00,3150.00,3160.00,1533100,3160.00
2017-01-26,3190.00,3210.00,3180.00,3200.00,3492600,3200.00
2017-01-25,3150.00,3190.00,3110.00,3190.00,1101500,3190.00
2017-01-24,3100.00,3170.00,3100.00,3150.00,2312900,3150.00
2017-01-23,3150.00,3160.00,3100.00,3100.00,2401700,3100.00
2017-01-20,3200.00,3200.00,3130.00,3170.00,2748100,3170.00
2017-01-19,3250.00,3250.00,3150.00,3230.00,3370700,3230.00
2017-01-18,3180.00,3240.00,3180.00,3240.00,4084200,3240.00
2017-01-17,3110.00,3220.00,3110.00,3170.00,3692900,3170.00
2017-01-16,3110.00,3170.00,3110.00,3130.00,3178400,3130.00
2017-01-13,3190.00,3200.00,3130.00,3130.00,2814300,3130.00
2017-01-12,3140.00,3190.00,3140.00,3190.00,5354500,3190.00
2017-01-11,3170.00,3170.00,3110.00,3140.00,4242000,3140.00
2017-01-10,3220.00,3220.00,3130.00,3130.00,3548800,3130.00
2017-01-09,3170.00,3230.00,3170.00,3210.00,2657300,3210.00
2017-01-06,3260.00,3270.00,3200.00,3220.00,3592200,3220.00
2017-01-05,3200.00,3260.00,3170.00,3260.00,9107600,3260.00
2017-01-04,3120.00,3200.00,3100.00,3200.00,6677600,3200.00
2017-01-03,3090.00,3140.00,2990.00,3140.00,2436800,3140.00
2017-01-02,3090.00,3090.00,3090.00,3090.00,000,3090.00
2016-12-30,3130.00,3180.00,3080.00,3090.00,6859900,3090.00
2016-12-29,2970.00,3120.00,2970.00,3110.00,6925800,3110.00
2016-12-28,2930.00,3010.00,2920.00,2950.00,5083700,2950.00
2016-12-27,2930.00,2950.00,2880.00,2900.00,1761800,2900.00
2016-12-26,2900.00,2900.00,2900.00,2900.00,000,2900.00
2016-12-23,2870.00,2950.00,2870.00,2900.00,5400500,2900.00
2016-12-22,3030.00,3050.00,2850.00,2900.00,9208200,2900.00
2016-12-21,3150.00,3190.00,3030.00,3030.00,8606400,3030.00
2016-12-20,3160.00,3180.00,3150.00,3170.00,4168100,3170.00
2016-12-19,3250.00,3260.00,3120.00,3140.00,4499400,3140.00
2016-12-16,3190.00,3250.00,3140.00,3250.00,21879600,3250.00
2016-12-15,3140.00,3200.00,3140.00,3180.00,6226000,3180.00
2016-12-14,3180.00,3240.00,3150.00,3150.00,9709400,3150.00
2016-12-13,3160.00,3180.00,3140.00,3160.00,7751800,3160.00
2016-12-12,3160.00,3160.00,3160.00,3160.00,000,3160.00
2016-12-09,3170.00,3180.00,3130.00,3160.00,7145400,3160.00
2016-12-08,3140.00,3160.00,3100.00,3150.00,14565000,3150.00
2016-12-07,3170.00,3170.00,3100.00,3120.00,9308000,3120.00
2016-12-06,3130.00,3170.00,3110.00,3170.00,5033300,3170.00
2016-12-05,3130.00,3220.00,3120.00,3120.00,7715600,3120.00
2016-12-02,3120.00,3160.00,3090.00,3130.00,8993900,3130.00
2016-12-01,3170.00,3250.00,3090.00,3120.00,7982000,3120.00
2016-11-30,3210.00,3250.00,3150.00,3150.00,14877500,3150.00
2016-11-29,3280.00,3320.00,3220.00,3220.00,4512800,3220.00
2016-11-28,3270.00,3320.00,3230.00,3320.00,3446600,3320.00
2016-11-25,3250.00,3340.00,3250.00,3270.00,2253100,3270.00
2016-11-24,3340.00,3370.00,3300.00,3300.00,2416400,3300.00
2016-11-23,3410.00,3420.00,3340.00,3370.00,4832500,3370.00
2016-11-22,3330.00,3410.00,3280.00,3410.00,11124800,3410.00
2016-11-21,3350.00,3350.00,3280.00,3290.00,8335200,3290.00
2016-11-18,3420.00,3420.00,3270.00,3340.00,4893700,3340.00
2016-11-17,3290.00,3410.00,3250.00,3400.00,13267600,3400.00
2016-11-16,3200.00,3300.00,3180.00,3290.00,7818100,3290.00
2016-11-15,3160.00,3240.00,3140.00,3140.00,8628800,3140.00
2016-11-14,3220.00,3290.00,3050.00,3070.00,12872100,3070.00
