Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,94.00,96.00,91.00,94.00,369600,94.00
2017-03-29,96.00,96.00,91.00,93.00,241600,93.00
2017-03-28,93.00,93.00,93.00,93.00,000,93.00
2017-03-27,93.00,93.00,91.00,93.00,88800,93.00
2017-03-24,91.00,93.00,91.00,92.00,21500,92.00
2017-03-23,95.00,95.00,91.00,95.00,74000,95.00
2017-03-22,96.00,96.00,93.00,95.00,4300,95.00
2017-03-21,93.00,97.00,92.00,96.00,372600,96.00
2017-03-20,91.00,97.00,91.00,97.00,567900,97.00
2017-03-17,90.00,93.00,90.00,91.00,507000,91.00
2017-03-16,90.00,93.00,90.00,90.00,292200,90.00
2017-03-15,92.00,93.00,90.00,93.00,53300,93.00
2017-03-14,90.00,94.00,90.00,93.00,559000,93.00
2017-03-13,90.00,90.00,90.00,90.00,695900,90.00
2017-03-10,91.00,91.00,90.00,91.00,575300,91.00
2017-03-09,91.00,91.00,90.00,91.00,290100,91.00
2017-03-08,89.00,91.00,89.00,91.00,136400,91.00
2017-03-07,85.00,89.00,85.00,89.00,51300,89.00
2017-03-06,85.00,89.00,85.00,89.00,124500,89.00
2017-03-03,86.00,88.00,86.00,88.00,50200,88.00
2017-03-02,87.00,89.00,87.00,89.00,41900,89.00
2017-03-01,85.00,90.00,85.00,90.00,200,90.00
2017-02-28,89.00,92.00,85.00,89.00,128700,89.00
2017-02-27,90.00,92.00,87.00,89.00,38100,89.00
2017-02-24,94.00,94.00,87.00,93.00,300,93.00
2017-02-23,87.00,90.00,87.00,89.00,10400,89.00
2017-02-22,85.00,85.00,85.00,85.00,411900,85.00
2017-02-21,86.00,94.00,86.00,94.00,300,94.00
2017-02-20,98.00,98.00,86.00,95.00,500,95.00
2017-02-17,94.00,95.00,94.00,95.00,100,95.00
2017-02-16,94.00,95.00,85.00,94.00,1300,94.00
2017-02-15,94.00,94.00,94.00,94.00,000,94.00
2017-02-14,93.00,94.00,90.00,94.00,56700,94.00
2017-02-13,90.00,93.00,87.00,93.00,140700,93.00
2017-02-10,93.00,93.00,90.00,90.00,9600,90.00
2017-02-09,95.00,95.00,90.00,93.00,427000,93.00
2017-02-08,90.00,95.00,85.00,95.00,410100,95.00
2017-02-07,90.00,95.00,90.00,95.00,200100,95.00
2017-02-06,92.00,92.00,86.00,92.00,286300,92.00
2017-02-03,91.00,92.00,90.00,92.00,993500,92.00
2017-02-02,90.00,91.00,90.00,91.00,103400,91.00
2017-02-01,87.00,94.00,85.00,90.00,196500,90.00
2017-01-31,87.00,100.00,87.00,87.00,629200,87.00
2017-01-30,91.00,91.00,85.00,91.00,640000,91.00
2017-01-27,92.00,92.00,85.00,91.00,70900,91.00
2017-01-26,84.00,98.00,80.00,91.00,5266500,91.00
2017-01-25,77.00,85.00,77.00,84.00,453400,84.00
2017-01-24,80.00,80.00,71.00,77.00,83300,77.00
2017-01-23,83.00,83.00,75.00,80.00,80500,80.00
2017-01-20,82.00,83.00,82.00,83.00,200,83.00
2017-01-19,83.00,83.00,83.00,83.00,000,83.00
2017-01-18,83.00,83.00,82.00,83.00,1100,83.00
2017-01-17,82.00,83.00,82.00,83.00,100,83.00
2017-01-16,83.00,83.00,82.00,82.00,200,82.00
2017-01-13,83.00,83.00,83.00,83.00,000,83.00
2017-01-12,83.00,83.00,83.00,83.00,000,83.00
2017-01-11,84.00,84.00,72.00,83.00,14400,83.00
2017-01-10,84.00,84.00,84.00,84.00,1200,84.00
2017-01-09,75.00,85.00,75.00,84.00,1204200,84.00
2017-01-06,75.00,76.00,75.00,75.00,3200,75.00
2017-01-05,70.00,75.00,70.00,75.00,2300,75.00
2017-01-04,80.00,80.00,73.00,78.00,46300,78.00
2017-01-03,80.00,80.00,80.00,80.00,000,80.00
2017-01-02,80.00,80.00,80.00,80.00,000,80.00
2016-12-30,80.00,80.00,80.00,80.00,100,80.00
2016-12-29,78.00,80.00,78.00,78.00,70300,78.00
2016-12-28,73.00,77.00,73.00,77.00,300,77.00
2016-12-27,72.00,79.00,72.00,78.00,36000,78.00
2016-12-26,78.00,78.00,78.00,78.00,000,78.00
2016-12-23,74.00,78.00,74.00,78.00,300,78.00
2016-12-22,80.00,81.00,76.00,79.00,2800,79.00
2016-12-21,79.00,83.00,79.00,81.00,18300,81.00
2016-12-20,79.00,79.00,79.00,79.00,000,79.00
2016-12-19,79.00,79.00,72.00,79.00,58900,79.00
2016-12-16,85.00,85.00,77.00,77.00,636100,77.00
2016-12-15,82.00,85.00,82.00,85.00,24400,85.00
2016-12-14,87.00,91.00,86.00,91.00,32100,91.00
2016-12-13,96.00,96.00,87.00,95.00,2600,95.00
2016-12-12,96.00,96.00,96.00,96.00,000,96.00
2016-12-09,85.00,99.00,85.00,96.00,3600,96.00
2016-12-08,100.00,100.00,85.00,85.00,106300,85.00
2016-12-07,97.00,100.00,89.00,94.00,176800,94.00
2016-12-06,85.00,112.00,80.00,97.00,584400,97.00
2016-12-05,85.00,85.00,81.00,83.00,145800,83.00
2016-12-02,80.00,80.00,80.00,80.00,96500,80.00
2016-12-01,77.00,85.00,77.00,81.00,238000,81.00
2016-11-30,75.00,84.00,75.00,77.00,2062200,77.00
2016-11-29,74.00,74.00,72.00,74.00,55200,74.00
2016-11-28,75.00,78.00,74.00,74.00,10200,74.00
2016-11-25,79.00,79.00,75.00,75.00,1500,75.00
2016-11-24,80.00,80.00,74.00,74.00,1072000,74.00
2016-11-23,75.00,75.00,75.00,75.00,2940900,75.00
2016-11-22,72.00,75.00,72.00,75.00,13400,75.00
2016-11-21,74.00,78.00,75.00,78.00,400,78.00
2016-11-18,72.00,77.00,72.00,74.00,7300,74.00
2016-11-17,76.00,76.00,73.00,73.00,29100,73.00
2016-11-16,70.00,80.00,70.00,75.00,3834300,75.00
2016-11-15,77.00,77.00,70.00,70.00,300400,70.00
2016-11-14,75.00,75.00,72.00,74.00,7400,74.00
2016-11-11,80.00,80.00,80.00,80.00,000,80.00
2016-11-10,75.00,80.00,73.00,80.00,56900,80.00
2016-11-09,81.00,81.00,81.00,81.00,000,81.00
2016-11-08,75.00,81.00,75.00,81.00,50300,81.00
2016-11-07,75.00,83.00,75.00,83.00,15000,83.00
2016-11-04,75.00,75.00,68.00,75.00,368500,75.00
2016-11-03,72.00,84.00,71.00,75.00,220100,75.00
2016-11-02,75.00,75.00,75.00,75.00,100,75.00
2016-11-01,75.00,76.00,73.00,74.00,50400,74.00
2016-10-31,75.00,75.00,73.00,75.00,41700,75.00
2016-10-28,77.00,77.00,74.00,75.00,400,75.00
2016-10-27,77.00,77.00,73.00,77.00,98200,77.00
2016-10-26,77.00,77.00,75.00,77.00,7600,77.00
2016-10-25,83.00,83.00,73.00,73.00,250100,73.00
2016-10-24,79.00,79.00,76.00,79.00,50100,79.00
2016-10-21,75.00,79.00,75.00,79.00,17900,79.00
2016-10-20,79.00,79.00,79.00,79.00,100,79.00
2016-10-19,79.00,79.00,76.00,78.00,400,78.00
2016-10-18,85.00,85.00,76.00,76.00,110300,76.00
2016-10-17,84.00,84.00,84.00,84.00,100,84.00
2016-10-14,82.00,82.00,82.00,82.00,100,82.00
2016-10-13,75.00,79.00,74.00,79.00,12700,79.00
2016-10-12,80.00,80.00,74.00,79.00,5300,79.00
2016-10-11,74.00,79.00,70.00,74.00,50700,74.00
2016-10-10,79.00,79.00,74.00,74.00,157000,74.00
2016-10-07,75.00,82.00,74.00,79.00,102100,79.00
2016-10-06,76.00,80.00,74.00,74.00,360800,74.00
2016-10-05,81.00,81.00,81.00,81.00,000,81.00
2016-10-04,81.00,81.00,81.00,81.00,000,81.00
2016-10-03,81.00,81.00,81.00,81.00,000,81.00
2016-09-30,80.00,81.00,80.00,81.00,200,81.00
2016-09-29,80.00,80.00,80.00,80.00,100,80.00
2016-09-28,76.00,78.00,76.00,76.00,250400,76.00
2016-09-27,79.00,79.00,74.00,78.00,10500,78.00
2016-09-26,79.00,79.00,79.00,79.00,000,79.00
2016-09-23,79.00,79.00,79.00,79.00,50000,79.00
2016-09-22,80.00,80.00,75.00,79.00,100300,79.00
2016-09-21,80.00,80.00,80.00,80.00,100,80.00
2016-09-20,82.00,82.00,76.00,76.00,200,76.00
2016-09-19,84.00,84.00,75.00,80.00,5100,80.00
2016-09-16,74.00,79.00,74.00,77.00,28700,77.00
2016-09-15,76.00,79.00,74.00,74.00,102400,74.00
2016-09-14,74.00,80.00,74.00,80.00,200100,80.00
2016-09-13,80.00,80.00,80.00,80.00,000,80.00
2016-09-12,80.00,80.00,80.00,80.00,000,80.00
2016-09-09,76.00,80.00,76.00,80.00,700,80.00
2016-09-08,81.00,81.00,81.00,81.00,100,81.00
2016-09-07,75.00,79.00,75.00,79.00,293100,79.00
2016-09-06,72.00,80.00,72.00,80.00,2100,80.00
2016-09-05,82.00,82.00,80.00,80.00,7500,80.00
2016-09-02,84.00,84.00,73.00,73.00,200,73.00
2016-09-01,82.00,82.00,76.00,79.00,210800,79.00
2016-08-31,82.00,86.00,77.00,82.00,2300,82.00
2016-08-30,78.00,83.00,77.00,82.00,120700,82.00
2016-08-29,80.00,85.00,80.00,84.00,400,84.00
2016-08-26,82.00,86.00,82.00,84.00,300,84.00
2016-08-25,79.00,82.00,77.00,81.00,3700,81.00
2016-08-24,86.00,86.00,85.00,85.00,1600,85.00
2016-08-23,84.00,86.00,84.00,84.00,12100,84.00
2016-08-22,88.00,88.00,82.00,83.00,5500,83.00
2016-08-19,84.00,89.00,83.00,86.00,15500,86.00
2016-08-18,84.00,84.00,84.00,84.00,000,84.00
2016-08-17,84.00,84.00,84.00,84.00,000,84.00
2016-08-16,84.00,84.00,84.00,84.00,100,84.00
2016-08-15,78.00,86.00,78.00,84.00,130600,84.00
2016-08-12,84.00,84.00,84.00,84.00,100,84.00
2016-08-11,80.00,83.00,78.00,83.00,520800,83.00
2016-08-10,85.00,85.00,79.00,83.00,88400,83.00
2016-08-09,79.00,85.00,79.00,85.00,4300,85.00
2016-08-08,83.00,89.00,80.00,83.00,55900,83.00
2016-08-05,80.00,82.00,80.00,82.00,100200,82.00
2016-08-04,86.00,86.00,86.00,86.00,200,86.00
2016-08-03,84.00,89.00,81.00,86.00,48200,86.00
2016-08-02,84.00,84.00,81.00,82.00,221800,82.00
2016-08-01,78.00,81.00,78.00,80.00,147800,80.00
2016-07-29,77.00,80.00,77.00,78.00,290600,78.00
2016-07-28,75.00,76.00,75.00,76.00,2100,76.00
2016-07-27,78.00,78.00,75.00,75.00,9800,75.00
2016-07-26,75.00,77.00,73.00,76.00,80200,76.00
2016-07-25,75.00,75.00,75.00,75.00,800,75.00
2016-07-22,75.00,77.00,72.00,75.00,60600,75.00
2016-07-21,71.00,75.00,71.00,75.00,18400,75.00
2016-07-20,71.00,74.00,70.00,74.00,464400,74.00
2016-07-19,70.00,73.00,70.00,73.00,74900,73.00
2016-07-18,74.00,74.00,70.00,73.00,10300,73.00
2016-07-15,74.00,74.00,70.00,74.00,50500,74.00
2016-07-14,70.00,74.00,70.00,74.00,24700,74.00
2016-07-13,71.00,77.00,70.00,71.00,164500,71.00
2016-07-12,75.00,75.00,71.00,72.00,51100,72.00
2016-07-11,75.00,75.00,75.00,75.00,100,75.00
2016-07-08,74.00,74.00,74.00,74.00,000,74.00
2016-07-07,74.00,74.00,74.00,74.00,000,74.00
2016-07-06,74.00,74.00,74.00,74.00,000,74.00
2016-07-05,74.00,74.00,74.00,74.00,000,74.00
2016-07-04,74.00,74.00,74.00,74.00,000,74.00
2016-07-01,71.00,74.00,71.00,74.00,230600,74.00
2016-06-30,71.00,71.00,71.00,71.00,45500,71.00
2016-06-28,71.00,71.00,71.00,71.00,000,71.00
2016-06-27,71.00,71.00,71.00,71.00,100,71.00
2016-06-24,66.00,70.00,66.00,70.00,9900,70.00
2016-06-23,69.00,72.00,69.00,70.00,22000,70.00
2016-06-22,70.00,70.00,69.00,69.00,90600,69.00
2016-06-21,70.00,70.00,65.00,68.00,27300,68.00
2016-06-20,69.00,69.00,69.00,69.00,122300,69.00
2016-06-17,70.00,70.00,70.00,70.00,000,70.00
2016-06-16,70.00,70.00,65.00,70.00,42800,70.00
