Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,416.00,420.00,412.00,416.00,1615500,416.00
2017-03-29,416.00,420.00,414.00,420.00,2776600,420.00
2017-03-28,418.00,418.00,418.00,418.00,000,418.00
2017-03-27,418.00,418.00,410.00,418.00,4520100,418.00
2017-03-24,424.00,426.00,414.00,418.00,4172300,418.00
2017-03-23,426.00,428.00,420.00,426.00,3023300,426.00
2017-03-22,428.00,430.00,426.00,426.00,874400,426.00
2017-03-21,432.00,434.00,428.00,428.00,1096600,428.00
2017-03-20,444.00,444.00,428.00,432.00,2273800,432.00
2017-03-17,420.00,444.00,418.00,444.00,5468800,444.00
2017-03-16,424.00,424.00,420.00,420.00,1728900,420.00
2017-03-15,422.00,424.00,420.00,420.00,721800,420.00
2017-03-14,430.00,430.00,422.00,422.00,3428200,422.00
2017-03-13,438.00,440.00,428.00,430.00,3450700,430.00
2017-03-10,442.00,442.00,436.00,438.00,2842500,438.00
2017-03-09,442.00,450.00,440.00,442.00,7091100,442.00
2017-03-08,450.00,450.00,436.00,448.00,16150100,448.00
2017-03-07,450.00,452.00,448.00,450.00,2142100,450.00
2017-03-06,454.00,454.00,448.00,450.00,4101600,450.00
2017-03-03,454.00,454.00,452.00,454.00,1077500,454.00
2017-03-02,458.00,460.00,454.00,454.00,2051600,454.00
2017-03-01,458.00,460.00,456.00,456.00,1644400,456.00
2017-02-28,462.00,466.00,456.00,460.00,6046300,460.00
2017-02-27,468.00,472.00,462.00,462.00,1952200,462.00
2017-02-24,474.00,474.00,468.00,468.00,1907700,468.00
2017-02-23,474.00,474.00,468.00,474.00,2100200,474.00
2017-02-22,478.00,478.00,468.00,474.00,6145200,474.00
2017-02-21,480.00,482.00,476.00,476.00,3116700,476.00
2017-02-20,482.00,482.00,478.00,478.00,1797100,478.00
2017-02-17,500.00,500.00,476.00,482.00,10091100,482.00
2017-02-16,474.00,510.00,470.00,500.00,46524900,500.00
2017-02-15,474.00,474.00,474.00,474.00,000,474.00
2017-02-14,464.00,478.00,462.00,474.00,20160600,474.00
2017-02-13,452.00,466.00,452.00,464.00,21957100,464.00
2017-02-10,454.00,456.00,450.00,452.00,51673700,452.00
