Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,500.00,520.00,482.00,500.00,7528000,500.00
2017-03-29,438.00,530.00,438.00,500.00,22131900,500.00
2017-03-28,424.00,424.00,424.00,424.00,000,424.00
2017-03-27,424.00,430.00,400.00,424.00,4891200,424.00
2017-03-24,398.00,402.00,398.00,400.00,840600,400.00
2017-03-23,402.00,402.00,400.00,400.00,1214200,400.00
2017-03-22,398.00,402.00,398.00,402.00,2005800,402.00
2017-03-21,400.00,400.00,392.00,398.00,2067700,398.00
2017-03-20,400.00,400.00,396.00,400.00,1391500,400.00
2017-03-17,400.00,400.00,396.00,400.00,130300,400.00
2017-03-16,400.00,400.00,394.00,400.00,2847300,400.00
2017-03-15,396.00,398.00,392.00,398.00,512500,398.00
2017-03-14,398.00,398.00,398.00,398.00,70000,398.00
2017-03-13,400.00,400.00,394.00,400.00,289200,400.00
2017-03-10,396.00,400.00,394.00,400.00,1940000,400.00
2017-03-09,398.00,398.00,392.00,398.00,498100,398.00
2017-03-08,398.00,400.00,394.00,400.00,322100,400.00
2017-03-07,396.00,398.00,394.00,398.00,400600,398.00
2017-03-06,398.00,400.00,394.00,398.00,104200,398.00
2017-03-03,398.00,400.00,394.00,400.00,561100,400.00
2017-03-02,398.00,400.00,394.00,400.00,724700,400.00
2017-03-01,396.00,400.00,392.00,400.00,641800,400.00
2017-02-28,396.00,400.00,396.00,400.00,1000000,400.00
2017-02-27,398.00,398.00,396.00,396.00,172500,396.00
2017-02-24,398.00,400.00,392.00,398.00,549700,398.00
2017-02-23,392.00,400.00,392.00,400.00,359800,400.00
2017-02-22,400.00,400.00,392.00,398.00,353100,398.00
2017-02-21,396.00,400.00,396.00,400.00,558000,400.00
2017-02-20,396.00,398.00,394.00,396.00,366000,396.00
2017-02-17,400.00,400.00,394.00,400.00,478300,400.00
2017-02-16,400.00,400.00,394.00,400.00,1332100,400.00
2017-02-15,400.00,400.00,400.00,400.00,000,400.00
2017-02-14,402.00,402.00,390.00,400.00,3543000,400.00
2017-02-13,400.00,402.00,388.00,402.00,1794400,402.00
2017-02-10,400.00,402.00,390.00,400.00,985000,400.00
2017-02-09,400.00,402.00,390.00,400.00,830100,400.00
2017-02-08,400.00,400.00,396.00,400.00,107000,400.00
2017-02-07,396.00,398.00,394.00,398.00,225300,398.00
2017-02-06,394.00,398.00,388.00,396.00,749100,396.00
2017-02-03,400.00,400.00,388.00,394.00,338400,394.00
2017-02-02,400.00,400.00,390.00,400.00,1379500,400.00
2017-02-01,400.00,402.00,394.00,402.00,931300,402.00
2017-01-31,400.00,404.00,390.00,400.00,1014500,400.00
2017-01-30,400.00,406.00,398.00,400.00,1184900,400.00
2017-01-27,400.00,402.00,398.00,400.00,211000,400.00
2017-01-26,402.00,406.00,400.00,400.00,816800,400.00
2017-01-25,402.00,404.00,398.00,402.00,315900,402.00
2017-01-24,400.00,402.00,398.00,400.00,5222600,400.00
2017-01-23,404.00,404.00,398.00,400.00,292100,400.00
2017-01-20,402.00,410.00,396.00,404.00,742300,404.00
2017-01-19,410.00,410.00,400.00,400.00,253300,400.00
2017-01-18,404.00,410.00,402.00,404.00,324500,404.00
2017-01-17,402.00,412.00,390.00,404.00,2306600,404.00
2017-01-16,402.00,408.00,390.00,402.00,2588900,402.00
2017-01-13,404.00,412.00,390.00,402.00,3076600,402.00
2017-01-12,404.00,430.00,404.00,404.00,4210900,404.00
2017-01-11,408.00,410.00,402.00,404.00,345200,404.00
2017-01-10,408.00,410.00,400.00,408.00,632300,408.00
2017-01-09,400.00,416.00,396.00,408.00,2604100,408.00
2017-01-06,408.00,408.00,386.00,400.00,5073400,400.00
2017-01-05,356.00,420.00,354.00,400.00,13011600,400.00
2017-01-04,342.00,360.00,342.00,352.00,624800,352.00
2017-01-03,348.00,348.00,338.00,342.00,52500,342.00
2017-01-02,334.00,334.00,334.00,334.00,000,334.00
2016-12-30,344.00,348.00,334.00,334.00,290900,334.00
2016-12-29,340.00,340.00,336.00,340.00,194200,340.00
2016-12-28,332.00,332.00,328.00,330.00,79100,330.00
2016-12-27,330.00,330.00,328.00,328.00,40800,328.00
2016-12-26,328.00,328.00,328.00,328.00,000,328.00
2016-12-23,330.00,330.00,328.00,328.00,61900,328.00
2016-12-22,338.00,338.00,320.00,334.00,626000,334.00
2016-12-21,332.00,340.00,332.00,334.00,50500,334.00
2016-12-20,340.00,340.00,320.00,332.00,574000,332.00
2016-12-19,340.00,340.00,330.00,340.00,258400,340.00
2016-12-16,338.00,340.00,338.00,340.00,179800,340.00
2016-12-15,338.00,338.00,338.00,338.00,22000,338.00
2016-12-14,338.00,340.00,336.00,340.00,129700,340.00
2016-12-13,334.00,340.00,334.00,340.00,622300,340.00
2016-12-12,334.00,334.00,334.00,334.00,000,334.00
2016-12-09,338.00,340.00,332.00,334.00,46700,334.00
2016-12-08,338.00,338.00,330.00,330.00,319800,330.00
2016-12-07,346.00,348.00,336.00,336.00,204500,336.00
2016-12-06,340.00,342.00,330.00,334.00,353600,334.00
2016-12-05,324.00,340.00,324.00,340.00,333500,340.00
2016-12-02,326.00,340.00,324.00,330.00,558600,330.00
2016-12-01,322.00,350.00,320.00,330.00,612100,330.00
2016-11-30,334.00,338.00,322.00,322.00,753000,322.00
2016-11-29,334.00,342.00,332.00,334.00,1201500,334.00
2016-11-28,340.00,348.00,330.00,334.00,627000,334.00
2016-11-25,330.00,340.00,328.00,340.00,1286100,340.00
2016-11-24,340.00,346.00,328.00,334.00,896700,334.00
2016-11-23,334.00,342.00,334.00,340.00,226000,340.00
2016-11-22,344.00,352.00,332.00,334.00,1796200,334.00
2016-11-21,328.00,340.00,312.00,334.00,8005900,334.00
2016-11-18,336.00,344.00,320.00,328.00,741500,328.00
2016-11-17,320.00,340.00,318.00,328.00,1885800,328.00
2016-11-16,310.00,320.00,310.00,320.00,510400,320.00
2016-11-15,310.00,310.00,308.00,310.00,330500,310.00
2016-11-14,310.00,310.00,306.00,310.00,292600,310.00
2016-11-11,308.00,320.00,306.00,310.00,679800,310.00
2016-11-10,302.00,318.00,302.00,314.00,166000,314.00
2016-11-09,304.00,304.00,300.00,304.00,108400,304.00
2016-11-08,302.00,310.00,302.00,306.00,247500,306.00
2016-11-07,300.00,304.00,292.00,302.00,159700,302.00
2016-11-04,294.00,302.00,294.00,300.00,12200,300.00
2016-11-03,300.00,304.00,294.00,294.00,77600,294.00
2016-11-02,302.00,308.00,296.00,298.00,2485700,298.00
2016-11-01,302.00,312.00,302.00,306.00,163800,306.00
2016-10-31,312.00,312.00,302.00,302.00,894400,302.00
2016-10-28,314.00,322.00,314.00,320.00,24900,320.00
2016-10-27,314.00,322.00,314.00,314.00,348100,314.00
2016-10-26,312.00,322.00,312.00,320.00,159100,320.00
2016-10-25,320.00,322.00,308.00,318.00,42000,318.00
2016-10-24,320.00,320.00,302.00,318.00,14745700,318.00
2016-10-21,318.00,320.00,316.00,320.00,180900,320.00
2016-10-20,318.00,320.00,316.00,318.00,492900,318.00
2016-10-19,320.00,324.00,316.00,318.00,1279400,318.00
2016-10-18,316.00,320.00,316.00,318.00,487600,318.00
2016-10-17,320.00,320.00,312.00,316.00,51300,316.00
2016-10-14,316.00,320.00,312.00,318.00,560400,318.00
2016-10-13,322.00,322.00,310.00,320.00,407000,320.00
2016-10-12,330.00,330.00,316.00,322.00,271600,322.00
2016-10-11,346.00,346.00,330.00,340.00,126700,340.00
2016-10-10,334.00,346.00,330.00,346.00,109200,346.00
2016-10-07,328.00,338.00,326.00,334.00,301900,334.00
2016-10-06,322.00,326.00,314.00,324.00,87800,324.00
2016-10-05,316.00,324.00,314.00,322.00,125600,322.00
2016-10-04,312.00,318.00,306.00,316.00,1432200,316.00
2016-10-03,322.00,322.00,306.00,312.00,75900,312.00
2016-09-30,312.00,320.00,310.00,316.00,65200,316.00
2016-09-29,318.00,318.00,312.00,312.00,74400,312.00
2016-09-28,320.00,322.00,320.00,322.00,55500,322.00
2016-09-27,310.00,320.00,310.00,320.00,62400,320.00
2016-09-26,328.00,328.00,310.00,310.00,205800,310.00
2016-09-23,320.00,332.00,320.00,320.00,28500,320.00
2016-09-22,334.00,334.00,310.00,324.00,230700,324.00
2016-09-21,340.00,340.00,320.00,334.00,75900,334.00
2016-09-20,336.00,346.00,330.00,334.00,268700,334.00
2016-09-19,324.00,336.00,320.00,330.00,30100,330.00
2016-09-16,330.00,338.00,328.00,328.00,372500,328.00
2016-09-15,336.00,342.00,330.00,330.00,143500,330.00
2016-09-14,310.00,328.00,306.00,328.00,220700,328.00
2016-09-13,340.00,346.00,316.00,340.00,307600,340.00
2016-09-12,346.00,346.00,346.00,346.00,000,346.00
