Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,50.00,50.00,50.00,50.00,38400,400.00
2017-03-29,50.00,50.00,50.00,50.00,27100,400.00
2017-03-28,50.00,50.00,50.00,50.00,000,400.00
2017-03-27,50.00,50.00,50.00,50.00,66900,400.00
2017-03-24,50.00,50.00,50.00,50.00,2931800,400.00
2017-03-23,50.00,50.00,50.00,50.00,1067700,400.00
2017-03-22,50.00,50.00,50.00,50.00,121800,400.00
2017-03-21,50.00,50.00,50.00,50.00,116500,400.00
2017-03-20,50.00,50.00,50.00,50.00,242600,400.00
2017-03-17,50.00,50.00,50.00,50.00,1073800,400.00
2017-03-16,50.00,50.00,50.00,50.00,260400,400.00
2017-03-15,50.00,50.00,50.00,50.00,1295100,400.00
2017-03-14,50.00,50.00,50.00,50.00,1241300,400.00
2017-03-13,50.00,50.00,50.00,50.00,340400,400.00
2017-03-10,50.00,50.00,50.00,50.00,97200,400.00
2017-03-09,50.00,50.00,50.00,50.00,133700,400.00
2017-03-08,50.00,50.00,50.00,50.00,231000,400.00
2017-03-07,50.00,50.00,50.00,50.00,1429300,400.00
2017-03-06,50.00,50.00,50.00,50.00,1995500,400.00
2017-03-03,50.00,50.00,50.00,50.00,114400,400.00
2017-03-02,50.00,50.00,50.00,50.00,1021100,400.00
2017-03-01,50.00,50.00,50.00,50.00,2210400,400.00
2017-02-28,50.00,50.00,50.00,50.00,945900,400.00
2017-02-27,50.00,50.00,50.00,50.00,3751700,400.00
2017-02-24,50.00,50.00,50.00,50.00,6738200,400.00
2017-02-23,50.00,50.00,50.00,50.00,29787000,400.00
2017-02-22,50.00,50.00,50.00,50.00,55400900,400.00
2017-02-21,50.00,51.00,50.00,50.00,539768700,400.00
2017-02-20,50.00,51.00,50.00,50.00,1169555200,400.00
2017-02-17,52.00,55.00,50.00,50.00,2400,400.00
2017-02-16,68.00,69.00,50.00,52.00,526051000,416.00
2017-02-15,8.50,8.50,8.50,8.50,000,68.00
2017-02-14,9.25,9.38,8.50,8.50,1074124100,68.00
2017-02-13,9.38,9.75,9.00,9.25,1095091700,74.00
2017-02-10,9.75,10.12,9.25,9.38,1613036300,75.00
2017-02-09,9.38,10.12,9.25,9.75,1900,78.00
2017-02-08,9.50,10.38,8.50,9.38,5543062800,75.00
2017-02-07,9.00,9.75,8.88,9.00,1779944400,72.00
2017-02-06,9.50,9.75,8.75,9.00,1676806100,72.00
2017-02-03,10.00,10.25,9.38,9.38,1081356100,75.00
2017-02-02,9.88,10.38,9.62,10.00,1603120800,80.00
2017-02-01,10.25,11.00,9.75,9.88,1900,79.00
2017-01-31,10.25,10.62,9.62,10.25,4040869600,82.00
2017-01-30,8.75,10.38,8.75,10.12,72234000,81.00
2017-01-27,8.25,9.00,8.25,8.75,1895252000,70.00
2017-01-26,8.62,8.88,8.12,8.25,1400,66.00
2017-01-25,9.25,9.25,8.00,8.62,583652600,69.00
2017-01-24,6.88,8.38,6.75,8.25,5616708400,66.00
2017-01-23,6.25,7.00,6.25,6.75,3872536400,54.00
2017-01-20,6.25,6.50,6.25,6.25,2018370000,50.00
2017-01-19,6.25,6.25,6.25,6.25,1363500,50.00
2017-01-18,6.25,6.25,6.25,6.25,112800,50.00
2017-01-17,6.25,6.25,6.25,6.25,735200,50.00
2017-01-16,6.25,6.25,6.25,6.25,516200,50.00
2017-01-13,6.25,6.25,6.25,6.25,1330700,50.00
2017-01-12,6.25,6.25,6.25,6.25,7053500,50.00
2017-01-11,6.25,6.25,6.25,6.25,501100,50.00
2017-01-10,6.25,6.25,6.25,6.25,313300,50.00
2017-01-09,6.25,6.25,6.25,6.25,629600,50.00
2017-01-06,6.25,6.25,6.25,6.25,3514100,50.00
2017-01-05,6.25,6.25,6.25,6.25,3178800,50.00
2017-01-04,6.25,6.25,6.25,6.25,1500,50.00
2017-01-03,6.25,6.25,6.25,6.25,504700,50.00
2017-01-02,6.25,6.25,6.25,6.25,000,50.00
2016-12-30,6.25,6.25,6.25,6.25,78900,50.00
2016-12-29,6.25,6.25,6.25,6.25,172800,50.00
2016-12-28,6.25,6.25,6.25,6.25,12100,50.00
2016-12-27,6.25,6.25,6.25,6.25,5940000,50.00
2016-12-26,6.25,6.25,6.25,6.25,000,50.00
2016-12-23,6.25,6.25,6.25,6.25,116300,50.00
2016-12-22,6.25,6.25,6.25,6.25,463600,50.00
2016-12-21,6.25,6.25,6.25,6.25,367700,50.00
2016-12-20,6.25,6.25,6.25,6.25,11900,50.00
2016-12-19,6.25,6.25,6.25,6.25,173600,50.00
2016-12-16,6.25,6.25,6.25,6.25,28700,50.00
2016-12-15,6.25,6.25,6.25,6.25,23300,50.00
2016-12-14,6.25,6.25,6.25,6.25,1487100,50.00
2016-12-13,6.25,6.25,6.25,6.25,1338700,50.00
2016-12-12,6.25,6.25,6.25,6.25,000,50.00
2016-12-09,6.25,6.25,6.25,6.25,227400,50.00
2016-12-08,6.25,6.25,6.25,6.25,344200,50.00
2016-12-07,6.25,6.25,6.25,6.25,1456200,50.00
2016-12-06,6.25,6.25,6.25,6.25,339100,50.00
2016-12-05,6.25,6.25,6.25,6.25,9832300,50.00
2016-12-02,6.25,6.25,6.25,6.25,15404000,50.00
2016-12-01,6.25,6.38,6.25,6.25,559317600,50.00
2016-11-30,6.25,6.25,6.25,6.25,36600,50.00
2016-11-29,6.25,6.25,6.25,6.25,1042600,50.00
2016-11-28,6.25,6.25,6.25,6.25,2083300,50.00
2016-11-25,6.25,6.25,6.25,6.25,135100,50.00
2016-11-24,6.25,6.25,6.25,6.25,157800,50.00
2016-11-23,6.25,6.25,6.25,6.25,941800,50.00
2016-11-22,6.25,6.25,6.25,6.25,7039600,50.00
2016-11-21,6.25,6.25,6.25,6.25,397500,50.00
2016-11-18,6.25,6.25,6.25,6.25,555400,50.00
2016-11-17,6.25,6.25,6.25,6.25,1308200,50.00
2016-11-16,6.25,6.25,6.25,6.25,57000,50.00
2016-11-15,6.25,6.25,6.25,6.25,541900,50.00
2016-11-14,6.25,6.25,6.25,6.25,1258900,50.00
2016-11-11,6.25,6.25,6.25,6.25,2057800,50.00
2016-11-10,6.25,6.25,6.25,6.25,1160400,50.00
2016-11-09,6.25,6.25,6.25,6.25,10720500,50.00
2016-11-08,6.25,6.25,6.25,6.25,29697800,50.00
2016-11-07,6.25,6.25,6.25,6.25,2851300,50.00
