Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1650.00,1690.00,1640.00,1650.00,12200,1650.00
2017-03-29,1510.00,1750.00,1500.00,1670.00,146900,1670.00
2017-03-28,1510.00,1510.00,1510.00,1510.00,000,1510.00
2017-03-27,1510.00,1530.00,1425.00,1510.00,17300,1510.00
2017-03-24,1400.00,1530.00,1400.00,1495.00,96400,1495.00
2017-03-23,1350.00,1395.00,1350.00,1355.00,1300,1355.00
2017-03-22,1350.00,1400.00,1350.00,1350.00,2000,1350.00
2017-03-21,1300.00,1345.00,1300.00,1305.00,54000,1305.00
2017-03-20,1270.00,1395.00,1270.00,1300.00,1900,1300.00
2017-03-17,1300.00,1375.00,1250.00,1270.00,142500,1270.00
2017-03-16,1395.00,1395.00,1300.00,1300.00,315900,1300.00
2017-03-15,1400.00,1445.00,1385.00,1395.00,1300,1395.00
2017-03-14,1400.00,1435.00,1380.00,1400.00,5000,1400.00
2017-03-13,1405.00,1410.00,1370.00,1370.00,800,1370.00
2017-03-10,1450.00,1450.00,1400.00,1405.00,3300,1405.00
2017-03-09,1440.00,1450.00,1405.00,1440.00,2200,1440.00
2017-03-08,1405.00,1450.00,1405.00,1450.00,2600,1450.00
2017-03-07,1410.00,1450.00,1405.00,1405.00,14100,1405.00
2017-03-06,1470.00,1470.00,1400.00,1410.00,4800,1410.00
2017-03-03,1400.00,1445.00,1400.00,1445.00,1200,1445.00
2017-03-02,1405.00,1455.00,1405.00,1410.00,900,1410.00
2017-03-01,1475.00,1475.00,1405.00,1450.00,900,1450.00
2017-02-28,1420.00,1495.00,1405.00,1455.00,2600,1455.00
2017-02-27,1420.00,1420.00,1420.00,1420.00,6600,1420.00
2017-02-24,1420.00,1420.00,1420.00,1420.00,1000,1420.00
2017-02-23,1430.00,1430.00,1425.00,1425.00,2300,1425.00
2017-02-22,1430.00,1430.00,1430.00,1430.00,1000,1430.00
2017-02-21,1475.00,1475.00,1430.00,1430.00,1600,1430.00
2017-02-20,1430.00,1475.00,1425.00,1475.00,4600,1475.00
2017-02-17,1430.00,1450.00,1430.00,1430.00,3800,1430.00
2017-02-16,1430.00,1430.00,1430.00,1430.00,1500,1430.00
2017-02-15,1430.00,1430.00,1430.00,1430.00,000,1430.00
2017-02-14,1490.00,1490.00,1425.00,1430.00,500,1430.00
2017-02-13,1480.00,1490.00,1450.00,1490.00,1300,1490.00
2017-02-10,1480.00,1480.00,1480.00,1480.00,000,1480.00
2017-02-09,1480.00,1480.00,1480.00,1480.00,000,1480.00
2017-02-08,1480.00,1480.00,1480.00,1480.00,100,1480.00
2017-02-07,1450.00,1475.00,1430.00,1430.00,1800,1430.00
2017-02-06,1450.00,1500.00,1450.00,1450.00,600,1450.00
2017-02-03,1455.00,1495.00,1450.00,1450.00,900,1450.00
2017-02-02,1455.00,1455.00,1455.00,1455.00,100,1455.00
2017-02-01,1450.00,1500.00,1450.00,1455.00,600,1455.00
2017-01-31,1450.00,1495.00,1440.00,1450.00,1000,1450.00
2017-01-30,1450.00,1600.00,1450.00,1455.00,44200,1455.00
2017-01-27,1450.00,1485.00,1450.00,1450.00,2200,1450.00
2017-01-26,1455.00,1485.00,1455.00,1455.00,1700,1455.00
2017-01-25,1470.00,1560.00,1435.00,1455.00,5000,1455.00
2017-01-24,1470.00,1470.00,1465.00,1470.00,1300,1470.00
2017-01-23,1475.00,1475.00,1450.00,1470.00,1100,1470.00
2017-01-20,1490.00,1490.00,1455.00,1475.00,2000,1475.00
2017-01-19,1475.00,1475.00,1475.00,1475.00,000,1475.00
2017-01-18,1475.00,1475.00,1425.00,1475.00,2100,1475.00
2017-01-17,1475.00,1475.00,1450.00,1475.00,5700,1475.00
2017-01-16,1500.00,1500.00,1475.00,1475.00,100,1475.00
2017-01-13,1475.00,1500.00,1420.00,1500.00,31500,1500.00
2017-01-12,1500.00,1500.00,1440.00,1490.00,1400,1490.00
2017-01-11,1500.00,1500.00,1500.00,1500.00,000,1500.00
2017-01-10,1500.00,1550.00,1450.00,1500.00,1300,1500.00
2017-01-09,1500.00,1550.00,1500.00,1500.00,1000,1500.00
2017-01-06,1500.00,1500.00,1500.00,1500.00,000,1500.00
2017-01-05,1500.00,1525.00,1500.00,1500.00,1700,1500.00
2017-01-04,1500.00,1500.00,1500.00,1500.00,1100,1500.00
2017-01-03,1500.00,1500.00,1500.00,1500.00,000,1500.00
2017-01-02,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-30,1550.00,1550.00,1500.00,1500.00,500,1500.00
2016-12-29,1500.00,1500.00,1500.00,1500.00,500,1500.00
2016-12-28,1445.00,1500.00,1445.00,1500.00,200,1500.00
2016-12-27,1500.00,1500.00,1500.00,1500.00,2000,1500.00
2016-12-26,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-23,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-22,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-21,1425.00,1500.00,1420.00,1500.00,800,1500.00
2016-12-20,1425.00,1425.00,1425.00,1425.00,200,1425.00
2016-12-19,1425.00,1425.00,1425.00,1425.00,000,1425.00
2016-12-16,1425.00,1425.00,1425.00,1425.00,400,1425.00
2016-12-15,1425.00,1425.00,1425.00,1425.00,100,1425.00
2016-12-14,1425.00,1425.00,1425.00,1425.00,200,1425.00
2016-12-13,1500.00,1500.00,1455.00,1455.00,1300,1455.00
2016-12-12,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-09,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-08,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-12-07,1500.00,1500.00,1500.00,1500.00,100,1500.00
2016-12-06,1475.00,1475.00,1475.00,1475.00,100,1475.00
2016-12-05,1525.00,1525.00,1475.00,1500.00,2200,1500.00
2016-12-02,1515.00,1595.00,1450.00,1550.00,2000,1550.00
2016-12-01,1550.00,1550.00,1550.00,1550.00,000,1550.00
2016-11-30,1550.00,1550.00,1550.00,1550.00,000,1550.00
2016-11-29,1585.00,1585.00,1550.00,1550.00,600,1550.00
2016-11-28,1585.00,1590.00,1505.00,1590.00,3400,1590.00
2016-11-25,1525.00,1595.00,1525.00,1585.00,400,1585.00
2016-11-24,1550.00,1550.00,1550.00,1550.00,000,1550.00
2016-11-23,1550.00,1550.00,1550.00,1550.00,000,1550.00
2016-11-22,1550.00,1550.00,1500.00,1550.00,700,1550.00
2016-11-21,1595.00,1595.00,1520.00,1520.00,600,1520.00
2016-11-18,1595.00,1595.00,1550.00,1595.00,700,1595.00
2016-11-17,1595.00,1595.00,1595.00,1595.00,000,1595.00
2016-11-16,1595.00,1595.00,1595.00,1595.00,000,1595.00
2016-11-15,1595.00,1595.00,1595.00,1595.00,000,1595.00
2016-11-14,1600.00,1600.00,1595.00,1595.00,600,1595.00
2016-11-11,1595.00,1595.00,1595.00,1595.00,1100,1595.00
2016-11-10,1600.00,1600.00,1600.00,1600.00,100,1600.00
2016-11-09,1575.00,1575.00,1575.00,1575.00,700,1575.00
2016-11-08,1480.00,1540.00,1480.00,1540.00,200,1540.00
2016-11-07,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-11-04,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-11-03,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-11-02,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-11-01,1480.00,1500.00,1430.00,1500.00,600,1500.00
2016-10-31,1480.00,1480.00,1480.00,1480.00,000,1480.00
2016-10-28,1500.00,1500.00,1480.00,1480.00,400,1480.00
2016-10-27,1530.00,1530.00,1530.00,1530.00,000,1530.00
2016-10-26,1530.00,1530.00,1530.00,1530.00,200,1530.00
2016-10-25,1550.00,1550.00,1540.00,1550.00,2300,1550.00
2016-10-24,1490.00,1540.00,1490.00,1540.00,200,1540.00
2016-10-21,1500.00,1500.00,1490.00,1490.00,200,1490.00
2016-10-20,1500.00,1500.00,1500.00,1500.00,500,1500.00
2016-10-19,1500.00,1500.00,1500.00,1500.00,000,1500.00
2016-10-18,1500.00,1500.00,1500.00,1500.00,8700,1500.00
2016-10-17,1500.00,1500.00,1500.00,1500.00,500,1500.00
2016-10-14,1500.00,1500.00,1450.00,1500.00,6800,1500.00
2016-10-13,1495.00,1495.00,1495.00,1495.00,000,1495.00
2016-10-12,1495.00,1495.00,1495.00,1495.00,200,1495.00
2016-10-11,1490.00,1490.00,1490.00,1490.00,000,1490.00
2016-10-10,1490.00,1490.00,1490.00,1490.00,000,1490.00
2016-10-07,1490.00,1490.00,1490.00,1490.00,100,1490.00
2016-10-06,1490.00,1490.00,1490.00,1490.00,200,1490.00
2016-10-05,1490.00,1490.00,1490.00,1490.00,200,1490.00
2016-10-04,1450.00,1450.00,1450.00,1450.00,70800,1450.00
2016-10-03,1450.00,1450.00,1450.00,1450.00,5700,1450.00
2016-09-30,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-29,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-28,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-27,1370.00,1440.00,1325.00,1440.00,300,1440.00
2016-09-26,1370.00,1370.00,1370.00,1370.00,000,1370.00
2016-09-23,1370.00,1370.00,1370.00,1370.00,000,1370.00
2016-09-22,1370.00,1370.00,1370.00,1370.00,100,1370.00
2016-09-21,1370.00,1370.00,1370.00,1370.00,000,1370.00
2016-09-20,1370.00,1370.00,1370.00,1370.00,200,1370.00
2016-09-19,1370.00,1370.00,1370.00,1370.00,000,1370.00
2016-09-16,1440.00,1440.00,1370.00,1370.00,200,1370.00
2016-09-15,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-14,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-13,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-12,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-09,1440.00,1440.00,1440.00,1440.00,600,1440.00
2016-09-08,1440.00,1440.00,1440.00,1440.00,000,1440.00
2016-09-07,1390.00,1440.00,1390.00,1440.00,800,1440.00
2016-09-06,1430.00,1450.00,1430.00,1440.00,106000,1440.00
2016-09-05,1410.00,1440.00,1410.00,1440.00,23200,1440.00
2016-09-02,1395.00,1410.00,1370.00,1410.00,34700,1410.00
2016-09-01,1385.00,1385.00,1385.00,1385.00,800,1385.00
2016-08-31,1370.00,1395.00,1370.00,1385.00,1000,1385.00
2016-08-30,1375.00,1375.00,1375.00,1375.00,300,1375.00
2016-08-29,1370.00,1375.00,1370.00,1370.00,14600,1370.00
2016-08-26,1370.00,1370.00,1370.00,1370.00,000,1370.00
2016-08-25,1370.00,1370.00,1370.00,1370.00,1200,1370.00
2016-08-24,1370.00,1370.00,1370.00,1370.00,1500,1370.00
2016-08-23,1400.00,1400.00,1370.00,1370.00,4100,1370.00
2016-08-22,1390.00,1390.00,1370.00,1370.00,15400,1370.00
2016-08-19,1330.00,1390.00,1330.00,1390.00,100,1390.00
2016-08-18,1330.00,1350.00,1330.00,1330.00,1200,1330.00
2016-08-17,1320.00,1320.00,1320.00,1320.00,000,1320.00
2016-08-16,1320.00,1370.00,1320.00,1320.00,800,1320.00
2016-08-15,1290.00,1375.00,1285.00,1375.00,500,1375.00
2016-08-12,1305.00,1310.00,1300.00,1310.00,2500,1310.00
