Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,220.00,220.00,220.00,220.00,000,220.00
2017-03-29,220.00,220.00,220.00,220.00,100,220.00
2017-03-28,208.00,208.00,208.00,208.00,000,208.00
2017-03-27,208.00,208.00,208.00,208.00,000,208.00
2017-03-24,208.00,208.00,208.00,208.00,100,208.00
2017-03-23,200.00,212.00,193.00,208.00,346000,208.00
2017-03-22,220.00,220.00,200.00,200.00,804300,200.00
2017-03-21,218.00,218.00,218.00,218.00,000,218.00
2017-03-20,220.00,230.00,180.00,218.00,400,218.00
2017-03-17,220.00,220.00,220.00,220.00,000,220.00
2017-03-16,175.00,220.00,170.00,220.00,29900,220.00
2017-03-15,191.00,220.00,191.00,220.00,200,220.00
2017-03-14,186.00,190.00,186.00,190.00,11500,190.00
2017-03-13,206.00,206.00,206.00,206.00,000,206.00
2017-03-10,206.00,206.00,206.00,206.00,000,206.00
2017-03-09,206.00,206.00,206.00,206.00,000,206.00
2017-03-08,236.00,236.00,206.00,206.00,15100,206.00
2017-03-07,238.00,238.00,236.00,236.00,1600,236.00
2017-03-06,183.00,185.00,183.00,183.00,5800,183.00
2017-03-03,180.00,183.00,180.00,183.00,54200,183.00
2017-03-02,188.00,188.00,188.00,188.00,100,188.00
2017-03-01,195.00,195.00,192.00,192.00,800,192.00
2017-02-28,190.00,190.00,190.00,190.00,200,190.00
2017-02-27,200.00,200.00,200.00,200.00,000,200.00
2017-02-24,200.00,200.00,200.00,200.00,2000,200.00
2017-02-23,200.00,200.00,200.00,200.00,200,200.00
2017-02-22,206.00,206.00,206.00,206.00,000,206.00
2017-02-21,210.00,210.00,206.00,206.00,583300,206.00
2017-02-20,210.00,210.00,208.00,208.00,10100,208.00
2017-02-17,206.00,208.00,206.00,206.00,466100,206.00
2017-02-16,208.00,208.00,206.00,206.00,170100,206.00
2017-02-15,208.00,208.00,208.00,208.00,000,208.00
2017-02-14,206.00,208.00,206.00,208.00,419700,208.00
2017-02-13,216.00,216.00,206.00,206.00,428000,206.00
2017-02-10,218.00,218.00,210.00,216.00,107700,216.00
2017-02-09,220.00,224.00,210.00,218.00,251600,218.00
2017-02-08,252.00,252.00,210.00,220.00,80300,220.00
2017-02-07,262.00,262.00,260.00,260.00,1200,260.00
2017-02-06,250.00,266.00,250.00,250.00,3600,250.00
2017-02-03,250.00,268.00,250.00,250.00,3500,250.00
2017-02-02,260.00,270.00,250.00,250.00,41300,250.00
2017-02-01,268.00,282.00,256.00,256.00,30300,256.00
2017-01-31,268.00,268.00,268.00,268.00,000,268.00
2017-01-30,268.00,268.00,268.00,268.00,3000,268.00
2017-01-27,280.00,280.00,280.00,280.00,000,280.00
2017-01-26,264.00,284.00,264.00,280.00,1200,280.00
2017-01-25,264.00,264.00,264.00,264.00,000,264.00
2017-01-24,264.00,264.00,264.00,264.00,000,264.00
2017-01-23,286.00,286.00,264.00,264.00,500,264.00
2017-01-20,270.00,286.00,270.00,286.00,2900,286.00
2017-01-19,270.00,270.00,270.00,270.00,000,270.00
2017-01-18,250.00,272.00,250.00,270.00,1800,270.00
2017-01-17,250.00,250.00,250.00,250.00,000,250.00
2017-01-16,250.00,250.00,250.00,250.00,000,250.00
2017-01-13,250.00,250.00,250.00,250.00,2500,250.00
2017-01-12,260.00,260.00,250.00,250.00,4900,250.00
2017-01-11,280.00,280.00,260.00,260.00,12600,260.00
2017-01-10,280.00,280.00,280.00,280.00,000,280.00
2017-01-09,252.00,280.00,252.00,280.00,2100,280.00
2017-01-06,252.00,252.00,252.00,252.00,000,252.00
2017-01-05,250.00,310.00,248.00,252.00,29200,252.00
2017-01-04,250.00,308.00,250.00,260.00,5800,260.00
2017-01-03,316.00,316.00,250.00,250.00,1100,250.00
2017-01-02,318.00,318.00,318.00,318.00,000,318.00
2016-12-30,318.00,318.00,318.00,318.00,000,318.00
2016-12-29,338.00,338.00,318.00,318.00,300,318.00
2016-12-28,320.00,320.00,320.00,320.00,100,320.00
2016-12-27,302.00,302.00,302.00,302.00,000,302.00
2016-12-26,302.00,302.00,302.00,302.00,000,302.00
2016-12-23,302.00,302.00,302.00,302.00,000,302.00
2016-12-22,302.00,302.00,302.00,302.00,5000,302.00
2016-12-21,304.00,304.00,274.00,274.00,3200,274.00
2016-12-20,290.00,304.00,290.00,304.00,600,304.00
2016-12-19,290.00,290.00,290.00,290.00,200,290.00
2016-12-16,290.00,290.00,290.00,290.00,000,290.00
2016-12-15,290.00,290.00,270.00,290.00,700,290.00
2016-12-14,290.00,290.00,290.00,290.00,000,290.00
2016-12-13,264.00,290.00,264.00,290.00,100,290.00
2016-12-12,264.00,264.00,264.00,264.00,000,264.00
2016-12-09,268.00,268.00,264.00,264.00,3700,264.00
2016-12-08,292.00,292.00,278.00,278.00,2300,278.00
2016-12-07,292.00,292.00,290.00,292.00,1300,292.00
2016-12-06,292.00,292.00,278.00,292.00,1000,292.00
2016-12-05,294.00,294.00,294.00,294.00,300,294.00
2016-12-02,294.00,294.00,294.00,294.00,100,294.00
2016-12-01,294.00,294.00,294.00,294.00,200,294.00
2016-11-30,294.00,294.00,294.00,294.00,100,294.00
2016-11-29,298.00,298.00,294.00,294.00,400,294.00
2016-11-28,268.00,268.00,264.00,264.00,300,264.00
2016-11-25,300.00,300.00,268.00,268.00,300,268.00
2016-11-24,290.00,290.00,290.00,290.00,000,290.00
2016-11-23,290.00,290.00,290.00,290.00,100,290.00
2016-11-22,290.00,290.00,268.00,290.00,1600,290.00
2016-11-21,286.00,286.00,286.00,286.00,000,286.00
2016-11-18,278.00,286.00,278.00,286.00,5100,286.00
2016-11-17,308.00,308.00,308.00,308.00,000,308.00
2016-11-16,308.00,308.00,308.00,308.00,000,308.00
2016-11-15,308.00,308.00,308.00,308.00,000,308.00
2016-11-14,308.00,308.00,308.00,308.00,000,308.00
2016-11-11,308.00,308.00,308.00,308.00,100,308.00
2016-11-10,308.00,308.00,308.00,308.00,100,308.00
2016-11-09,308.00,308.00,308.00,308.00,100,308.00
2016-11-08,308.00,308.00,308.00,308.00,100,308.00
2016-11-07,288.00,308.00,288.00,308.00,100,308.00
2016-11-04,308.00,308.00,278.00,288.00,48100,288.00
2016-11-03,308.00,308.00,308.00,308.00,200,308.00
2016-11-02,308.00,308.00,308.00,308.00,200,308.00
2016-11-01,308.00,308.00,308.00,308.00,000,308.00
2016-10-31,308.00,308.00,308.00,308.00,100,308.00
2016-10-28,306.00,306.00,306.00,306.00,100,306.00
2016-10-27,310.00,310.00,278.00,278.00,23800,278.00
2016-10-26,310.00,310.00,306.00,308.00,700,308.00
2016-10-25,288.00,288.00,288.00,288.00,200,288.00
2016-10-24,292.00,306.00,292.00,306.00,300,306.00
2016-10-21,300.00,322.00,292.00,292.00,27000,292.00
2016-10-20,330.00,330.00,324.00,324.00,41500,324.00
2016-10-19,480.00,480.00,360.00,360.00,45800,360.00
2016-10-18,400.00,400.00,398.00,398.00,1100,398.00
2016-10-17,398.00,398.00,398.00,398.00,200,398.00
2016-10-14,404.00,404.00,404.00,404.00,100,404.00
2016-10-13,420.00,420.00,406.00,406.00,200,406.00
2016-10-12,408.00,408.00,408.00,408.00,2700,408.00
2016-10-11,432.00,432.00,408.00,408.00,12100,408.00
2016-10-10,478.00,478.00,432.00,432.00,300,432.00
2016-10-07,460.00,515.00,460.00,478.00,1100,478.00
2016-10-06,478.00,478.00,478.00,478.00,000,478.00
2016-10-05,478.00,478.00,478.00,478.00,000,478.00
2016-10-04,478.00,478.00,478.00,478.00,000,478.00
2016-10-03,486.00,486.00,478.00,478.00,600,478.00
2016-09-30,450.00,486.00,450.00,486.00,200,486.00
