Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,100.00,102.00,97.00,100.00,682700,100.00
2017-03-29,105.00,105.00,98.00,99.00,539200,99.00
2017-03-28,103.00,103.00,103.00,103.00,000,103.00
2017-03-27,103.00,103.00,100.00,103.00,802600,103.00
2017-03-24,101.00,102.00,98.00,99.00,170300,99.00
2017-03-23,99.00,102.00,98.00,98.00,32300,98.00
2017-03-22,101.00,101.00,99.00,99.00,171400,99.00
2017-03-21,102.00,102.00,98.00,101.00,190000,101.00
2017-03-20,102.00,103.00,99.00,102.00,106500,102.00
2017-03-17,102.00,102.00,98.00,102.00,78000,102.00
2017-03-16,102.00,104.00,99.00,102.00,578000,102.00
2017-03-15,100.00,103.00,99.00,100.00,76700,100.00
2017-03-14,101.00,103.00,97.00,100.00,198300,100.00
2017-03-13,101.00,103.00,98.00,101.00,247000,101.00
2017-03-10,100.00,101.00,96.00,101.00,259400,101.00
2017-03-09,101.00,105.00,99.00,101.00,159800,101.00
2017-03-08,102.00,105.00,101.00,101.00,142700,101.00
2017-03-07,102.00,108.00,102.00,102.00,770700,102.00
2017-03-06,102.00,104.00,101.00,101.00,174400,101.00
2017-03-03,106.00,106.00,100.00,102.00,228500,102.00
2017-03-02,105.00,110.00,105.00,105.00,1081100,105.00
2017-03-01,107.00,114.00,97.00,105.00,1472100,105.00
2017-02-28,103.00,108.00,102.00,102.00,503000,102.00
2017-02-27,105.00,105.00,99.00,103.00,106200,103.00
2017-02-24,101.00,101.00,101.00,101.00,111900,101.00
2017-02-23,100.00,105.00,99.00,101.00,288300,101.00
2017-02-22,101.00,102.00,96.00,98.00,775200,98.00
2017-02-21,111.00,111.00,103.00,103.00,309400,103.00
2017-02-20,111.00,112.00,109.00,110.00,450900,110.00
2017-02-17,108.00,113.00,108.00,109.00,545400,109.00
2017-02-16,113.00,115.00,108.00,108.00,763900,108.00
2017-02-15,113.00,113.00,113.00,113.00,000,113.00
2017-02-14,113.00,118.00,113.00,113.00,1281300,113.00
2017-02-13,115.00,117.00,113.00,113.00,683900,113.00
2017-02-10,117.00,117.00,114.00,115.00,447800,115.00
2017-02-09,116.00,117.00,115.00,117.00,356600,117.00
2017-02-08,116.00,117.00,115.00,116.00,538700,116.00
2017-02-07,116.00,118.00,115.00,116.00,524300,116.00
2017-02-06,116.00,118.00,116.00,116.00,560700,116.00
2017-02-03,117.00,119.00,116.00,116.00,1675400,116.00
2017-02-02,118.00,124.00,115.00,117.00,9118200,117.00
2017-02-01,114.00,117.00,114.00,116.00,954500,116.00
2017-01-31,114.00,118.00,114.00,114.00,2585400,114.00
2017-01-30,115.00,117.00,114.00,114.00,997300,114.00
2017-01-27,117.00,118.00,115.00,115.00,2780900,115.00
2017-01-26,116.00,119.00,115.00,116.00,2189600,116.00
2017-01-25,117.00,119.00,115.00,116.00,2127700,116.00
2017-01-24,119.00,120.00,116.00,117.00,4404700,117.00
2017-01-23,118.00,121.00,116.00,118.00,4679500,118.00
2017-01-20,122.00,123.00,117.00,118.00,7177000,118.00
2017-01-19,119.00,128.00,119.00,122.00,14940000,122.00
2017-01-18,116.00,121.00,116.00,118.00,6884100,118.00
2017-01-17,117.00,122.00,116.00,116.00,2649100,116.00
2017-01-16,117.00,121.00,116.00,117.00,5179200,117.00
2017-01-13,118.00,122.00,116.00,117.00,4055800,117.00
2017-01-12,118.00,120.00,117.00,118.00,1770400,118.00
2017-01-11,119.00,122.00,117.00,118.00,4365300,118.00
2017-01-10,116.00,122.00,114.00,119.00,15336000,119.00
2017-01-09,117.00,118.00,115.00,116.00,2212900,116.00
2017-01-06,115.00,119.00,114.00,117.00,2084000,117.00
2017-01-05,114.00,119.00,114.00,115.00,2348900,115.00
2017-01-04,113.00,119.00,113.00,115.00,4366700,115.00
2017-01-03,112.00,116.00,112.00,113.00,628800,113.00
2017-01-02,113.00,113.00,113.00,113.00,000,113.00
2016-12-30,116.00,118.00,112.00,113.00,1096200,113.00
2016-12-29,116.00,119.00,114.00,115.00,1845900,115.00
2016-12-28,115.00,117.00,114.00,116.00,1952000,116.00
2016-12-27,120.00,120.00,114.00,114.00,3981500,114.00
2016-12-26,118.00,118.00,118.00,118.00,000,118.00
2016-12-23,123.00,126.00,118.00,118.00,4866400,118.00
2016-12-22,116.00,135.00,116.00,121.00,29998500,121.00
2016-12-21,116.00,120.00,116.00,116.00,2224100,116.00
2016-12-20,115.00,129.00,114.00,116.00,13965000,116.00
2016-12-19,113.00,119.00,113.00,115.00,4332100,115.00
2016-12-16,117.00,121.00,114.00,114.00,4211900,114.00
2016-12-15,116.00,128.00,115.00,117.00,14400500,117.00
2016-12-14,116.00,120.00,114.00,116.00,4431600,116.00
2016-12-13,116.00,117.00,113.00,116.00,543800,116.00
2016-12-12,116.00,116.00,116.00,116.00,000,116.00
2016-12-09,117.00,122.00,115.00,116.00,3110800,116.00
2016-12-08,118.00,119.00,115.00,117.00,837600,117.00
2016-12-07,117.00,122.00,115.00,118.00,2378200,118.00
2016-12-06,122.00,129.00,117.00,117.00,3187200,117.00
2016-12-05,115.00,125.00,115.00,120.00,7103100,120.00
2016-12-02,112.00,116.00,112.00,114.00,1163300,114.00
2016-12-01,113.00,117.00,110.00,112.00,2407500,112.00
2016-11-30,116.00,118.00,112.00,113.00,2726500,113.00
2016-11-29,112.00,123.00,111.00,115.00,5437900,115.00
2016-11-28,116.00,122.00,111.00,114.00,4723400,114.00
2016-11-25,128.00,130.00,115.00,116.00,6289000,116.00
2016-11-24,135.00,152.00,116.00,125.00,61460100,125.00
2016-11-23,97.00,128.00,95.00,128.00,25358900,128.00
2016-11-22,95.00,97.00,93.00,95.00,807900,95.00
2016-11-21,92.00,98.00,92.00,94.00,902700,94.00
2016-11-18,92.00,92.00,89.00,92.00,1513100,92.00
2016-11-17,92.00,95.00,90.00,92.00,419400,92.00
2016-11-16,89.00,94.00,87.00,92.00,1251800,92.00
2016-11-15,98.00,100.00,88.00,89.00,1867900,89.00
2016-11-14,101.00,101.00,93.00,97.00,766000,97.00
2016-11-11,103.00,105.00,99.00,100.00,3160100,100.00
2016-11-10,103.00,108.00,102.00,103.00,2200300,103.00
2016-11-09,104.00,104.00,100.00,101.00,1023700,101.00
2016-11-08,108.00,108.00,103.00,103.00,1581900,103.00
2016-11-07,105.00,110.00,104.00,104.00,733700,104.00
2016-11-04,103.00,108.00,100.00,105.00,1674300,105.00
2016-11-03,109.00,109.00,103.00,103.00,3850900,103.00
2016-11-02,112.00,113.00,106.00,109.00,2778300,109.00
2016-11-01,113.00,116.00,112.00,112.00,1798600,112.00
2016-10-31,115.00,118.00,113.00,113.00,1958400,113.00
2016-10-28,112.00,120.00,112.00,113.00,3251500,113.00
2016-10-27,117.00,118.00,110.00,112.00,2497600,112.00
2016-10-26,124.00,125.00,117.00,117.00,4152500,117.00
2016-10-25,117.00,126.00,113.00,124.00,9535900,124.00
2016-10-24,113.00,125.00,112.00,117.00,8701400,117.00
2016-10-21,114.00,117.00,112.00,113.00,1321400,113.00
2016-10-20,116.00,117.00,112.00,112.00,2414300,112.00
2016-10-19,118.00,118.00,115.00,117.00,1370600,117.00
2016-10-18,119.00,119.00,116.00,118.00,1794400,118.00
2016-10-17,119.00,121.00,119.00,119.00,1159800,119.00
2016-10-14,121.00,122.00,118.00,119.00,597300,119.00
2016-10-13,121.00,125.00,118.00,118.00,2356900,118.00
2016-10-12,121.00,126.00,120.00,121.00,1442800,121.00
2016-10-11,119.00,131.00,117.00,120.00,10162800,120.00
2016-10-10,119.00,125.00,119.00,119.00,2404300,119.00
2016-10-07,122.00,123.00,119.00,119.00,1273700,119.00
2016-10-06,124.00,124.00,121.00,123.00,1181500,123.00
2016-10-05,128.00,130.00,123.00,123.00,3582300,123.00
2016-10-04,127.00,132.00,124.00,127.00,2697200,127.00
2016-10-03,123.00,134.00,123.00,127.00,9110400,127.00
2016-09-30,121.00,131.00,121.00,122.00,11269400,122.00
2016-09-29,122.00,129.00,119.00,121.00,6935900,121.00
2016-09-28,122.00,125.00,118.00,120.00,2277400,120.00
2016-09-27,119.00,122.00,116.00,121.00,1620200,121.00
2016-09-26,123.00,126.00,119.00,119.00,2127700,119.00
2016-09-23,122.00,130.00,120.00,122.00,6433500,122.00
2016-09-22,133.00,140.00,123.00,123.00,14851500,123.00
2016-09-21,112.00,135.00,112.00,133.00,24487300,133.00
2016-09-20,111.00,117.00,111.00,111.00,3628300,111.00
2016-09-19,117.00,119.00,114.00,115.00,3424200,115.00
2016-09-16,116.00,126.00,112.00,116.00,8328700,116.00
2016-09-15,119.00,125.00,115.00,116.00,4129300,116.00
2016-09-14,130.00,130.00,110.00,116.00,4708900,116.00
2016-09-13,130.00,135.00,119.00,120.00,14328800,120.00
2016-09-12,132.00,132.00,132.00,132.00,000,132.00
2016-09-09,147.00,149.00,132.00,132.00,5930000,132.00
2016-09-08,146.00,154.00,135.00,146.00,25138000,146.00
2016-09-07,115.00,147.00,113.00,142.00,35808700,142.00
2016-09-06,127.00,129.00,124.00,124.00,3591800,124.00
2016-09-05,153.00,172.00,137.00,137.00,15176400,137.00
2016-09-02,128.00,160.00,126.00,152.00,40066000,152.00
2016-09-01,94.00,126.00,94.00,125.00,47366900,125.00
2016-08-31,88.00,100.00,88.00,94.00,12484800,94.00
2016-08-30,90.00,94.00,87.00,87.00,3902000,87.00
2016-08-29,91.00,93.00,88.00,91.00,2159800,91.00
2016-08-26,89.00,95.00,88.00,90.00,5298900,90.00
2016-08-25,101.00,102.00,90.00,90.00,8965500,90.00
2016-08-24,81.00,104.00,81.00,100.00,39969100,100.00
2016-08-23,81.00,82.00,79.00,80.00,160800,80.00
2016-08-22,80.00,82.00,80.00,81.00,473900,81.00
2016-08-19,80.00,82.00,79.00,81.00,198200,81.00
2016-08-18,79.00,83.00,79.00,80.00,2908000,80.00
2016-08-17,79.00,79.00,79.00,79.00,000,79.00
2016-08-16,79.00,80.00,78.00,79.00,140300,79.00
2016-08-15,79.00,80.00,77.00,79.00,2875800,79.00
2016-08-12,77.00,81.00,77.00,78.00,1491400,78.00
2016-08-11,78.00,85.00,76.00,78.00,3789400,78.00
2016-08-10,74.00,81.00,74.00,78.00,4259200,78.00
2016-08-09,79.00,80.00,75.00,76.00,1803000,76.00
2016-08-08,73.00,84.00,73.00,78.00,9787000,78.00
2016-08-05,73.00,75.00,72.00,74.00,653800,74.00
2016-08-04,73.00,78.00,72.00,73.00,3170200,73.00
2016-08-03,71.00,73.00,69.00,71.00,2486800,71.00
2016-08-02,68.00,71.00,68.00,69.00,1461500,69.00
2016-08-01,71.00,73.00,68.00,69.00,3558500,69.00
2016-07-29,70.00,73.00,69.00,71.00,1105100,71.00
2016-07-28,76.00,83.00,71.00,71.00,6597400,71.00
2016-07-27,66.00,85.00,65.00,76.00,32064800,76.00
2016-07-26,62.00,66.00,62.00,65.00,1002100,65.00
2016-07-25,63.00,64.00,62.00,62.00,476800,62.00
2016-07-22,62.00,66.00,62.00,63.00,932600,63.00
2016-07-21,64.00,68.00,63.00,63.00,280100,63.00
2016-07-20,64.00,68.00,62.00,64.00,1041900,64.00
2016-07-19,64.00,64.00,63.00,64.00,329000,64.00
2016-07-18,62.00,65.00,61.00,64.00,627300,64.00
2016-07-15,63.00,65.00,61.00,62.00,343500,62.00
2016-07-14,63.00,63.00,62.00,63.00,3000,63.00
2016-07-13,62.00,65.00,61.00,62.00,263600,62.00
2016-07-12,61.00,65.00,61.00,62.00,740100,62.00
2016-07-11,62.00,62.00,60.00,61.00,46700,61.00
2016-07-08,61.00,61.00,61.00,61.00,000,61.00
2016-07-07,61.00,61.00,61.00,61.00,000,61.00
2016-07-06,61.00,61.00,61.00,61.00,000,61.00
2016-07-05,61.00,61.00,61.00,61.00,000,61.00
2016-07-04,61.00,61.00,61.00,61.00,000,61.00
2016-07-01,65.00,65.00,60.00,61.00,371200,61.00
2016-06-30,61.00,62.00,61.00,61.00,4900,61.00
2016-06-28,61.00,61.00,59.00,60.00,172800,60.00
2016-06-27,61.00,63.00,60.00,60.00,406900,60.00
2016-06-24,60.00,62.00,59.00,60.00,1099000,60.00
2016-06-23,62.00,62.00,60.00,61.00,2300,61.00
2016-06-22,62.00,62.00,60.00,62.00,97200,62.00
2016-06-21,62.00,63.00,61.00,62.00,528500,62.00
2016-06-20,60.00,61.00,60.00,61.00,83600,61.00
2016-06-17,62.00,62.00,61.00,62.00,300,62.00
2016-06-16,61.00,62.00,60.00,61.00,453900,61.00
2016-06-15,61.00,62.00,60.00,61.00,165700,61.00
2016-06-14,61.00,61.00,60.00,61.00,16200,61.00
2016-06-13,60.00,61.00,60.00,61.00,133100,61.00
2016-06-10,60.00,63.00,59.00,62.00,286900,62.00
2016-06-09,62.00,63.00,61.00,63.00,160800,63.00
2016-06-08,60.00,62.00,60.00,62.00,285700,62.00
2016-06-07,61.00,62.00,60.00,61.00,187400,61.00
2016-06-06,60.00,62.00,60.00,61.00,166200,61.00
2016-06-03,62.00,62.00,60.00,60.00,182000,60.00
2016-06-02,61.00,62.00,61.00,62.00,6100,62.00
2016-06-01,60.00,63.00,60.00,62.00,88200,62.00
2016-05-31,64.00,65.00,60.00,60.00,967600,60.00
2016-05-30,60.00,66.00,60.00,62.00,1897100,62.00
2016-05-27,60.00,61.00,60.00,60.00,110600,60.00
2016-05-26,60.00,61.00,60.00,61.00,103100,61.00
2016-05-25,58.00,60.00,58.00,60.00,120500,60.00
2016-05-24,60.00,61.00,58.00,59.00,475900,59.00
2016-05-23,60.00,61.00,60.00,60.00,8300,60.00
2016-05-20,61.00,62.00,59.00,60.00,81600,60.00
2016-05-19,61.00,62.00,58.00,61.00,54400,61.00
2016-05-18,60.00,63.00,58.00,61.00,217700,61.00
2016-05-17,61.00,64.00,59.00,64.00,115400,64.00
2016-05-16,62.00,62.00,59.00,61.00,14100,61.00
2016-05-13,60.00,62.00,59.00,60.00,178600,60.00
2016-05-12,61.00,63.00,60.00,60.00,503300,60.00
2016-05-11,60.00,62.00,59.00,60.00,164800,60.00
2016-05-10,61.00,62.00,59.00,60.00,97800,60.00
2016-05-09,61.00,63.00,61.00,61.00,50200,61.00
2016-05-06,60.00,60.00,60.00,60.00,000,60.00
2016-05-05,60.00,60.00,60.00,60.00,000,60.00
2016-05-04,60.00,62.00,59.00,60.00,210700,60.00
2016-05-03,61.00,62.00,60.00,60.00,39100,60.00
2016-05-02,63.00,63.00,59.00,60.00,622700,60.00
2016-04-29,65.00,66.00,63.00,63.00,121300,63.00
2016-04-28,64.00,68.00,64.00,65.00,2286000,65.00
2016-04-27,63.00,64.00,62.00,63.00,263500,63.00
2016-04-26,62.00,64.00,61.00,63.00,267600,63.00
2016-04-25,63.00,65.00,62.00,62.00,557600,62.00
2016-04-22,63.00,68.00,62.00,63.00,1843200,63.00
2016-04-21,65.00,66.00,63.00,63.00,1873000,63.00
2016-04-12,60.00,64.00,59.00,62.00,3448300,62.00
2016-04-08,59.00,59.00,58.00,59.00,220800,59.00
2016-04-07,57.00,60.00,57.00,59.00,612300,59.00
2016-04-06,58.00,58.00,56.00,58.00,2295600,58.00
2016-04-05,58.00,59.00,57.00,58.00,178900,58.00
2016-04-04,59.00,59.00,58.00,58.00,151400,58.00
2016-04-01,60.00,61.00,58.00,58.00,481500,58.00
2016-03-31,60.00,61.00,59.00,60.00,291200,60.00
2016-03-30,63.00,63.00,58.00,60.00,426500,60.00
2016-03-29,61.00,61.00,61.00,61.00,100,61.00
2016-03-28,61.00,61.00,58.00,60.00,92000,60.00
2016-03-25,61.00,61.00,61.00,61.00,000,61.00
2016-03-24,62.00,62.00,61.00,61.00,88200,61.00
2016-03-23,61.00,62.00,61.00,61.00,456600,61.00
2016-03-22,62.00,63.00,60.00,62.00,892600,62.00
2016-03-21,60.00,63.00,60.00,62.00,680100,62.00
2016-03-18,62.00,63.00,61.00,61.00,1142400,61.00
2016-03-17,60.00,65.00,60.00,60.00,2483100,60.00
2016-03-16,58.00,63.00,57.00,60.00,3913700,60.00
2016-03-15,58.00,59.00,57.00,57.00,1263700,57.00
2016-03-10,62.00,62.00,57.00,58.00,1103700,58.00
2016-03-09,60.00,60.00,60.00,60.00,000,60.00
2016-03-08,58.00,60.00,58.00,60.00,274700,60.00
2016-03-07,58.00,64.00,57.00,58.00,2365400,58.00
2016-03-04,57.00,59.00,56.00,57.00,611600,57.00
