Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-03-29,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-03-28,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-03-27,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-03-24,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-03-23,1700.00,1700.00,1700.00,1700.00,000,1700.00
2017-03-22,1700.00,1700.00,1700.00,1700.00,400,1700.00
2017-03-21,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-20,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-17,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-16,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-15,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-14,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-13,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-10,1680.00,1680.00,1680.00,1680.00,000,1680.00
2017-03-09,1680.00,1680.00,1650.00,1680.00,600,1680.00
2017-03-08,2200.00,2200.00,1650.00,1650.00,1100,1650.00
2017-03-07,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-03-06,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-03-03,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-03-02,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-03-01,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-02-28,2200.00,2200.00,2200.00,2200.00,100,2200.00
2017-02-27,2250.00,2250.00,2250.00,2250.00,000,2250.00
2017-02-24,2250.00,2250.00,2250.00,2250.00,000,2250.00
2017-02-23,2250.00,2250.00,2250.00,2250.00,100,2250.00
2017-02-22,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-02-21,1800.00,1800.00,1800.00,1800.00,000,1800.00
