Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,50.00,50.00,50.00,50.00,30300,50.00
2017-03-29,50.00,50.00,50.00,50.00,15300,50.00
2017-03-28,50.00,50.00,50.00,50.00,000,50.00
2017-03-27,50.00,50.00,50.00,50.00,11400,50.00
2017-03-24,50.00,50.00,50.00,50.00,33000,50.00
2017-03-23,50.00,50.00,50.00,50.00,500,50.00
2017-03-22,50.00,50.00,50.00,50.00,62800,50.00
2017-03-21,50.00,50.00,50.00,50.00,13800,50.00
2017-03-20,50.00,50.00,50.00,50.00,14000,50.00
2017-03-17,50.00,50.00,50.00,50.00,12700,50.00
2017-03-16,50.00,50.00,50.00,50.00,103400,50.00
2017-03-15,50.00,50.00,50.00,50.00,692400,50.00
2017-03-14,50.00,50.00,50.00,50.00,55500,50.00
2017-03-13,50.00,50.00,50.00,50.00,6500,50.00
2017-03-10,50.00,50.00,50.00,50.00,12200,50.00
2017-03-09,50.00,50.00,50.00,50.00,403100,50.00
2017-03-08,50.00,50.00,50.00,50.00,6000,50.00
2017-03-07,50.00,50.00,50.00,50.00,71500,50.00
2017-03-06,50.00,50.00,50.00,50.00,25100,50.00
2017-03-03,50.00,50.00,50.00,50.00,4600,50.00
2017-03-02,50.00,50.00,50.00,50.00,52000,50.00
2017-03-01,50.00,50.00,50.00,50.00,10400,50.00
2017-02-28,50.00,50.00,50.00,50.00,52300,50.00
2017-02-27,50.00,50.00,50.00,50.00,11400,50.00
2017-02-24,50.00,50.00,50.00,50.00,728800,50.00
2017-02-23,50.00,50.00,50.00,50.00,33000,50.00
2017-02-22,50.00,50.00,50.00,50.00,112500,50.00
2017-02-21,50.00,51.00,50.00,50.00,4815900,50.00
2017-02-20,50.00,50.00,50.00,50.00,2595000,50.00
2017-02-17,50.00,50.00,50.00,50.00,2091600,50.00
2017-02-16,51.00,51.00,50.00,50.00,50876400,50.00
2017-02-15,51.00,51.00,51.00,51.00,000,51.00
2017-02-14,53.00,54.00,50.00,51.00,47337000,51.00
2017-02-13,56.00,58.00,52.00,53.00,87740800,53.00
2017-02-10,50.00,64.00,50.00,56.00,724178600,56.00
2017-02-09,50.00,51.00,50.00,50.00,13089400,50.00
2017-02-08,51.00,52.00,50.00,50.00,17089000,50.00
2017-02-07,50.00,52.00,50.00,51.00,8354800,51.00
2017-02-06,51.00,52.00,50.00,50.00,14972300,50.00
2017-02-03,50.00,52.00,50.00,51.00,39958900,51.00
2017-02-02,51.00,52.00,50.00,50.00,27003900,50.00
2017-02-01,50.00,54.00,50.00,51.00,185403500,51.00
2017-01-31,50.00,50.00,50.00,50.00,153600,50.00
2017-01-30,50.00,51.00,50.00,50.00,2336500,50.00
2017-01-27,50.00,50.00,50.00,50.00,1731000,50.00
2017-01-26,50.00,50.00,50.00,50.00,1270000,50.00
2017-01-25,50.00,51.00,50.00,50.00,5197900,50.00
2017-01-24,50.00,50.00,50.00,50.00,67600,50.00
2017-01-23,50.00,50.00,50.00,50.00,5518700,50.00
2017-01-20,50.00,52.00,50.00,50.00,28245200,50.00
2017-01-19,50.00,50.00,50.00,50.00,530600,50.00
2017-01-18,50.00,50.00,50.00,50.00,156500,50.00
2017-01-17,50.00,50.00,50.00,50.00,101300,50.00
2017-01-16,50.00,50.00,50.00,50.00,300,50.00
2017-01-13,50.00,50.00,50.00,50.00,300,50.00
2017-01-12,50.00,50.00,50.00,50.00,3500,50.00
2017-01-11,50.00,50.00,50.00,50.00,10100,50.00
2017-01-10,50.00,50.00,50.00,50.00,100000,50.00
2017-01-09,50.00,50.00,50.00,50.00,20100,50.00
2017-01-06,50.00,50.00,50.00,50.00,11000,50.00
2017-01-05,50.00,50.00,50.00,50.00,000,50.00
2017-01-04,50.00,50.00,50.00,50.00,30100,50.00
2017-01-03,50.00,50.00,50.00,50.00,5600,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,6685000,50.00
2016-12-29,50.00,50.00,50.00,50.00,35700,50.00
2016-12-28,50.00,50.00,50.00,50.00,800,50.00
2016-12-27,50.00,50.00,50.00,50.00,21800,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,300,50.00
2016-12-22,50.00,50.00,50.00,50.00,111000,50.00
2016-12-21,50.00,50.00,50.00,50.00,73700,50.00
2016-12-20,50.00,50.00,50.00,50.00,169800,50.00
2016-12-19,50.00,50.00,50.00,50.00,1400,50.00
2016-12-16,50.00,50.00,50.00,50.00,000,50.00
2016-12-15,50.00,50.00,50.00,50.00,1100,50.00
2016-12-14,50.00,50.00,50.00,50.00,20800,50.00
2016-12-13,50.00,50.00,50.00,50.00,81900,50.00
2016-12-12,50.00,50.00,50.00,50.00,000,50.00
2016-12-09,50.00,50.00,50.00,50.00,216800,50.00
2016-12-08,50.00,50.00,50.00,50.00,206300,50.00
2016-12-07,50.00,51.00,50.00,50.00,11020900,50.00
2016-12-06,51.00,52.00,50.00,50.00,21784200,50.00
2016-12-05,51.00,57.00,50.00,50.00,146841500,50.00
2016-12-02,50.00,51.00,50.00,50.00,11195400,50.00
2016-12-01,50.00,50.00,50.00,50.00,29700,50.00
2016-11-30,50.00,50.00,50.00,50.00,130000,50.00
2016-11-29,50.00,50.00,50.00,50.00,261000,50.00
2016-11-28,50.00,50.00,50.00,50.00,1200,50.00
2016-11-25,50.00,50.00,50.00,50.00,1784700,50.00
2016-11-24,50.00,50.00,50.00,50.00,134500,50.00
2016-11-23,50.00,50.00,50.00,50.00,25100,50.00
2016-11-22,51.00,51.00,50.00,50.00,1404700,50.00
2016-11-21,50.00,50.00,50.00,50.00,30100,50.00
2016-11-18,50.00,50.00,50.00,50.00,3002300,50.00
2016-11-17,50.00,50.00,50.00,50.00,100,50.00
2016-11-16,50.00,50.00,50.00,50.00,220000,50.00
2016-11-15,50.00,50.00,50.00,50.00,300,50.00
2016-11-14,50.00,50.00,50.00,50.00,50600,50.00
2016-11-11,50.00,50.00,50.00,50.00,50100,50.00
2016-11-10,51.00,51.00,50.00,50.00,4561200,50.00
2016-11-09,50.00,53.00,50.00,50.00,57323800,50.00
2016-11-08,51.00,51.00,50.00,50.00,5200,50.00
