Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,8000.00,8050.00,7950.00,8000.00,7205400,8000.00
2017-03-29,8050.00,8150.00,7950.00,8000.00,18234400,8000.00
2017-03-28,7950.00,7950.00,7950.00,7950.00,000,7950.00
2017-03-27,7950.00,8125.00,7950.00,7950.00,9061400,7950.00
2017-03-24,8200.00,8300.00,8025.00,8050.00,14880900,8050.00
2017-03-23,8100.00,8150.00,8025.00,8075.00,5941800,8075.00
2017-03-22,8075.00,8100.00,7975.00,8100.00,14244800,8100.00
2017-03-21,8225.00,8225.00,8000.00,8125.00,9418800,8125.00
2017-03-20,8325.00,8325.00,8100.00,8175.00,6339500,8175.00
2017-03-17,8375.00,8525.00,8275.00,8325.00,17094300,8325.00
2017-03-16,8050.00,8375.00,8050.00,8300.00,15511000,8300.00
2017-03-15,7925.00,8075.00,7925.00,7975.00,6909400,7975.00
2017-03-14,7875.00,8000.00,7875.00,7925.00,17856800,7925.00
2017-03-13,7925.00,8000.00,7875.00,7950.00,1300000,7950.00
2017-03-10,8050.00,8050.00,7875.00,7925.00,4617900,7925.00
2017-03-09,8000.00,8000.00,7925.00,8000.00,2017800,8000.00
2017-03-08,7975.00,8050.00,7950.00,7975.00,3772200,7975.00
2017-03-07,8050.00,8075.00,7975.00,8025.00,3497600,8025.00
2017-03-06,8050.00,8100.00,8025.00,8075.00,3315200,8075.00
2017-03-03,8100.00,8100.00,8000.00,8050.00,5377900,8050.00
2017-03-02,8100.00,8150.00,8025.00,8025.00,6605000,8025.00
2017-03-01,8150.00,8175.00,8000.00,8000.00,7024400,8000.00
2017-02-28,7950.00,8125.00,7950.00,8125.00,7012500,8125.00
2017-02-27,8100.00,8100.00,7975.00,7975.00,3414400,7975.00
2017-02-24,7975.00,8150.00,7975.00,8100.00,3257300,8100.00
2017-02-23,8125.00,8125.00,8000.00,8075.00,4173100,8075.00
2017-02-22,8150.00,8200.00,8075.00,8125.00,12770300,8125.00
2017-02-21,8125.00,8200.00,8100.00,8150.00,8230600,8150.00
2017-02-20,7975.00,8150.00,7975.00,8125.00,3241000,8125.00
