Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,386.00,388.00,378.00,386.00,4013000,386.00
2017-03-29,388.00,394.00,382.00,386.00,5971600,386.00
2017-03-28,386.00,386.00,386.00,386.00,000,386.00
2017-03-27,386.00,390.00,378.00,386.00,11368500,386.00
2017-03-24,392.00,406.00,384.00,386.00,20421700,386.00
2017-03-23,376.00,394.00,374.00,390.00,18131500,390.00
2017-03-22,372.00,378.00,368.00,376.00,7509100,376.00
2017-03-21,370.00,378.00,370.00,374.00,7721900,374.00
2017-03-20,370.00,378.00,370.00,370.00,7057400,370.00
2017-03-17,366.00,376.00,364.00,370.00,8911800,370.00
2017-03-16,362.00,374.00,362.00,366.00,16329300,366.00
2017-03-15,368.00,368.00,358.00,360.00,4446600,360.00
2017-03-14,364.00,378.00,362.00,366.00,7936100,366.00
2017-03-13,374.00,386.00,364.00,366.00,12688500,366.00
2017-03-10,362.00,398.00,362.00,374.00,13917700,374.00
2017-03-09,362.00,366.00,340.00,362.00,18505100,362.00
2017-03-08,342.00,346.00,342.00,344.00,4721600,344.00
2017-03-07,344.00,346.00,340.00,342.00,6124300,342.00
2017-03-06,344.00,354.00,342.00,344.00,14201900,344.00
2017-03-03,342.00,344.00,338.00,342.00,2176100,342.00
2017-03-02,330.00,346.00,328.00,344.00,5639900,344.00
2017-03-01,338.00,338.00,330.00,330.00,2540100,330.00
2017-02-28,336.00,340.00,336.00,338.00,2450000,338.00
2017-02-27,332.00,338.00,332.00,336.00,5136300,336.00
2017-02-24,328.00,332.00,328.00,332.00,2736300,332.00
2017-02-23,332.00,332.00,326.00,328.00,2040100,328.00
2017-02-22,332.00,336.00,332.00,332.00,4485300,332.00
2017-02-21,332.00,334.00,328.00,332.00,2599300,332.00
2017-02-20,332.00,334.00,332.00,332.00,2386600,332.00
2017-02-17,332.00,332.00,328.00,332.00,42700,332.00
2017-02-16,330.00,332.00,326.00,332.00,33000,332.00
2017-02-15,330.00,330.00,330.00,330.00,000,330.00
2017-02-14,328.00,330.00,324.00,330.00,51500,330.00
2017-02-13,326.00,328.00,324.00,328.00,37700,328.00
2017-02-10,330.00,330.00,326.00,326.00,200,326.00
2017-02-09,326.00,330.00,326.00,330.00,150300,330.00
2017-02-08,326.00,326.00,326.00,326.00,2500,326.00
2017-02-07,330.00,330.00,326.00,326.00,46100,326.00
2017-02-06,330.00,332.00,324.00,330.00,426700,330.00
2017-02-03,340.00,340.00,330.00,330.00,200000,330.00
2017-02-02,340.00,340.00,340.00,340.00,300,340.00
2017-02-01,338.00,342.00,334.00,342.00,140500,342.00
2017-01-31,338.00,338.00,336.00,338.00,73500,338.00
2017-01-30,346.00,346.00,332.00,340.00,523600,340.00
2017-01-27,342.00,346.00,342.00,346.00,36100,346.00
2017-01-26,340.00,352.00,336.00,346.00,1133400,346.00
2017-01-25,336.00,340.00,336.00,340.00,40600,340.00
2017-01-24,342.00,342.00,338.00,340.00,203300,340.00
2017-01-23,340.00,340.00,330.00,340.00,333900,340.00
2017-01-20,336.00,340.00,334.00,340.00,56600,340.00
2017-01-19,338.00,340.00,332.00,340.00,121800,340.00
2017-01-18,334.00,338.00,334.00,338.00,53700,338.00
2017-01-17,344.00,344.00,334.00,334.00,251500,334.00
2017-01-16,340.00,344.00,338.00,344.00,44500,344.00
