Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,6975.00,7000.00,6850.00,6975.00,183800,6975.00
2017-03-29,7000.00,7000.00,6700.00,6975.00,5444800,6975.00
2017-03-28,7000.00,7000.00,7000.00,7000.00,000,7000.00
2017-03-27,7000.00,7000.00,6925.00,7000.00,238700,7000.00
2017-03-24,6975.00,7000.00,6950.00,6975.00,68200,6975.00
2017-03-23,6975.00,7000.00,6750.00,6975.00,399700,6975.00
2017-03-22,6975.00,6975.00,6900.00,6975.00,8300,6975.00
2017-03-21,7000.00,7000.00,6750.00,7000.00,3635800,7000.00
2017-03-20,6900.00,6900.00,6875.00,6900.00,379400,6900.00
2017-03-17,7000.00,7000.00,6950.00,6975.00,921400,6975.00
2017-03-16,6950.00,7000.00,6900.00,7000.00,1478200,7000.00
2017-03-15,7050.00,7150.00,6800.00,7000.00,250000,7000.00
2017-03-14,7000.00,7025.00,6900.00,7000.00,60300,7000.00
2017-03-13,7000.00,7075.00,6900.00,7000.00,12100,7000.00
2017-03-10,6925.00,7000.00,6925.00,7000.00,50900,7000.00
2017-03-09,6975.00,7000.00,6900.00,6975.00,70400,6975.00
2017-03-08,7000.00,7025.00,6850.00,7000.00,3100,7000.00
2017-03-07,7000.00,7000.00,7000.00,7000.00,60600,7000.00
2017-03-06,7075.00,7100.00,6850.00,7025.00,1077800,7025.00
2017-03-03,7100.00,7100.00,7025.00,7075.00,26200,7075.00
2017-03-02,6975.00,7125.00,6975.00,7100.00,134200,7100.00
2017-03-01,7150.00,7150.00,7000.00,7000.00,247300,7000.00
2017-02-28,7000.00,7100.00,6900.00,7100.00,195200,7100.00
2017-02-27,7000.00,7025.00,7000.00,7000.00,274600,7000.00
2017-02-24,7000.00,7050.00,7000.00,7000.00,16600,7000.00
2017-02-23,6875.00,7100.00,6875.00,7000.00,461100,7000.00
2017-02-22,6800.00,6900.00,6750.00,6875.00,547400,6875.00
2017-02-21,6625.00,6800.00,6600.00,6800.00,2193100,6800.00
2017-02-20,6625.00,6625.00,6625.00,6625.00,1700,6625.00
2017-02-17,6600.00,6600.00,6600.00,6600.00,225900,6600.00
2017-02-16,6700.00,6700.00,6525.00,6600.00,310900,6600.00
2017-02-15,6700.00,6700.00,6700.00,6700.00,000,6700.00
2017-02-14,6500.00,6725.00,6450.00,6700.00,612500,6700.00
2017-02-13,6425.00,6525.00,6350.00,6500.00,937000,6500.00
2017-02-10,6375.00,6425.00,6350.00,6425.00,346600,6425.00
2017-02-09,6500.00,6500.00,6375.00,6375.00,11200,6375.00
2017-02-08,6425.00,6550.00,6425.00,6500.00,188000,6500.00
2017-02-07,6400.00,6450.00,6275.00,6425.00,1320200,6425.00
2017-02-06,6375.00,6400.00,6350.00,6375.00,228600,6375.00
2017-02-03,6375.00,6375.00,6250.00,6375.00,925100,6375.00
2017-02-02,6250.00,6375.00,6200.00,6375.00,22000,6375.00
2017-02-01,6450.00,6450.00,6300.00,6325.00,14300,6325.00
2017-01-31,6450.00,6450.00,6225.00,6450.00,203300,6450.00
2017-01-30,6200.00,6300.00,6200.00,6300.00,79700,6300.00
2017-01-27,6250.00,6250.00,6200.00,6200.00,35800,6200.00
2017-01-26,6200.00,6300.00,6200.00,6250.00,65600,6250.00
2017-01-25,6250.00,6250.00,6200.00,6200.00,34200,6200.00
2017-01-24,6150.00,6300.00,6150.00,6250.00,59400,6250.00
2017-01-23,6125.00,6150.00,6125.00,6150.00,5500,6150.00
2017-01-20,6100.00,6125.00,6100.00,6125.00,18800,6125.00
2017-01-19,6100.00,6100.00,6050.00,6100.00,79900,6100.00
2017-01-18,6050.00,6100.00,6050.00,6100.00,47200,6100.00
2017-01-17,6175.00,6175.00,6050.00,6050.00,10800,6050.00
2017-01-16,6175.00,6175.00,6150.00,6175.00,107200,6175.00
2017-01-13,6050.00,6200.00,6050.00,6175.00,904500,6175.00
2017-01-12,6200.00,6200.00,6175.00,6175.00,126000,6175.00
2017-01-11,6050.00,6225.00,6050.00,6200.00,189900,6200.00
2017-01-10,6075.00,6100.00,6050.00,6050.00,34800,6050.00
2017-01-09,6025.00,6100.00,6025.00,6075.00,279900,6075.00
2017-01-06,6000.00,6025.00,5975.00,6025.00,322400,6025.00
2017-01-05,6200.00,6200.00,6000.00,6000.00,311200,6000.00
2017-01-04,6300.00,6300.00,6100.00,6100.00,95100,6100.00
2017-01-03,6450.00,6450.00,6200.00,6300.00,477600,6300.00
2017-01-02,6450.00,6450.00,6450.00,6450.00,000,6450.00
2016-12-30,6450.00,6550.00,6450.00,6450.00,581500,6450.00
2016-12-29,6300.00,6475.00,6125.00,6450.00,778100,6450.00
2016-12-28,6250.00,6300.00,6100.00,6300.00,1322100,6300.00
2016-12-27,6300.00,6300.00,6150.00,6250.00,277900,6250.00
2016-12-26,6275.00,6275.00,6275.00,6275.00,000,6275.00
2016-12-23,6250.00,6275.00,6175.00,6275.00,30300,6275.00
2016-12-22,6175.00,6175.00,6000.00,6175.00,18300,6175.00
2016-12-21,6200.00,6200.00,6000.00,6125.00,10400,6125.00
2016-12-20,6050.00,6400.00,6000.00,6200.00,1352400,6200.00
2016-12-19,6100.00,6100.00,6000.00,6050.00,76700,6050.00
2016-12-16,6200.00,6200.00,6050.00,6150.00,261200,6150.00
2016-12-15,6400.00,6400.00,6150.00,6200.00,47400,6200.00
2016-12-14,6350.00,6450.00,6250.00,6275.00,17700,6275.00
2016-12-13,6275.00,6350.00,6275.00,6275.00,56000,6275.00
2016-12-12,6275.00,6275.00,6275.00,6275.00,000,6275.00
2016-12-09,6275.00,6300.00,6275.00,6275.00,113700,6275.00
2016-12-08,6450.00,6450.00,6250.00,6275.00,273000,6275.00
2016-12-07,6325.00,6500.00,6325.00,6350.00,1539500,6350.00
2016-12-06,6300.00,6400.00,6275.00,6300.00,1104600,6300.00
2016-12-05,6300.00,6325.00,6250.00,6300.00,1369500,6300.00
2016-12-02,6250.00,6300.00,6250.00,6300.00,20400,6300.00
2016-12-01,6400.00,6400.00,6200.00,6275.00,149800,6275.00
2016-11-30,6200.00,6400.00,6200.00,6400.00,20300,6400.00
2016-11-29,6200.00,6200.00,6200.00,6200.00,1900,6200.00
2016-11-28,6150.00,6200.00,6150.00,6200.00,61700,6200.00
2016-11-25,6200.00,6200.00,6150.00,6150.00,66700,6150.00
2016-11-24,6300.00,6300.00,6100.00,6100.00,20600,6100.00
2016-11-23,6175.00,6300.00,6175.00,6300.00,1561000,6300.00
2016-11-22,6100.00,6200.00,6100.00,6150.00,57700,6150.00
2016-11-21,6250.00,6250.00,6150.00,6225.00,388000,6225.00
2016-11-18,6250.00,6300.00,6225.00,6250.00,497600,6250.00
2016-11-17,6250.00,6300.00,6250.00,6250.00,745000,6250.00
2016-11-16,6200.00,6450.00,6100.00,6200.00,1972700,6200.00
2016-11-15,6100.00,6425.00,6025.00,6200.00,370800,6200.00
2016-11-14,6300.00,6300.00,6100.00,6100.00,230700,6100.00
2016-11-11,6350.00,6500.00,6300.00,6350.00,169900,6350.00
2016-11-10,6400.00,6500.00,6400.00,6450.00,149600,6450.00
2016-11-09,6450.00,6450.00,6250.00,6400.00,43000,6400.00
2016-11-08,6425.00,6500.00,6400.00,6450.00,445700,6450.00
2016-11-07,6350.00,6400.00,6350.00,6375.00,21400,6375.00
2016-11-04,6500.00,6500.00,6350.00,6350.00,13500,6350.00
2016-11-03,6625.00,6625.00,6425.00,6500.00,46400,6500.00
2016-11-02,6600.00,6650.00,6400.00,6625.00,121800,6625.00
2016-11-01,6600.00,6600.00,6550.00,6600.00,1043200,6600.00
2016-10-31,6450.00,6600.00,6450.00,6600.00,447500,6600.00
2016-10-28,6400.00,6500.00,6400.00,6450.00,434800,6450.00
2016-10-27,6300.00,6425.00,6300.00,6400.00,1059700,6400.00
2016-10-26,6275.00,6300.00,6275.00,6300.00,14100,6300.00
2016-10-25,6400.00,6400.00,6250.00,6300.00,560200,6300.00
2016-10-24,6400.00,6425.00,6375.00,6400.00,263500,6400.00
2016-10-21,6400.00,6450.00,6400.00,6400.00,330700,6400.00
2016-10-20,6400.00,6425.00,6400.00,6400.00,1103200,6400.00
2016-10-19,6400.00,6425.00,6375.00,6400.00,1002500,6400.00
2016-10-18,6400.00,6450.00,6375.00,6400.00,613900,6400.00
2016-10-17,6450.00,6450.00,6400.00,6425.00,604300,6425.00
2016-10-14,6375.00,6450.00,6375.00,6425.00,636900,6425.00
2016-10-13,6375.00,6375.00,6350.00,6375.00,982500,6375.00
2016-10-12,6400.00,6400.00,6350.00,6375.00,27600,6375.00
2016-10-11,6350.00,6375.00,6325.00,6375.00,616300,6375.00
2016-10-10,6350.00,6350.00,6300.00,6350.00,2443200,6350.00
2016-10-07,6350.00,6375.00,6300.00,6350.00,3848100,6350.00
2016-10-06,6350.00,6400.00,6300.00,6350.00,673800,6350.00
2016-10-05,6400.00,6400.00,6250.00,6350.00,640200,6350.00
2016-10-04,6300.00,6400.00,6275.00,6400.00,2255400,6400.00
2016-10-03,6000.00,6300.00,6000.00,6300.00,1653300,6300.00
2016-09-30,6000.00,6100.00,5900.00,6025.00,675500,6025.00
2016-09-29,5875.00,6100.00,5875.00,6000.00,276700,6000.00
2016-09-28,5600.00,5875.00,5600.00,5850.00,278500,5850.00
2016-09-27,5700.00,5700.00,5575.00,5625.00,300200,5625.00
2016-09-26,5650.00,5700.00,5550.00,5700.00,578900,5700.00
2016-09-23,5575.00,5600.00,5475.00,5575.00,215100,5575.00
2016-09-22,5325.00,5450.00,5325.00,5450.00,321300,5450.00
2016-09-21,5325.00,5400.00,5275.00,5325.00,756100,5325.00
2016-09-20,5275.00,5325.00,5225.00,5250.00,366100,5250.00
2016-09-19,5375.00,5400.00,5225.00,5275.00,101400,5275.00
2016-09-16,5450.00,5575.00,5175.00,5375.00,633800,5375.00
2016-09-15,5700.00,5800.00,5450.00,5450.00,801800,5450.00
2016-09-14,5450.00,5675.00,5350.00,5675.00,435900,5675.00
2016-09-13,5200.00,5400.00,5150.00,5400.00,724700,5400.00
2016-09-12,5200.00,5200.00,5200.00,5200.00,000,5200.00
2016-09-09,5300.00,5300.00,5150.00,5200.00,745200,5200.00
2016-09-08,5500.00,5500.00,5275.00,5300.00,608300,5300.00
2016-09-07,5575.00,5575.00,5450.00,5500.00,1022900,5500.00
2016-09-06,5625.00,5725.00,5500.00,5575.00,980700,5575.00
2016-09-05,5850.00,5900.00,5425.00,5775.00,2463500,5775.00
2016-09-02,6025.00,6025.00,5775.00,5800.00,531800,5800.00
2016-09-01,6200.00,6200.00,6025.00,6025.00,30100,6025.00
2016-08-31,6000.00,6200.00,5900.00,6200.00,413000,6200.00
2016-08-30,6100.00,6125.00,5950.00,6000.00,388000,6000.00
2016-08-29,6150.00,6150.00,6000.00,6000.00,137300,6000.00
2016-08-26,6250.00,6250.00,6100.00,6200.00,211800,6200.00
2016-08-25,6025.00,6250.00,6000.00,6250.00,516700,6250.00
2016-08-24,6250.00,6250.00,6000.00,6025.00,640600,6025.00
2016-08-23,6275.00,6350.00,5950.00,6150.00,1089300,6150.00
2016-08-22,6300.00,6350.00,6225.00,6250.00,328500,6250.00
2016-08-19,6425.00,6450.00,6275.00,6300.00,530000,6300.00
2016-08-18,6575.00,6575.00,6300.00,6425.00,1060800,6425.00
2016-08-17,6600.00,6600.00,6600.00,6600.00,000,6600.00
2016-08-16,6600.00,6625.00,6375.00,6600.00,231600,6600.00
2016-08-15,6625.00,6625.00,6250.00,6600.00,1712700,6600.00
2016-08-12,6600.00,6675.00,6550.00,6625.00,3009300,6625.00
2016-08-11,6525.00,6600.00,6525.00,6575.00,491800,6575.00
2016-08-10,6300.00,6575.00,6300.00,6525.00,1353900,6525.00
2016-08-09,6600.00,6600.00,6225.00,6225.00,658600,6225.00
2016-08-08,6600.00,6625.00,6400.00,6475.00,693400,6475.00
2016-08-05,6575.00,6700.00,6475.00,6500.00,631100,6500.00
2016-08-04,6575.00,6650.00,6525.00,6575.00,260000,6575.00
2016-08-03,6700.00,6900.00,6650.00,6675.00,218500,6675.00
2016-08-02,6850.00,6850.00,6675.00,6700.00,330600,6700.00
2016-08-01,6850.00,6850.00,6700.00,6775.00,280300,6775.00
2016-07-29,6900.00,6900.00,6750.00,6850.00,683800,6850.00
2016-07-28,7000.00,7100.00,6800.00,7000.00,197300,7000.00
