Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,218.00,222.00,218.00,218.00,721100,218.00
2017-03-29,224.00,224.00,210.00,218.00,1032200,218.00
2017-03-28,224.00,224.00,224.00,224.00,000,224.00
2017-03-27,224.00,228.00,220.00,224.00,1678800,224.00
2017-03-24,228.00,228.00,224.00,224.00,282200,224.00
2017-03-23,224.00,228.00,224.00,226.00,852100,226.00
2017-03-22,226.00,226.00,222.00,224.00,958500,224.00
2017-03-21,226.00,226.00,222.00,226.00,1090600,226.00
2017-03-20,222.00,228.00,222.00,226.00,500800,226.00
2017-03-17,222.00,224.00,218.00,222.00,1408200,222.00
2017-03-16,222.00,222.00,218.00,222.00,825000,222.00
2017-03-15,228.00,228.00,216.00,222.00,10587900,222.00
2017-03-14,230.00,236.00,226.00,228.00,8753500,228.00
2017-03-13,222.00,234.00,220.00,230.00,16498500,230.00
2017-03-10,222.00,224.00,218.00,222.00,9632900,222.00
2017-03-09,222.00,224.00,218.00,222.00,3160400,222.00
2017-03-08,230.00,232.00,222.00,224.00,2947600,224.00
2017-03-07,230.00,230.00,226.00,230.00,663900,230.00
2017-03-06,228.00,230.00,226.00,230.00,664300,230.00
2017-03-03,234.00,234.00,228.00,228.00,1592800,228.00
2017-03-02,232.00,234.00,228.00,234.00,2572400,234.00
2017-03-01,234.00,234.00,230.00,232.00,7118700,232.00
2017-02-28,234.00,234.00,228.00,234.00,4142700,234.00
2017-02-27,234.00,236.00,230.00,236.00,4184100,236.00
2017-02-24,236.00,236.00,228.00,234.00,4176100,234.00
2017-02-23,236.00,238.00,230.00,236.00,14314200,236.00
2017-02-22,232.00,236.00,226.00,236.00,14752500,236.00
2017-02-21,234.00,236.00,226.00,232.00,8661200,232.00
2017-02-20,232.00,236.00,230.00,236.00,7577700,236.00
2017-02-17,238.00,238.00,228.00,232.00,6348700,232.00
2017-02-16,236.00,238.00,232.00,238.00,9239100,238.00
2017-02-15,236.00,236.00,236.00,236.00,000,236.00
