Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,230.00,230.00,200.00,230.00,23000,230.00
2017-03-29,202.00,216.00,191.00,216.00,4000,216.00
2017-03-28,200.00,200.00,200.00,200.00,000,200.00
2017-03-27,200.00,218.00,195.00,200.00,800,200.00
2017-03-24,206.00,206.00,198.00,200.00,1100,200.00
2017-03-23,195.00,218.00,195.00,196.00,18500,196.00
2017-03-22,200.00,206.00,200.00,204.00,102700,204.00
2017-03-21,204.00,216.00,200.00,206.00,160300,206.00
2017-03-20,202.00,214.00,200.00,212.00,17300,212.00
2017-03-17,210.00,218.00,195.00,218.00,2900,218.00
2017-03-16,200.00,210.00,200.00,210.00,47200,210.00
2017-03-15,191.00,210.00,191.00,210.00,22200,210.00
2017-03-14,191.00,202.00,191.00,193.00,129900,193.00
2017-03-13,220.00,220.00,200.00,206.00,51100,206.00
2017-03-10,220.00,220.00,220.00,220.00,200,220.00
2017-03-09,216.00,216.00,204.00,216.00,300,216.00
2017-03-08,220.00,220.00,200.00,212.00,30900,212.00
2017-03-07,220.00,220.00,204.00,220.00,4200,220.00
2017-03-06,220.00,220.00,204.00,206.00,25800,206.00
2017-03-03,204.00,220.00,204.00,206.00,1100,206.00
2017-03-02,200.00,212.00,200.00,210.00,7100,210.00
2017-03-01,206.00,212.00,206.00,212.00,200,212.00
2017-02-28,212.00,212.00,204.00,212.00,9700,212.00
2017-02-27,220.00,220.00,204.00,212.00,47600,212.00
2017-02-24,212.00,212.00,208.00,210.00,6200,210.00
2017-02-23,212.00,216.00,212.00,212.00,13100,212.00
2017-02-22,220.00,220.00,210.00,212.00,31300,212.00
2017-02-21,224.00,224.00,216.00,222.00,80700,222.00
2017-02-20,222.00,236.00,218.00,224.00,35100,224.00
2017-02-17,230.00,234.00,220.00,224.00,29100,224.00
2017-02-16,234.00,238.00,224.00,230.00,2000,230.00
2017-02-15,234.00,234.00,234.00,234.00,000,234.00
2017-02-14,234.00,240.00,220.00,234.00,68600,234.00
2017-02-13,240.00,240.00,228.00,234.00,14600,234.00
2017-02-10,236.00,240.00,236.00,240.00,33000,240.00
2017-02-09,226.00,236.00,226.00,236.00,25400,236.00
2017-02-08,244.00,244.00,220.00,226.00,4700,226.00
2017-02-07,238.00,240.00,238.00,240.00,5100,240.00
