Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,410.00,450.00,380.00,410.00,239400,410.00
2017-03-29,350.00,384.00,350.00,384.00,300,384.00
2017-03-28,360.00,360.00,360.00,360.00,000,360.00
2017-03-27,360.00,360.00,360.00,360.00,100,360.00
2017-03-24,360.00,360.00,360.00,360.00,22300,360.00
2017-03-23,364.00,378.00,358.00,360.00,20000,360.00
2017-03-22,346.00,368.00,346.00,364.00,52000,364.00
2017-03-21,348.00,348.00,348.00,348.00,100,348.00
2017-03-20,348.00,348.00,342.00,342.00,2000,342.00
2017-03-17,336.00,350.00,336.00,350.00,47700,350.00
2017-03-16,336.00,336.00,336.00,336.00,000,336.00
2017-03-15,336.00,336.00,336.00,336.00,000,336.00
2017-03-14,350.00,350.00,336.00,336.00,10100,336.00
2017-03-13,350.00,350.00,346.00,350.00,91600,350.00
2017-03-10,344.00,350.00,344.00,350.00,154000,350.00
2017-03-09,344.00,344.00,344.00,344.00,2300,344.00
2017-03-08,338.00,360.00,338.00,360.00,40100,360.00
2017-03-07,338.00,338.00,338.00,338.00,10000,338.00
2017-03-06,340.00,340.00,336.00,336.00,21200,336.00
2017-03-03,340.00,340.00,338.00,338.00,19700,338.00
2017-03-02,340.00,340.00,340.00,340.00,000,340.00
2017-03-01,340.00,340.00,340.00,340.00,000,340.00
2017-02-28,340.00,340.00,340.00,340.00,52300,340.00
2017-02-27,354.00,354.00,354.00,354.00,000,354.00
2017-02-24,354.00,354.00,354.00,354.00,000,354.00
2017-02-23,354.00,354.00,354.00,354.00,100,354.00
2017-02-22,342.00,342.00,334.00,334.00,20400,334.00
2017-02-21,354.00,354.00,342.00,342.00,12800,342.00
2017-02-20,354.00,354.00,354.00,354.00,1000,354.00
2017-02-17,340.00,340.00,336.00,336.00,3500,336.00
2017-02-16,354.00,354.00,340.00,340.00,1100,340.00
2017-02-15,354.00,354.00,354.00,354.00,000,354.00
2017-02-14,356.00,356.00,354.00,354.00,1200,354.00
2017-02-13,356.00,356.00,356.00,356.00,500,356.00
2017-02-10,330.00,356.00,322.00,356.00,4100,356.00
2017-02-09,356.00,356.00,330.00,330.00,200,330.00
2017-02-08,356.00,356.00,356.00,356.00,200,356.00
2017-02-07,358.00,358.00,358.00,358.00,100,358.00
2017-02-06,358.00,358.00,330.00,332.00,12900,332.00
2017-02-03,330.00,358.00,330.00,358.00,100,358.00
2017-02-02,332.00,332.00,330.00,330.00,300,330.00
2017-02-01,358.00,358.00,356.00,356.00,100,356.00
2017-01-31,358.00,358.00,358.00,358.00,000,358.00
2017-01-30,358.00,358.00,358.00,358.00,000,358.00
2017-01-27,358.00,358.00,358.00,358.00,000,358.00
2017-01-26,358.00,358.00,358.00,358.00,000,358.00
2017-01-25,358.00,358.00,358.00,358.00,000,358.00
2017-01-24,358.00,358.00,358.00,358.00,000,358.00
2017-01-23,330.00,358.00,330.00,358.00,100,358.00
2017-01-20,330.00,330.00,330.00,330.00,400,330.00
2017-01-19,330.00,330.00,330.00,330.00,000,330.00
2017-01-18,340.00,340.00,330.00,330.00,31000,330.00
2017-01-17,332.00,340.00,332.00,340.00,1000,340.00
2017-01-16,332.00,332.00,332.00,332.00,000,332.00
2017-01-13,334.00,334.00,332.00,332.00,7600,332.00
2017-01-12,340.00,340.00,340.00,340.00,65000,340.00
2017-01-11,340.00,350.00,340.00,340.00,20500,340.00
2017-01-10,348.00,348.00,340.00,340.00,11400,340.00
2017-01-09,362.00,362.00,348.00,348.00,18300,348.00
2017-01-06,346.00,362.00,330.00,362.00,19600,362.00
2017-01-05,340.00,380.00,340.00,380.00,800,380.00
2017-01-04,358.00,360.00,340.00,358.00,46400,358.00
2017-01-03,356.00,358.00,356.00,358.00,200,358.00
2017-01-02,350.00,350.00,350.00,350.00,000,350.00
2016-12-30,350.00,350.00,350.00,350.00,1200,350.00
2016-12-29,350.00,382.00,350.00,382.00,2600,382.00
2016-12-28,320.00,320.00,320.00,320.00,500,320.00
2016-12-27,320.00,320.00,320.00,320.00,000,320.00
2016-12-26,320.00,320.00,320.00,320.00,000,320.00
