Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,340.00,340.00,340.00,340.00,100,340.00
2017-03-29,370.00,370.00,370.00,370.00,100,370.00
2017-03-28,360.00,360.00,360.00,360.00,000,360.00
2017-03-27,360.00,370.00,360.00,360.00,200,360.00
2017-03-24,338.00,338.00,338.00,338.00,100,338.00
2017-03-23,338.00,338.00,338.00,338.00,000,338.00
2017-03-22,340.00,340.00,338.00,338.00,200,338.00
2017-03-21,370.00,370.00,340.00,340.00,600,340.00
2017-03-20,340.00,340.00,340.00,340.00,100,340.00
2017-03-17,320.00,320.00,320.00,320.00,000,320.00
2017-03-16,320.00,320.00,320.00,320.00,000,320.00
2017-03-15,320.00,320.00,320.00,320.00,100,320.00
2017-03-14,336.00,336.00,320.00,320.00,200,320.00
2017-03-13,316.00,316.00,316.00,316.00,3000,316.00
2017-03-10,320.00,320.00,310.00,316.00,3000,316.00
2017-03-09,288.00,320.00,288.00,288.00,2800,288.00
2017-03-08,250.00,270.00,240.00,270.00,21700,270.00
2017-03-07,250.00,250.00,250.00,250.00,100,250.00
2017-03-06,246.00,320.00,246.00,318.00,18700,318.00
2017-03-03,326.00,326.00,326.00,326.00,100,326.00
2017-03-02,330.00,330.00,330.00,330.00,000,330.00
2017-03-01,330.00,330.00,330.00,330.00,000,330.00
2017-02-28,300.00,370.00,300.00,330.00,6500,330.00
2017-02-27,230.00,310.00,230.00,300.00,1200,300.00
2017-02-24,250.00,250.00,250.00,250.00,5100,250.00
2017-02-23,246.00,320.00,246.00,320.00,62400,320.00
2017-02-22,368.00,368.00,294.00,318.00,10200,318.00
2017-02-21,390.00,390.00,350.00,390.00,102800,390.00
2017-02-20,390.00,390.00,390.00,390.00,000,390.00
2017-02-17,370.00,390.00,370.00,390.00,100,390.00
2017-02-16,350.00,370.00,350.00,370.00,100,370.00
2017-02-15,350.00,350.00,350.00,350.00,000,350.00
2017-02-14,330.00,350.00,330.00,350.00,100,350.00
2017-02-13,270.00,330.00,270.00,330.00,100,330.00
2017-02-10,252.00,270.00,240.00,270.00,9100,270.00
2017-02-09,310.00,330.00,242.00,252.00,27000,252.00
2017-02-08,340.00,340.00,250.00,310.00,400,310.00
2017-02-07,370.00,370.00,330.00,330.00,2100,330.00
2017-02-06,310.00,310.00,240.00,298.00,5300,298.00
2017-02-03,310.00,310.00,310.00,310.00,000,310.00
2017-02-02,310.00,310.00,310.00,310.00,000,310.00
2017-02-01,310.00,310.00,310.00,310.00,100,310.00
2017-01-31,310.00,310.00,310.00,310.00,600,310.00
2017-01-30,290.00,290.00,290.00,290.00,000,290.00
2017-01-27,310.00,310.00,290.00,290.00,500,290.00
2017-01-26,288.00,288.00,288.00,288.00,000,288.00
2017-01-25,260.00,290.00,260.00,288.00,5600,288.00
2017-01-24,250.00,250.00,250.00,250.00,5200,250.00
2017-01-23,230.00,230.00,230.00,230.00,000,230.00
2017-01-20,230.00,230.00,230.00,230.00,400,230.00
2017-01-19,230.00,230.00,230.00,230.00,000,230.00
2017-01-18,220.00,230.00,220.00,230.00,900,230.00
2017-01-17,212.00,220.00,212.00,220.00,100000,220.00
2017-01-16,212.00,212.00,212.00,212.00,000,212.00
2017-01-13,212.00,212.00,212.00,212.00,000,212.00
2017-01-12,212.00,212.00,212.00,212.00,000,212.00
2017-01-11,280.00,280.00,212.00,212.00,100,212.00
2017-01-10,300.00,300.00,280.00,280.00,100,280.00
2017-01-09,270.00,300.00,210.00,300.00,21800,300.00
2017-01-06,230.00,270.00,222.00,270.00,8400,270.00
2017-01-05,280.00,280.00,280.00,280.00,000,280.00
2017-01-04,280.00,280.00,280.00,280.00,000,280.00
2017-01-03,280.00,280.00,280.00,280.00,100,280.00
2017-01-02,300.00,300.00,300.00,300.00,000,300.00
2016-12-30,300.00,300.00,300.00,300.00,000,300.00
2016-12-29,300.00,300.00,300.00,300.00,000,300.00
2016-12-28,300.00,300.00,300.00,300.00,000,300.00
2016-12-27,300.00,300.00,300.00,300.00,000,300.00
2016-12-26,300.00,300.00,300.00,300.00,000,300.00
2016-12-23,300.00,300.00,300.00,300.00,000,300.00
2016-12-22,300.00,300.00,300.00,300.00,000,300.00
2016-12-21,300.00,300.00,300.00,300.00,000,300.00
2016-12-20,300.00,318.00,270.00,300.00,8900,300.00
2016-12-19,300.00,300.00,300.00,300.00,200,300.00
2016-12-16,300.00,300.00,300.00,300.00,000,300.00
2016-12-15,386.00,386.00,300.00,300.00,60300,300.00
2016-12-14,320.00,370.00,320.00,320.00,1600,320.00
2016-12-13,320.00,340.00,300.00,300.00,1100,300.00
2016-12-12,320.00,320.00,320.00,320.00,000,320.00
2016-12-09,320.00,320.00,320.00,320.00,100,320.00
2016-12-08,358.00,358.00,310.00,310.00,200,310.00
2016-12-07,360.00,360.00,262.00,288.00,9900,288.00
2016-12-06,338.00,338.00,290.00,290.00,500,290.00
2016-12-05,246.00,272.00,226.00,272.00,50100,272.00
2016-12-02,226.00,226.00,226.00,226.00,100,226.00
2016-12-01,230.00,286.00,230.00,250.00,19200,250.00
2016-11-30,230.00,230.00,230.00,230.00,000,230.00
