Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,13125.00,13200.00,12900.00,13125.00,11208300,13125.00
2017-03-29,13500.00,13650.00,13075.00,13325.00,7461000,13325.00
2017-03-28,13550.00,13550.00,13550.00,13550.00,000,13550.00
2017-03-27,13550.00,13850.00,13525.00,13550.00,2950600,13550.00
2017-03-24,14250.00,14250.00,13700.00,13900.00,6325700,13900.00
2017-03-23,14300.00,14325.00,14125.00,14250.00,5230600,14250.00
2017-03-22,13850.00,14350.00,13850.00,14350.00,9229400,14350.00
2017-03-21,13850.00,14175.00,13750.00,14075.00,6452300,14075.00
2017-03-20,13700.00,13850.00,13700.00,13750.00,5002100,13750.00
2017-03-17,13775.00,13950.00,13575.00,13850.00,65263500,13850.00
2017-03-16,13300.00,13575.00,13250.00,13525.00,9174700,13525.00
2017-03-15,13100.00,13300.00,13100.00,13225.00,7465000,13225.00
2017-03-14,13175.00,13300.00,13075.00,13150.00,10838300,13150.00
2017-03-13,13200.00,13200.00,13025.00,13050.00,6561600,13050.00
2017-03-10,13225.00,13250.00,13000.00,13200.00,7294400,13200.00
2017-03-09,13225.00,13250.00,13025.00,13225.00,3998500,13225.00
2017-03-08,13050.00,13375.00,13025.00,13050.00,17529800,13050.00
2017-03-07,12800.00,13275.00,12750.00,13200.00,18335700,13200.00
2017-03-06,13000.00,13150.00,13000.00,13075.00,13717700,13075.00
2017-03-03,12775.00,13225.00,12725.00,13100.00,17349100,13100.00
2017-03-02,12200.00,13025.00,12175.00,12925.00,58357700,12925.00
2017-03-01,13200.00,13200.00,11175.00,11725.00,57552500,11725.00
2017-02-28,13950.00,13950.00,13650.00,13650.00,10387400,13650.00
2017-02-27,13775.00,14300.00,13775.00,14000.00,7024400,14000.00
2017-02-24,14725.00,14775.00,14275.00,14400.00,8474400,14400.00
2017-02-23,14950.00,15050.00,14800.00,14975.00,3891700,14975.00
2017-02-22,14500.00,14900.00,14475.00,14750.00,4790000,14750.00
2017-02-21,14400.00,14550.00,14300.00,14475.00,4008300,14475.00
2017-02-20,14125.00,14425.00,14050.00,14275.00,5854100,14275.00
2017-02-17,14650.00,14800.00,14175.00,14275.00,10189200,14275.00
2017-02-16,15100.00,15175.00,14700.00,14800.00,14042700,14800.00
2017-02-15,15150.00,15150.00,15150.00,15150.00,000,15150.00
2017-02-14,15350.00,15350.00,15125.00,15150.00,2558100,15150.00
2017-02-13,15025.00,15500.00,15025.00,15150.00,2946100,15150.00
2017-02-10,15400.00,15525.00,15250.00,15325.00,6638100,15325.00
2017-02-09,15325.00,15400.00,15200.00,15325.00,2491900,15325.00
2017-02-08,15300.00,15450.00,15250.00,15325.00,11710700,15325.00
2017-02-07,15225.00,15400.00,15075.00,15250.00,9341900,15250.00
2017-02-06,15150.00,15300.00,15125.00,15150.00,7107300,15150.00
2017-02-03,15000.00,15200.00,15000.00,15125.00,6419400,15125.00
2017-02-02,14600.00,15100.00,14600.00,14950.00,5954700,14950.00
2017-02-01,14975.00,14975.00,14725.00,14775.00,4976400,14775.00
2017-01-31,14775.00,15050.00,14775.00,14775.00,3972600,14775.00
2017-01-30,14925.00,15100.00,14900.00,14975.00,1706000,14975.00
2017-01-27,15200.00,15200.00,14950.00,14950.00,2339300,14950.00
2017-01-26,15150.00,15225.00,14950.00,15100.00,2476800,15100.00
2017-01-25,15300.00,15300.00,14950.00,15150.00,3185900,15150.00
2017-01-24,14900.00,15100.00,14825.00,15025.00,2420700,15025.00
2017-01-23,14800.00,14900.00,14650.00,14875.00,2981900,14875.00
2017-01-20,14800.00,14900.00,14700.00,14875.00,3484700,14875.00
2017-01-19,14800.00,14950.00,14700.00,14900.00,4535700,14900.00
2017-01-18,14550.00,14800.00,14550.00,14700.00,5740100,14700.00
2017-01-17,15000.00,15025.00,14875.00,14925.00,2288600,14925.00
2017-01-16,15200.00,15200.00,14925.00,14925.00,4122700,14925.00
2017-01-13,15350.00,15350.00,15100.00,15150.00,4047600,15150.00
2017-01-12,15450.00,15450.00,15225.00,15250.00,1416200,15250.00
2017-01-11,15850.00,15850.00,15175.00,15325.00,6485600,15325.00
2017-01-10,15575.00,15775.00,15200.00,15675.00,7130300,15675.00
2017-01-09,15850.00,15850.00,15475.00,15575.00,6005200,15575.00
2017-01-06,15525.00,15875.00,15525.00,15800.00,6418800,15800.00
2017-01-05,15200.00,15900.00,15175.00,15525.00,17011600,15525.00
2017-01-04,15075.00,15150.00,14725.00,15150.00,3107000,15150.00
2017-01-03,15400.00,15400.00,14875.00,15050.00,1515700,15050.00
2017-01-02,15125.00,15125.00,15125.00,15125.00,000,15125.00
2016-12-30,15100.00,15325.00,15075.00,15125.00,2513200,15125.00
2016-12-29,14725.00,15225.00,14725.00,15100.00,5647700,15100.00
2016-12-28,14450.00,15100.00,14450.00,14725.00,5037500,14725.00
2016-12-27,14500.00,14575.00,14025.00,14025.00,2723900,14025.00
2016-12-26,14275.00,14275.00,14275.00,14275.00,000,14275.00
2016-12-23,14400.00,14475.00,14200.00,14275.00,4315100,14275.00
2016-12-22,14500.00,14675.00,14350.00,14450.00,5583400,14450.00
2016-12-21,14700.00,14700.00,14400.00,14500.00,4865900,14500.00
2016-12-20,14850.00,14925.00,14325.00,14475.00,5478600,14475.00
2016-12-19,14600.00,15125.00,14575.00,14950.00,6251200,14950.00
2016-12-16,14400.00,14650.00,14400.00,14500.00,5839500,14500.00
2016-12-15,14100.00,14450.00,14100.00,14400.00,6716500,14400.00
2016-12-14,14775.00,14950.00,14400.00,14425.00,5571000,14425.00
2016-12-13,15050.00,15275.00,14700.00,14800.00,5621500,14800.00
2016-12-12,15400.00,15400.00,15400.00,15400.00,000,15400.00
