Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,172.00,172.00,172.00,172.00,2000,172.00
2017-03-29,176.00,176.00,172.00,172.00,10000,172.00
2017-03-28,178.00,178.00,178.00,178.00,000,178.00
2017-03-27,178.00,178.00,178.00,178.00,100,178.00
2017-03-24,178.00,184.00,178.00,178.00,1000,178.00
2017-03-23,178.00,178.00,178.00,178.00,000,178.00
2017-03-22,178.00,178.00,178.00,178.00,600,178.00
2017-03-21,177.00,177.00,177.00,177.00,1000,177.00
2017-03-20,179.00,179.00,178.00,178.00,70800,178.00
2017-03-17,170.00,176.00,170.00,176.00,1500,176.00
2017-03-16,170.00,170.00,170.00,170.00,1000,170.00
2017-03-15,170.00,178.00,162.00,178.00,113500,178.00
2017-03-14,178.00,178.00,178.00,178.00,100,178.00
2017-03-13,171.00,172.00,171.00,171.00,102700,171.00
2017-03-10,172.00,172.00,170.00,171.00,33400,171.00
2017-03-09,172.00,172.00,172.00,172.00,232700,172.00
2017-03-08,179.00,180.00,179.00,179.00,2300,179.00
2017-03-07,170.00,180.00,170.00,179.00,314800,179.00
2017-03-06,170.00,170.00,170.00,170.00,10000,170.00
2017-03-03,190.00,190.00,190.00,190.00,000,190.00
2017-03-02,190.00,190.00,190.00,190.00,000,190.00
2017-03-01,190.00,190.00,190.00,190.00,50000,190.00
2017-02-28,187.00,187.00,187.00,187.00,000,187.00
2017-02-27,187.00,187.00,187.00,187.00,000,187.00
2017-02-24,187.00,187.00,187.00,187.00,000,187.00
2017-02-23,187.00,187.00,187.00,187.00,000,187.00
2017-02-22,188.00,188.00,180.00,187.00,90100,187.00
2017-02-21,189.00,189.00,189.00,189.00,000,189.00
2017-02-20,189.00,189.00,189.00,189.00,000,189.00
2017-02-17,189.00,189.00,189.00,189.00,000,189.00
2017-02-16,180.00,190.00,180.00,189.00,109800,189.00
2017-02-15,180.00,180.00,180.00,180.00,000,180.00
2017-02-14,178.00,180.00,178.00,180.00,14500,180.00
2017-02-13,185.00,185.00,176.00,178.00,14300,178.00
2017-02-10,179.00,185.00,175.00,185.00,14500,185.00
2017-02-09,179.00,179.00,179.00,179.00,000,179.00
2017-02-08,179.00,179.00,179.00,179.00,100,179.00
2017-02-07,180.00,180.00,172.00,172.00,1000,172.00
2017-02-06,180.00,180.00,180.00,180.00,500,180.00
2017-02-03,172.00,184.00,172.00,180.00,20300,180.00
2017-02-02,172.00,172.00,172.00,172.00,000,172.00
2017-02-01,182.00,182.00,170.00,172.00,166700,172.00
2017-01-31,182.00,185.00,182.00,182.00,500,182.00
2017-01-30,182.00,182.00,182.00,182.00,000,182.00
2017-01-27,182.00,182.00,182.00,182.00,000,182.00
2017-01-26,182.00,182.00,182.00,182.00,200,182.00
2017-01-25,183.00,183.00,182.00,182.00,15100,182.00
2017-01-24,183.00,183.00,183.00,183.00,300,183.00
2017-01-23,183.00,183.00,183.00,183.00,000,183.00
2017-01-20,189.00,189.00,170.00,183.00,57500,183.00
2017-01-19,180.00,189.00,180.00,189.00,1500,189.00
2017-01-18,185.00,185.00,185.00,185.00,000,185.00
2017-01-17,180.00,189.00,180.00,185.00,1600,185.00
2017-01-16,190.00,194.00,180.00,180.00,9200,180.00
2017-01-13,185.00,190.00,185.00,190.00,1000,190.00
2017-01-12,180.00,185.00,180.00,185.00,1200,185.00
2017-01-11,180.00,180.00,180.00,180.00,2500,180.00
2017-01-10,174.00,180.00,174.00,180.00,50000,180.00
2017-01-09,174.00,174.00,174.00,174.00,000,174.00
2017-01-06,175.00,182.00,174.00,174.00,9700,174.00
2017-01-05,175.00,175.00,175.00,175.00,11000,175.00
2017-01-04,185.00,185.00,160.00,170.00,24300,170.00
2017-01-03,185.00,185.00,185.00,185.00,200,185.00
2017-01-02,185.00,185.00,185.00,185.00,000,185.00
2016-12-30,188.00,188.00,173.00,185.00,27100,185.00
2016-12-29,187.00,190.00,186.00,189.00,20400,189.00
2016-12-28,184.00,184.00,184.00,184.00,5000,184.00
2016-12-27,181.00,185.00,181.00,184.00,915000,184.00
2016-12-26,182.00,182.00,182.00,182.00,000,182.00
2016-12-23,174.00,182.00,174.00,182.00,17800,182.00
