Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,132.00,132.00,130.00,132.00,6564000,132.00
2017-03-29,131.00,132.00,130.00,131.00,2993600,131.00
2017-03-28,131.00,131.00,131.00,131.00,000,131.00
2017-03-27,131.00,133.00,130.00,131.00,6955500,131.00
2017-03-24,131.00,133.00,129.00,132.00,15959900,132.00
2017-03-23,131.00,131.00,130.00,131.00,2210600,131.00
2017-03-22,130.00,131.00,129.00,131.00,5232500,131.00
2017-03-21,131.00,131.00,129.00,131.00,8188700,131.00
2017-03-20,130.00,133.00,130.00,131.00,10437400,131.00
2017-03-17,132.00,134.00,129.00,131.00,16809200,131.00
2017-03-16,124.00,133.00,124.00,132.00,54023300,132.00
2017-03-15,122.00,124.00,120.00,124.00,22210400,124.00
2017-03-14,123.00,123.00,120.00,123.00,75194900,123.00
2017-03-13,126.00,126.00,120.00,124.00,77520500,124.00
2017-03-10,126.00,127.00,124.00,126.00,40546500,126.00
2017-03-09,127.00,128.00,126.00,127.00,18811400,127.00
2017-03-08,128.00,128.00,126.00,128.00,11083800,128.00
2017-03-07,127.00,128.00,126.00,128.00,11161100,128.00
2017-03-06,128.00,128.00,126.00,128.00,3383200,128.00
2017-03-03,128.00,129.00,126.00,128.00,10754400,128.00
2017-03-02,126.00,129.00,126.00,129.00,7464000,129.00
2017-03-01,128.00,128.00,126.00,128.00,5833500,128.00
2017-02-28,128.00,129.00,126.00,129.00,5843700,129.00
2017-02-27,126.00,128.00,126.00,128.00,12155100,128.00
2017-02-24,125.00,126.00,124.00,126.00,39466400,126.00
2017-02-23,127.00,127.00,125.00,126.00,12664500,126.00
2017-02-22,127.00,129.00,125.00,127.00,10874600,127.00
2017-02-21,127.00,128.00,126.00,128.00,3463700,128.00
2017-02-20,126.00,129.00,126.00,127.00,10932600,127.00
2017-02-17,128.00,128.00,124.00,127.00,29039800,127.00
2017-02-16,128.00,128.00,126.00,128.00,5690100,128.00
2017-02-15,128.00,128.00,128.00,128.00,000,128.00
2017-02-14,128.00,128.00,126.00,128.00,4615800,128.00
2017-02-13,127.00,128.00,125.00,128.00,11811400,128.00
2017-02-10,127.00,128.00,126.00,127.00,4277300,127.00
2017-02-09,128.00,128.00,127.00,127.00,3155300,127.00
2017-02-08,128.00,128.00,126.00,128.00,2452200,128.00
2017-02-07,129.00,130.00,127.00,128.00,6696100,128.00
2017-02-06,130.00,130.00,127.00,130.00,3470500,130.00
2017-02-03,129.00,130.00,128.00,130.00,2412300,130.00
2017-02-02,130.00,130.00,127.00,129.00,7139000,129.00
2017-02-01,130.00,130.00,126.00,130.00,19526500,130.00
2017-01-31,130.00,133.00,125.00,130.00,28471900,130.00
2017-01-30,125.00,127.00,124.00,126.00,3382700,126.00
2017-01-27,126.00,126.00,123.00,125.00,11281600,125.00
2017-01-26,124.00,126.00,122.00,126.00,12977500,126.00
2017-01-25,126.00,126.00,122.00,124.00,11300600,124.00
2017-01-24,125.00,127.00,123.00,126.00,14404100,126.00
2017-01-23,128.00,128.00,125.00,127.00,11928400,127.00
2017-01-20,128.00,129.00,127.00,128.00,2742400,128.00
2017-01-19,129.00,133.00,127.00,129.00,19072600,129.00
2017-01-18,128.00,129.00,126.00,129.00,6967300,129.00
2017-01-17,126.00,128.00,125.00,128.00,2288200,128.00
2017-01-16,126.00,127.00,124.00,126.00,6465300,126.00
2017-01-13,125.00,128.00,124.00,126.00,6066200,126.00
2017-01-12,126.00,126.00,123.00,125.00,8048000,125.00
2017-01-11,128.00,128.00,125.00,126.00,12174400,126.00
2017-01-10,127.00,128.00,126.00,128.00,2093600,128.00
2017-01-09,126.00,128.00,126.00,127.00,6471500,127.00
2017-01-06,128.00,129.00,125.00,126.00,13272800,126.00
2017-01-05,130.00,130.00,126.00,128.00,7900400,128.00
2017-01-04,131.00,131.00,128.00,129.00,4743700,129.00
2017-01-03,130.00,133.00,130.00,131.00,3591800,131.00
2017-01-02,131.00,131.00,131.00,131.00,000,131.00
2016-12-30,130.00,132.00,129.00,131.00,9826000,131.00
2016-12-29,129.00,133.00,128.00,131.00,3240900,131.00
2016-12-28,128.00,130.00,127.00,130.00,7534800,130.00
2016-12-27,128.00,128.00,125.00,128.00,12549400,128.00
2016-12-26,128.00,128.00,128.00,128.00,000,128.00
2016-12-23,127.00,128.00,125.00,128.00,6946500,128.00
2016-12-22,130.00,130.00,127.00,128.00,8786500,128.00
2016-12-21,131.00,132.00,128.00,130.00,7332700,130.00
2016-12-20,134.00,136.00,128.00,131.00,23585900,131.00
2016-12-19,129.00,139.00,127.00,134.00,74013100,134.00
2016-12-16,130.00,130.00,128.00,130.00,11123500,130.00
2016-12-15,128.00,130.00,127.00,130.00,17533200,130.00
2016-12-14,129.00,129.00,128.00,128.00,6391600,128.00
2016-12-13,130.00,130.00,128.00,129.00,3230500,129.00
2016-12-12,130.00,130.00,130.00,130.00,000,130.00
2016-12-09,128.00,130.00,127.00,130.00,5681700,130.00
2016-12-08,128.00,129.00,127.00,129.00,6577800,129.00
2016-12-07,128.00,129.00,128.00,129.00,4111100,129.00
2016-12-06,129.00,129.00,125.00,128.00,16780200,128.00
2016-12-05,128.00,129.00,127.00,129.00,3626700,129.00
2016-12-02,130.00,130.00,127.00,128.00,11671300,128.00
2016-12-01,131.00,132.00,129.00,130.00,3063500,130.00
2016-11-30,129.00,131.00,128.00,131.00,7877500,131.00
2016-11-29,130.00,130.00,129.00,129.00,10356100,129.00
2016-11-28,130.00,131.00,128.00,131.00,6537800,131.00
2016-11-25,129.00,130.00,128.00,130.00,5231600,130.00
2016-11-24,129.00,129.00,128.00,129.00,4797700,129.00
2016-11-23,130.00,130.00,129.00,129.00,3507800,129.00
2016-11-22,129.00,131.00,127.00,130.00,11131500,130.00
2016-11-21,128.00,129.00,127.00,129.00,1955400,129.00
2016-11-18,130.00,130.00,127.00,128.00,4862300,128.00
2016-11-17,129.00,130.00,127.00,130.00,3531700,130.00
2016-11-16,129.00,129.00,127.00,129.00,5500100,129.00
2016-11-15,129.00,129.00,127.00,129.00,8612200,129.00
2016-11-14,128.00,130.00,126.00,129.00,9077500,129.00
2016-11-11,131.00,131.00,128.00,130.00,6975100,130.00
2016-11-10,130.00,131.00,129.00,131.00,6957800,131.00
2016-11-09,132.00,132.00,127.00,131.00,16728100,131.00
2016-11-08,131.00,132.00,129.00,132.00,8303500,132.00
2016-11-07,131.00,131.00,130.00,131.00,10150600,131.00
2016-11-04,131.00,132.00,129.00,131.00,10754800,131.00
2016-11-03,129.00,131.00,127.00,131.00,22398900,131.00
2016-11-02,132.00,132.00,130.00,131.00,3851000,131.00
2016-11-01,133.00,134.00,129.00,131.00,14302100,131.00
2016-10-31,132.00,136.00,131.00,133.00,9215000,133.00
2016-10-28,132.00,132.00,129.00,132.00,12933600,132.00
2016-10-27,130.00,131.00,129.00,131.00,9609400,131.00
