Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,50.00,50.00,50.00,50.00,206200,50.00
2017-03-29,50.00,50.00,50.00,50.00,10100,50.00
2017-03-28,50.00,50.00,50.00,50.00,000,50.00
2017-03-27,50.00,50.00,50.00,50.00,000,50.00
2017-03-24,50.00,50.00,50.00,50.00,7100,50.00
2017-03-23,50.00,50.00,50.00,50.00,2800,50.00
2017-03-22,50.00,50.00,50.00,50.00,900,50.00
2017-03-21,50.00,50.00,50.00,50.00,000,50.00
2017-03-20,50.00,50.00,50.00,50.00,100,50.00
2017-03-17,50.00,50.00,50.00,50.00,500,50.00
2017-03-16,50.00,50.00,50.00,50.00,4200,50.00
2017-03-15,50.00,50.00,50.00,50.00,200,50.00
2017-03-14,50.00,50.00,50.00,50.00,300,50.00
2017-03-13,50.00,50.00,50.00,50.00,100,50.00
2017-03-10,50.00,50.00,50.00,50.00,100,50.00
2017-03-09,50.00,50.00,50.00,50.00,400,50.00
2017-03-08,50.00,50.00,50.00,50.00,500,50.00
2017-03-07,50.00,50.00,50.00,50.00,90700,50.00
2017-03-06,50.00,50.00,50.00,50.00,100,50.00
2017-03-03,50.00,50.00,50.00,50.00,2000,50.00
2017-03-02,50.00,50.00,50.00,50.00,300,50.00
2017-03-01,50.00,50.00,50.00,50.00,300,50.00
2017-02-28,50.00,50.00,50.00,50.00,320000,50.00
2017-02-27,50.00,50.00,50.00,50.00,57800,50.00
2017-02-24,50.00,50.00,50.00,50.00,69100,50.00
2017-02-23,50.00,51.00,50.00,50.00,1631700,50.00
2017-02-22,50.00,50.00,50.00,50.00,13400,50.00
2017-02-21,50.00,51.00,50.00,50.00,259800,50.00
2017-02-20,50.00,51.00,50.00,50.00,2169100,50.00
2017-02-17,50.00,51.00,50.00,50.00,3664100,50.00
2017-02-16,52.00,54.00,50.00,50.00,9630800,50.00
2017-02-15,52.00,52.00,52.00,52.00,000,52.00
2017-02-14,52.00,55.00,52.00,52.00,2488700,52.00
2017-02-13,53.00,56.00,52.00,52.00,4304900,52.00
2017-02-10,55.00,57.00,53.00,53.00,3870200,53.00
2017-02-09,54.00,59.00,50.00,55.00,22065700,55.00
2017-02-08,56.00,57.00,52.00,54.00,5971900,54.00
2017-02-07,56.00,58.00,52.00,55.00,4875900,55.00
2017-02-06,60.00,61.00,54.00,56.00,6469700,56.00
2017-02-03,60.00,64.00,59.00,60.00,12883000,60.00
2017-02-02,61.00,70.00,57.00,60.00,93619500,60.00
2017-02-01,50.00,59.00,50.00,58.00,70217900,58.00
2017-01-31,50.00,50.00,50.00,50.00,4324200,50.00
2017-01-30,50.00,50.00,50.00,50.00,72400,50.00
2017-01-27,50.00,50.00,50.00,50.00,21400,50.00
2017-01-26,50.00,50.00,50.00,50.00,700,50.00
2017-01-25,50.00,50.00,50.00,50.00,23000,50.00
2017-01-24,50.00,50.00,50.00,50.00,000,50.00
2017-01-23,50.00,50.00,50.00,50.00,000,50.00
2017-01-20,50.00,50.00,50.00,50.00,000,50.00
2017-01-19,50.00,50.00,50.00,50.00,000,50.00
2017-01-18,50.00,50.00,50.00,50.00,13500,50.00
2017-01-17,50.00,50.00,50.00,50.00,000,50.00
2017-01-16,50.00,50.00,50.00,50.00,000,50.00
2017-01-13,50.00,50.00,50.00,50.00,000,50.00
2017-01-12,50.00,50.00,50.00,50.00,000,50.00
2017-01-11,50.00,50.00,50.00,50.00,000,50.00
2017-01-10,50.00,50.00,50.00,50.00,000,50.00
2017-01-09,50.00,50.00,50.00,50.00,000,50.00
2017-01-06,50.00,50.00,50.00,50.00,000,50.00
2017-01-05,50.00,50.00,50.00,50.00,000,50.00
2017-01-04,50.00,50.00,50.00,50.00,000,50.00
2017-01-03,50.00,50.00,50.00,50.00,1700,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,100,50.00
2016-12-29,50.00,50.00,50.00,50.00,400,50.00
2016-12-28,50.00,50.00,50.00,50.00,1100,50.00
2016-12-27,50.00,50.00,50.00,50.00,100,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,100,50.00
2016-12-22,50.00,50.00,50.00,50.00,100,50.00
2016-12-21,50.00,50.00,50.00,50.00,100,50.00
2016-12-20,50.00,50.00,50.00,50.00,100,50.00
2016-12-19,50.00,50.00,50.00,50.00,200,50.00
2016-12-16,50.00,50.00,50.00,50.00,000,50.00
2016-12-15,50.00,50.00,50.00,50.00,200,50.00
2016-12-14,50.00,50.00,50.00,50.00,200,50.00
2016-12-13,50.00,50.00,50.00,50.00,000,50.00
2016-12-12,50.00,50.00,50.00,50.00,000,50.00
2016-12-09,50.00,50.00,50.00,50.00,300,50.00
2016-12-08,50.00,50.00,50.00,50.00,100,50.00
2016-12-07,50.00,50.00,50.00,50.00,2500,50.00
2016-12-06,50.00,50.00,50.00,50.00,11100,50.00
2016-12-05,50.00,50.00,50.00,50.00,11700,50.00
2016-12-02,50.00,50.00,50.00,50.00,100,50.00
2016-12-01,50.00,50.00,50.00,50.00,100,50.00
2016-11-30,50.00,50.00,50.00,50.00,100,50.00
2016-11-29,50.00,50.00,50.00,50.00,000,50.00
2016-11-28,50.00,50.00,50.00,50.00,100,50.00
2016-11-25,50.00,50.00,50.00,50.00,100,50.00
2016-11-24,50.00,50.00,50.00,50.00,000,50.00
2016-11-23,50.00,50.00,50.00,50.00,100,50.00
2016-11-22,50.00,50.00,50.00,50.00,100,50.00
2016-11-21,50.00,50.00,50.00,50.00,100,50.00
2016-11-18,50.00,50.00,50.00,50.00,10100,50.00
2016-11-17,50.00,50.00,50.00,50.00,100,50.00
2016-11-16,50.00,50.00,50.00,50.00,000,50.00
2016-11-15,50.00,50.00,50.00,50.00,000,50.00
2016-11-14,50.00,50.00,50.00,50.00,100,50.00
2016-11-11,50.00,50.00,50.00,50.00,10100,50.00
2016-11-10,50.00,50.00,50.00,50.00,000,50.00
2016-11-09,50.00,50.00,50.00,50.00,100,50.00
2016-11-08,50.00,50.00,50.00,50.00,3000,50.00
2016-11-07,50.00,50.00,50.00,50.00,6000,50.00
2016-11-04,50.00,50.00,50.00,50.00,500,50.00
2016-11-03,50.00,50.00,50.00,50.00,100,50.00
2016-11-02,50.00,50.00,50.00,50.00,600,50.00
2016-11-01,50.00,50.00,50.00,50.00,000,50.00
2016-10-31,50.00,50.00,50.00,50.00,1000,50.00
2016-10-28,50.00,50.00,50.00,50.00,1200,50.00
2016-10-27,50.00,50.00,50.00,50.00,8500,50.00
2016-10-26,50.00,50.00,50.00,50.00,1500,50.00
2016-10-25,50.00,50.00,50.00,50.00,11500,50.00
2016-10-24,50.00,50.00,50.00,50.00,2300,50.00
2016-10-21,50.00,50.00,50.00,50.00,200000,50.00
2016-10-20,50.00,50.00,50.00,50.00,15200,50.00
2016-10-19,50.00,50.00,50.00,50.00,000,50.00
2016-10-18,50.00,50.00,50.00,50.00,000,50.00
2016-10-17,50.00,50.00,50.00,50.00,1200,50.00
2016-10-14,50.00,50.00,50.00,50.00,2100,50.00
2016-10-13,50.00,50.00,50.00,50.00,000,50.00
2016-10-12,50.00,50.00,50.00,50.00,6000,50.00
2016-10-11,50.00,50.00,50.00,50.00,000,50.00
2016-10-10,50.00,50.00,50.00,50.00,100100,50.00
2016-10-07,50.00,50.00,50.00,50.00,5000,50.00
2016-10-06,50.00,50.00,50.00,50.00,2000,50.00
2016-10-05,50.00,50.00,50.00,50.00,000,50.00
2016-10-04,50.00,50.00,50.00,50.00,000,50.00
2016-10-03,50.00,50.00,50.00,50.00,101000,50.00
2016-09-30,50.00,50.00,50.00,50.00,000,50.00
2016-09-29,50.00,50.00,50.00,50.00,000,50.00
2016-09-28,50.00,50.00,50.00,50.00,000,50.00
2016-09-27,50.00,50.00,50.00,50.00,000,50.00
2016-09-26,50.00,50.00,50.00,50.00,000,50.00
2016-09-23,50.00,50.00,50.00,50.00,000,50.00
2016-09-22,50.00,50.00,50.00,50.00,000,50.00
2016-09-21,50.00,50.00,50.00,50.00,000,50.00
2016-09-20,50.00,50.00,50.00,50.00,000,50.00
2016-09-19,50.00,50.00,50.00,50.00,000,50.00
2016-09-16,50.00,50.00,50.00,50.00,000,50.00
2016-09-15,50.00,50.00,50.00,50.00,000,50.00
2016-09-14,50.00,50.00,50.00,50.00,000,50.00
2016-09-13,50.00,50.00,50.00,50.00,000,50.00
2016-09-12,50.00,50.00,50.00,50.00,000,50.00
2016-09-09,50.00,50.00,50.00,50.00,000,50.00
2016-09-08,50.00,50.00,50.00,50.00,300,50.00
2016-09-07,50.00,50.00,50.00,50.00,000,50.00
2016-09-06,50.00,50.00,50.00,50.00,000,50.00
2016-09-05,50.00,50.00,50.00,50.00,000,50.00
2016-09-02,50.00,50.00,50.00,50.00,000,50.00
2016-09-01,50.00,50.00,50.00,50.00,000,50.00
2016-08-31,50.00,50.00,50.00,50.00,000,50.00
2016-08-30,50.00,50.00,50.00,50.00,000,50.00
2016-08-29,50.00,50.00,50.00,50.00,000,50.00
2016-08-26,50.00,50.00,50.00,50.00,000,50.00
2016-08-25,50.00,50.00,50.00,50.00,2500,50.00
2016-08-24,50.00,50.00,50.00,50.00,000,50.00
2016-08-23,50.00,50.00,50.00,50.00,000,50.00
2016-08-22,50.00,50.00,50.00,50.00,30000,50.00
2016-08-19,50.00,50.00,50.00,50.00,000,50.00
2016-08-18,50.00,50.00,50.00,50.00,000,50.00
2016-08-17,50.00,50.00,50.00,50.00,000,50.00
2016-08-16,50.00,50.00,50.00,50.00,000,50.00
2016-08-15,50.00,50.00,50.00,50.00,000,50.00
2016-08-12,50.00,50.00,50.00,50.00,20000,50.00
2016-08-11,50.00,50.00,50.00,50.00,000,50.00
2016-08-10,50.00,50.00,50.00,50.00,000,50.00
2016-08-09,50.00,50.00,50.00,50.00,20000,50.00
2016-08-08,50.00,50.00,50.00,50.00,000,50.00
2016-08-05,50.00,50.00,50.00,50.00,000,50.00
2016-08-04,50.00,50.00,50.00,50.00,1600,50.00
2016-08-03,50.00,50.00,50.00,50.00,000,50.00
2016-08-02,50.00,50.00,50.00,50.00,000,50.00
2016-08-01,50.00,50.00,50.00,50.00,000,50.00
2016-07-29,50.00,50.00,50.00,50.00,000,50.00
2016-07-28,50.00,50.00,50.00,50.00,000,50.00
2016-07-27,50.00,50.00,50.00,50.00,000,50.00
2016-07-26,50.00,50.00,50.00,50.00,000,50.00
2016-07-25,50.00,50.00,50.00,50.00,300,50.00
2016-07-22,50.00,50.00,50.00,50.00,000,50.00
2016-07-21,50.00,53.00,50.00,50.00,210000,50.00
2016-07-20,50.00,50.00,50.00,50.00,531000,50.00
2016-07-19,50.00,50.00,50.00,50.00,60300,50.00
2016-07-18,50.00,50.00,50.00,50.00,2200,50.00
2016-07-15,50.00,50.00,50.00,50.00,000,50.00
2016-07-14,50.00,50.00,50.00,50.00,000,50.00
